eye_packets,760
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227360.0764968,"{'circle_3d': {'center': [5.8587104003802555, -3.7219868268374707, 30.60041239572329], 'normal': [0.6207802135943707, -0.030017475983556103, -0.7834097762635491], 'radius': 0.6302065832849362}, 'confidence': 0.4449751230113694, 'timestamp': 243772.90046, 'diameter_3d': 1.2604131665698723, 'ellipse': {'center': [278.59583911639686, 44.5820393394973], 'axes': [16.808579103493305, 25.648942596905925], 'angle': -7.379557209744805}, 'location': [278.59583911639686, 44.5820393394973], 'diameter': 25.648942596905925, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5407743411137704, 'phi': -0.9007017961985161, 'norm_pos': [0.8706119972387402, 0.8142415027520946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.084745,"{'circle_3d': {'center': [5.858038639728909, -3.7135491915584162, 30.599560636120653], 'normal': [0.6207242335400918, -0.02931433971030158, -0.7834807562304352], 'radius': 0.6497618179805466}, 'confidence': 0.012192407403857963, 'timestamp': 243772.90886, 'diameter_3d': 1.299523635961093, 'ellipse': {'center': [278.57868157535876, 44.75039162330043], 'axes': [17.335725829861705, 26.44561765912909], 'angle': -7.3157600722571114}, 'location': [278.57868157535876, 44.75039162330043], 'diameter': 26.44561765912909, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5414777870091332, 'phi': -0.9007897919323887, 'norm_pos': [0.8705583799229961, 0.8135400349029149], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.0924768,"{'circle_3d': {'center': [5.868605405043892, -3.7260509908065966, 30.60841849653348], 'normal': [0.6216047973163404, -0.0303561563143166, -0.782742601196033], 'radius': 0.6265742751184407}, 'confidence': 0.011955318513669266, 'timestamp': 243772.91726, 'diameter_3d': 1.2531485502368813, 'ellipse': {'center': [278.76654432937573, 44.51953592861982], 'axes': [16.68102210715582, 25.494439553214242], 'angle': -7.394706083354172}, 'location': [278.76654432937573, 44.51953592861982], 'diameter': 25.494439553214242, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5404355063656563, 'phi': -0.8996406729970107, 'norm_pos': [0.8711454510292992, 0.8145019336307507], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.104713,"{'circle_3d': {'center': [5.862995906148896, -3.704686986059445, 30.60316269357229], 'normal': [0.6211373390750907, -0.028575822585387295, -0.7831805847761322], 'radius': 0.6177048510797896}, 'confidence': 0.46144923433034835, 'timestamp': 243772.92566, 'diameter_3d': 1.2354097021595791, 'ellipse': {'center': [278.6762671606718, 44.93930182063404], 'axes': [16.469130254561573, 25.137618827219534], 'angle': -7.239384743548707}, 'location': [278.6762671606718, 44.93930182063404], 'diameter': 25.137618827219534, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5422166137167952, 'phi': -0.9002793802757343, 'norm_pos': [0.8708633348770993, 0.8127529090806915], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.112572,"{'circle_3d': {'center': [5.878598798134163, -3.707391632698967, 30.615657615160497], 'normal': [0.622437580073863, -0.02880120980534747, -0.7821393413104483], 'radius': 0.6396055944324616}, 'confidence': 0.01182544626188442, 'timestamp': 243772.93406, 'diameter_3d': 1.2792111888649231, 'ellipse': {'center': [278.93636643880683, 44.9147034183997], 'axes': [17.005337802882146, 26.01840364569402], 'angle': -7.235215623692295}, 'location': [278.93636643880683, 44.9147034183997], 'diameter': 26.01840364569402, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5419911336887344, 'phi': -0.8986129292416958, 'norm_pos': [0.8716761451212713, 0.8128554024233345], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.120642,"{'circle_3d': {'center': [5.872519221967339, -3.7177220688502395, 30.61120851506754], 'normal': [0.6219309487266277, -0.02966207948462017, -0.7825100996515283], 'radius': 0.622039431058294}, 'confidence': 0.6367155630886491, 'timestamp': 243772.94246, 'diameter_3d': 1.244078862116588, 'ellipse': {'center': [278.83654541115965, 44.69507373330384], 'axes': [16.5520086033006, 25.30750070588351], 'angle': -7.3243214062564155}, 'location': [278.83654541115965, 44.69507373330384], 'diameter': 25.30750070588351, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.54112989594504, 'phi': -0.8992404958809732, 'norm_pos': [0.8713642044098739, 0.813770526111234], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.128691,"{'circle_3d': {'center': [5.879464492686598, -3.7026972375305713, 30.616174910659435], 'normal': [0.6225097212865659, -0.02841001020798118, -0.7820962333522035], 'radius': 0.6412844845560062}, 'confidence': 0.7718985935014512, 'timestamp': 243772.950861, 'diameter_3d': 1.2825689691120123, 'ellipse': {'center': [278.9513011885424, 45.01093290011147], 'axes': [17.049196775842915, 26.086222176492072], 'angle': -7.197766232984201}, 'location': [278.9513011885424, 45.01093290011147], 'diameter': 26.086222176492072, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5423824934424832, 'phi': -0.8985296045616135, 'norm_pos': [0.871722816214195, 0.8124544462495356], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.136676,"{'circle_3d': {'center': [5.878433406672725, -3.7112904155283912, 30.61567037286457], 'normal': [0.6224237974520765, -0.029126108374466168, -0.7821382781684422], 'radius': 0.6225152553424023}, 'confidence': 0.7647125442816086, 'timestamp': 243772.959261, 'diameter_3d': 1.2450305106848045, 'ellipse': {'center': [278.93885432712517, 44.83618213868756], 'axes': [16.549819265543707, 25.323100989982215], 'angle': -7.265362826456281}, 'location': [278.93885432712517, 44.83618213868756], 'diameter': 25.323100989982215, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5416660987547228, 'phi': -0.8986230559283637, 'norm_pos': [0.8716839197722661, 0.8131825744221352], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.1446881,"{'circle_3d': {'center': [5.875229452367112, -3.7075480525748197, 30.612982989136817], 'normal': [0.622156801259942, -0.028814244795001873, -0.7823622268124214], 'radius': 0.6300999603337226}, 'confidence': 0.47029509187457585, 'timestamp': 243772.967661, 'diameter_3d': 1.2601999206674452, 'ellipse': {'center': [278.8817964792474, 44.90518423276572], 'axes': [16.762441849094763, 25.633906680496924], 'angle': -7.241788560609756}, 'location': [278.8817964792474, 44.90518423276572], 'diameter': 25.633906680496924, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.541978093286939, 'phi': -0.898971567346887, 'norm_pos': [0.871505613997648, 0.8128950656968095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.1533,"{'circle_3d': {'center': [5.874372278450627, -3.7001154155119, 30.61203062699922], 'normal': [0.622085370100235, -0.028194858373091884, -0.782441590323888], 'radius': 0.6412847676837006}, 'confidence': 0.555137870360462, 'timestamp': 243772.976061, 'diameter_3d': 1.2825695353674011, 'ellipse': {'center': [278.86424342396884, 45.05305257949783], 'axes': [17.065543308922525, 26.089747514914567], 'angle': -7.186065481422056}, 'location': [278.86424342396884, 45.05305257949783], 'diameter': 26.089747514914567, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5425977315008919, 'phi': -0.899076914542398, 'norm_pos': [0.8714507606999027, 0.8122789475854257], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.1618629,"{'circle_3d': {'center': [5.873056770220222, -3.728809912659923, 30.612062652731908], 'normal': [0.6219757444143679, -0.03058606646876045, -0.7824389215128306], 'radius': 0.6461144798004488}, 'confidence': 0.3191045114796875, 'timestamp': 243772.984461, 'diameter_3d': 1.2922289596008976, 'ellipse': {'center': [278.83579853434514, 44.47228250800288], 'axes': [17.186805328451133, 26.286531327169403], 'angle': -7.4087389152718}, 'location': [278.83579853434514, 44.47228250800288], 'diameter': 26.286531327169403, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.540205489401838, 'phi': -0.8991611028525276, 'norm_pos': [0.8713618704198286, 0.8146988228833214], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
