eye_packets,760
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227360.0764968,"{'circle_3d': {'center': [5.8587104003802555, -3.7219868268374707, 30.60041239572329], 'normal': [0.6207802135943707, -0.030017475983556103, -0.7834097762635491], 'radius': 0.6302065832849362}, 'confidence': 0.4449751230113694, 'timestamp': 243772.90046, 'diameter_3d': 1.2604131665698723, 'ellipse': {'center': [278.59583911639686, 44.5820393394973], 'axes': [16.808579103493305, 25.648942596905925], 'angle': -7.379557209744805}, 'location': [278.59583911639686, 44.5820393394973], 'diameter': 25.648942596905925, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5407743411137704, 'phi': -0.9007017961985161, 'norm_pos': [0.8706119972387402, 0.8142415027520946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.168394,"{'circle_3d': {'center': [5.874454933978537, -3.7268864526275087, 30.613099248975438], 'normal': [0.6220922580608942, -0.030425778132725945, -0.7823525384925366], 'radius': 0.6356292502263514}, 'confidence': 0.3555635452952093, 'timestamp': 243772.992861, 'diameter_3d': 1.2712585004527028, 'ellipse': {'center': [278.86376282761336, 44.5139711577915], 'axes': [16.904384441817953, 25.85898059116143], 'angle': -7.391646028420232}, 'location': [278.86376282761336, 44.5139711577915], 'diameter': 25.85898059116143, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.540365852373209, 'phi': -0.899016074931183, 'norm_pos': [0.8714492588362918, 0.8145251201758688], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.1768608,"{'circle_3d': {'center': [5.8662455013412895, -3.7166268791454806, 30.60618421588966], 'normal': [0.6214081386744569, -0.029570813675890286, -0.7829287912496848], 'radius': 0.6578827221558466}, 'confidence': 0.6847208760788626, 'timestamp': 243773.001261, 'diameter_3d': 1.3157654443116933, 'ellipse': {'center': [278.71641143912393, 44.70417886880102], 'axes': [17.525915094114083, 26.770425472471345], 'angle': -7.3262028010390745}, 'location': [278.71641143912393, 44.70417886880102], 'diameter': 26.770425472471345, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5412212018063198, 'phi': -0.8999105850993374, 'norm_pos': [0.8709887857472622, 0.8137325880466624], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.188638,"{'circle_3d': {'center': [5.876392187478643, -3.7499673218667438, 30.615566181209374], 'normal': [0.6222536958525696, -0.03234918390266219, -0.7821469608063754], 'radius': 0.6339713616279025}, 'confidence': 0.09934349594976845, 'timestamp': 243773.009662, 'diameter_3d': 1.267942723255805, 'ellipse': {'center': [278.8940214577754, 44.052984075854994], 'axes': [16.84536601548577, 25.789663644324246], 'angle': -7.56561010764787}, 'location': [278.8940214577754, 44.052984075854994], 'diameter': 25.789663644324246, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.538441498160204, 'phi': -0.8987616344714178, 'norm_pos': [0.8715438170555482, 0.8164458996839375], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.196523,"{'circle_3d': {'center': [5.880407087196117, -3.76136894151858, 30.619240388353866], 'normal': [0.6225882708290258, -0.03329931887364858, -0.7818407768776675], 'radius': 0.6316413271754483}, 'confidence': 0.7203859913085224, 'timestamp': 243773.018062, 'diameter_3d': 1.2632826543508966, 'ellipse': {'center': [278.96188488032726, 43.83141478674814], 'axes': [16.76693879936057, 25.69188223696746], 'angle': -7.646357380328235}, 'location': [278.96188488032726, 43.83141478674814], 'diameter': 25.69188223696746, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5374908508866547, 'phi': -0.8983089357194504, 'norm_pos': [0.8717558902510227, 0.8173691050552161], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.204426,"{'circle_3d': {'center': [5.8796178457508805, -3.75042848449031, 30.61815241782145], 'normal': [0.6225225007085895, -0.032387614121292735, -0.7819314410887022], 'radius': 0.6576249164136244}, 'confidence': 0.7375024198550776, 'timestamp': 243773.026462, 'diameter_3d': 1.3152498328272488, 'ellipse': {'center': [278.94098160361665, 44.04960584154941], 'axes': [17.463930302891246, 26.7497910204093], 'angle': -7.563927214884267}, 'location': [278.94098160361665, 44.04960584154941], 'diameter': 26.7497910204093, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.538403047793813, 'phi': -0.8984169204609955, 'norm_pos': [0.871690567511302, 0.8164599756602108], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.216032,"{'circle_3d': {'center': [5.884996463885113, -3.77713922965198, 30.62358201088901], 'normal': [0.6229707188864422, -0.03461350955143189, -0.7814789749997387], 'radius': 0.6418275692966882}, 'confidence': 0.011498304843583829, 'timestamp': 243773.034862, 'diameter_3d': 1.2836551385933763, 'ellipse': {'center': [279.03443746931805, 43.52295012154197], 'axes': [17.01705256570711, 26.10272042756763], 'angle': -7.7594885769915445}, 'location': [279.03443746931805, 43.52295012154197], 'diameter': 26.10272042756763, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5361759018020336, 'phi': -0.8977840631783209, 'norm_pos': [0.871982617091619, 0.8186543744935751], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.221644,"{'circle_3d': {'center': [5.886915477034268, -3.801313465378576, 30.626214245509207], 'normal': [0.6231306366488717, -0.036628029195314896, -0.7812596221147226], 'radius': 0.6409472649472777}, 'confidence': 0.011389361150357269, 'timestamp': 243773.043262, 'diameter_3d': 1.2818945298945554, 'ellipse': {'center': [279.06339873008386, 43.04048521830103], 'axes': [16.977734016871455, 26.064900096449644], 'angle': -7.941066637147646}, 'location': [279.06339873008386, 43.04048521830103], 'diameter': 26.064900096449644, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5341601025472786, 'phi': -0.897522107736008, 'norm_pos': [0.872073121031512, 0.8206646449237457], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.228446,"{'circle_3d': {'center': [5.884580768411512, -3.8043643858862586, 30.62449606980394], 'normal': [0.6229360775969753, -0.03688227257095509, -0.7814028034234949], 'radius': 0.6432393151072565}, 'confidence': 0.011421766908307762, 'timestamp': 243773.051662, 'diameter_3d': 1.286478630214513, 'ellipse': {'center': [279.0220023702918, 42.97441413588005], 'axes': [17.044221117459085, 26.159625697693496], 'angle': -7.968353992524751}, 'location': [279.0220023702918, 42.97441413588005], 'diameter': 26.159625697693496, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5339056872628367, 'phi': -0.8977636558510029, 'norm_pos': [0.8719437574071618, 0.8209399411004998], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.236865,"{'circle_3d': {'center': [5.886548049274424, -3.811386378865643, 30.62639885785306], 'normal': [0.6231000176688847, -0.03746743865257048, -0.7812442377527348], 'radius': 0.6361832032352338}, 'confidence': 0.01136466430763361, 'timestamp': 243773.060062, 'diameter_3d': 1.2723664064704676, 'ellipse': {'center': [279.0569095755369, 42.83725310450947], 'axes': [16.84831411541449, 25.871069896418774], 'angle': -8.018608050510577}, 'location': [279.0569095755369, 42.83725310450947], 'diameter': 25.871069896418774, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5333201164122943, 'phi': -0.8975364623461973, 'norm_pos': [0.8720528424235529, 0.8215114453978772], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.244332,"{'circle_3d': {'center': [5.873576936148009, -3.8027878738645744, 30.615660130630673], 'normal': [0.6220190915750168, -0.03675089656914808, -0.7821391316879336], 'radius': 0.6364431750914924}, 'confidence': 0.01162569438094807, 'timestamp': 243773.068462, 'diameter_3d': 1.2728863501829848, 'ellipse': {'center': [278.83583013473657, 42.98424064420139], 'axes': [16.89764815882792, 25.890661646917422], 'angle': -7.975005840067024}, 'location': [278.83583013473657, 42.98424064420139], 'diameter': 25.890661646917422, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.534037152392873, 'phi': -0.8989404721449585, 'norm_pos': [0.8713619691710518, 0.8208989973158275], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.253828,"{'circle_3d': {'center': [5.8793544951781875, -3.8083172141695516, 30.62051937966499], 'normal': [0.6225005548275316, -0.0372116749278962, -0.7817341942684072], 'radius': 0.6578920495524784}, 'confidence': 0.5650753960921526, 'timestamp': 243773.076863, 'diameter_3d': 1.3157840991049568, 'ellipse': {'center': [278.92642289318906, 42.88420665778574], 'axes': [17.447037685051985, 26.759160629328438], 'angle': -8.007534185712853}, 'location': [278.92642289318906, 42.88420665778574], 'diameter': 26.759160629328438, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.533576058622658, 'phi': -0.8983111613586997, 'norm_pos': [0.8716450715412158, 0.8213158055925595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.261162,"{'circle_3d': {'center': [5.870832730494223, -3.7885774806308588, 30.612821595334047], 'normal': [0.6217904077705347, -0.03556669713300513, -0.7823756762959859], 'radius': 0.6735776173134697}, 'confidence': 0.05504522720029655, 'timestamp': 243773.085263, 'diameter_3d': 1.3471552346269393, 'ellipse': {'center': [278.7779752847407, 43.26406514015771], 'axes': [17.898942175377808, 27.40398282761074], 'angle': -7.871018613170158}, 'location': [278.7779752847407, 43.26406514015771], 'diameter': 27.40398282761074, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5352221268044306, 'phi': -0.899266896866779, 'norm_pos': [0.8711811727648147, 0.8197330619160095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.272309,"{'circle_3d': {'center': [5.862271571812904, -3.812474233657902, 30.60714002182695], 'normal': [0.6210769778804248, -0.03755809321859204, -0.7828491407549106], 'radius': 0.6484418163479022}, 'confidence': 0.6015358168288196, 'timestamp': 243773.093663, 'diameter_3d': 1.2968836326958044, 'ellipse': {'center': [278.6356538338604, 42.76657141100674], 'axes': [17.246502470909814, 26.386308915344213], 'angle': -8.068556441472419}, 'location': [278.6356538338604, 42.76657141100674], 'diameter': 26.386308915344213, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.533229397993946, 'phi': -0.9001206049151098, 'norm_pos': [0.8707364182308137, 0.8218059524541386], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.280191,"{'circle_3d': {'center': [5.859249898228709, -3.820537038552483, 30.605133745796252], 'normal': [0.6208251717484086, -0.0382299936264738, -0.7830163304241353], 'radius': 0.6364995092883132}, 'confidence': 0.011831463211210425, 'timestamp': 243773.102063, 'diameter_3d': 1.2729990185766265, 'ellipse': {'center': [278.5863995681833, 42.5984861134783], 'axes': [16.934313350077637, 25.9020491159966], 'angle': -8.135471181864842}, 'location': [278.5863995681833, 42.5984861134783], 'diameter': 25.9020491159966, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.53255701464262, 'phi': -0.9004220016155232, 'norm_pos': [0.8705824986505728, 0.822506307860507], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227360.2886431,"{'circle_3d': {'center': [5.855323839971904, -3.8186491016794832, 30.601930296312826], 'normal': [0.6204980002270081, -0.038072665553723836, -0.7832832845477542], 'radius': 0.6148148418172349}, 'confidence': 0.29841736119190987, 'timestamp': 243773.110463, 'diameter_3d': 1.2296296836344698, 'ellipse': {'center': [278.5266559795549, 42.62895244870984], 'axes': [16.369295070299124, 25.022067572375228], 'angle': -8.127693318495158}, 'location': [278.5266559795549, 42.62895244870984], 'diameter': 25.022067572375228, 'sphere': {'center': [-1.590652162752193, -3.3617771150347973, 40.00132971088588], 'radius': 12.0}, 'projected_sphere': {'center': [135.34571105425087, 67.89418685863443], 'axes': [371.98763409983815, 371.98763409983815], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.5327144573380642, 'phi': -0.9008445291133427, 'norm_pos': [0.870395799936109, 0.8223793647970423], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
