eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1595226218.168853,"{'circle_3d': {'center': [-1.7572870532085425, -2.6441735771404566, 24.15677305864533], 'normal': [-0.1433617009058934, 0.4154584015205816, -0.8982436970662985], 'radius': 0.8095881075220002}, 'confidence': 0.15042063795349547, 'timestamp': 242630.969068, 'diameter_3d': 1.6191762150440003, 'ellipse': {'center': [114.97794031119763, 51.86083036907759], 'axes': [38.50768321115263, 41.87015322335732], 'angle': -54.351141065121325}, 'location': [114.97794031119763, 51.86083036907759], 'diameter': 41.87015322335732, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9992430245116142, 'phi': -1.7290637277618168, 'norm_pos': [0.3593060634724926, 0.78391320679551], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.1768389,"{'circle_3d': {'center': [-2.050893639211934, -2.672504695470355, 24.194632017253046], 'normal': [-0.167828916406176, 0.4130974749930901, -0.895088783848989], 'radius': 0.8187369782120731}, 'confidence': 0.09439840445626978, 'timestamp': 242630.977468, 'diameter_3d': 1.6374739564241463, 'ellipse': {'center': [107.53949626641834, 51.23750616577203], 'axes': [38.534694449330516, 42.347964560962765], 'angle': -50.62677397777481}, 'location': [107.53949626641834, 51.23750616577203], 'diameter': 42.347964560962765, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9966490273602588, 'phi': -1.7561440279493623, 'norm_pos': [0.3360609258325573, 0.7865103909759499], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.184551,"{'circle_3d': {'center': [-2.1401679134241562, -2.673729904145847, 24.211189300240946], 'normal': [-0.17526843925719454, 0.4129953742701325, -0.8937090102666642], 'radius': 0.8210239490710097}, 'confidence': 0.086462438357287, 'timestamp': 242630.985868, 'diameter_3d': 1.6420478981420195, 'ellipse': {'center': [105.29360818888915, 51.25207123229572], 'axes': [38.48739851794231, 42.45653471676088], 'angle': -49.68825182877204}, 'location': [105.29360818888915, 51.25207123229572], 'diameter': 42.45653471676088, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9965369162312425, 'phi': -1.7644521298580358, 'norm_pos': [0.3290425255902786, 0.7864497031987678], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.192827,"{'circle_3d': {'center': [-2.1413346988189006, -2.6749483037965867, 24.210855221102985], 'normal': [-0.1753656713734232, 0.41289384096590415, -0.8937368501948274], 'radius': 0.8242838376688072}, 'confidence': 0.07046036440506094, 'timestamp': 242630.994268, 'diameter_3d': 1.6485676753376144, 'ellipse': {'center': [105.26382526993815, 51.217749904782806], 'axes': [38.64123238626217, 42.62623434093605], 'angle': -49.660668539563204}, 'location': [105.26382526993815, 51.217749904782806], 'diameter': 42.62623434093605, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9964254338051801, 'phi': -1.7645510087693412, 'norm_pos': [0.32894945396855674, 0.7865927087300717], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.204268,"{'circle_3d': {'center': [-2.365447414847548, -2.676159893357031, 24.25670972653836], 'normal': [-0.19404173104247716, 0.41279287516920043, -0.8899156414085461], 'radius': 0.8183261962988546}, 'confidence': 0.05550434904536818, 'timestamp': 242631.002668, 'diameter_3d': 1.6366523925977092, 'ellipse': {'center': [99.64686939096333, 51.32204063505742], 'axes': [37.94566690333923, 42.28377485783197], 'angle': -47.49699204856823}, 'location': [99.64686939096333, 51.32204063505742], 'diameter': 42.28377485783197, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9963145800828448, 'phi': -1.7854812028047646, 'norm_pos': [0.3113964668467604, 0.7861581640205941], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.212574,"{'circle_3d': {'center': [-1.8240075971908298, -2.67736467178071, 24.152328675915392], 'normal': [-0.14892174623775067, 0.41269247696722716, -0.8986140622937935], 'radius': 0.8276960248023595}, 'confidence': 0.06968365898536917, 'timestamp': 242631.011068, 'diameter_3d': 1.655392049604719, 'ellipse': {'center': [113.26386730047875, 50.98533712767741], 'axes': [39.3492231965406, 42.836471365208], 'angle': -53.10062702342921}, 'location': [113.26386730047875, 50.98533712767741], 'diameter': 42.836471365208, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9962043550638489, 'phi': -1.7350274902533462, 'norm_pos': [0.3539495853139961, 0.7875610953013441], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.2202518,"{'circle_3d': {'center': [-2.303937874920934, -2.6785626380274294, 24.24237038656774], 'normal': [-0.18891593604859264, 0.41259264644666716, -0.8911105864060977], 'radius': 0.8146659071844832}, 'confidence': 0.047708996320021846, 'timestamp': 242631.019468, 'diameter_3d': 1.6293318143689663, 'ellipse': {'center': [101.18084903408392, 51.222187481400454], 'axes': [37.89965568706749, 42.10785817872325], 'angle': -48.03467582638988}, 'location': [101.18084903408392, 51.222187481400454], 'diameter': 42.10785817872325, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9960947587478137, 'phi': -1.7797038018608853, 'norm_pos': [0.3161901532315122, 0.7865742188274981], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.228487,"{'circle_3d': {'center': [-2.1730645490311136, -2.6797537910509295, 24.214909845120502], 'normal': [-0.17800982555777428, 0.41249338369470884, -0.8933989648600341], 'radius': 0.8091714115164769}, 'confidence': 0.04787706916440744, 'timestamp': 242631.027868, 'diameter_3d': 1.6183428230329537, 'ellipse': {'center': [104.45830954147829, 51.116763959671275], 'axes': [37.88764529557928, 41.84503996479405], 'angle': -49.28186627734227}, 'location': [104.45830954147829, 51.116763959671275], 'diameter': 41.84503996479405, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9959857911354986, 'phi': -1.7674707169704842, 'norm_pos': [0.32643221731711963, 0.7870134835013697], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.2380958,"{'circle_3d': {'center': [-1.9945998653583177, -2.900554535553926, 24.08198749504658], 'normal': [-0.16313776858504134, 0.3940933216527925, -0.9044758273661945], 'radius': 0.8192963282659571}, 'confidence': 0.03888800538056036, 'timestamp': 242631.036268, 'diameter_3d': 1.6385926565319142, 'ellipse': {'center': [108.74335545976312, 45.05253932983365], 'axes': [39.206249616702934, 42.61129238323428], 'angle': -48.09062733857881}, 'location': [108.74335545976312, 45.05253932983365], 'diameter': 42.61129238323428, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.9758774522265228, 'phi': -1.7492449141978899, 'norm_pos': [0.33982298581175974, 0.8122810861256932], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.252077,"{'circle_3d': {'center': [-2.9961649767208858, -4.125166611754277, 23.846898929289004], 'normal': [-0.24660152786525535, 0.2920423153027633, -0.924066541179326], 'radius': 0.8355683312181664}, 'confidence': 0.037633952056305264, 'timestamp': 242631.044668, 'diameter_3d': 1.6711366624363329, 'ellipse': {'center': [82.26165711083547, 12.524322017260687], 'axes': [40.14968719536885, 44.37793811102285], 'angle': -23.671032459842735}, 'location': [82.26165711083547, 12.524322017260687], 'diameter': 44.37793811102285, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.8671578779598308, 'phi': -1.8315843909457972, 'norm_pos': [0.25706767847136086, 0.9478153249280805], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595226218.25481,"{'circle_3d': {'center': [-3.3763629797554517, -4.041933686938598, 23.98232282314867], 'normal': [-0.2782846947848025, 0.29897839237073653, -0.9127812166910202], 'radius': 0.8427419855722594}, 'confidence': 0.007577414658888105, 'timestamp': 242631.053068, 'diameter_3d': 1.6854839711445189, 'ellipse': {'center': [72.88952399497542, 15.275909204430135], 'axes': [39.42012609205865, 44.5178889649599], 'angle': -23.608183053180994}, 'location': [72.88952399497542, 15.275909204430135], 'diameter': 44.5178889649599, 'sphere': {'center': [-0.03694664233782179, -7.629674395387436, 34.935697423440914], 'radius': 12.0}, 'projected_sphere': {'center': [159.34431198061387, -15.402996763025556], 'axes': [425.9253742567601, 425.9253742567601], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 242617.680268, 'theta': 1.874418225100416, 'phi': -1.8667200983497456, 'norm_pos': [0.22777976248429818, 0.9363503783148744], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
