eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1595401306.019167,"{'circle_3d': {'center': [5.618817228484474, -5.588631381135197, 84.40941477893475], 'normal': [-0.0027961728982324914, 0.31947389014118827, -0.9475909533839899], 'radius': 1.18726033271715}, 'confidence': 0.3151021275670923, 'timestamp': 257434.970256, 'diameter_3d': 2.3745206654343, 'ellipse': {'center': [201.27222625424713, 78.91268929137985], 'axes': [16.844129664390135, 17.498871680996476], 'angle': 73.7258032779143}, 'location': [201.27222625424713, 78.91268929137985], 'diameter': 17.498871680996476, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.8959705567373224, 'phi': -1.5737471409331416, 'norm_pos': [0.6289757070445223, 0.6711971279525839], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.029449,"{'circle_3d': {'center': [5.648172983040741, -5.615121505001394, 84.40046945579843], 'normal': [-0.0003498600185435721, 0.3172663798190052, -0.948336396978683], 'radius': 1.1053799691078139}, 'confidence': 0.378117760389844, 'timestamp': 257434.978656, 'diameter_3d': 2.2107599382156278, 'ellipse': {'center': [201.49183900364022, 78.71899661462328], 'axes': [15.69147929500802, 16.295113478401827], 'angle': 72.97558112228378}, 'location': [201.49183900364022, 78.71899661462328], 'diameter': 16.295113478401827, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.893641876320772, 'phi': -1.5711652465197812, 'norm_pos': [0.6296619968863757, 0.672004180772403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.035582,"{'circle_3d': {'center': [5.6776897267470705, -5.641731646748821, 84.391628955827], 'normal': [0.002109868623650554, 0.31504886800671983, -0.949073105309636], 'radius': 1.1506371693916755}, 'confidence': 0.3822217700452706, 'timestamp': 257434.987056, 'diameter_3d': 2.301274338783351, 'ellipse': {'center': [201.71282333925063, 78.51666079142424], 'axes': [16.343121653786227, 16.965509998999572], 'angle': 72.21491548637246}, 'location': [201.71282333925063, 78.51666079142424], 'diameter': 16.965509998999572, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.8913044705222521, 'phi': -1.5685732471015303, 'norm_pos': [0.6303525729351582, 0.6728472467023989], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.043303,"{'circle_3d': {'center': [5.7073673020257765, -5.668461892932486, 84.38289509721324], 'normal': [0.004582999896876047, 0.31282134749141416, -0.9498009268607823], 'radius': 1.1042745733894235}, 'confidence': 0.33840658272593377, 'timestamp': 257434.995456, 'diameter_3d': 2.208549146778847, 'ellipse': {'center': [201.9348973142556, 78.31895314019933], 'axes': [15.693134100445352, 16.28499489545408], 'angle': 71.44561643459186}, 'location': [201.9348973142556, 78.31895314019933], 'diameter': 16.28499489545408, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.888958339357958, 'phi': -1.5659711426963507, 'norm_pos': [0.6310465541070488, 0.6736710285825028], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.051598,"{'circle_3d': {'center': [5.7372055367672825, -5.695312327863851, 84.37426970593485], 'normal': [0.007069519458668217, 0.31058381124713375, -0.9505197094673146], 'radius': 1.116744730199829}, 'confidence': 0.37386316323407587, 'timestamp': 257435.003856, 'diameter_3d': 2.233489460399658, 'ellipse': {'center': [202.15818406390335, 78.11686678598318], 'axes': [15.87874220949519, 16.472021183920315], 'angle': 70.6669012704843}, 'location': [202.15818406390335, 78.11686678598318], 'diameter': 16.472021183920315, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.8866034828198073, 'phi': -1.563358933295279, 'norm_pos': [0.6317443251996979, 0.6745130550584034], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.063139,"{'circle_3d': {'center': [5.653050645303017, -5.608316643948231, 84.40274753361216], 'normal': [5.661183664606995e-05, 0.3178334515734356, -0.9481465571608729], 'radius': 1.1122552264279872}, 'confidence': 0.5538535386531044, 'timestamp': 257435.012256, 'diameter_3d': 2.2245104528559745, 'ellipse': {'center': [201.52652017671522, 78.76963714363785], 'axes': [15.785218493278746, 16.396119381820895], 'angle': 72.94113640485257}, 'location': [201.52652017671522, 78.76963714363785], 'diameter': 16.396119381820895, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.8942399009078006, 'phi': -1.5707366188983154, 'norm_pos': [0.629770375552235, 0.6717931785681757], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.071123,"{'circle_3d': {'center': [5.577044581430741, -5.6432229969610175, 84.39135496195954], 'normal': [-0.006277226819376929, 0.3149245888223703, -0.9490959381319253], 'radius': 1.1218898672004858}, 'confidence': 0.548665491087232, 'timestamp': 257435.020656, 'diameter_3d': 2.2437797344009716, 'ellipse': {'center': [200.97437899618518, 78.50732002667043], 'axes': [15.94788492489545, 16.53799859309554], 'angle': 74.07535651657179}, 'location': [200.97437899618518, 78.50732002667043], 'diameter': 16.53799859309554, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.8911735257342073, 'phi': -1.577410131616827, 'norm_pos': [0.6280449343630787, 0.6728861665555399], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.0801961,"{'circle_3d': {'center': [5.4995205799486095, -5.66882875058092, 84.3836665418417], 'normal': [-0.012737560276221195, 0.3127907760207116, -0.9497366398084105], 'radius': 1.151143640518169}, 'confidence': 0.3626320069279089, 'timestamp': 257435.029056, 'diameter_3d': 2.302287281036338, 'ellipse': {'center': [200.40927433534702, 78.31384835759908], 'axes': [16.384879785180587, 16.968081129138852], 'angle': 75.36338441259332}, 'location': [200.40927433534702, 78.31384835759908], 'diameter': 16.968081129138852, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.8889261526629166, 'phi': -1.5842071989357913, 'norm_pos': [0.6262789822979594, 0.6736922985100038], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.08773,"{'circle_3d': {'center': [5.534521944975511, -5.694545666551361, 84.37481358427061], 'normal': [-0.009820779857312736, 0.31064769968984124, -0.9504743862726678], 'radius': 1.12751498167227}, 'confidence': 0.35061948339194193, 'timestamp': 257435.037456, 'diameter_3d': 2.25502996334454, 'ellipse': {'center': [200.67031206384596, 78.12212963748395], 'axes': [16.05698317678711, 16.62316331127697], 'angle': 74.47803736430181}, 'location': [200.67031206384596, 78.12212963748395], 'diameter': 16.62316331127697, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.886670695920878, 'phi': -1.5811284625480095, 'norm_pos': [0.6270947251995186, 0.6744911265104836], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.095372,"{'circle_3d': {'center': [5.560845325029175, -5.492835198335026, 84.44248225533471], 'normal': [-0.007627164852840758, 0.3274569053745358, -0.9448353303506595], 'radius': 1.1066974702877035}, 'confidence': 0.3385637169997414, 'timestamp': 257435.045856, 'diameter_3d': 2.213394940575407, 'ellipse': {'center': [200.8307803319846, 79.63639616887654], 'axes': [15.660844655012275, 16.301964985412756], 'angle': 75.50137127073786}, 'location': [200.8307803319846, 79.63639616887654], 'diameter': 16.301964985412756, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9044071555002355, 'phi': -1.578868632031303, 'norm_pos': [0.6275961885374519, 0.6681816826296811], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401306.103808,"{'circle_3d': {'center': [5.473580779540626, -5.421026522734895, 84.46866729035898], 'normal': [-0.014899210310219825, 0.33344096167454684, -0.9426532440986374], 'radius': 1.127512551104793}, 'confidence': 0.37182870884653463, 'timestamp': 257435.054256, 'diameter_3d': 2.255025102209586, 'ellipse': {'center': [200.17843081768524, 80.17415319021362], 'axes': [15.927391396338454, 16.599640112286448], 'angle': 77.57860794846087}, 'location': [200.17843081768524, 80.17415319021362], 'diameter': 16.599640112286448, 'sphere': {'center': [5.652371303263264, -9.422318062829458, 95.78050621954263], 'radius': 12.0}, 'projected_sphere': {'center': [196.58855383360032, 59.008077639891184], 'axes': [155.3552031338497, 155.3552031338497], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9107473956479653, 'phi': -1.5866006216358248, 'norm_pos': [0.6255575963052664, 0.66594102837411], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
