eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1595228194.680277,"{'circle_3d': {'center': [89.3710274406733, -58.710710146023956, 409.43604416597566], 'normal': [-0.0007344879255861418, -0.4036316906604259, -0.9149212637282474], 'radius': 4.380450147969095}, 'confidence': 0.9934667772435787, 'timestamp': 243996.599514, 'diameter_3d': 8.76090029593819, 'ellipse': {'center': [295.3351534303306, 31.12021248910385], 'axes': [11.219973194822627, 13.446610195784428], 'angle': -75.61070119153071}, 'location': [295.3351534303306, 31.12021248910385], 'diameter': 13.446610195784428, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.155313538682937, 'phi': -1.5715991147471717, 'norm_pos': [0.9229223544697831, 0.8703324479620673], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.687972,"{'circle_3d': {'center': [88.82524634267725, -58.89706443568862, 409.53428214710385], 'normal': [-0.04621624609192471, -0.4191612147991483, -0.906734765300897], 'radius': 5.534405802809221}, 'confidence': 0.8006260503771679, 'timestamp': 243996.607914, 'diameter_3d': 11.068811605618443, 'ellipse': {'center': [294.48296516930566, 30.87500382930699], 'axes': [14.12257354812996, 17.030522168295104], 'angle': -80.69157003944993}, 'location': [294.48296516930566, 30.87500382930699], 'diameter': 17.030522168295104, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.138275065932078, 'phi': -1.621722229068898, 'norm_pos': [0.9202592661540802, 0.8713541507112209], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.69561,"{'circle_3d': {'center': [89.14758454976405, -58.60765059653411, 409.3935967139025], 'normal': [-0.019354728834690877, -0.3950433948696053, -0.9184585514010051], 'radius': 4.600731614555126}, 'confidence': 0.9681053639784103, 'timestamp': 243996.616314, 'diameter_3d': 9.201463229110251, 'ellipse': {'center': [295.0122832590067, 31.269178264585577], 'axes': [11.897815635400484, 14.136395727674074], 'angle': -77.38923783493857}, 'location': [295.0122832590067, 31.269178264585577], 'diameter': 14.136395727674074, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1646812392052857, 'phi': -1.5918662646738615, 'norm_pos': [0.921913385184396, 0.8697117572308934], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.7038422,"{'circle_3d': {'center': [89.08014070745406, -58.58029074363435, 409.38349500385374], 'normal': [-0.024975049027189427, -0.39276340712795893, -0.9193003605717376], 'radius': 4.823924046418979}, 'confidence': 0.9702955987007417, 'timestamp': 243996.624714, 'diameter_3d': 9.647848092837958, 'ellipse': {'center': [294.91429150538323, 31.310942579208103], 'axes': [12.50668032132236, 14.826607943034679], 'angle': -77.94731431726422}, 'location': [294.91429150538323, 31.310942579208103], 'diameter': 14.826607943034679, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1671617745655212, 'phi': -1.5979570985827014, 'norm_pos': [0.9216071609543226, 0.8695377392532996], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.711877,"{'circle_3d': {'center': [89.6148982382671, -58.69504803712593, 409.4316593281285], 'normal': [0.01958807854056392, -0.4023265149189238, -0.9152866668821751], 'radius': 4.024165475384533}, 'confidence': 0.9996446967808053, 'timestamp': 243996.633114, 'diameter_3d': 8.048330950769065, 'ellipse': {'center': [295.7043766660584, 31.139090008183842], 'axes': [10.271996175204194, 12.33959523267972], 'angle': -73.44583920174684}, 'location': [295.7043766660584, 31.139090008183842], 'diameter': 12.33959523267972, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1567396344272718, 'phi': -1.5493985619229074, 'norm_pos': [0.9240761770814325, 0.8702537916325673], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.720598,"{'circle_3d': {'center': [89.34683832945043, -58.61526908060344, 409.39447844403463], 'normal': [-0.002750247194158573, -0.39567826854205, -0.9183850738899977], 'radius': 4.483455453311447}, 'confidence': 0.988646966897353, 'timestamp': 243996.641514, 'diameter_3d': 8.966910906622894, 'ellipse': {'center': [295.3124182058805, 31.256529482492127], 'axes': [11.554119985574035, 13.763722863529729], 'angle': -75.62274665622321}, 'location': [295.3124182058805, 31.256529482492127], 'diameter': 13.763722863529729, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1639900516206911, 'phi': -1.5737909736494906, 'norm_pos': [0.9228513068933765, 0.8697644604896162], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.728373,"{'circle_3d': {'center': [89.5330651492318, -58.73417954900743, 409.4474947719716], 'normal': [0.012768654454288977, -0.4055874742423821, -0.9139670465619162], 'radius': 4.4758568748687555}, 'confidence': 0.7405759701521434, 'timestamp': 243996.649914, 'diameter_3d': 8.951713749737511, 'ellipse': {'center': [295.5759636385353, 31.08832493585794], 'axes': [11.41543481874467, 13.7298532715274], 'angle': -74.24960753605106}, 'location': [295.5759636385353, 31.08832493585794], 'diameter': 13.7298532715274, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.153174876482226, 'phi': -1.5568266504453674, 'norm_pos': [0.9236748863704228, 0.8704653127672586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.735668,"{'circle_3d': {'center': [89.20226585364966, -58.91300332967544, 409.5289784480865], 'normal': [-0.014797953510889148, -0.42048945596471665, -0.9071767402190084], 'radius': 4.7534151596727625}, 'confidence': 0.9862799187032373, 'timestamp': 243996.658314, 'diameter_3d': 9.506830319345525, 'ellipse': {'center': [295.05071931861755, 30.839314930247525], 'axes': [12.056594370446305, 14.60325080442065], 'angle': -77.47395924940481}, 'location': [295.05071931861755, 30.839314930247525], 'diameter': 14.60325080442065, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1368116082828734, 'phi': -1.5871069756052019, 'norm_pos': [0.9220334978706799, 0.871502854457302], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.743888,"{'circle_3d': {'center': [89.4476715996225, -58.654271937069076, 409.4115240133174], 'normal': [0.005652525320179841, -0.39892850658085305, -0.9169646097831012], 'radius': 4.293265717222357}, 'confidence': 0.9895298834664381, 'timestamp': 243996.666714, 'diameter_3d': 8.586531434444714, 'ellipse': {'center': [295.45877239488743, 31.19919163179391], 'axes': [11.019611274772705, 13.174170382648594], 'angle': -74.81407440453061}, 'location': [295.45877239488743, 31.19919163179391], 'diameter': 13.174170382648594, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1604482780555303, 'phi': -1.5646320172201713, 'norm_pos': [0.9233086637340232, 0.8700033682008588], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.756278,"{'circle_3d': {'center': [89.03140966783825, -58.88586089434594, 409.5205624343404], 'normal': [-0.029035968995173956, -0.4182275863539245, -0.9078780746978539], 'radius': 4.53647392489783}, 'confidence': 0.9807115367400759, 'timestamp': 243996.675114, 'diameter_3d': 9.07294784979566, 'ellipse': {'center': [294.7953947658309, 30.875804415042538], 'axes': [11.554337211329113, 13.947054190319971], 'angle': -78.89447146480505}, 'location': [294.7953947658309, 30.875804415042538], 'diameter': 13.947054190319971, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.139303147151989, 'phi': -1.6027676629612861, 'norm_pos': [0.9212356086432216, 0.8713508149373228], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.764092,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 243996.683514, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
