eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1595228194.680277,"{'circle_3d': {'center': [89.3710274406733, -58.710710146023956, 409.43604416597566], 'normal': [-0.0007344879255861418, -0.4036316906604259, -0.9149212637282474], 'radius': 4.380450147969095}, 'confidence': 0.9934667772435787, 'timestamp': 243996.599514, 'diameter_3d': 8.76090029593819, 'ellipse': {'center': [295.3351534303306, 31.12021248910385], 'axes': [11.219973194822627, 13.446610195784428], 'angle': -75.61070119153071}, 'location': [295.3351534303306, 31.12021248910385], 'diameter': 13.446610195784428, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.155313538682937, 'phi': -1.5715991147471717, 'norm_pos': [0.9229223544697831, 0.8703324479620673], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.772091,"{'circle_3d': {'center': [89.02434048775655, -58.85664156799275, 409.507377658783], 'normal': [-0.029625067335315385, -0.41579264249115905, -0.9089768059942989], 'radius': 4.422004618678578}, 'confidence': 0.9888795283685318, 'timestamp': 243996.691914, 'diameter_3d': 8.844009237357156, 'ellipse': {'center': [294.7887967396189, 30.915725242396988], 'axes': [11.28434991292106, 13.595485289846035], 'angle': -78.90759475263252}, 'location': [294.7887967396189, 30.915725242396988], 'diameter': 13.595485289846035, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.14198214385909, 'phi': -1.6033764591011186, 'norm_pos': [0.921214989811309, 0.8711844781566792], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.7797701,"{'circle_3d': {'center': [89.08967312706987, -58.7403453682553, 409.45300222179253], 'normal': [-0.024180680725872285, -0.4061012925130379, -0.9135080924101731], 'radius': 5.056177669531406}, 'confidence': 0.9649913975442223, 'timestamp': 243996.700314, 'diameter_3d': 10.112355339062812, 'ellipse': {'center': [294.90643903941407, 31.087299655786182], 'axes': [12.983377202924798, 15.540483456407905], 'angle': -78.14032789095761}, 'location': [294.90643903941407, 31.087299655786182], 'diameter': 15.540483456407905, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1526126765049982, 'phi': -1.5972602801601372, 'norm_pos': [0.921582621998169, 0.8704695847675575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.787838,"{'circle_3d': {'center': [89.34304556419777, -58.821317825341964, 409.48556742585424], 'normal': [-0.0030663109652142146, -0.4128489972702604, -0.9107943254050308], 'radius': 4.384583594691739}, 'confidence': 0.9925015529495421, 'timestamp': 243996.708714, 'diameter_3d': 8.769167189383477, 'ellipse': {'center': [295.27668981984414, 30.9639329917579], 'axes': [11.159947922198349, 13.461517431839532], 'angle': -76.08489317486256}, 'location': [295.27668981984414, 30.9639329917579], 'diameter': 13.461517431839532, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.145216455864251, 'phi': -1.5741629478804842, 'norm_pos': [0.9227396556870129, 0.8709836125343421], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.796038,"{'circle_3d': {'center': [89.27688747951447, -58.592225277178215, 409.38500985726466], 'normal': [-0.008579484688821927, -0.3937579515899476, -0.919174122787496], 'radius': 4.025863221227105}, 'confidence': 0.9931933209698276, 'timestamp': 243996.717114, 'diameter_3d': 8.05172644245421, 'ellipse': {'center': [295.20938191999835, 31.28439075891272], 'axes': [10.400496006048767, 12.362702374960755], 'angle': -76.20029452665919}, 'location': [295.20938191999835, 31.28439075891272], 'diameter': 12.362702374960755, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1660800742025859, 'phi': -1.5801299615609092, 'norm_pos': [0.9225293184999949, 0.8696483718378637], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.803561,"{'circle_3d': {'center': [89.44522902652677, -58.766220648028884, 409.4608931122481], 'normal': [0.005448977562202557, -0.4082575658275038, -0.9128505182055427], 'radius': 4.105015975005294}, 'confidence': 0.9962567698734821, 'timestamp': 243996.725514, 'diameter_3d': 8.210031950010588, 'ellipse': {'center': [295.43868341029855, 31.038737598888147], 'axes': [10.46562803428318, 12.597281071837518], 'angle': -75.0839083391522}, 'location': [295.43868341029855, 31.038737598888147], 'diameter': 12.597281071837518, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.150251830836056, 'phi': -1.5648272083718833, 'norm_pos': [0.923245885657183, 0.8706719266712994], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.812068,"{'circle_3d': {'center': [89.21363631439422, -58.46243155116598, 409.3310757718324], 'normal': [-0.013850415115510021, -0.3829418077555946, -0.9236686299068543], 'radius': 4.769012125727651}, 'confidence': 0.9757857815005566, 'timestamp': 243996.733914, 'diameter_3d': 9.538024251455303, 'ellipse': {'center': [295.1326615341716, 31.476926607537195], 'axes': [12.424889905215228, 14.648214249815386], 'angle': -76.51602514386784}, 'location': [295.1326615341716, 31.476926607537195], 'diameter': 14.648214249815386, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1778175653850507, 'phi': -1.5857902074115886, 'norm_pos': [0.9222895672942861, 0.8688461391352617], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.820054,"{'circle_3d': {'center': [88.95686860789105, -58.82725670513959, 409.496388977996], 'normal': [-0.03524772399077385, -0.4133439039200624, -0.9098925293932204], 'radius': 5.013268589985579}, 'confidence': 0.8665890528986429, 'timestamp': 243996.742314, 'diameter_3d': 10.026537179971157, 'ellipse': {'center': [294.6920341581215, 30.96495827866272], 'axes': [12.827741457087068, 15.417887927855004], 'angle': -79.44672682476806}, 'location': [294.6920341581215, 30.96495827866272], 'diameter': 15.417887927855004, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.144673012829133, 'phi': -1.6095153041561892, 'norm_pos': [0.9209126067441297, 0.870979340505572], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.827853,"{'circle_3d': {'center': [89.16181935264895, -58.7676631782019, 409.4635131619958], 'normal': [-0.018168495260948832, -0.40837777667525504, -0.9126321807265665], 'radius': 4.587332093175873}, 'confidence': 0.9864778559734187, 'timestamp': 243996.750714, 'diameter_3d': 9.174664186351746, 'ellipse': {'center': [295.0108471743605, 31.042526666187186], 'axes': [11.747816561550033, 14.095005825310016], 'angle': -77.55588101052054}, 'location': [295.0108471743605, 31.042526666187186], 'diameter': 14.095005825310016, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1501201419734677, 'phi': -1.5907014934477508, 'norm_pos': [0.9219088974198766, 0.8706561388908867], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.839605,"{'circle_3d': {'center': [89.23320247769786, -58.892415175447965, 409.5189989027511], 'normal': [-0.012219901506873519, -0.4187737764457602, -0.9080083689969597], 'radius': 4.822153451546258}, 'confidence': 0.983566745662785, 'timestamp': 243996.759114, 'diameter_3d': 9.644306903092517, 'ellipse': {'center': [295.10074689977637, 30.869094580629977], 'axes': [12.240980371984532, 14.812371260276494], 'angle': -77.17026202321092}, 'location': [295.10074689977637, 30.869094580629977], 'diameter': 14.812371260276494, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1387017595801483, 'phi': -1.5842534316699566, 'norm_pos': [0.9221898340618011, 0.8713787725807084], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.8479989,"{'circle_3d': {'center': [89.2670405756241, -58.778032364440456, 409.46656917499325], 'normal': [-0.009400060013020805, -0.4092418755284678, -0.9123775129767796], 'radius': 3.9940894051529656}, 'confidence': 0.9990025521052924, 'timestamp': 243996.767514, 'diameter_3d': 7.988178810305931, 'ellipse': {'center': [295.16770089483686, 31.020960943083296], 'axes': [10.205707673886957, 12.266515112589248], 'angle': -76.65701112675494}, 'location': [295.16770089483686, 31.020960943083296], 'diameter': 12.266515112589248, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1491733083648255, 'phi': -1.5810987808789752, 'norm_pos': [0.9223990652963652, 0.8707459960704863], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.8561878,"{'circle_3d': {'center': [89.06155657268224, -58.95979047470577, 409.5539988947964], 'normal': [-0.026523726924842388, -0.4243883847172439, -0.9050917029931856], 'radius': 4.6423690952338115}, 'confidence': 0.9897436868946738, 'timestamp': 243996.775914, 'diameter_3d': 9.284738190467623, 'ellipse': {'center': [294.83015987659843, 30.772725259664014], 'axes': [11.764211944636232, 14.270890672082947], 'angle': -78.7588292930161}, 'location': [294.83015987659843, 30.772725259664014], 'diameter': 14.270890672082947, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1325100077330958, 'phi': -1.6000929583184218, 'norm_pos': [0.9213442496143701, 0.8717803114180667], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.863755,"{'circle_3d': {'center': [89.21683764299647, -58.9506905206791, 409.54629807211], 'normal': [-0.013583637731989682, -0.42363005521502206, -0.9057334382170525], 'radius': 4.563954931522095}, 'confidence': 0.9945297369437062, 'timestamp': 243996.784314, 'diameter_3d': 9.12790986304419, 'ellipse': {'center': [295.0666863612181, 30.783849829856223], 'axes': [11.545784540016607, 14.020413101479422], 'angle': -77.42008383826237}, 'location': [295.0666863612181, 30.783849829856223], 'diameter': 14.020413101479422, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1333473322485264, 'phi': -1.5857925926695424, 'norm_pos': [0.9220833948788065, 0.8717339590422657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.87214,"{'circle_3d': {'center': [89.08846771254575, -58.78914886304597, 409.4748602862544], 'normal': [-0.024281131936216123, -0.41016825041226107, -0.9116865870383533], 'radius': 4.904313705073088}, 'confidence': 0.973123644821652, 'timestamp': 243996.792714, 'diameter_3d': 9.808627410146176, 'ellipse': {'center': [294.8971555441136, 31.01642668068409], 'axes': [12.55631217183674, 15.073953158067877], 'angle': -78.23554616296879}, 'location': [294.8971555441136, 31.01642668068409], 'diameter': 15.073953158067877, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1481577891554613, 'phi': -1.5974232330507203, 'norm_pos': [0.921553611075355, 0.870764888830483], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.880022,"{'circle_3d': {'center': [88.59632158847212, -59.72210179757112, 409.9697462751089], 'normal': [-0.06529330894235132, -0.4879143282893567, -0.8704460879671437], 'radius': 3.4948835316071247}, 'confidence': 0.033022627565669906, 'timestamp': 243996.801114, 'diameter_3d': 6.9897670632142495, 'ellipse': {'center': [293.98973229167837, 29.699409726977265], 'axes': [8.446222204320339, 10.762194115306253], 'angle': -83.61229239237636}, 'location': [293.98973229167837, 29.699409726977265], 'diameter': 10.762194115306253, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.0610975563607141, 'phi': -1.6456674299150809, 'norm_pos': [0.9187179134114949, 0.876252459470928], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.889138,"{'circle_3d': {'center': [89.19065311758617, -59.03207678856058, 409.58516253317305], 'normal': [-0.01576568151618043, -0.430412244205145, -0.902494733128466], 'radius': 4.217307281476206}, 'confidence': 0.7562456017615966, 'timestamp': 243996.809514, 'diameter_3d': 8.434614562952412, 'ellipse': {'center': [295.0138643349908, 30.665344841149462], 'axes': [10.617372861622876, 12.957138150999805], 'angle': -77.79228194589165}, 'location': [295.0138643349908, 30.665344841149462], 'diameter': 12.957138150999805, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1258468862967406, 'phi': -1.5882635512721546, 'norm_pos': [0.9219183260468462, 0.8722277298285439], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228194.897538,"{'circle_3d': {'center': [89.26240539157236, -59.226947520300286, 409.67924522233756], 'normal': [-0.009786325350664926, -0.44665147185012005, -0.8946545090314206], 'radius': 4.732172221987677}, 'confidence': 0.7016702277629425, 'timestamp': 243996.817914, 'diameter_3d': 9.464344443975355, 'ellipse': {'center': [295.0921789576089, 30.397846288971976], 'axes': [11.746662820813345, 14.53499243114378], 'angle': -77.55915625745175}, 'location': [295.0921789576089, 30.397846288971976], 'diameter': 14.53499243114378, 'sphere': {'center': [89.37984129578034, -53.86712985809884, 420.4150993307146], 'radius': 12.0}, 'projected_sphere': {'center': [291.8113970968294, 40.56036863283677], 'axes': [35.39359081937926, 35.39359081937926], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 243990.635514, 'theta': 1.1077770924681627, 'phi': -1.5817345548531505, 'norm_pos': [0.9221630592425278, 0.8733423071292834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
