onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.245	FIXA	0.3	0.1	0.2	0.0	0.161	27.569	4.327	5.877
0.245	0.045	SACC	0.3	-0.0	3.7	-1.8	3.853	152.424	101.053	89.503
0.290	1.555	PURS	3.8	-1.8	0.4	0.6	4.167	55.807	10.630	12.359
1.845	0.055	FIXA	0.4	0.6	0.3	0.5	0.181	17.666	6.006	6.327
1.900	4.600	PURS	0.4	0.5	-1.6	-0.4	2.133	62.457	14.058	16.289
