,apply,target,environment,block,subject,walklength,initial_contact_time,mean_error,std_error,max_angle_distance,maintain_total_frame,target_on_frame,target_on_rate,target_in_count,total_target_on_time,mean_target_on_time,longets_target_on_time,dwell_prior_count_0.1,dwell_success_frame_0.1,dwell_success_count_0.1,first_dwell_0.1,mean_angular_speed_0.1,dwell_prior_count_0.2,dwell_success_frame_0.2,dwell_success_count_0.2,first_dwell_0.2,mean_angular_speed_0.2,dwell_prior_count_0.3,dwell_success_frame_0.3,dwell_success_count_0.3,first_dwell_0.3,mean_angular_speed_0.3,dwell_prior_count_0.4,dwell_success_frame_0.4,dwell_success_count_0.4,first_dwell_0.4,mean_angular_speed_0.4,dwell_prior_count_0.5,dwell_success_frame_0.5,dwell_success_count_0.5,first_dwell_0.5,mean_angular_speed_0.5,dwell_prior_count_0.6,dwell_success_frame_0.6,dwell_success_count_0.6,first_dwell_0.6,mean_angular_speed_0.6,dwell_prior_count_0.7,dwell_success_frame_0.7,dwell_success_count_0.7,first_dwell_0.7,mean_angular_speed_0.7,dwell_prior_count_0.8,dwell_success_frame_0.8,dwell_success_count_0.8,first_dwell_0.8,mean_angular_speed_0.8,dwell_prior_count_0.9,dwell_success_frame_0.9,dwell_success_count_0.9,first_dwell_0.9,mean_angular_speed_0.9,dwell_prior_count_1.0,dwell_success_frame_1.0,dwell_success_count_1.0,first_dwell_1.0,mean_angular_speed_1.0,dwell_prior_count_1.1,dwell_success_frame_1.1,dwell_success_count_1.1,first_dwell_1.1,mean_angular_speed_1.1,dwell_prior_count_1.2,dwell_success_frame_1.2,dwell_success_count_1.2,first_dwell_1.2,mean_angular_speed_1.2,dwell_prior_count_1.3,dwell_success_frame_1.3,dwell_success_count_1.3,first_dwell_1.3,mean_angular_speed_1.3,dwell_prior_count_1.4,dwell_success_frame_1.4,dwell_success_count_1.4,first_dwell_1.4,mean_angular_speed_1.4,dwell_prior_count_1.5,dwell_success_frame_1.5,dwell_success_count_1.5,first_dwell_1.5,mean_angular_speed_1.5
0,default,0,U,1,1,5.697321001,0.7460900000000947,0.06137891283731433,0.5217482842356836,2.7614189556024824,345,151,43.768115942028984,16,2.2453799999996136,0.14033624999997585,0.36572000000001026,0.0,119.0,8.0,0.7634100000000217,10.309953243658295,0.0,101.0,6.0,0.7634100000000217,10.478112797281282,14.0,23.0,1.0,5.9589800000001105,10.287047133987675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,default,0,U,2,1,5.694772694,0.5656899999999041,0.02934366138978374,0.44947521485341907,2.4786977087331232,356,196,55.0561797752809,18,2.963720000000194,0.16465111111112188,1.0325900000000274,0.0,166.0,9.0,0.5815399999999045,10.112809937374394,0.0,128.0,5.0,0.5815399999999045,8.30931420694133,0.0,82.0,2.0,0.5815399999999045,6.433878627574428,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,0.0,63.0,1.0,0.5815399999999045,5.449076464134804,,,,,,,,,,,,,,,,,,,,,,,,,
2,default,0,U,3,1,5.235712336,0.6488000000001648,0.19421297179811756,0.4580217028235826,2.0191140134505776,351,169,48.148148148148145,17,2.5357999999996537,0.14916470588233258,0.9337100000000191,0.0,124.0,4.0,0.6648000000000138,10.299235916948987,0.0,124.0,4.0,0.6648000000000138,10.299235916948987,0.0,108.0,3.0,0.6648000000000138,10.18980422046748,0.0,89.0,2.0,0.6648000000000138,9.35147861453532,0.0,89.0,2.0,0.6648000000000138,9.35147861453532,0.0,57.0,1.0,0.6648000000000138,7.209166890508567,0.0,57.0,1.0,0.6648000000000138,7.209166890508567,0.0,57.0,1.0,0.6648000000000138,7.209166890508567,0.0,57.0,1.0,0.6648000000000138,7.209166890508567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,default,0,U,4,1,5.744287131,0.4323699999999917,0.021532297501235104,0.4609283112483273,1.8797680397376895,364,207,56.86813186813187,20,3.1195300000003954,0.15597650000001978,0.48253999999997177,0.0,183.0,12.0,0.4489699999999175,11.016037765576877,0.0,131.0,6.0,0.4489699999999175,10.704710065044651,0.0,114.0,5.0,0.4489699999999175,10.871797716936886,2.0,30.0,1.0,1.2653800000000501,7.226075679069732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,default,1,U,1,1,5.8324895,0.6326900000001388,0.5561407380445448,0.5935757798276332,2.2742582926489483,352,161,45.73863636363637,20,2.3479999999999563,0.11739999999999781,0.5826099999999315,1.0,119.0,7.0,1.1151400000001104,12.879353059879564,1.0,97.0,4.0,1.1151400000001104,11.17707893048254,1.0,68.0,2.0,1.1151400000001104,11.016747986438581,1.0,68.0,2.0,1.1151400000001104,11.016747986438581,1.0,68.0,2.0,1.1151400000001104,11.016747986438581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,default,1,U,2,1,5.736911927,0.582149999999956,0.14324682440434894,0.5581645875676372,2.8848413725373194,355,160,45.07042253521127,20,2.3306399999994483,0.11653199999997241,0.3823299999999108,1.0,126.0,11.0,0.8658399999999347,13.844183137017126,1.0,58.0,3.0,0.8658399999999347,10.671046695591336,2.0,45.0,2.0,1.2818599999998241,12.492023534889459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,default,1,U,3,1,5.9356423,0.7653900000000249,-0.12921650526527187,0.5327312873781452,2.1910090112178295,344,188,54.65116279069767,20,2.797749999999496,0.1398874999999748,0.38316999999983636,0.0,163.0,11.0,0.782720000000154,13.235079984032042,1.0,125.0,7.0,0.9659500000000207,14.190291943481862,1.0,68.0,3.0,0.9659500000000207,14.22974103150942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,default,1,U,4,1,5.544932299999999,0.6154799999999341,0.23846709411073744,0.6253885754400951,2.1981225675217257,353,162,45.892351274787536,21,2.350300000000061,0.11191904761905053,0.3487600000000839,0.0,135.0,12.0,0.6330599999998867,10.482203678968597,1.0,43.0,2.0,1.0499299999999039,9.584652295375875,1.0,43.0,2.0,1.0499299999999039,9.584652295375875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,default,2,U,1,1,5.71738777,0.49963000000002467,0.07144067020068673,0.5144951648255152,1.581160142490822,360,246,68.33333333333333,22,3.7269700000003922,0.1694077272727451,0.3999100000000908,1.0,209.0,13.0,0.6325600000000122,11.264031657453774,1.0,155.0,8.0,0.6325600000000122,9.228721335942872,5.0,72.0,3.0,1.7484099999999216,9.756104509676797,5.0,50.0,2.0,1.7484099999999216,9.338905193564596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,default,2,U,2,1,5.714757582000001,0.7694099999998798,0.06568814529020316,0.53313727820766,2.2353275731447435,349,183,52.43553008595988,21,2.696990000000369,0.1284280952381128,0.3325199999999313,0.0,160.0,11.0,0.7817399999998997,13.882043948285325,1.0,118.0,7.0,1.0156299999998737,12.829344807363835,3.0,21.0,1.0,1.431769999999915,7.757340028237942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
