subject,target,env,pos,block,total_time,frame_rate,start_time,num_over,dur_over,mean_over,sd_over,angular_diff_mean,angular_diff_sd,angular_max,angular_min,head_rotation_x_max,head_rotation_y_max,head_rotation_z_max,head_rotation_x_min,head_rotation_y_min,head_rotation_z_min,head_rotation_x_range,head_rotation_y_range,head_rotation_z_range
201,0,U,S,0,6.49410000000006,60.20849694337882,0.4998000000000502,1,5.99430000000001,5.99430000000001,0.0,0.35115431627777777,0.2764944941349246,1.2552299999999998,0.0,-2.569,1.565226,1.093685,-4.024078,0.2137906,0.3945422,1.4550780000000003,1.3514354,0.6991428
201,0,U,S,1,6.4938999999999965,60.21035125271412,0.6492000000000075,1,5.844699999999989,5.844699999999989,0.0,0.327060858034188,0.2469351419103861,1.401094,0.0,-2.131348,-0.5765380999999999,1.590054,-3.81665,-1.262573,1.1479409999999999,1.685302,0.6860349,0.4421130000000002
201,0,U,S,2,6.49369999999999,60.21220567627094,0.6322000000000116,2,5.694999999999936,2.847499999999968,2.231899999999996,0.7154752682670454,0.34857735101217646,2.294905,0.01978234,-2.45993,-0.9252319,1.8120720000000001,-4.601013,-3.274597,0.7714131,2.141083,2.3493651,1.0406589000000002
201,0,U,S,3,6.49389999999994,60.210351252714645,0.7662000000000262,1,5.727699999999913,5.727699999999913,0.0,0.4776760113081395,0.24558185671759844,1.271801,0.01978234,-2.186737,-1.496979,0.9998482,-3.7961730000000005,-2.220917,0.1351467,1.6094360000000005,0.723938,0.8647015
201,0,U,S,4,6.494299999999953,60.2066427482566,0.615799999999922,1,5.878500000000031,5.878500000000031,0.0,0.39474424555240784,0.3080600498782373,1.3040129999999999,0.01978234,-1.9301150000000002,-0.9048767,2.5530009999999996,-3.4019169999999996,-2.1078799999999998,1.160577,1.4718019999999994,1.2030032999999998,1.3924239999999997
201,0,U,W,0,6.496900000000011,60.182548600101484,0.4170000000000016,20,3.9003999999999053,0.19501999999999525,0.19331609244964415,1.3318565835616438,0.655110035904138,4.118085,0.1356209,-1.9635310000000001,3.3809519999999997,3.6102629999999998,-7.548126,-5.070496,-2.722534,5.584595,8.451448,6.332796999999999
201,0,U,W,1,6.495699999999999,60.193666579429475,0.601099999999974,20,2.892099999999914,0.1446049999999957,0.10698598728338415,1.4978229614689265,0.844091337696816,4.472951,0.07132626,-1.6405939999999999,4.190028,3.6624410000000003,-8.649719000000001,-3.7189330000000003,-1.62085,7.009125000000001,7.908961,5.283291
201,0,U,W,2,6.495199999999954,60.19830028328654,0.8654999999999973,18,3.8488000000002103,0.2138222222222339,0.229646621175421,1.1700451818639053,0.6305189933048854,3.4321080000000004,0.06255726,-1.9548029999999998,5.1801639999999995,2.907353,-6.106628,-4.435974,-1.8176880000000002,4.151825,9.616138,4.725041
201,0,U,W,3,6.494000000000028,60.20942408376937,0.4821000000000595,23,3.028099999999995,0.1316565217391302,0.10481114206488261,1.550685317728532,0.9164942134388557,5.273475,0.10653119999999999,-2.828339,3.0373900000000003,4.282355,-9.258301,-4.686523,-1.7173770000000002,6.429962,7.7239130000000005,5.999732
201,0,U,W,4,6.4956999999999425,60.19366657943,0.732599999999934,19,3.1173000000002276,0.16406842105264355,0.14270560440671362,1.5578898491329476,0.827491320387718,3.957205,0.1467098,-2.458191,7.003589999999999,3.467631,-7.393402,-0.3139038,-1.113434,4.935211000000001,7.317493799999999,4.581065
201,0,W,S,0,6.494999999999891,60.200153964589155,0.58199999999988,2,5.76299999999992,2.88149999999996,2.63149999999996,0.45365373369014084,0.30477558193415305,1.81456,0.01978234,-2.771973,-0.38900759999999995,0.16454520000000003,-5.117126,-2.2829900000000003,-0.9071959999999999,2.345153,1.8939824000000003,1.0717412
201,0,W,S,1,6.4930000000001655,60.21869705836902,0.7310000000002219,1,5.761999999999944,5.761999999999944,0.0,0.5708031884393063,0.29452125949075886,1.3379370000000002,0.1545051,-2.350677,-0.6098633000000001,0.9128973,-3.5733339999999996,-1.6177979999999998,0.2129672,1.2226569999999994,1.0079346999999999,0.6999301
201,0,W,S,2,6.494000000000369,60.20942408376621,0.5490000000002055,1,5.945000000000164,5.945000000000164,0.0,0.5281168829691877,0.302232473504604,1.295582,0.03956468,-2.684723,-0.09963989,-0.22866820000000002,-4.9773559999999994,-1.8285220000000002,-0.9389038000000001,2.2926329999999995,1.7288821100000002,0.7102356000000001
