eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656527.785011,"{'circle_3d': {'center': [1.262972970625135, -0.10204772324266909, 39.45675898904813], 'normal': [0.16769663159730516, -0.4677492445805651, -0.8678067088616154], 'radius': 1.2165846922138197}, 'confidence': 0.9998318662383359, 'timestamp': 3057.74147, 'diameter_3d': 2.4331693844276394, 'ellipse': {'center': [179.76446518667436, 118.63542232617084], 'axes': [32.921978543518584, 38.253482474794666], 'angle': -67.50716928391262}, 'location': [179.76446518667436, 118.63542232617084], 'diameter': 38.253482474794666, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9381744410491555, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0840537729531068, 'phi': -1.379907288508754, 'norm_pos': [0.5617639537083574, 0.5056857403076215], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.79315,"{'circle_3d': {'center': [1.27308398796879, -0.10371802896221105, 39.45961859410495], 'normal': [0.1685392163759431, -0.46788843672386027, -0.8675684084402134], 'radius': 1.2270156695119157}, 'confidence': 0.999731803257572, 'timestamp': 3057.74987, 'diameter_3d': 2.4540313390238313, 'ellipse': {'center': [179.92013945794514, 118.61337366243613], 'axes': [33.18915749424089, 38.57896912837072], 'angle': -67.40672718290296}, 'location': [179.92013945794514, 118.61337366243613], 'diameter': 38.57896912837072, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9383351076230895, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0838962844894264, 'phi': -1.3789200678149516, 'norm_pos': [0.5622504358060786, 0.5057776097398494], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.801357,"{'circle_3d': {'center': [1.2665924927245689, -0.10983920597234853, 39.46166275284141], 'normal': [0.16799825843892463, -0.4683985348080384, -0.8673980618788417], 'radius': 1.224935974847982}, 'confidence': 0.9998736565991876, 'timestamp': 3057.75827, 'diameter_3d': 2.449871949695964, 'ellipse': {'center': [179.8176804789444, 118.51663054909756], 'axes': [33.123692883473886, 38.51136838393078], 'angle': -67.50571466425923}, 'location': [179.8176804789444, 118.51663054909756], 'diameter': 38.51136838393078, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9385875535375066, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0833190234981027, 'phi': -1.3794843410015738, 'norm_pos': [0.5619302514967013, 0.5061807060454269], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.810665,"{'circle_3d': {'center': [1.2622250822484298, -0.10666852085604805, 39.459106399791594], 'normal': [0.16763430756591305, -0.4681343110483467, -0.8676110912996597], 'radius': 1.2203534013966606}, 'confidence': 0.9999276578840255, 'timestamp': 3057.76667, 'diameter_3d': 2.440706802793321, 'ellipse': {'center': [179.75109441023136, 118.5644942714723], 'axes': [33.01268248463819, 38.36967254010824], 'angle': -67.5373583956523}, 'location': [179.75109441023136, 118.5644942714723], 'diameter': 38.36967254010824, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9388723396231979, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0836180587543396, 'phi': -1.3799345355984969, 'norm_pos': [0.561722170031973, 0.5059812738688654], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.8169558,"{'circle_3d': {'center': [1.2707609740530397, -0.1070463139239779, 39.460963166856786], 'normal': [0.1683456318829639, -0.46816579380400747, -0.8674563607108944], 'radius': 1.2278674979031676}, 'confidence': 0.9998428756027338, 'timestamp': 3057.77507, 'diameter_3d': 2.4557349958063353, 'ellipse': {'center': [179.88295681804556, 118.56155730658395], 'axes': [33.20591510242587, 38.60436048911721], 'angle': -67.44763148867405}, 'location': [179.88295681804556, 118.56155730658395], 'diameter': 38.60436048911721, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.939099083843975, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0835824306302724, 'phi': -1.3791109420609193, 'norm_pos': [0.5621342400563923, 0.5059935112225669], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.824826,"{'circle_3d': {'center': [1.271281292407925, -0.10472800417307404, 39.459813288044735], 'normal': [0.168388991745871, -0.46797260132476554, -0.8675521839452316], 'radius': 1.2295977480725229}, 'confidence': 0.9998896167915643, 'timestamp': 3057.78347, 'diameter_3d': 2.4591954961450457, 'ellipse': {'center': [179.89144180661586, 118.59857004149649], 'axes': [33.25830099309652, 38.659931340338524], 'angle': -67.43089548310671}, 'location': [179.89144180661586, 118.59857004149649], 'diameter': 38.659931340338524, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9393535517725482, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0838010503757256, 'phi': -1.3790834339836566, 'norm_pos': [0.5621607556456746, 0.5058392914937646], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.832417,"{'circle_3d': {'center': [1.268035104428722, -0.10724786384397156, 39.460543306162606], 'normal': [0.1681184760809374, -0.46818258963067366, -0.8674913491020758], 'radius': 1.2297500639795431}, 'confidence': 0.9162328425556073, 'timestamp': 3057.79187, 'diameter_3d': 2.4595001279590862, 'ellipse': {'center': [179.84018817149627, 118.55914307410612], 'axes': [33.25924403524987, 38.66390949777894], 'angle': -67.47779832820044}, 'location': [179.84018817149627, 118.55914307410612], 'diameter': 38.66390949777894, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9394056160406339, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0835634230038873, 'phi': -1.3793708479662439, 'norm_pos': [0.5620005880359258, 0.5060035705245578], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.841228,"{'circle_3d': {'center': [1.2745089100342577, -0.1018703231428768, 39.45889920815341], 'normal': [0.16865795988139873, -0.4677344612389157, -0.8676283572695085], 'radius': 1.226910409144975}, 'confidence': 0.998266325282544, 'timestamp': 3057.80027, 'diameter_3d': 2.45382081828995, 'ellipse': {'center': [179.94284011136395, 118.64228707720643], 'axes': [33.189651098256036, 38.576410984895354], 'angle': -67.38255125869216}, 'location': [179.94284011136395, 118.64228707720643], 'diameter': 38.576410984895354, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9396528295191109, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0840704987421814, 'phi': -1.3788011225477868, 'norm_pos': [0.5623213753480123, 0.5056571371783065], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.8501198,"{'circle_3d': {'center': [1.2749908891003612, -0.1068185164478841, 39.461662001727504], 'normal': [0.16869812480357402, -0.46814681068099967, -0.8673981244716673], 'radius': 1.2340003136766342}, 'confidence': 0.9996977487820706, 'timestamp': 3057.80867, 'diameter_3d': 2.4680006273532684, 'ellipse': {'center': [179.94807246239978, 118.56757010112624], 'axes': [33.36788789761209, 38.79663731550216], 'angle': -67.401216018542}, 'location': [179.94807246239978, 118.56757010112624], 'diameter': 38.79663731550216, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9397788774345051, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0836039133620654, 'phi': -1.3787067872744703, 'norm_pos': [0.5623377264449994, 0.5059684579119741], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.8571048,"{'circle_3d': {'center': [1.272968486785914, -0.11038485990986313, 39.463194395003896], 'normal': [0.16852959127737008, -0.468444005969498, -0.8672704250319686], 'radius': 1.231522332872322}, 'confidence': 0.9999201146334261, 'timestamp': 3057.81707, 'diameter_3d': 2.463044665744644, 'ellipse': {'center': [179.91596182260758, 118.51070513285299], 'axes': [33.293578543542516, 38.71713042827612], 'angle': -67.44003034149483}, 'location': [179.91596182260758, 118.51070513285299], 'diameter': 38.71713042827612, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.9400453502336648, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0832675567276935, 'phi': -1.378866442851094, 'norm_pos': [0.5622373806956487, 0.5062053952797791], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656527.869719,"{'circle_3d': {'center': [1.2772425067554671, -0.09848542537922889, 39.457606797496354], 'normal': [0.16888575960816615, -0.4674523864252784, -0.8677360581575971], 'radius': 1.23517813012379}, 'confidence': 0.9995265724364204, 'timestamp': 3057.82547, 'diameter_3d': 2.47035626024758, 'ellipse': {'center': [179.98519752122786, 118.69861875302338], 'axes': [33.419434551142615, 38.83779227474304], 'angle': -67.33687510412129}, 'location': [179.98519752122786, 118.69861875302338], 'diameter': 38.83779227474304, 'sphere': {'center': [-0.749386608542527, 5.510943211724112, 49.870439495387515], 'radius': 12.0}, 'projected_sphere': {'center': [150.6834649544378, 188.51322799320758], 'axes': [298.37314751108704, 298.37314751108704], 'angle': 90.0}, 'model_confidence': 0.940059201070087, 'model_id': 1, 'model_birth_timestamp': 3052.524638, 'theta': 1.0843896082390159, 'phi': -1.3785714182775415, 'norm_pos': [0.562453742253837, 0.5054224218624026], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
