eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656485.581784,"{'circle_3d': {'center': [2.9683898349865507, -0.2860360053710327, 86.55395513453323], 'normal': [-0.21984801878862179, 0.47899245868026163, -0.8498429697080254], 'radius': 2.8728930352711415}, 'confidence': 0.5806139068399842, 'timestamp': 3015.531388, 'diameter_3d': 5.745786070542283, 'ellipse': {'center': [181.397224886361, 117.67231466533022], 'axes': [35.347537657086285, 41.18361439546907], 'angle': -68.28341311169194}, 'location': [181.397224886361, 117.67231466533022], 'diameter': 41.18361439546907, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 2.07030290133527, 'phi': -1.8239393042594896, 'norm_pos': [0.5668663277698781, 0.5096986888944575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.5921762,"{'circle_3d': {'center': [0.32148905983828335, -2.7115118975580703, 86.50368572793049], 'normal': [-0.44042308338431085, 0.27686946766467524, -0.8540320869249209], 'radius': 15.467610643654977}, 'confidence': 0.004585058271389394, 'timestamp': 3015.539788, 'diameter_3d': 30.935221287309954, 'ellipse': {'center': [169.84553209545075, 95.66792496007628], 'axes': [193.25382927533974, 222.76254430661103], 'angle': -29.57353765487723}, 'location': [169.84553209545075, 95.66792496007628], 'diameter': 222.76254430661103, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.8513310083621006, 'phi': -2.046923734166732, 'norm_pos': [0.5307672877982836, 0.6013836459996822], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.59726,"{'circle_3d': {'center': [0.1733269268831661, -3.581517558266862, 86.33739316385798], 'normal': [-0.4527699277972372, 0.20436899593894253, -0.8678898005976295], 'radius': 16.069489884725463}, 'confidence': 0.014585630312139318, 'timestamp': 3015.548188, 'diameter_3d': 32.13897976945093, 'ellipse': {'center': [169.76814252214558, 90.21646734270713], 'axes': [204.06170527467455, 231.96237298731947], 'angle': -20.16561674376445}, 'location': [169.76814252214558, 90.21646734270713], 'diameter': 231.96237298731947, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.7766153813972752, 'phi': -2.0516454388818843, 'norm_pos': [0.530525445381705, 0.6240980527387203], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.604985,"{'circle_3d': {'center': [2.98189226730058, -0.2922373636084288, 86.5469801273084], 'normal': [-0.218722816095786, 0.4784756788271453, -0.8504242203100941], 'radius': 2.8412524930635286}, 'confidence': 0.7845662668544536, 'timestamp': 3015.556588, 'diameter_3d': 5.682504986127057, 'ellipse': {'center': [181.49220007329862, 117.63388580567357], 'axes': [34.985455188276276, 40.73335340197174], 'angle': -68.39362888970253}, 'location': [181.49220007329862, 117.63388580567357], 'diameter': 40.73335340197174, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 2.0697142869442287, 'phi': -1.8225329554745247, 'norm_pos': [0.5671631252290582, 0.5098588091430267], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.617599,"{'circle_3d': {'center': [0.2152783350125178, -3.3397041718426235, 86.37541040866722], 'normal': [-0.44927397711979095, 0.2245201114742956, -0.8647216968635257], 'radius': 15.248672568256548}, 'confidence': 0.013866584412577616, 'timestamp': 3015.564988, 'diameter_3d': 30.497345136513097, 'ellipse': {'center': [169.12393576203343, 92.05650068021257], 'axes': [192.83852121320555, 219.91061531444365], 'angle': -22.87291695577133}, 'location': [169.12393576203343, 92.05650068021257], 'diameter': 219.91061531444365, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.7972468736802634, 'phi': -2.049968455078624, 'norm_pos': [0.5285122992563545, 0.6164312471657809], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.625081,"{'circle_3d': {'center': [-1.6397336578009636, -3.706638127893317, 87.47442124409461], 'normal': [-0.603858309854248, 0.19394228180340461, -0.7731374605779103], 'radius': 15.77218845137119}, 'confidence': 0.015868338658939152, 'timestamp': 3015.573388, 'diameter_3d': 31.54437690274238, 'ellipse': {'center': [157.75894861280528, 90.3176326412189], 'axes': [174.2576792575509, 225.29924584745507], 'angle': -14.553983400249656}, 'location': [157.75894861280528, 90.3176326412189], 'diameter': 225.29924584745507, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.765975471964547, 'phi': -2.2338745456226112, 'norm_pos': [0.4929967144150165, 0.6236765306615879], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.633146,"{'circle_3d': {'center': [2.9953874896381, -0.31597207669398486, 86.53020566271069], 'normal': [-0.21759821423432602, 0.47649778607001564, -0.8518220923599047], 'radius': 2.8541272194975624}, 'confidence': 0.6861247611788417, 'timestamp': 3015.581788, 'diameter_3d': 5.708254438995125, 'ellipse': {'center': [181.5938092266756, 117.46147489117018], 'axes': [35.212850299197086, 40.9259471579794], 'angle': -68.44172261439569}, 'location': [181.5938092266756, 117.46147489117018], 'diameter': 40.9259471579794, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 2.067463199026486, 'phi': -1.8208980749284271, 'norm_pos': [0.5674806538333612, 0.5105771879534575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.641068,"{'circle_3d': {'center': [0.5757336292196262, -2.6806499387632226, 86.38644807560364], 'normal': [-0.41923603593586556, 0.27944129756424585, -0.8638018912854917], 'radius': 15.015608397411185}, 'confidence': 0.02190325002353564, 'timestamp': 3015.590188, 'diameter_3d': 30.03121679482237, 'ellipse': {'center': [171.00001628859695, 96.05560731414243], 'axes': [190.05719954961876, 216.42619901360933], 'angle': -31.221955567802844}, 'location': [171.00001628859695, 96.05560731414243], 'diameter': 216.42619901360933, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.854008503652235, 'phi': -2.022645829611678, 'norm_pos': [0.5343750509018654, 0.5997683028577399], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.650246,"{'circle_3d': {'center': [-0.7511374722660289, -1.9443335619286763, 87.43248494825328], 'normal': [-0.5298086277263369, 0.3408009956337914, -0.7766321518980219], 'radius': 15.435070985669363}, 'confidence': 0.01452232457465825, 'timestamp': 3015.598588, 'diameter_3d': 30.870141971338725, 'ellipse': {'center': [162.65696484931013, 100.86144757394155], 'axes': [172.76012585657355, 220.33497143642907], 'angle': -31.02405745495671}, 'location': [162.65696484931013, 100.86144757394155], 'diameter': 220.33497143642907, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.9185650931316365, 'phi': -2.169467188559849, 'norm_pos': [0.5083030151540942, 0.5797439684419102], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.659188,"{'circle_3d': {'center': [-2.6111963300326746, -4.917920030202082, 88.07895896366479], 'normal': [-0.684813532540224, 0.09300212327767418, -0.7227593172803958], 'radius': 16.089125151284737}, 'confidence': 0.01938304441395463, 'timestamp': 3015.606988, 'diameter_3d': 32.178250302569474, 'ellipse': {'center': [151.72707068689547, 83.40833501875618], 'axes': [162.60221588929812, 228.72915380906105], 'angle': -4.3228180672671455}, 'location': [151.72707068689547, 83.40833501875618], 'diameter': 228.72915380906105, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 1.6639330432832462, 'phi': -2.3292427083509275, 'norm_pos': [0.47414709589654835, 0.6524652707551826], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656485.665308,"{'circle_3d': {'center': [2.9766139000879615, -0.3427462143009379, 86.52008160879213], 'normal': [-0.2191626800301709, 0.47426660793610287, -0.8526657635197838], 'radius': 2.845255082091705}, 'confidence': 0.21079322955790245, 'timestamp': 3015.615388, 'diameter_3d': 5.69051016418341, 'ellipse': {'center': [181.4619491848087, 117.271941802597], 'axes': [35.148166400920225, 40.802941547473274], 'angle': -68.15926565507499}, 'location': [181.4619491848087, 117.271941802597], 'diameter': 40.802941547473274, 'sphere': {'center': [5.606566060450012, -6.033945509534172, 96.75207077102954], 'radius': 12.0}, 'projected_sphere': {'center': [195.92761301931583, 81.33368323697556], 'axes': [153.7951578857113, 153.7951578857113], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3006.039478, 'theta': 2.064927132266024, 'phi': -1.8223826370342475, 'norm_pos': [0.5670685912025272, 0.5113669091558458], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
