eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581654268.0685,"{'circle_3d': {'center': [-4.141060251751423, -3.4906529798965913, 63.084179763355685], 'normal': [-0.40248625869449217, -0.044153368900494296, -0.9143605916578247], 'radius': 2.490510236482723}, 'confidence': 0.2686667862594892, 'timestamp': 798.023588, 'diameter_3d': 4.981020472965446, 'ellipse': {'center': [119.64640666408012, 85.72363663578787], 'axes': [43.32238327713849, 49.00273096725508], 'angle': 10.772711676437403}, 'location': [119.64640666408012, 85.72363663578787], 'diameter': 49.00273096725508, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.526628598981473, 'phi': -1.9854567564355716, 'norm_pos': [0.3738950208252504, 0.6428181806842173], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.0761862,"{'circle_3d': {'center': [-4.140089960684517, -3.6068240480447704, 63.08997898230299], 'normal': [-0.4024054011055834, -0.0538342912461759, -0.9138773234122163], 'radius': 2.4855234907906287}, 'confidence': 0.32464091202060874, 'timestamp': 798.031988, 'diameter_3d': 4.9710469815812575, 'ellipse': {'center': [119.65792761016598, 84.59318004658398], 'axes': [43.17773395761249, 48.900182151444], 'angle': 12.109528343880035}, 'location': [119.65792761016598, 84.59318004658398], 'diameter': 48.900182151444, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5169359984405986, 'phi': -1.9855776252496877, 'norm_pos': [0.3739310237817687, 0.6475284164725668], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.086366,"{'circle_3d': {'center': [-4.144006073311429, -3.4749453778906396, 63.08472961611322], 'normal': [-0.4027317438244928, -0.042844402066665004, -0.9143147705946968], 'radius': 2.497433909807813}, 'confidence': 0.2473141278362255, 'timestamp': 798.040388, 'diameter_3d': 4.994867819615626, 'ellipse': {'center': [119.61991437213608, 85.87734881688537], 'axes': [43.4426472777658, 49.138557826065416], 'angle': 10.584318419776494}, 'location': [119.61991437213608, 85.87734881688537], 'diameter': 49.138557826065416, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.527938806052519, 'phi': -1.9857001213031615, 'norm_pos': [0.37381223241292527, 0.6421777132629776], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.094141,"{'circle_3d': {'center': [-4.142920110566055, -3.601013647284756, 63.090884840670206], 'normal': [-0.4026412469290448, -0.053350091182841355, -0.9138018352149477], 'radius': 2.4756559160338467}, 'confidence': 0.2982120405626613, 'timestamp': 798.048788, 'diameter_3d': 4.951311832067693, 'ellipse': {'center': [119.62812796740309, 84.65006450247981], 'axes': [43.00192765469317, 48.70530146385619], 'angle': 12.035519526543428}, 'location': [119.62812796740309, 84.65006450247981], 'diameter': 48.70530146385619, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5174208953512067, 'phi': -1.9858242445959888, 'norm_pos': [0.37383789989813465, 0.6472913979063342], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.103107,"{'circle_3d': {'center': [-4.14455596464279, -3.588975393593505, 63.09090953993555], 'normal': [-0.40277756810210624, -0.05234690337523712, -0.913799776942836], 'radius': 2.478789820580112}, 'confidence': 0.2631968355700487, 'timestamp': 798.057188, 'diameter_3d': 4.957579641160224, 'ellipse': {'center': [119.61304616304194, 84.76762675798302], 'axes': [43.05860815472986, 48.76694965359843], 'angle': 11.893556038927212}, 'location': [119.61304616304194, 84.76762675798302], 'diameter': 48.76694965359843, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5184254870763711, 'phi': -1.9859499951281738, 'norm_pos': [0.37379076925950605, 0.6468015551750708], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.108555,"{'circle_3d': {'center': [-4.145997749958555, -3.586841498656667, 63.091423113408354], 'normal': [-0.40289771687841974, -0.05216907879716724, -0.9137569791534353], 'radius': 2.4890719845337714}, 'confidence': 0.2828112232076727, 'timestamp': 798.065588, 'diameter_3d': 4.978143969067543, 'ellipse': {'center': [119.60212812606426, 84.78903130160687], 'axes': [43.23462698124367, 48.968893414100336], 'angle': 11.865397654206095}, 'location': [119.60212812606426, 84.78903130160687], 'diameter': 48.968893414100336, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.51860355496349, 'phi': -1.9860773728997148, 'norm_pos': [0.3737566503939508, 0.646712369576638], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.116142,"{'circle_3d': {'center': [-4.147457315591154, -3.584700725030849, 63.09194476691232], 'normal': [-0.40301934734780304, -0.05199068099501575, -0.9137135080281048], 'radius': 2.485882890232517}, 'confidence': 0.29009046744084416, 'timestamp': 798.073988, 'diameter_3d': 4.971765780465034, 'ellipse': {'center': [119.58731439234991, 84.81010670118874], 'axes': [43.17647890473409, 48.90573401171887], 'angle': 11.837068599420041}, 'location': [119.58731439234991, 84.81010670118874], 'diameter': 48.90573401171887, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.518782195194568, 'phi': -1.9862063779106092, 'norm_pos': [0.3737103574760935, 0.6466245554117136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.127671,"{'circle_3d': {'center': [-4.148934657474881, -3.5825530725926202, 63.09247451093002], 'normal': [-0.4031424591714469, -0.051811709958496696, -0.9136693626932967], 'radius': 2.493666154685947}, 'confidence': 0.26853769226544066, 'timestamp': 798.082388, 'diameter_3d': 4.987332309371894, 'ellipse': {'center': [119.57537469762892, 84.83157720345442], 'axes': [43.30895123850087, 49.058487065373605], 'angle': 11.808671251349356}, 'location': [119.57537469762892, 84.83157720345442], 'diameter': 49.058487065373605, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5189614077696096, 'phi': -1.9863370101608615, 'norm_pos': [0.3736730459300904, 0.6465350949856066], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.135753,"{'circle_3d': {'center': [-4.150429592449487, -3.5803987981206147, 63.09301229152874], 'normal': [-0.4032670370859976, -0.051632187085829596, -0.913624547643404], 'radius': 2.4918696701959617}, 'confidence': 0.23428665048620154, 'timestamp': 798.090787, 'diameter_3d': 4.9837393403919235, 'ellipse': {'center': [119.560610776759, 84.85283334960104], 'axes': [43.274907359969504, 49.022719417201145], 'angle': 11.780123517690356}, 'location': [119.560610776759, 84.85283334960104], 'diameter': 49.022719417201145, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5191411712515797, 'phi': -1.986469253808443, 'norm_pos': [0.3736269086773719, 0.6464465277099957], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.145451,"{'circle_3d': {'center': [-3.585713000793114, -4.056979917496, 62.8973325792554], 'normal': [-0.35620732111463316, -0.09134728036711172, -0.9299311903328488], 'radius': 2.481792914198651}, 'confidence': 0.23218032288675045, 'timestamp': 798.099187, 'diameter_3d': 4.963585828397302, 'ellipse': {'center': [124.96680535362441, 80.08258898323665], 'axes': [44.18906458380164, 48.974732901516084], 'angle': 19.350170980078996}, 'location': [124.96680535362441, 80.08258898323665], 'diameter': 48.974732901516084, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.4793215284464079, 'phi': -1.9366031403436883, 'norm_pos': [0.39052126673007626, 0.6663225459031806], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.1526568,"{'circle_3d': {'center': [-4.082457991409907, -3.5427895469204738, 63.06120605212754], 'normal': [-0.3976027369993659, -0.048498082819151175, -0.9162750675935037], 'radius': 2.497997782459222}, 'confidence': 0.30859309701448007, 'timestamp': 798.107587, 'diameter_3d': 4.995995564918444, 'ellipse': {'center': [120.2068326789686, 85.2027633182022], 'axes': [43.58183106201965, 49.16790569494747], 'angle': 11.52354244041255}, 'location': [120.2068326789686, 85.2027633182022], 'diameter': 49.16790569494747, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5222792120588486, 'phi': -1.9802095967103543, 'norm_pos': [0.3756463521217769, 0.6449884861741575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
