eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581654268.0685,"{'circle_3d': {'center': [-4.141060251751423, -3.4906529798965913, 63.084179763355685], 'normal': [-0.40248625869449217, -0.044153368900494296, -0.9143605916578247], 'radius': 2.490510236482723}, 'confidence': 0.2686667862594892, 'timestamp': 798.023588, 'diameter_3d': 4.981020472965446, 'ellipse': {'center': [119.64640666408012, 85.72363663578787], 'axes': [43.32238327713849, 49.00273096725508], 'angle': 10.772711676437403}, 'location': [119.64640666408012, 85.72363663578787], 'diameter': 49.00273096725508, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.526628598981473, 'phi': -1.9854567564355716, 'norm_pos': [0.3738950208252504, 0.6428181806842173], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.1609411,"{'circle_3d': {'center': [-4.047534511102237, -3.460426693776267, 63.04207272790248], 'normal': [-0.39469244697372663, -0.04163451172380061, -0.917869511278925], 'radius': 2.4925678682009464}, 'confidence': 0.3087876978177249, 'timestamp': 798.115987, 'diameter_3d': 4.985135736401893, 'ellipse': {'center': [120.53511357607987, 85.99640058861591], 'axes': [43.61930732963433, 49.07573777816288], 'angle': 10.647715216062814}, 'location': [120.53511357607987, 85.99640058861591], 'diameter': 49.07573777816288, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5291497772422673, 'phi': -1.9769022531007427, 'norm_pos': [0.37667222992524957, 0.6416816642141003], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.168023,"{'circle_3d': {'center': [-4.0474546167286585, -3.466597254312312, 63.04232000038772], 'normal': [-0.39468578910926183, -0.04214872510180434, -0.9178489052384885], 'radius': 2.493864170636901}, 'confidence': 0.30177794531943164, 'timestamp': 798.124387, 'diameter_3d': 4.987728341273802, 'ellipse': {'center': [120.53639212575038, 85.93631854637864], 'axes': [43.63928539475932, 49.10108018913988], 'angle': 10.720597207680868}, 'location': [120.53639212575038, 85.93631854637864], 'diameter': 49.10108018913988, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5286351120653183, 'phi': -1.9769042786532547, 'norm_pos': [0.37667622539296997, 0.6419320060567557], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.176198,"{'circle_3d': {'center': [-4.047550229266518, -3.4628368542442876, 63.04218907592842], 'normal': [-0.39469375682075003, -0.04183535842946898, -0.9178598156100967], 'radius': 2.497041522045552}, 'confidence': 0.3219378704417123, 'timestamp': 798.132787, 'diameter_3d': 4.994083044091104, 'ellipse': {'center': [120.53625444115605, 85.97303531646881], 'axes': [43.696450568279964, 49.16375243630097], 'angle': 10.676088644290308}, 'location': [120.53625444115605, 85.97303531646881], 'diameter': 49.16375243630097, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5289487553895433, 'phi': -1.9769072909516487, 'norm_pos': [0.37667579512861266, 0.6417790195147133], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.1838028,"{'circle_3d': {'center': [-4.047656483925959, -3.4590618614258117, 63.04206335387134], 'normal': [-0.39470261137570345, -0.041520775694595995, -0.9178702924481864], 'radius': 2.501707927451381}, 'confidence': 0.3350054416697025, 'timestamp': 798.141187, 'diameter_3d': 5.003415854902762, 'ellipse': {'center': [120.53642645358786, 86.00993041464557], 'axes': [43.77966208792879, 49.25574597720566], 'angle': 10.631376822686798}, 'location': [120.53642645358786, 86.00993041464557], 'diameter': 49.25574597720566, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.529263611706939, 'phi': -1.9769112899959247, 'norm_pos': [0.3766763326674621, 0.6416252899389768], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.192296,"{'circle_3d': {'center': [-4.047773375639824, -3.455272275657986, 63.04194284716239], 'normal': [-0.3947123523518589, -0.041204976880610526, -0.9178803346739325], 'radius': 2.4923999668464067}, 'confidence': 0.3499760013612238, 'timestamp': 798.149587, 'diameter_3d': 4.9847999336928135, 'ellipse': {'center': [120.53266028034184, 86.04665078617103], 'axes': [43.6181715416499, 49.072527582544154], 'angle': 10.586394842355121}, 'location': [120.53266028034184, 86.04665078617103], 'diameter': 49.072527582544154, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5295796810175137, 'phi': -1.9769162757860823, 'norm_pos': [0.37666456337606824, 0.641472288390954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.2003741,"{'circle_3d': {'center': [-4.047900899302682, -3.4514680967485587, 63.04182756882703], 'normal': [-0.3947229793237639, -0.04088796197149159, -0.9178899412018793], 'radius': 2.4997193527266566}, 'confidence': 0.3215770007231882, 'timestamp': 798.157987, 'diameter_3d': 4.999438705453313, 'ellipse': {'center': [120.53335708747322, 86.08389518421365], 'axes': [43.74778063880905, 49.216760273568255], 'angle': 10.541275590447638}, 'location': [120.53335708747322, 86.08389518421365], 'diameter': 49.216760273568255, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5298969633212633, 'phi': -1.976922248322122, 'norm_pos': [0.37666674089835384, 0.6413171033991099], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.212915,"{'circle_3d': {'center': [-4.048039049770693, -3.4476493245118496, 63.04171753197021], 'normal': [-0.3947344918627646, -0.04056973095176582, -0.9178991109399477], 'radius': 2.5014739846605867}, 'confidence': 0.341857756099382, 'timestamp': 798.166387, 'diameter_3d': 5.002947969321173, 'ellipse': {'center': [120.53242706037685, 86.1211576766166], 'axes': [43.779928969274366, 49.25139798710522], 'angle': 10.495923080605762}, 'location': [120.53242706037685, 86.1211576766166], 'diameter': 49.25139798710522, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5302154586181835, 'phi': -1.976929207604043, 'norm_pos': [0.37666383456367764, 0.6411618430140975], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.220157,"{'circle_3d': {'center': [-4.048187821861485, -3.443815958768681, 63.04161274977631], 'normal': [-0.39474688953699744, -0.040250283806501794, -0.9179078427894392], 'radius': 2.491505237791226}, 'confidence': 0.31576310641015787, 'timestamp': 798.174787, 'diameter_3d': 4.983010475582452, 'ellipse': {'center': [120.52817758799993, 86.1583057168599], 'axes': [43.606764239877656, 49.05515287279729], 'angle': 10.45031075128011}, 'location': [120.52817758799993, 86.1583057168599], 'diameter': 49.05515287279729, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.530535166908283, 'phi': -1.9769371536318452, 'norm_pos': [0.3766505549624998, 0.6410070595130837], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.2286358,"{'circle_3d': {'center': [-4.048347210354055, -3.439967999346824, 63.04151323550912], 'normal': [-0.3947601719113782, -0.03992962052134704, -0.9179161356450383], 'radius': 2.4952605730363735}, 'confidence': 0.31528297108621295, 'timestamp': 798.183187, 'diameter_3d': 4.990521146072747, 'ellipse': {'center': [120.52759338233469, 86.19590353948121], 'axes': [43.67388642954129, 49.12918370855642], 'angle': 10.404549192876027}, 'location': [120.52759338233469, 86.19590353948121], 'diameter': 49.12918370855642, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.530856088191553, 'phi': -1.9769460864055295, 'norm_pos': [0.37664872931979587, 0.6408504019188284], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.2363431,"{'circle_3d': {'center': [-4.048517209988591, -3.4361054460806706, 63.04141900251173], 'normal': [-0.3947743385475895, -0.0396077410825009, -0.9179239883948207], 'radius': 2.5013883398031234}, 'confidence': 0.2871573844535731, 'timestamp': 798.191587, 'diameter_3d': 5.002776679606247, 'ellipse': {'center': [120.5275625514468, 86.23369661286958], 'axes': [43.78252937734388, 49.24993324060853], 'angle': 10.358589449055756}, 'location': [120.5275625514468, 86.23369661286958], 'diameter': 49.24993324060853, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5311782224680022, 'phi': -1.9769560059250955, 'norm_pos': [0.3766486329732713, 0.64069293077971], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.2444968,"{'circle_3d': {'center': [-3.5906175542531598, -4.030926212314486, 62.89668350511975], 'normal': [-0.3566160339029702, -0.08917613826865217, -0.9299852798441521], 'radius': 2.49643052195344}, 'confidence': 0.2783115916627137, 'timestamp': 798.199987, 'diameter_3d': 4.99286104390688, 'ellipse': {'center': [124.92218256934119, 80.33796458685143], 'axes': [44.45904405753444, 49.264205292542606], 'angle': 19.015023550581446}, 'location': [124.92218256934119, 80.33796458685143], 'diameter': 49.264205292542606, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.4815015697376217, 'phi': -1.9369669121905433, 'norm_pos': [0.39038182052919124, 0.665258480888119], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.252573,"{'circle_3d': {'center': [-3.9679145687360915, -3.5066159996115753, 63.01036082804139], 'normal': [-0.3880574517765478, -0.045483620543409625, -0.9205121696006823], 'radius': 2.475535028132521}, 'confidence': 0.36538628443934373, 'timestamp': 798.208387, 'diameter_3d': 4.951070056265042, 'ellipse': {'center': [121.28982837823355, 85.52806483198174], 'axes': [43.503237347908666, 48.76469203639624], 'angle': 11.396796951572183}, 'location': [121.28982837823355, 85.52806483198174], 'diameter': 48.76469203639624, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5252970091868858, 'phi': -1.969755508551045, 'norm_pos': [0.3790307136819798, 0.6436330632000761], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.260243,"{'circle_3d': {'center': [-4.048789177857961, -3.5439992457333025, 63.046721200531096], 'normal': [-0.39479700253670363, -0.04859889105355355, -0.9174821385598735], 'radius': 2.5061529492333587}, 'confidence': 0.3209252181752708, 'timestamp': 798.216787, 'diameter_3d': 5.0123058984667175, 'ellipse': {'center': [120.52928932715207, 85.18337086224253], 'axes': [43.81222692736699, 49.339717928782555], 'angle': 11.625661779770748}, 'location': [120.52928932715207, 85.18337086224253], 'diameter': 49.339717928782555, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.522178284813719, 'phi': -1.9771516251903831, 'norm_pos': [0.37665402914735024, 0.6450692880739894], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.267984,"{'circle_3d': {'center': [-4.039842590975351, -3.541719213324091, 63.04275525334948], 'normal': [-0.3940514536298195, -0.048408888352785936, -0.9178126341583416], 'radius': 2.4955306614919266}, 'confidence': 0.32905352642289254, 'timestamp': 798.225187, 'diameter_3d': 4.991061322983853, 'ellipse': {'center': [120.6114151922359, 85.20319424549886], 'axes': [43.650969651150625, 49.13360799739361], 'angle': 11.622483467549083}, 'location': [120.6114151922359, 85.20319424549886], 'diameter': 49.13360799739361, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5223685114126864, 'phi': -1.976335197866154, 'norm_pos': [0.3769106724757372, 0.6449866906437547], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.276816,"{'circle_3d': {'center': [-4.04001458712105, -3.5394322997499508, 63.04270871621037], 'normal': [-0.394065786641961, -0.04821831222160758, -0.9178165122532674], 'radius': 2.495959099321662}, 'confidence': 0.2741619756282061, 'timestamp': 798.2335869999999, 'diameter_3d': 4.991918198643324, 'ellipse': {'center': [120.60982648626688, 85.2255074366151], 'axes': [43.659202685439354, 49.142080410907255], 'angle': 11.595231068974554}, 'location': [120.60982648626688, 85.2255074366151], 'diameter': 49.142080410907255, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5225593103560797, 'phi': -1.9763468519198852, 'norm_pos': [0.376905707769584, 0.6448937190141038], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654268.284354,"{'circle_3d': {'center': [-4.040197411398948, -3.5371385049041377, 63.0426669459564], 'normal': [-0.3940810219984525, -0.04802716265112316, -0.9178199931077651], 'radius': 2.50850873326657}, 'confidence': 0.36144381714498, 'timestamp': 798.241987, 'diameter_3d': 5.01701746653314, 'ellipse': {'center': [120.61146391177759, 85.24822393906508], 'axes': [43.879540367145474, 49.389259258908446], 'angle': 11.56791848302971}, 'location': [120.61146391177759, 85.24822393906508], 'diameter': 49.389259258908446, 'sphere': {'center': [0.6887748525824834, -2.9608125530906597, 74.05650686324958], 'radius': 12.0}, 'projected_sphere': {'center': [165.76641306333417, 95.212120302866], 'axes': [200.92765146858656, 200.92765146858656], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 52, 'model_birth_timestamp': 751.118679, 'theta': 1.5227506816439045, 'phi': -1.9763594927697468, 'norm_pos': [0.376910824724305, 0.6447990669205621], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
