eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656474.66892,"{'circle_3d': {'center': [1.085384601064467, -0.19337823954472277, 31.562750890293533], 'normal': [0.13661331152827969, -0.5057935657946434, -0.8517685553681921], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.619892, 'diameter_3d': 2.0, 'ellipse': {'center': [181.25408935547435, 116.46854400628754], 'axes': [33.150337211383935, 39.31091689132053], 'angle': -72.11129760742304}, 'location': [181.25408935547435, 116.46854400628754], 'diameter': 39.31091689132053, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.0404946978452116, 'phi': -1.4117629366744289, 'norm_pos': [0.5664190292358573, 0.514714399973802], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.676665,"{'circle_3d': {'center': [1.0924449686962356, -0.19006265807657563, 31.735577093086224], 'normal': [0.1303782735761212, -0.5035654302913563, -0.8540628567001326], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.628292, 'diameter_3d': 2.0, 'ellipse': {'center': [181.27964782705703, 116.55068206790787], 'axes': [33.07041168376454, 39.096981050515915], 'angle': -72.6597366333116}, 'location': [181.27964782705703, 116.55068206790787], 'diameter': 39.096981050515915, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.0430756305977409, 'phi': -1.4193093220954713, 'norm_pos': [0.5664988994595532, 0.5143721580503839], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.68458,"{'circle_3d': {'center': [1.0904518025379821, -0.19223653899692295, 31.6392590935883], 'normal': [0.1405187472409302, -0.5046039974109724, -0.8518387684713035], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.636692, 'diameter_3d': 2.0, 'ellipse': {'center': [181.30009460451825, 116.49821472173349], 'axes': [33.06852341524772, 39.21578217533004], 'angle': -71.66890716552227}, 'location': [181.30009460451825, 116.49821472173349], 'diameter': 39.21578217533004, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.041873103904327, 'phi': -1.4073093063649091, 'norm_pos': [0.5665627956391195, 0.5145907719927771], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.697176,"{'circle_3d': {'center': [1.0987868890829722, -0.1933425798516879, 31.847796793058368], 'normal': [0.14091618148967916, -0.5028696371179009, -0.8527981929268369], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.645091, 'diameter_3d': 2.0, 'ellipse': {'center': [181.3230133057142, 116.49728393557092], 'axes': [32.88894272379515, 38.958904272624174], 'angle': -71.56453704833261}, 'location': [181.3230133057142, 116.49728393557092], 'diameter': 38.958904272624174, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.0438807979208176, 'phi': -1.4070362968652335, 'norm_pos': [0.5666344165803568, 0.5145946502684545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.705014,"{'circle_3d': {'center': [1.092176624480572, -0.19247428504648312, 31.56108653358475], 'normal': [0.12744787666791998, -0.520485643561742, -0.844305474090366], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.653491, 'diameter_3d': 2.0, 'ellipse': {'center': [181.39439392105555, 116.4914627074936], 'axes': [32.86706543196152, 39.31398010526241], 'angle': -73.49460601804728}, 'location': [181.39439392105555, 116.4914627074936], 'diameter': 39.31398010526241, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.023376719050565, 'phi': -1.420977453683534, 'norm_pos': [0.5668574810032986, 0.5146189053854433], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.7135181,"{'circle_3d': {'center': [1.104664209449607, -0.1919392910166735, 31.759571912665226], 'normal': [0.13630292606545197, -0.5100193993318259, -0.8492948396471036], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.661891, 'diameter_3d': 2.0, 'ellipse': {'center': [181.49967956541354, 116.51831054690426], 'axes': [32.846878054706785, 39.06784820907365], 'angle': -72.25254058838007}, 'location': [181.49967956541354, 116.51831054690426], 'diameter': 39.06784820907365, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.035588983579441, 'phi': -1.4116637943621115, 'norm_pos': [0.5671864986419173, 0.514507039387899], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.720934,"{'circle_3d': {'center': [1.1018830219366818, -0.18706710953163252, 31.863073903578247], 'normal': [0.1383618012670672, -0.5060505370430933, -0.8513335808650623], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.670291, 'diameter_3d': 2.0, 'ellipse': {'center': [181.3745880126814, 116.62217712404276], 'axes': [32.822193147682704, 38.94055938949748], 'angle': -71.92015075683715}, 'location': [181.3745880126814, 116.62217712404276], 'diameter': 38.94055938949748, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.0401967875198737, 'phi': -1.4096814261747264, 'norm_pos': [0.5667955875396293, 0.5140742619831551], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.73022,"{'circle_3d': {'center': [1.0957847778770207, -0.18967823610918266, 31.728671913749867], 'normal': [0.13041911342108348, -0.5167791040224946, -0.8461265936608814], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.678691, 'diameter_3d': 2.0, 'ellipse': {'center': [181.35044860833955, 116.56188201902457], 'axes': [32.76422118726585, 39.106033320252244], 'angle': -73.08238983155103}, 'location': [181.35044860833955, 116.56188201902457], 'diameter': 39.106033320252244, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.0277118736156843, 'phi': -1.417863237321304, 'norm_pos': [0.5667201519010611, 0.5143254915873976], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.737138,"{'circle_3d': {'center': [1.1070245768598448, -0.1839455682379736, 31.84510676896123], 'normal': [0.12505466134720444, -0.5062694602514117, -0.853259963488315], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.687091, 'diameter_3d': 2.0, 'ellipse': {'center': [181.49345397952064, 116.68193054199372], 'axes': [32.93386840948422, 38.96317291411392], 'angle': -73.25738525390254}, 'location': [181.49345397952064, 116.68193054199372], 'diameter': 38.96317291411392, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.0399429457312164, 'phi': -1.4252713573777724, 'norm_pos': [0.567167043686002, 0.5138252894083595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.745076,"{'circle_3d': {'center': [1.1121091521512518, -0.19096448968769408, 31.85468919433036], 'normal': [0.12083656965718553, -0.5133359450084285, -0.8496379999716279], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.695491, 'diameter_3d': 2.0, 'ellipse': {'center': [181.58859252929142, 116.548728942865], 'axes': [32.78197860676964, 38.95188522290379], 'angle': -73.90618133545016}, 'location': [181.58859252929142, 116.548728942865], 'diameter': 38.95188522290379, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.031728838307716, 'phi': -1.42952251268317, 'norm_pos': [0.5674643516540356, 0.5143802960713959], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656474.754144,"{'circle_3d': {'center': [1.1091135547731956, -0.18625419642215135, 32.001157052950205], 'normal': [0.12651702552912492, -0.5052603285111621, -0.8536424559990297], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 3004.703891, 'diameter_3d': 2.0, 'ellipse': {'center': [181.42858886716655, 116.65169525149821], 'axes': [32.78605270721178, 38.772914890441115], 'angle': -73.08512115478686}, 'location': [181.42858886716655, 116.65169525149821], 'diameter': 38.772914890441115, 'sphere': {'center': [246.2521437041731, -20.614196802314034, 7408.159421426003], 'radius': 12.0}, 'projected_sphere': {'center': [180.6092121418195, 118.27476687657803], 'axes': [2.0085960835243117, 2.0085960835243117], 'angle': 90.0}, 'model_confidence': 0.17844044507130397, 'model_id': 1, 'model_birth_timestamp': 2996.639967, 'theta': 1.041112721275474, 'phi': -1.4236589648328555, 'norm_pos': [0.5669643402098955, 0.513951269785424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
