eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656690.519713,"{'circle_3d': {'center': [4.450618343443792, -1.3199253090587204, 142.48324191461765], 'normal': [0.03111719922494854, -0.6497156789260919, -0.7595401611962348], 'radius': 15.463213852234158}, 'confidence': 0.01873408462646544, 'timestamp': 3220.474355, 'diameter_3d': 30.926427704468317, 'ellipse': {'center': [179.28990829811642, 117.84938408920024], 'axes': [101.7325388737753, 134.97236781039945], 'angle': -85.25089842143392}, 'location': [179.28990829811642, 117.84938408920024], 'diameter': 134.97236781039945, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8635859692973268, 'phi': -1.5298507532402081, 'norm_pos': [0.5602809634316138, 0.5089608996283324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.526873,"{'circle_3d': {'center': [2.6120143376426848, -3.1858634688148912, 144.63433521140817], 'normal': [-0.12209980125847708, -0.8052105255724392, -0.5802823864636911], 'radius': 16.118584560351866}, 'confidence': 0.008616844604722613, 'timestamp': 3220.482755, 'diameter_3d': 32.23716912070373, 'ellipse': {'center': [171.83996112199844, 109.8576180989204], 'axes': [78.67392640509165, 138.79350968210392], 'angle': 82.20562144541906}, 'location': [171.83996112199844, 109.8576180989204], 'diameter': 138.79350968210392, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6347659197234176, 'phi': -1.778185436054491, 'norm_pos': [0.5369998785062451, 0.5422599245878317], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.535789,"{'circle_3d': {'center': [4.866595261219381, 1.572673081922523, 140.67399927975822], 'normal': [0.06578194237291426, -0.40866581301098803, -0.9103103807678538], 'radius': 4.336203127735759}, 'confidence': 0.20949326250637834, 'timestamp': 3220.491155, 'diameter_3d': 8.672406255471518, 'ellipse': {'center': [181.41701471382572, 127.15163976353793], 'axes': [34.8645973680483, 38.250613966699525], 'angle': -76.24501307116584}, 'location': [181.41701471382572, 127.15163976353793], 'diameter': 38.250613966699525, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.149804571674426, 'phi': -1.4986585181900978, 'norm_pos': [0.5669281709807054, 0.4702015009852586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.54178,"{'circle_3d': {'center': [5.05501280233028, -0.769576791638106, 142.08268749971856], 'normal': [0.08148340413215592, -0.6038533024743743, -0.7929196957711593], 'radius': 15.516537301633099}, 'confidence': 0.01045323356255919, 'timestamp': 3220.499555, 'diameter_3d': 31.033074603266197, 'ellipse': {'center': [181.67657534968103, 120.18310176376397], 'axes': [106.95096736755718, 135.7980915168563], 'angle': -79.8056498331677}, 'location': [181.67657534968103, 120.18310176376397], 'diameter': 135.7980915168563, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.9224698395959166, 'phi': -1.4683920401386268, 'norm_pos': [0.5677392979677532, 0.49923707598431677], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.551689,"{'circle_3d': {'center': [2.9421822178848327, -2.7823220302077116, 144.0490215293497], 'normal': [-0.09458581123829807, -0.7715820723551742, -0.6290585266352313], 'radius': 16.215259938828453}, 'confidence': 0.0027683605276487915, 'timestamp': 3220.507955, 'diameter_3d': 32.430519877656906, 'ellipse': {'center': [173.23219021879325, 111.77487522082946], 'axes': [86.63756484523824, 140.15673109980804], 'angle': 84.02329366041066}, 'location': [173.23219021879325, 111.77487522082946], 'diameter': 140.15673109980804, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.689471884855278, 'phi': -1.720039221943904, 'norm_pos': [0.5413505944337289, 0.534271353246544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.5588381,"{'circle_3d': {'center': [4.871629380511615, 1.5743425201344055, 140.6736148944184], 'normal': [0.06620145231393375, -0.4085266931599979, -0.910342412879507], 'radius': 4.3606774400547925}, 'confidence': 0.20956026452903154, 'timestamp': 3220.516355, 'diameter_3d': 8.721354880109585, 'ellipse': {'center': [181.43867407326516, 127.16144530773218], 'axes': [35.06219471541574, 38.46670390589946], 'angle': -76.17890190957712}, 'location': [181.43867407326516, 127.16144530773218], 'diameter': 38.46670390589946, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.1499569958322835, 'phi': -1.4982026301338331, 'norm_pos': [0.5669958564789537, 0.47016064455111595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.567795,"{'circle_3d': {'center': [2.3288421893009947, -1.2863879859374183, 142.61561690937322], 'normal': [-0.14569748028695131, -0.6469209019993168, -0.748508911633271], 'radius': 15.574770767282647}, 'confidence': 0.005339575674377177, 'timestamp': 3220.524755, 'diameter_3d': 31.149541534565294, 'ellipse': {'center': [170.98831847915778, 117.97755854331639], 'axes': [101.40919616539529, 135.79623299820625], 'angle': 78.46011314650106}, 'location': [170.98831847915778, 117.97755854331639], 'diameter': 135.79623299820625, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8672566997393827, 'phi': -1.7630426873283773, 'norm_pos': [0.5343384952473681, 0.5084268394028484], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.574165,"{'circle_3d': {'center': [1.1413692368105965, -3.159357499887391, 145.0763789267903], 'normal': [-0.2446535596611511, -0.8030016948284809, -0.543445410181846], 'radius': 16.218109622816826}, 'confidence': 0.011674743106097877, 'timestamp': 3220.533155, 'diameter_3d': 32.43621924563365, 'ellipse': {'center': [165.9604206185283, 109.78942037007964], 'axes': [73.81813327419873, 139.24745115867898], 'angle': 73.54957379163154}, 'location': [165.9604206185283, 109.78942037007964], 'diameter': 139.24745115867898, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6384814651530859, 'phi': -1.9938080476388935, 'norm_pos': [0.518626314432901, 0.5425440817913348], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.585801,"{'circle_3d': {'center': [4.85421887943292, 1.5781906967692843, 140.6706368209978], 'normal': [0.0647505772240425, -0.408206011773758, -0.9105905856645543], 'radius': 4.336704175362433}, 'confidence': 0.21080159366348195, 'timestamp': 3220.541555, 'diameter_3d': 8.673408350724866, 'ellipse': {'center': [181.3634936138083, 127.17600680223515], 'axes': [34.88225189989813, 38.25582678501182], 'angle': -76.3763310229974}, 'location': [181.3634936138083, 127.17600680223515], 'diameter': 38.25582678501182, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.1503083050158693, 'phi': -1.4998074835976185, 'norm_pos': [0.5667609175431509, 0.4700999716573535], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.595079,"{'circle_3d': {'center': [2.292360733807221, -1.3230383104018175, 142.65462773403388], 'normal': [-0.148737601578099, -0.6499750957046829, -0.7452580095782151], 'radius': 15.613254955705209}, 'confidence': 0.005337209000129854, 'timestamp': 3220.549955, 'diameter_3d': 31.226509911410417, 'ellipse': {'center': [170.84397556351604, 117.83591518224227], 'axes': [101.17228385136032, 136.09966479721805], 'angle': 78.23953649455004}, 'location': [170.84397556351604, 117.83591518224227], 'diameter': 136.09966479721805, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8632446612568833, 'phi': -1.7677867278320325, 'norm_pos': [0.5338874236359876, 0.5090170200739905], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.6019342,"{'circle_3d': {'center': [1.5088993592142637, -3.188370395840434, 144.96516001515803], 'normal': [-0.21402604946084552, -0.8054194361579012, -0.5527136528178692], 'radius': 16.276658240971482}, 'confidence': 0.014458785301898473, 'timestamp': 3220.558355, 'diameter_3d': 32.553316481942964, 'ellipse': {'center': [167.44318148615923, 109.7534811084374], 'axes': [75.44793184826062, 139.85752571455572], 'angle': 75.69182826294228}, 'location': [167.44318148615923, 109.7534811084374], 'diameter': 139.85752571455572, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6344135344903358, 'phi': -1.9402438637614858, 'norm_pos': [0.5232599421442476, 0.5426938287148442], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
