eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656690.519713,"{'circle_3d': {'center': [4.450618343443792, -1.3199253090587204, 142.48324191461765], 'normal': [0.03111719922494854, -0.6497156789260919, -0.7595401611962348], 'radius': 15.463213852234158}, 'confidence': 0.01873408462646544, 'timestamp': 3220.474355, 'diameter_3d': 30.926427704468317, 'ellipse': {'center': [179.28990829811642, 117.84938408920024], 'axes': [101.7325388737753, 134.97236781039945], 'angle': -85.25089842143392}, 'location': [179.28990829811642, 117.84938408920024], 'diameter': 134.97236781039945, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8635859692973268, 'phi': -1.5298507532402081, 'norm_pos': [0.5602809634316138, 0.5089608996283324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.6113942,"{'circle_3d': {'center': [4.844974683559186, 1.592032116321863, 140.66378937406918], 'normal': [0.06398022756789801, -0.4070525601443764, -0.911161206241941], 'radius': 4.372568759780007}, 'confidence': 0.643218326658313, 'timestamp': 3220.566755, 'diameter_3d': 8.745137519560014, 'ellipse': {'center': [181.32363756941703, 127.2405460586683], 'axes': [35.19677360793957, 38.574054700093015], 'angle': -76.4433273078386}, 'location': [181.32363756941703, 127.2405460586683], 'diameter': 38.574054700093015, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.1515714653991032, 'phi': -1.5006930529064548, 'norm_pos': [0.5666363674044282, 0.46983105808888204], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.618796,"{'circle_3d': {'center': [5.317915968243689, -1.3154426846173264, 142.5564990940251], 'normal': [0.10339200129160661, -0.6493421268893089, -0.7534353962456138], 'radius': 15.651175072596226}, 'confidence': 0.01860253358235922, 'timestamp': 3220.575155, 'diameter_3d': 31.302350145192452, 'ellipse': {'center': [182.6643756585465, 117.92433205444449], 'axes': [101.69903036625936, 136.57829602604974], 'angle': -78.71671404130383}, 'location': [182.6643756585465, 117.92433205444449], 'diameter': 136.57829602604974, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8640772673625198, 'phi': -1.4344206888354043, 'norm_pos': [0.5708261739329579, 0.5086486164398146], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.6265652,"{'circle_3d': {'center': [3.871481864512842, -3.1823394360889106, 144.48004514037012], 'normal': [-0.01714417401929731, -0.8049168561786072, -0.5931398923835282], 'radius': 16.630075121683067}, 'confidence': 0.0027638698788771104, 'timestamp': 3220.583555, 'diameter_3d': 33.260150243366134, 'ellipse': {'center': [176.84165523716717, 110.18114881550846], 'axes': [82.87428343360116, 143.3967313553457], 'angle': 89.87598213103611}, 'location': [176.84165523716717, 110.18114881550846], 'diameter': 143.3967313553457, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6352609891204707, 'phi': -1.5996923802926195, 'norm_pos': [0.5526301726161474, 0.5409118799353814], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.636238,"{'circle_3d': {'center': [4.832473256040057, 1.5820636803958736, 140.667377127592], 'normal': [0.06293844194130394, -0.40788326313820883, -0.9108622267817059], 'radius': 4.386955068656489}, 'confidence': 0.753568388321149, 'timestamp': 3220.591955, 'diameter_3d': 8.773910137312978, 'ellipse': {'center': [181.26837247557614, 127.19827122580752], 'axes': [35.30116619361739, 38.69985411429053], 'angle': -76.62673536803716}, 'location': [181.26837247557614, 127.19827122580752], 'diameter': 38.69985411429053, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.1506618231753372, 'phi': -1.5018083285716834, 'norm_pos': [0.5664636639861754, 0.47000720322580203], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.642682,"{'circle_3d': {'center': [5.166655172654066, -0.7615806750794976, 142.08873103610483], 'normal': [0.09078693499247131, -0.6031869594278231, -0.7924160677389692], 'radius': 15.73264712444617}, 'confidence': 0.018049060452451055, 'timestamp': 3220.600355, 'diameter_3d': 31.46529424889234, 'ellipse': {'center': [182.09852207830767, 120.31141819552586], 'axes': [108.32857934958658, 137.69568158501792], 'angle': -78.89447479836844}, 'location': [182.09852207830767, 120.31141819552586], 'diameter': 137.69568158501792, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.9233055390636882, 'phi': -1.456723924788295, 'norm_pos': [0.5690578814947115, 0.49870242418530897], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.650859,"{'circle_3d': {'center': [5.46498025666047, -2.7758844154197595, 144.08343955458525], 'normal': [0.11564735865967166, -0.7710456044561779, -0.6261903578656004], 'radius': 16.788711738532843}, 'confidence': 0.01880230467459595, 'timestamp': 3220.608755, 'diameter_3d': 33.577423477065686, 'ellipse': {'center': [183.09718465411987, 112.05390560694799], 'axes': [88.37360511570874, 145.17056183686137], 'angle': -79.96585185162695}, 'location': [183.09718465411987, 112.05390560694799], 'diameter': 145.17056183686137, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6903147849624742, 'phi': -1.3881700918847073, 'norm_pos': [0.5721787020441246, 0.5331087266377167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.6596491,"{'circle_3d': {'center': [4.827130859453216, 1.6191770356276578, 140.6504660502092], 'normal': [0.062493242225733846, -0.4047904835355602, -0.9122714832302735], 'radius': 4.379119476655616}, 'confidence': 0.5000141030861543, 'timestamp': 3220.617155, 'diameter_3d': 8.758238953311231, 'ellipse': {'center': [181.24762144908715, 127.36061699481107], 'axes': [35.30005750251536, 38.6353613041012], 'angle': -76.57273840617694}, 'location': [181.24762144908715, 127.36061699481107], 'diameter': 38.6353613041012, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.154046635419349, 'phi': -1.5024002793787434, 'norm_pos': [0.5663988170283973, 0.46933076252162054], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.669913,"{'circle_3d': {'center': [2.9766527999706853, -1.2509040345482019, 142.4832584350987], 'normal': [-0.09171326273114368, -0.6439639060502149, -0.7595387844894809], 'radius': 15.75481268079338}, 'confidence': 0.005244105153450103, 'timestamp': 3220.625555, 'diameter_3d': 31.50962536158676, 'ellipse': {'center': [173.55071742783522, 118.25548404994242], 'axes': [104.14225980754792, 137.49960049899454], 'angle': 83.35014840542648}, 'location': [173.55071742783522, 118.25548404994242], 'diameter': 137.49960049899454, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8711280890107675, 'phi': -1.6909631836928745, 'norm_pos': [0.5423459919619851, 0.5072688164585732], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.678118,"{'circle_3d': {'center': [4.869499070127221, 1.6339549814657426, 140.64690370893894], 'normal': [0.06602392644856761, -0.4035589880490531, -0.9125683450027939], 'radius': 4.412384153286985}, 'confidence': 0.7012444123869308, 'timestamp': 3220.633955, 'diameter_3d': 8.82476830657397, 'ellipse': {'center': [181.43249830775818, 127.42875115096146], 'axes': [35.575882085367176, 38.93035971553159], 'angle': -76.00730578913816}, 'location': [181.43249830775818, 127.42875115096146], 'diameter': 38.93035971553159, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.155393000508345, 'phi': -1.4985725997750308, 'norm_pos': [0.5669765572117443, 0.4690468702043272], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.687088,"{'circle_3d': {'center': [6.375541895231422, -1.097344189120995, 142.57818411416528], 'normal': [0.19152749520725104, -0.6311672522646148, -0.751628311233932], 'radius': 15.257982374378537}, 'confidence': 0.01640674244726735, 'timestamp': 3220.642355, 'diameter_3d': 30.515964748757074, 'ellipse': {'center': [186.83554365586642, 118.58960979110915], 'axes': [98.37128033398032, 133.1357243226916], 'angle': -70.61616648381582}, 'location': [186.83554365586642, 118.58960979110915], 'diameter': 133.1357243226916, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8877391588593622, 'phi': -1.321289400337884, 'norm_pos': [0.5838610739245825, 0.5058766258703785], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.693952,"{'circle_3d': {'center': [4.357878473256666, -3.0089902976530913, 144.2530924155167], 'normal': [0.023388876709354717, -0.7904710946422896, -0.612052619454647], 'radius': 16.052076949863427}, 'confidence': 0.002831808108292585, 'timestamp': 3220.650755, 'diameter_3d': 32.10415389972685, 'ellipse': {'center': [178.76558722925657, 110.70972590731768], 'axes': [82.68582155514089, 138.58041949569804], 'angle': -87.05819428949543}, 'location': [178.76558722925657, 110.70972590731768], 'diameter': 138.58041949569804, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6592185757312119, 'phi': -1.5326010784967055, 'norm_pos': [0.5586424600914268, 0.5387094753861763], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.702126,"{'circle_3d': {'center': [4.812458856770304, 1.6550514848194355, 140.63362443550142], 'normal': [0.061270575335491226, -0.401800946102912, -0.9136749511225876], 'radius': 4.384850537578912}, 'confidence': 0.7841327685671817, 'timestamp': 3220.659155, 'diameter_3d': 8.769701075157824, 'ellipse': {'center': [181.1859559193561, 127.51896970168758], 'axes': [35.409216243050764, 38.690459366772174], 'angle': -76.63672283708762}, 'location': [181.1859559193561, 127.51896970168758], 'diameter': 38.690459366772174, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.157313642859401, 'phi': -1.5038370890525736, 'norm_pos': [0.5662061122479878, 0.4686709595763018], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.71177,"{'circle_3d': {'center': [5.340637952047581, -1.2476963453230763, 142.501679106863], 'normal': [0.10528549994193098, -0.6436965986147881, -0.7580037285091215], 'radius': 15.348872341107809}, 'confidence': 0.016214659592238858, 'timestamp': 3220.667555, 'diameter_3d': 30.697744682215617, 'ellipse': {'center': [182.77454931357022, 118.07156923614397], 'axes': [100.39342700852522, 133.97407839465282], 'angle': -78.430769370906}, 'location': [182.77454931357022, 118.07156923614397], 'diameter': 133.97407839465282, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8714774336211909, 'phi': -1.432780978691914, 'norm_pos': [0.5711704666049069, 0.5080351281827334], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.717796,"{'circle_3d': {'center': [3.2525314982407894, -3.1289875248367, 144.452698778768], 'normal': [-0.06872337120863498, -0.800470863574256, -0.595418755850372], 'radius': 15.788395256483076}, 'confidence': 0.00871992392728057, 'timestamp': 3220.675955, 'diameter_3d': 31.576790512966152, 'ellipse': {'center': [174.37397476137235, 110.02333990993161], 'axes': [79.14411586995398, 136.0945695744429], 'angle': 86.0793441241703}, 'location': [174.37397476137235, 110.02333990993161], 'diameter': 136.0945695744429, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.6427159250798901, 'phi': -1.685708081178632, 'norm_pos': [0.5449186711292886, 0.5415694170419516], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.726197,"{'circle_3d': {'center': [4.807380225661989, 1.65831358029204, 140.63185111929675], 'normal': [0.060847356076464965, -0.4015291048135283, -0.9138227274729769], 'radius': 4.409433085655317}, 'confidence': 0.4234621385935089, 'timestamp': 3220.684355, 'diameter_3d': 8.818866171310635, 'ellipse': {'center': [181.1637124944779, 127.535835950184], 'axes': [35.614904343868915, 38.90784282611235], 'angle': -76.68871922760604}, 'location': [181.1637124944779, 127.535835950184], 'diameter': 38.90784282611235, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 1.1576104819625672, 'phi': -1.5043089569697303, 'norm_pos': [0.5661366015452434, 0.4686006835409], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656690.7362938,"{'circle_3d': {'center': [2.659533368423883, -1.2580653996400466, 142.53327866349247], 'normal': [-0.11813988202671051, -0.6445606864745353, -0.7553704321233329], 'radius': 15.313764813395316}, 'confidence': 0.005409019764970763, 'timestamp': 3220.692755, 'diameter_3d': 30.627529626790633, 'ellipse': {'center': [172.2680874797603, 118.00223869485816], 'axes': [100.64935689396117, 133.58346074949463], 'angle': 80.92252549532637}, 'location': [172.2680874797603, 118.00223869485816], 'diameter': 133.58346074949463, 'sphere': {'center': [4.07721195274441, 6.47666283805438, 151.59772384897246], 'radius': 12.0}, 'projected_sphere': {'center': [176.67486388661018, 146.48806893429446], 'axes': [98.15450801110994, 98.15450801110994], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 3217.164755, 'theta': 0.8703477845214924, 'phi': -1.7259394213254269, 'norm_pos': [0.5383377733742509, 0.508324005438091], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
