cursor_type,target_type,subject_num,posture,repetition,target_num,longest_dwell_time,mean_dwell_time,initial_contact_time,mean_offset,total_dwell_time,success_time,std_offset,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,success_trial,trial_time,drop_count,abs_mean_offset_horizontal,abs_mean_offset_vertical,drop_out_count,mean_out_time,walking_speed
HEAD,GRID,15.0,,3.0,3.5,0.7543202916666729,0.2809436976810711,0.4221164583333253,1.888002247152146,2.4033956249999826,3.837505666666658,1.1238830242096518,0.04486815207290019,-0.19566241170254017,1.7093985484408198,1.008062804693931,0.3333333333333333,4.434175333333333,11.291666666666666,1.5002640376604195,0.8438256582665824,22.916666666666668,0.15007458711026633,0.9447928703104319
HEAD,MENU,15.0,,3.0,3.5,0.571950958333332,0.18262432684104357,0.4238162916666681,2.3608527639321912,2.289487208333336,4.434431750000016,1.406329530034253,0.13099314828644718,0.03531142441026985,2.166851675052913,1.2194970385491937,0.125,4.748646416666678,16.291666666666668,1.9345201744089087,0.97529935842042,33.333333333333336,0.11803174181302144,0.9821250587502677
HEAD,PIE,15.0,,3.0,3.5,0.6841503749999968,0.24262922848372484,0.5094429583333285,2.3088441801576933,2.2295979166666107,4.233262958333327,1.3951223561137491,0.09292583225936868,-0.2915062409556388,2.06829638867404,1.2951368492365427,0.25,4.808069541666659,11.625,1.8013282924129026,1.071219700909076,23.833333333333332,0.18525528180008774,1.002592870433696
NEWSPEED,GRID,15.0,,3.0,3.5,0.9362276666666673,0.5237713629731401,0.568770624999992,1.3755938612922831,2.0538991666666795,2.3945513749999967,0.8004343400045753,0.1420426167907275,-0.06342154283379361,1.2929685572235519,0.6497613659283729,0.875,3.2796670833333295,5.916666666666667,1.1306941082791284,0.5509391222923674,10.916666666666666,0.22813613827574222,0.8607940677791878
NEWSPEED,MENU,15.0,,3.0,3.5,0.9569011666666718,0.4801846535308458,0.49732537499999435,1.646114291044977,1.998071791666682,2.0084162083333297,1.0716495476043513,0.10118747541328793,-0.07651525110626438,1.527677406723589,0.6118932851436966,0.9166666666666666,2.915025708333333,5.583333333333333,1.4478682185667247,0.521172449582533,10.166666666666666,0.19051858732588411,0.9421305194490186
NEWSPEED,PIE,15.0,,3.0,3.5,0.9506158333333351,0.4627062424690749,0.5319890000000006,1.505349968806707,1.750712166666678,1.8959579166666696,0.8085305706521456,0.01195827603507141,-0.1896837650859493,1.3129951677331946,0.7726970033536303,0.9166666666666666,2.7984607083333373,5.625,1.1871247889439036,0.6831846827871649,10.333333333333334,0.18587975909322588,0.9452225749654196
NEWSPEEDSTICKY,GRID,15.0,,3.0,3.5,0.9693248791666687,0.901449101388891,0.7192004708333334,1.7865971835197252,1.0558655875000025,0.8838030541666662,0.8683427775328859,0.21513294718108197,-0.353829232962257,1.3995787239025879,0.773034255308301,1.0,1.8531279333333348,1.25,1.4040611461208619,0.8339975925011099,1.5,0.6951364861111129,0.9192807254942014
NEWSPEEDSTICKY,MENU,15.0,,3.0,3.5,0.972657758333335,0.852729866666668,0.6826153250000004,1.977754350750904,1.0490085125000022,0.8274283250000009,0.9956460842431484,-0.13594277854552958,-0.06712596369027414,1.4841783289810095,0.8799204543406282,1.0,1.8000860833333359,1.375,1.6776953635475689,0.7580726392460334,1.75,0.5456557575396811,0.9691264115853708
NEWSPEEDSTICKY,PIE,15.0,,3.0,3.5,0.969850224999998,0.914061835416665,0.7207685291666669,1.6594718474733297,1.060442487499998,0.8303605833333337,0.8670455190779919,0.13942743118223527,-0.10358210094943622,1.3057391867107906,0.9740147779468669,1.0,1.8002108083333317,1.2083333333333333,1.2375470222619336,0.8406647240246259,1.4166666666666667,0.6005320930555567,0.9985351502733711
NEWSTICKY,GRID,15.0,,3.0,3.5,0.9773152083333395,0.7915602777777777,0.7110533750000011,2.3814988592296986,1.2262870833333348,1.2765903333333313,1.4473448720797268,0.14164981890048667,-0.23418850739339417,2.0126160835077775,1.3676586775793993,1.0,2.2539055416666707,1.75,1.773968131930489,1.1963516031539803,2.5,0.6069970388888851,0.9542386925464438
NEWSTICKY,MENU,15.0,,3.0,3.5,0.9717703333333366,0.8091832152777817,0.5920420416666564,2.0675015682118176,1.1003719166666717,0.8380289583333251,0.9293515358331591,0.3511281281252487,-0.17950945532963566,1.4082811177902614,1.3855856154036186,1.0,1.8097992916666616,1.625,1.484381256492658,1.1673130250273835,2.25,0.45960846287878715,0.9852687921325174
NEWSTICKY,PIE,15.0,,3.0,3.5,0.9721895833333415,0.8882017916666736,0.573941833333329,2.0942714961615967,1.0464173750000068,0.716862249999996,1.1758489888682229,0.18453121738375958,-0.30674131858875736,1.6579725680482473,1.2615534546973275,1.0,1.6890518333333375,1.2916666666666667,1.4719226904037244,1.169479325992753,1.5833333333333333,0.5409025388888897,0.9917761868262863
