,posture,cursor_type,dwell_time,success_rate,required_target_size,first_dwell_time,mean_final_speed,required_target_size_std,first_dwell_time_std,mean_final_speed_std
35,WALK,HEAD,0.6,3.9655172413793127,5.662293599513888,2.835987065217401,5.94646543480633,3.8339718655083876,1.2526320203765449,2.661156174150332
36,WALK,HEAD,0.7,2.2413793103448265,5.974292859151235,3.0152479615384755,5.4037833374435005,3.9858875026570058,1.1908051230280918,3.7218366648137486
37,WALK,HEAD,0.8,1.379310344827589,6.286860935339506,2.7683604375000215,5.48234125126403,4.094848227638798,0.9903069931675301,3.286148106799423
38,WALK,HEAD,0.9,0.8620689655172376,6.594395741057098,3.050772800000021,3.9635220005871643,4.22418808909638,1.1664646190885142,2.397109033301578
39,WALK,HEAD,1.0,0.603448275862073,6.848035572438271,3.2133648571428757,3.4847803017112726,4.317888110114195,0.9089857128747882,1.960876106117014
40,WALK,EYE,0.1,94.52166802943582,2.291655926822618,1.73092584083045,16.567278742575297,1.3067153172349728,0.9704240572122257,14.65338107847973
41,WALK,EYE,0.2,71.3818479149632,3.366779002731991,2.320112297823599,6.524797526336676,2.863788283417932,1.1505358437171853,3.0984393635828456
42,WALK,EYE,0.3,43.581357318070324,3.966445412219984,2.579225422138837,6.4244662821506004,3.1278248531417496,1.20944969940351,3.0662821313309183
43,WALK,EYE,0.4,22.730989370400657,4.457841772010845,2.7122986474820134,6.414841270966578,3.4119930015219295,1.1854436509660184,3.038096559472562
44,WALK,EYE,0.5,10.793131643499587,4.9360829858636714,2.862307060606061,6.172680584168259,3.9932014906100752,1.167950787778226,2.8890441136356526
45,WALK,EYE,0.6,5.560098119378576,5.2910089755693255,2.915206955882351,7.0338638998611165,4.243279073371197,1.1071173363667588,3.8279574779932344
46,WALK,EYE,0.7,2.5347506132461173,5.571477492068164,2.7335603548387146,5.911168086415738,4.419432889810537,1.1134465220084784,2.8365163657708714
47,WALK,EYE,0.8,1.5535568274734235,5.935852107025562,3.0392663684210617,5.852670627684795,4.990352064169289,1.179833684964689,2.4462140335822036
48,WALK,EYE,0.9,0.8176614881439059,6.227515562548412,2.9887412000000095,6.32585052847263,5.24932517841048,1.2094658677879926,2.610944386135703
49,WALK,EYE,1.0,0.24529844644317622,6.464100718303641,2.5813820000000383,6.529024903911405,5.5564926307705464,0.457840875636958,3.7661315157803634
50,WALK,HAND,0.1,87.71929824561404,2.489765889845877,2.3062028661249987,14.433916172445688,1.4538494942299478,1.0151380071419616,6.616015109414411
51,WALK,HAND,0.2,52.41228070175439,4.466230804581138,2.77139874037657,6.325190159584805,2.9331595488273567,1.0877257695827074,3.5004698239210414
52,WALK,HAND,0.3,34.10087719298246,5.742075019290521,3.006975839228297,5.576058805633352,3.9307589333761515,1.0873853123167339,3.385542657988441
53,WALK,HAND,0.4,22.916666666666664,6.423146711255329,3.14870786124402,5.199113400726158,4.4279878524009755,1.0835232653319782,3.2828823562146514
54,WALK,HAND,0.5,12.71929824561403,6.881103567519109,3.2257714750000046,5.004733920464256,4.598720484363751,1.070258097909152,3.184871768651163
55,WALK,HAND,0.6,7.675438596491224,7.267094321857695,3.2674960285714363,4.744614305857881,4.679862822036075,1.0404580557131706,3.5785087422451065
56,WALK,HAND,0.7,4.6052631578947345,7.646893967402076,3.3195773333333483,4.254450759842591,4.7416578649687375,0.9829084501594079,2.536172301165608
57,WALK,HAND,0.8,2.8508771929824595,8.011174069205556,3.4942968076923266,3.487282338020066,4.795934812469101,0.926320414093102,2.1204283532622212
58,WALK,HAND,0.9,2.3026315789473673,8.326142257568561,3.561581000000022,4.833591241096281,4.8915855404085535,0.9402048753330928,3.4762188947762236
59,WALK,HAND,1.0,1.4254385964912242,8.562499903599127,3.5330706923077173,5.377583063694407,4.994924841717102,0.8755571871000727,3.617202476477545
