,posture,cursor_type,dwell_time,success_rate,required_target_size,first_dwell_time,mean_final_speed,required_target_size_std,first_dwell_time_std,mean_final_speed_std
0,STAND,HEAD,0.1,99.76525821596243,1.4749078527538582,1.0288396047058832,8.610013428148335,0.34687616454371833,0.5146965584922021,4.5766939863506
1,STAND,HEAD,0.2,99.21752738654148,1.624662775347222,1.0949831876971612,3.440353362082586,0.5863647848307242,0.5594429626835564,2.0878754383438802
2,STAND,HEAD,0.3,98.82629107981221,1.6899648485030865,1.1221224323040384,2.260570163541046,0.6968311129238273,0.5602470518492371,1.6058742077394583
3,STAND,HEAD,0.4,98.59154929577466,1.7229756853780864,1.1402691373015876,1.7881222143850108,0.7688587796936197,0.5615607536267374,1.3716300874328937
4,STAND,HEAD,0.5,98.27856025039124,1.7517166799691362,1.1612393296178345,1.4933327895567574,0.8300458171800772,0.5759930376931242,1.1931484423722174
5,STAND,HEAD,0.6,98.20031298904539,1.780477129660494,1.1877293577689247,1.2791079284158706,0.9023780195957801,0.6111003314931107,1.0565525847900201
6,STAND,HEAD,0.7,98.20031298904539,1.8033885852314815,1.2133419282868527,1.1239705986287951,0.9816027839051978,0.6310352317369481,0.930631282714978
7,STAND,HEAD,0.8,98.04381846635368,1.8232547052546293,1.2323366951316845,1.01577968330384,1.0470016444158239,0.650610520219022,0.9232169748031034
8,STAND,HEAD,0.9,97.96557120500783,1.840438999197531,1.2573598130990418,0.9129044921041342,1.117308316225272,0.6844455682395115,0.7948677222041861
9,STAND,HEAD,1.0,97.73082942097027,1.8578487965123458,1.2945959591673346,0.8701183272479583,1.1904592642888083,0.7422337655278125,0.8390490457331836
10,STAND,EYE,0.1,99.92283950617285,1.390633483488426,0.7901409057915048,24.395747797776625,0.6271416373526819,0.5468053145618326,32.21443692703823
11,STAND,EYE,0.2,99.76833976833976,1.5248803682253087,0.8378573831269339,3.284076816726761,0.8157644824069963,0.5749885877822776,3.6019727531840395
12,STAND,EYE,0.3,99.53667953667954,1.6426311016010802,0.8931988975950336,2.594448062054919,1.4752246491326784,0.6362841409706592,1.784645690778165
13,STAND,EYE,0.4,99.3050193050193,1.701416575199846,0.9324719292379464,2.372940266992471,1.6587002945030405,0.6805846586443709,1.7672585639466316
14,STAND,EYE,0.5,98.91891891891892,1.7491539489791668,0.9735169523809518,2.108644463657456,1.734905230005019,0.7131836569463216,1.5551937222210146
15,STAND,EYE,0.6,98.53281853281854,1.7845602468171293,1.013263869122257,1.8992610509377525,1.7629763135803995,0.7609448285958804,1.5859096504644192
16,STAND,EYE,0.7,98.14671814671814,1.832179093954475,1.0405589142407556,1.8281536710648436,1.846635425711632,0.7803415701607519,1.390662926317977
17,STAND,EYE,0.8,97.68339768339769,1.8743267125547836,1.086593044268775,1.7929271600653929,1.913286346442819,0.8189004760118979,1.4277204688913279
18,STAND,EYE,0.9,96.98841698841699,1.9062587817816354,1.13380888455414,1.7564218167472454,1.9475378753402932,0.8504071895764155,2.3720043119974017
19,STAND,EYE,1.0,95.75289575289575,1.991105425513889,1.1914812217741935,1.6884367862932286,2.1075964626679253,0.902061917612039,1.5015758403343644
20,STAND,HAND,0.1,99.76038338658148,1.4456241012512647,1.1400349487590062,8.633264003302017,0.4417319604888895,0.39674757821130696,4.859629844096276
21,STAND,HAND,0.2,99.60063897763578,1.543517079902792,1.184902606255011,3.7002023725951654,0.6008196637164557,0.398903954000763,2.2150102388233064
22,STAND,HAND,0.3,99.4408945686901,1.6048538685442215,1.2280304698795173,2.0908047443352906,0.6688732694110855,0.43711119938831733,1.4151782458636106
23,STAND,HAND,0.4,99.36102236421725,1.6335071131877517,1.24463903778135,1.3348685735387842,0.7067928868905708,0.44560809659405537,1.013888270684252
24,STAND,HAND,0.5,99.28115015974441,1.6471052023786974,1.2546657795655667,1.0181621809787984,0.7260227579342425,0.453374228043313,0.8343093379889999
25,STAND,HAND,0.6,99.28115015974441,1.656066156745374,1.2631403773129521,0.8596742461666155,0.7524925424914818,0.46793715586146734,0.7589394734939958
26,STAND,HAND,0.7,99.20127795527156,1.6678842419990343,1.2672882793880833,0.8137718843052445,0.791195825788051,0.47164476743497913,0.7259650896268636
27,STAND,HAND,0.8,99.12140575079871,1.67794596702318,1.2774529363416596,0.7724835371295768,0.8384257687415322,0.4950039372166887,0.6738981861126262
28,STAND,HAND,0.9,99.12140575079871,1.6846671342699806,1.2813865946817078,0.7687304247442137,0.8640582878577652,0.5004105096408287,0.7519597654432782
29,STAND,HAND,1.0,98.80191693290735,1.6899149977170713,1.2982717873888434,0.7827627109702359,0.8801589103125496,0.5428319282722358,0.7763814361656051
30,WALK,HEAD,0.1,88.96551724137932,2.1578494294891977,2.0767938691860475,11.973177529408645,1.1371977682820695,1.0756331152690104,5.117607686166999
31,WALK,HEAD,0.2,55.51724137931034,3.3509787340547836,2.5301263059006223,6.207743891711624,2.118828177655273,1.1823171744951395,3.1547521754748455
32,WALK,HEAD,0.3,33.27586206896552,4.18626451040895,2.7815248756476705,5.758476923982853,2.8678752778943477,1.2039224386988943,3.110416439477642
33,WALK,HEAD,0.4,17.758620689655167,4.796073033927469,2.932088791262138,5.685976860618092,3.3278576086047686,1.1833959009176036,3.1912553531167376
34,WALK,HEAD,0.5,8.448275862068966,5.266031551149692,2.9834403775510228,5.505070721156108,3.6451009018476266,1.1675463343948236,3.009868049117051
