,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,error
0,5.0,0,STAND,HEAD,4,0,SMALL,1.0675925579166665,0.2298844803023124,4.355077657388889,4.355077657388889,0.5024109999999951,1.0,1.052566000000013,1.052566000000013,0.5810277791854405,-0.69619103571961,0.16035149899191573,0.5958881667289576,
1,5.0,0,STAND,HEAD,4,1,SMALL,0.5349765343442623,0.18360413105533888,3.818519896818182,3.818519896818182,0.6323549999999898,1.0,1.166763000000003,1.166763000000003,0.2973580666518212,-0.09064396330156078,0.3397533816437305,0.3358403481686899,
2,5.0,0,STAND,HEAD,4,2,SMALL,0.5931432266833333,0.21993351506753836,3.920117223774194,3.920117223774194,0.5502929999999822,1.0,1.0989079999999944,1.0989079999999944,0.2989327275777679,0.43078999251929034,0.29507282937728885,0.19897142373452448,
3,5.0,0,STAND,HEAD,4,3,SMALL,1.1113590203033707,0.49283468105924544,3.254506740635037,3.254506740635037,0.8015440000000069,1.0,1.9157570000000135,1.9157570000000135,0.9574680649668253,0.43405099338662984,0.5551027634468283,0.2635060268809992,
4,5.0,0,STAND,HEAD,4,4,SMALL,0.9264869248688525,0.160639169062425,3.837990724678161,3.837990724678161,0.43246500000000765,1.0,1.0658719999999846,1.0658719999999846,0.772891190684867,0.2031176997693704,0.11319396035089155,0.49352781576767707,
5,5.0,0,STAND,HEAD,4,5,SMALL,1.290401396037037,0.6618279428109308,3.8870425966875004,3.8870425966875004,0.5153880000000015,1.0,1.3976480000000038,1.3976480000000038,0.03569523841344849,0.043375048153522174,0.4101629101139719,1.3979590373107609,
6,5.0,0,STAND,HEAD,4,6,SMALL,0.4750469886233334,0.28083435349596364,4.366451528442857,4.366451528442857,0.6324619999999754,1.0,1.0993959999999845,1.0993959999999845,0.02008200814940242,0.30680556933872727,0.3427804043601476,0.3084230373804301,
7,5.0,0,STAND,HEAD,4,7,SMALL,0.9700255777500001,0.2664840458695791,3.91568694581081,3.91568694581081,0.8452650000000119,1.0,1.4339300000000037,1.4339300000000037,-0.7935149148385366,-0.073712531617812,0.5772945253644118,0.22196887872212429,
8,5.0,0,STAND,HEAD,4,8,SMALL,0.6422132914098361,0.15497922208656484,3.1635015928275863,3.1635015928275863,0.43331899999998313,1.0,1.1167450000000088,1.1167450000000088,-0.03160441672564635,-0.5170044292747418,0.37734593424202056,0.17135584974669052,
9,5.0,0,WALK,HEAD,4,0,SMALL,2.4710268221617024,1.1168557034171687,4.285601071355482,4.285601071355482,1.0993399999999838,2.0,3.950399999999945,1.9751999999999725,0.35342128444529275,-0.6430651185739941,2.191454824482093,1.4492835396363897,
10,5.0,0,WALK,HEAD,4,1,SMALL,2.2944731162196974,1.3884382691067056,3.1429071668066664,3.1429071668066664,0.6001609999999573,2.0,4.267400000000066,2.133700000000033,0.9008616920615675,-0.6314877421764139,2.298855959128383,0.86851091122902,
11,5.0,0,WALK,HEAD,4,2,SMALL,4.454810023557447,3.2541026147603938,6.484493495053333,6.484493495053333,1.0836000000000467,3.0,3.085002000000145,1.0283340000000483,2.763432424163111,-0.28408090573946676,4.623748195275184,1.0723648997522544,
12,5.0,0,WALK,HEAD,4,3,SMALL,4.651475897163499,2.6841562282765588,4.953090128413333,4.953090128413333,0.6165000000000873,5.0,2.8823879999999917,0.5764775999999984,-0.4540267808410037,0.7883073226364604,5.174232877793668,1.088148067042463,
13,5.0,0,WALK,HEAD,4,4,SMALL,3.3386473415560745,1.8988672188219948,6.033536952435215,6.033536952435215,1.4501999999999953,4.0,2.652140999999915,0.6630352499999788,1.2012227072539883,-0.024237240273267627,3.509569009273665,1.0650188640214682,
14,5.0,0,WALK,HEAD,4,5,SMALL,3.964303435290698,2.837424551147512,4.548598087201987,4.548598087201987,0.7315499999999702,4.0,3.3523949999998877,0.8380987499999719,2.4679457575396646,-0.17354763320277325,4.05010616248282,1.1774482090426504,
15,5.0,0,WALK,HEAD,4,6,SMALL,4.504860698079646,3.862694464123258,4.663361255961038,4.663361255961038,1.3663999999999987,3.0,3.3472629999998844,1.1157543333332949,-3.9891959005503206,0.4310797033417413,4.107964022151449,1.3599867076863936,
16,5.0,0,WALK,HEAD,4,7,SMALL,1.8899491463811322,1.0215653523385368,2.694979924754153,2.694979924754153,0.5991360000000441,1.0,4.47969999999998,4.47969999999998,0.3849315418793528,-0.02419222344564568,1.9606168650886022,0.7966071104756486,
17,5.0,0,WALK,HEAD,4,8,SMALL,2.6420001380746267,1.4493356910659445,3.3095331438006643,3.3095331438006643,0.5509399999999687,3.0,4.081844000000046,1.360614666666682,-0.3140447456862726,-0.2012502753035407,2.9078287128226648,0.7619084668121128,
18,5.0,0,STAND,HEAD,5,0,LARGE,0.34110063440655747,0.2541813364492385,7.024922203408547,7.024922203408547,0.9309199999999862,1.0,1.2667169999999999,1.2667169999999999,0.020931754362936567,0.09697351032711397,0.30664093886341987,0.2900758774097498,
19,5.0,0,STAND,HEAD,5,1,LARGE,0.968387760699029,0.3916666686354364,5.704988574948717,5.704988574948717,0.8805389999999989,1.0,1.933117999999979,1.933117999999979,0.5032663366502241,-0.8176646342938745,0.20381240778460447,0.369984838978569,
20,5.0,0,STAND,HEAD,5,2,LARGE,0.5850022754166665,0.23381354028835863,8.411919550252525,8.411919550252525,0.6473689999999976,1.0,1.070048000000014,1.070048000000014,-0.018288138636300397,-0.30217207023148124,0.4619290867496284,0.31063769403056635,
21,5.0,0,STAND,HEAD,5,3,LARGE,1.1031574454777777,0.5206440711536503,6.32781763429771,6.32781763429771,0.6819480000000055,1.0,1.6180439999999976,1.6180439999999976,0.3951096021530661,0.4164343280307506,0.9409017539173463,0.5434745713637155,
22,5.0,0,STAND,HEAD,5,4,LARGE,0.7255982591,0.28854045931420524,6.879474581402062,6.879474581402062,0.6175839999999937,1.0,1.0846249999999884,1.0846249999999884,0.39428622506113375,-0.39662052672517023,0.1597111527314391,0.5327410250667463,
