,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,entering_position,walking_speed,error
0,20,STAND,HEAD,4,0,SMALL,0.6109959012301246,0.2702687503651217,5.688860389486932,5.549857762709451,1.0133209999999906,1.0,0.8174973333333374,0.8174973333333374,0.5478361538572671,0.17485514260376997,0.2847556319933339,0.18837036859152748,0.5478361538572671,0.21756437493289096,0.2847556319933339,0.13552440749929479,0.8174973333333374,13.072903592683776,"(-1.3738467689769465, -0.39769483773663694)",0.01586361566890434,
1,20,STAND,HEAD,4,1,SMALL,0.7627484893138768,0.1896599465215941,6.1814305804701775,5.765453250184183,0.9301269999999988,1.0,0.7823573333333248,0.7823573333333248,-0.5534403730405487,-0.3994092392113219,0.3427531207320651,0.19243019968266342,0.5888187303282406,0.3994092392113219,0.27598989710623867,0.19243019968266342,0.7823573333333248,12.887538368419682,"(-0.5279601337199296, -1.1019007886616095)",0.020679487038147523,
2,20,STAND,HEAD,4,2,SMALL,0.9869439718181807,0.14469120345817707,6.0589544984323025,5.472503236565504,0.9458159999999793,1.0,0.7607803333333455,0.7607803333333455,0.3773325285725044,0.907936259658837,0.1282890281309835,0.1094637643691293,0.3773325285725044,0.907936259658837,0.1282890281309835,0.1094637643691293,0.7607803333333455,12.937238864692059,"(-0.8957972867608603, 1.0943827739082792)",0.016263628178823552,
3,20,STAND,HEAD,4,3,SMALL,0.8373450395460811,0.17791631646437117,5.228822116730838,5.40965848474929,0.8687129999999854,1.0,1.0148553333333459,1.0148553333333459,-0.3636394748299544,0.6493542212121921,0.3937783109064789,0.16229848905451852,0.3943855329795262,0.6493542212121921,0.36243627779249926,0.16229848905451852,1.0,12.293238625436077,"(-0.5914249334525934, 1.0993045524914606)",0.01617170793359709,
4,20,STAND,HEAD,4,4,SMALL,1.1138778254421804,0.37367454016858953,4.091806184640221,4.719334281912758,1.1207239999999956,2.0,1.562429666666649,0.7812148333333245,0.3925757735420801,1.03589133596875,0.18127995795703303,0.34703597352262494,0.3925757735420801,1.03589133596875,0.18127995795703303,0.34703597352262494,0.9334653333333184,12.1113726058389,"(-0.7292322862615279, 1.2816341399406923)",0.01380558068510331,
5,20,STAND,HEAD,4,5,SMALL,1.0069832540100818,0.09930054930006041,5.921648657773272,5.355119376609348,0.9856880000000103,1.0,0.7347083333333463,0.7347083333333463,-0.6551031006282348,0.7620331724440249,0.06297355712881515,0.10077022715468775,0.6551031006282348,0.7620331724440249,0.06297355712881515,0.10077022715468775,0.7347083333333463,12.270663404048467,"(0.8816659564476979, 1.1244765730083515)",0.01846134520594839,
6,20,STAND,HEAD,4,6,SMALL,0.4668738676936167,0.2974152544170192,5.012438352303855,5.2924542547177,1.0845789999999909,1.0,0.8319763333333318,0.8319763333333318,-0.2176605458919124,0.287881226389616,0.4119091556417838,0.09128891016258599,0.2634327675907612,0.287881226389616,0.3836530697276006,0.09128891016258599,0.8319763333333318,12.606871507859786,"(1.3525014414060301, 0.438138183079829)",0.01614167417005257,
7,20,STAND,HEAD,4,7,SMALL,0.8404011837562325,0.29350026851846955,5.1696373357338175,5.556297809323638,0.8131910000000175,1.0,1.0406723333333068,1.0406723333333068,0.09107643926738215,-0.7338006493192069,0.4466082945955807,0.22103817557668398,0.37377018506591775,0.7338006493192069,0.256631216838634,0.22103817557668398,1.0,12.915050526510269,"(0.6277246826257787, -1.308505224693505)",0.019259428376692027,
8,20,STAND,HEAD,4,8,SMALL,0.694893322967094,0.27888032556926745,5.837564382297726,5.410269897879796,1.1469109999999887,1.0,0.7856553333333257,0.7856553333333257,0.17633381370181234,-0.6382488781562092,0.25244479139788945,0.24383292107628607,0.2610126294878194,0.6382488781562092,0.16084594025827917,0.24383292107628607,0.7856553333333257,12.678704692817016,"(-0.479629810407193, -1.3229714658411353)",0.01652090180238865,
9,20,WALK,HEAD,4,0,SMALL,2.69590884899783,1.965911855121594,2.6924791456687247,1.963656903936284,0.018799999999941974,6.0,1.560512000000085,0.2600853333333475,-0.3693213164700975,-0.41781797897230416,3.0700072428400538,1.1913886389978592,2.303885968849194,0.9977632218926402,2.0583152307021013,0.7718690643698605,0.6009333333333037,0.19303897967822856,"(-0.45314342981151157, -1.3665520536116418)",0.5072582987161112,
