posture,cursor_type,wide,mean_offset,std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical
STAND,EYE,LARGE,0.8365398753747877,0.8164192758711414,0.5503199629629597,1.7037037037037037,1.0513652962962934,0.7311308888888866,-0.7963043819365141,0.2496606687790472,3.063342549716925,0.7669642511413443
STAND,EYE,SMALL,0.6211649849704076,0.23339486127458056,0.3569724444444454,1.1481481481481481,0.9851379259259261,0.9327151944444454,1.0654422836288313,0.17908156539118925,1.9556567779726717,0.2305832667863312
STAND,HAND,LARGE,0.8492479964805149,0.36226467844971766,1.1390958148148187,1.1851851851851851,0.9987445925925905,0.8945975370370339,-0.9881493825976262,0.19601579908898678,2.6364334788789154,0.4320699570089147
STAND,HAND,SMALL,0.9295168462669051,0.38619225076668706,0.7655765555555568,1.3333333333333333,1.0450127407407392,0.8466766296296286,-0.1878517663879464,0.2425287802434276,2.4171789120515146,0.44598396524088
STAND,HEAD,LARGE,0.6947307593449227,0.37822523738062563,0.8160473703703617,1.3703703703703705,1.083957888888891,0.8546310493827176,-0.14652586773799325,-0.1481926506206749,1.3603379361272445,0.47640489851027185
STAND,HEAD,SMALL,0.7896184155813634,0.40927724091221157,0.5489927407407446,1.5185185185185186,1.0123961851851875,0.7518769320987679,0.196696223639105,-0.03820361900573694,2.0920747711359517,0.6288952597708966
WALK,EYE,LARGE,2.4570496212181894,1.578515261091135,0.9540421111110988,13.925925925925926,0.9691630370370342,0.07579696601073743,-5.163901514761488,0.023230481746840097,23.302024096721855,2.2373374580724366
WALK,EYE,SMALL,2.7998720419044156,2.3208403700662097,0.789201555555556,14.0,1.0063828148147718,0.07636295462894499,-8.198437256952083,0.03966188934559403,34.669571720608864,2.680031920494429
WALK,HAND,LARGE,3.718700625746121,2.261652638635187,1.5096766666666654,8.148148148148149,0.6052904444444536,0.07869415819251678,0.6406636042345093,0.04447931592629918,15.817930129260743,3.5644328253264983
WALK,HAND,SMALL,4.091619949150684,2.586371787017641,1.2995247407407415,7.666666666666667,0.5923927037037158,0.0830262382943211,-1.2633230824745179,-0.116787492939802,11.522310941780928,3.8125246160384907
WALK,HEAD,LARGE,3.520494455010097,2.0155435248556817,1.4535803076923082,6.884615384615385,0.4958255769231003,0.07813606770729582,-0.17751622089115854,0.5792814758011878,8.78909469667145,3.102266881385163
WALK,HEAD,SMALL,3.430727957465353,2.0052806910317535,0.9904381851851953,8.11111111111111,0.6910538148148193,0.08591935167332523,-2.4766646591776356,-0.34402471630372394,15.045019605223604,3.396982497238071
