posture,cursor_type,wide,dwell_time,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size
STAND,EYE,LARGE,1.2000000000000102,,,,,,
STAND,EYE,SMALL,1.2000000000000102,,,,,,
STAND,HAND,LARGE,1.2000000000000102,1.6508000000000038,1.0,1.41824100000008,1.41824100000008,2.16575899999998,11.6412249
STAND,HAND,SMALL,1.2000000000000102,,,,,,
STAND,HEAD,LARGE,1.2000000000000102,,,,,,
STAND,HEAD,SMALL,1.2000000000000102,,,,,,
WALK,EYE,LARGE,1.2000000000000102,,,,,,
WALK,EYE,SMALL,1.2000000000000102,,,,,,
WALK,HAND,LARGE,1.2000000000000102,,,,,,
WALK,HAND,SMALL,1.2000000000000102,,,,,,
WALK,HEAD,LARGE,1.2000000000000102,,,,,,
WALK,HEAD,SMALL,1.2000000000000102,,,,,,
