posture,cursor_type,wide,mean_offset,std_offset,initial_contact_time,target_in_total_time,target_in_mean_time
STAND,EYE,LARGE,0.9372172596394553,0.7936675166171712,0.603697851851865,1.2326170370370333,0.8103156469135807
STAND,EYE,SMALL,0.909667997562203,0.7508679707100534,0.5733967777777867,1.2340271111111094,0.8174334673721334
STAND,HAND,LARGE,1.2839319652695484,0.8345829046272567,1.3054335555555687,1.0912418148148062,0.9407168148148091
STAND,HAND,SMALL,0.9235627132720684,0.3778802395613682,0.8310427407407427,0.9888354444444589,0.8892582037037123
STAND,HEAD,LARGE,0.97009587716188,0.49288516073049576,0.9986853333333262,1.2659832222222482,0.6411642433862559
STAND,HEAD,SMALL,0.9313862018999218,0.5357229718543861,0.8064055555555611,1.3532508148148155,0.7311275981481465
WALK,EYE,LARGE,3.9039701937774645,2.4331197924398724,1.9080567826086987,0.3857956956521726,0.04646250472412672
WALK,EYE,SMALL,4.996608601127263,3.38157467034776,1.5622346923076975,0.6000870769230678,0.05391082896157705
WALK,HAND,LARGE,4.74605638194498,2.7138675095081624,1.8905234230769237,0.33595873076926025,0.06316648014763718
WALK,HAND,SMALL,4.79906102102966,2.782341354878478,1.768700703703686,0.4261471111111211,0.06713652317754457
WALK,HEAD,LARGE,3.878391461979074,2.0330184132775253,1.8526286296296286,0.5896311481481449,0.07592467074314638
WALK,HEAD,SMALL,3.0196065901160143,1.7517138054937678,1.6418642608695677,0.6658527391304302,0.07541184075851841
