,dwell_time,subject_num,posture,cursor_type,repetition,target_num,wide,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,best_record,error
0,0.8,0,STAND,HEAD,4,0,SMALL,0.5024109999999951,1.0,1.0170063333333437,1.0170063333333437,0.5024109999999951,1.3087393448935978,0.1254268023579886,1.2668594064107095,1.0170063333333437,
1,0.8,0,STAND,HEAD,4,1,SMALL,0.6323549999999898,1.0,1.0321583333333442,1.0321583333333442,0.6323549999999898,1.3141365061370203,0.6827246619803368,0.6236555933860484,1.0321583333333442,
2,0.8,0,STAND,HEAD,4,2,SMALL,0.5502929999999822,1.0,1.0166253333333393,1.0166253333333393,0.5502929999999822,1.463931473151459,0.800748574846922,0.7789469768268819,1.0166253333333393,
3,0.8,0,STAND,HEAD,4,3,SMALL,0.8015440000000069,1.0,1.0165033333333346,1.0165033333333346,1.2820890000000134,2.200344267034527,0.1994907874280727,0.8904141995071269,1.0165033333333346,
4,0.8,0,STAND,HEAD,4,4,SMALL,0.43246500000000765,1.0,1.033272333333317,1.033272333333317,0.43246500000000765,1.1399170404514634,0.2910808534651181,1.1399170404514634,1.033272333333317,
5,0.8,0,STAND,HEAD,4,5,SMALL,0.5153880000000015,1.0,1.031532333333333,1.031532333333333,0.8494489999999928,3.0476421930609447,0.4186913897788591,1.3629944912808873,1.031532333333333,
6,0.8,0,STAND,HEAD,4,6,SMALL,0.6324619999999754,1.0,1.018181333333333,1.018181333333333,0.6324619999999754,1.458376535966611,0.7600726039433553,0.6585648430704404,1.018181333333333,
7,0.8,0,STAND,HEAD,4,7,SMALL,0.8452650000000119,1.0,1.0206633333333193,1.0206633333333193,0.8452650000000119,1.379560544335185,1.1585333928397359,1.2976127508463502,1.0206633333333193,
8,0.8,0,STAND,HEAD,4,8,SMALL,0.43331899999998313,1.0,1.0314113333333543,1.0314113333333543,0.43331899999998313,1.2363317755714882,0.14199589491089434,0.713370495696878,1.0314113333333543,
9,0.8,0,WALK,HEAD,4,0,SMALL,,,,,,4.217935521110308,,2.884803535955874,0.28389533333327865,no success dwell
10,0.8,0,WALK,HEAD,4,1,SMALL,,,,,,5.678127537999471,,1.8957331371451924,0.5847253333334114,no success dwell
11,0.8,0,WALK,HEAD,4,2,SMALL,,,,,,5.842296741478873,,4.615508410054601,0.19807433333326874,no success dwell
12,0.8,0,WALK,HEAD,4,3,SMALL,,,,,,12.100988159691724,,3.7501451239091117,0.116333333333417,no success dwell
13,0.8,0,WALK,HEAD,4,4,SMALL,,,,,,5.442415167987602,,3.8555759511538517,0.19966933333333448,no success dwell
14,0.8,0,WALK,HEAD,4,5,SMALL,,,,,,5.118794344989356,,4.2024587068463015,0.2688833333333226,no success dwell
15,0.8,0,WALK,HEAD,4,6,SMALL,,,,,,3.672857843639209,,2.781887016145827,0.21593333333331277,no success dwell
16,0.8,0,WALK,HEAD,4,7,SMALL,,,,,,3.819536012337141,,2.2819430191713423,0.6188333333333579,no success dwell
17,0.8,0,WALK,HEAD,4,8,SMALL,,,,,,5.84459512700644,,2.2945033538420234,0.23297933333324938,no success dwell
18,0.8,0,STAND,HEAD,5,0,LARGE,0.9309199999999862,1.0,1.03383333333335,1.03383333333335,0.9309199999999862,1.476711802795644,1.8899976911422165,0.5372739489492762,1.03383333333335,
19,0.8,0,STAND,HEAD,5,1,LARGE,0.8805389999999989,1.0,1.0163783333333092,1.0163783333333092,1.597122000000013,1.6762919780284335,0.2852331007939552,0.9440938706478196,1.0163783333333092,
20,0.8,0,STAND,HEAD,5,2,LARGE,0.6473689999999976,1.0,1.0205113333333335,1.0205113333333335,0.6473689999999976,1.3740859800393845,0.17284265362438467,0.6724878323969655,1.0205113333333335,
21,0.8,0,STAND,HEAD,5,3,LARGE,0.6819480000000055,1.0,1.0324323333333345,1.0324323333333345,1.1678929999999923,2.561689862148007,0.47360102469823634,1.1862434139247893,1.0324323333333345,
22,0.8,0,STAND,HEAD,5,4,LARGE,0.6175839999999937,1.0,1.015404333333324,1.015404333333324,0.6175839999999937,1.2624670259929212,0.8843537164820713,1.1781886078435329,1.015404333333324,
23,0.8,0,STAND,HEAD,5,5,LARGE,0.7506109999999921,1.0,1.0161423333333366,1.0161423333333366,0.7506109999999921,1.2793775609451243,0.5396705499536406,1.2793775609451243,1.0161423333333366,
24,0.8,0,STAND,HEAD,5,6,LARGE,1.0815279999999916,1.0,1.0180133333333308,1.0180133333333308,1.0815279999999916,1.3013340457677285,0.06838019629267422,0.7478037409583858,1.0180133333333308,
25,0.8,0,STAND,HEAD,5,7,LARGE,0.9673159999999825,1.0,1.031990333333342,1.031990333333342,0.9673159999999825,1.408852498827359,0.7603988191429384,0.5314217452970361,1.031990333333342,
26,0.8,0,STAND,HEAD,5,8,LARGE,0.750456999999983,1.0,1.0166253333333393,1.0166253333333393,0.750456999999983,1.2913624481098964,2.098388589592879,1.1083738234183556,1.0166253333333393,
27,0.8,0,WALK,HEAD,5,0,LARGE,,,,,,6.1897210239410345,,3.6175736340144935,0.182809333333383,no success dwell
28,0.8,0,WALK,HEAD,5,1,LARGE,,,,,,8.865588369064735,,3.666617208445009,0.21486733333327568,no success dwell
29,0.8,0,WALK,HEAD,5,2,LARGE,,,,,,4.91586351766477,,3.5961778434611142,0.15013333333323164,no success dwell
30,0.8,0,WALK,HEAD,5,3,LARGE,,,,,,6.489918196503029,,3.0443920855379543,0.26863333333327166,no success dwell
31,0.8,0,WALK,HEAD,5,4,LARGE,,,,,,4.708570274892956,,4.248078047168924,0.18293033333330488,no success dwell
32,0.8,0,WALK,HEAD,5,5,LARGE,,,,,,7.502352509371033,,3.244395397519365,0.1495753333333899,no success dwell
33,0.8,0,WALK,HEAD,5,6,LARGE,,,,,,4.901813763195861,,4.22862509619829,0.14947533333330132,no success dwell
34,0.8,0,WALK,HEAD,5,7,LARGE,,,,,,7.080045604788789,,2.8813511142195996,0.24948333333330386,no success dwell
35,0.8,0,WALK,HEAD,5,8,LARGE,,,,,,2.8937670610905584,,2.8937670610905584,0.1326333333334181,no success dwell
36,0.8,0,STAND,HEAD,6,0,SMALL,0.4367860000000121,1.0,1.0310563333333411,1.0310563333333411,0.4367860000000121,1.4118684743442682,1.992850266733283,1.4118684743442682,1.0310563333333411,
37,0.8,0,STAND,HEAD,6,1,SMALL,0.5326840000000175,1.0,1.0173233333333391,1.0173233333333391,0.7662380000000155,1.8745686889536881,1.5690501433720954,0.7061343463924217,1.0173233333333391,
38,0.8,0,STAND,HEAD,6,2,SMALL,0.5182650000000137,1.0,1.0183343333333161,1.0183343333333161,0.7494200000000149,1.6960722110594513,0.2631062652541511,0.5587201141480377,1.0183343333333161,
39,0.8,0,STAND,HEAD,6,3,SMALL,0.3661340000000166,1.0,1.0161213333333328,1.0161213333333328,0.4518120000000181,1.5496868760524034,1.4833882890193066,0.8262341474778117,1.0161213333333328,
40,0.8,0,STAND,HEAD,6,4,SMALL,0.4315830000000176,1.0,1.0162553333333355,1.0162553333333355,0.4315830000000176,1.4611101587211714,1.475586316495938,1.421207161526492,1.0162553333333355,
41,0.8,0,STAND,HEAD,6,5,SMALL,0.5335640000000126,1.0,1.0180443333333093,1.0180443333333093,0.6646420000000148,1.5484140815171659,0.2420276251632222,1.2981898687979965,1.0180443333333093,
42,0.8,0,STAND,HEAD,6,6,SMALL,0.582886000000002,1.0,1.01707133333335,1.01707133333335,0.9158290000000022,2.3691252920047745,0.17418446376338614,0.5334134707467447,1.01707133333335,
43,0.8,0,STAND,HEAD,6,7,SMALL,0.4313199999999995,1.0,1.0175553333333218,1.0175553333333218,0.7792670000000044,2.8931085931716938,1.7878508940704918,0.8128248373538063,1.0175553333333218,
44,0.8,0,STAND,HEAD,6,8,SMALL,0.7841339999999946,1.0,1.0312883333333522,1.0312883333333522,0.7841339999999946,1.395829030302519,1.526745440331658,0.990687974002664,1.0312883333333522,
45,0.8,0,WALK,HEAD,6,0,SMALL,,,,,,6.03004281810151,,2.5435128333274104,0.21881933333330228,no success dwell
46,0.8,0,WALK,HEAD,6,1,SMALL,,,,,,6.408820299750367,,2.877333951976068,0.26740033333331514,no success dwell
47,0.8,0,WALK,HEAD,6,2,SMALL,,,,,,1.8490190023697561,,1.6518865513291539,0.28267433333329184,no success dwell
48,0.8,0,WALK,HEAD,6,3,SMALL,,,,,,10.994102340862053,,8.07058338989537,0.24968433333325113,no success dwell
49,0.8,0,WALK,HEAD,6,4,SMALL,,,,,,3.1013338032916566,,2.6971026485606657,0.39937033333333904,no success dwell
50,0.8,0,WALK,HEAD,6,5,SMALL,,,,,,5.2519809815964855,,2.7997176594080306,0.2663333333332806,no success dwell
51,0.8,0,WALK,HEAD,6,6,SMALL,,,,,,5.32821763825885,,3.465709788415862,0.18268133333336511,no success dwell
52,0.8,0,WALK,HEAD,6,7,SMALL,,,,,,3.7003874622077455,,3.17294548474566,0.18439633333335526,no success dwell
53,0.8,0,WALK,HEAD,6,8,SMALL,,,,,,4.389081014112787,,3.2448534330810825,0.21513333333328621,no success dwell
54,0.8,0,STAND,HEAD,7,0,LARGE,0.6689299999999889,1.0,1.0194323333333293,1.0194323333333293,0.6689299999999889,1.2276929516594244,1.2827723646454674,0.619353525056972,1.0194323333333293,
55,0.8,0,STAND,HEAD,7,1,LARGE,0.7494719999999973,2.0,1.832078666666693,0.9160393333333465,1.1499479999999949,2.1525469232607937,1.0987428947298685,1.287048618411034,1.0175103333333502,
56,0.8,0,STAND,HEAD,7,2,LARGE,0.5831760000000088,1.0,1.0338873333333274,1.0338873333333274,1.0153760000000034,3.971298305555968,0.25919277439456856,0.8878932968938978,1.0338873333333274,
57,0.8,0,STAND,HEAD,7,3,LARGE,0.7827669999999785,1.0,1.0310293333333524,1.0310293333333524,0.7827669999999785,1.4120625097911113,0.2509370001369125,1.2169840685315074,1.0310293333333524,
58,0.8,0,STAND,HEAD,7,4,LARGE,0.6636230000000012,1.0,1.0203023333333212,1.0203023333333212,0.6636230000000012,1.2028892000481728,0.4881365221359714,0.8541250063267996,1.0203023333333212,
59,0.8,0,STAND,HEAD,7,5,LARGE,1.2835999999999785,2.0,2.01349766666667,1.006748833333335,1.2835999999999785,1.4155638992902642,1.4358622279159479,0.9468881792665524,1.0327993333333174,
60,0.8,0,STAND,HEAD,7,6,LARGE,0.7168729999999925,1.0,1.0160883333333308,1.0160883333333308,0.7168729999999925,1.1299525768337373,1.0214112258325294,0.6713972329898551,1.0160883333333308,
61,0.8,0,STAND,HEAD,7,7,LARGE,0.7520760000000166,1.0,1.01564233333332,1.01564233333332,0.7520760000000166,1.408435628883489,0.6820296181284794,0.6192246181498715,1.01564233333332,
62,0.8,0,STAND,HEAD,7,8,LARGE,0.8488459999999804,1.0,1.0162443333333349,1.0162443333333349,0.8488459999999804,1.4216007744715644,0.3014460286510652,0.7506399557651917,1.0162443333333349,
63,0.8,0,WALK,HEAD,7,0,LARGE,,,,,,6.32903415155024,,1.819943741640252,0.25073333333333114,no success dwell
64,0.8,0,WALK,HEAD,7,1,LARGE,,,,,,4.468414926057646,,3.1388395444702004,0.25033333333331786,no success dwell
65,0.8,0,WALK,HEAD,7,2,LARGE,,,,,,4.137492158836123,,2.1934208069523358,0.38593333333327184,no success dwell
66,0.8,0,WALK,HEAD,7,3,LARGE,,,,,,4.23613592125693,,3.412096656997968,0.3325333333332613,no success dwell
67,0.8,0,WALK,HEAD,7,4,LARGE,,,,,,5.00254213047359,,4.9197094143074365,0.4484703333332921,no success dwell
68,0.8,0,WALK,HEAD,7,5,LARGE,,,,,,4.762831664805166,,4.132469000854081,0.21637033333334632,no success dwell
69,0.8,0,WALK,HEAD,7,6,LARGE,,,,,,6.379546613811904,,5.259556932332233,0.26703333333333223,no success dwell
70,0.8,0,WALK,HEAD,7,7,LARGE,,,,,,7.589214856082192,,3.157064353876236,0.39999633333335016,no success dwell
71,0.8,0,WALK,HEAD,7,8,LARGE,,,,,,4.366917926598561,,3.6293509536764867,0.1509333333333719,no success dwell
72,0.8,0,STAND,HEAD,8,0,SMALL,0.41911300000001006,1.0,1.0321583333333442,1.0321583333333442,0.41911300000001006,1.4457865791416282,0.35900645058469643,0.7356393670785909,1.0321583333333442,
73,0.8,0,STAND,HEAD,8,1,SMALL,0.7649380000000008,1.0,1.0369653333333437,1.0369653333333437,0.7649380000000008,1.3542213991129894,0.845778873106595,0.5659882569141796,1.0369653333333437,
74,0.8,0,STAND,HEAD,8,2,SMALL,0.4479840000000195,1.0,1.0161813333333234,1.0161813333333234,0.7624360000000081,3.1997556792106483,0.36881153569812514,0.30116620310004416,1.0161813333333234,
75,0.8,0,STAND,HEAD,8,3,SMALL,0.5113780000000077,1.0,1.0317153333333258,1.0317153333333258,0.8823250000000087,2.2999120969457234,0.5178676779333125,0.38596503815558536,1.0317153333333258,
76,0.8,0,STAND,HEAD,8,4,SMALL,0.46641700000000696,1.0,1.032025333333339,1.032025333333339,0.9184999999999945,1.5650856862155345,1.2915981438526007,0.5695803000949636,1.032025333333339,
77,0.8,0,STAND,HEAD,8,5,SMALL,0.4839629999999886,1.0,1.033408333333343,1.033408333333343,0.4839629999999886,1.4339358998898644,0.07051311096239372,1.1542845144885776,1.033408333333343,
78,0.8,0,STAND,HEAD,8,6,SMALL,0.5838400000000092,1.0,1.018193333333331,1.018193333333331,0.9996800000000121,2.829836308490596,0.6737791968848503,0.8075908458656775,1.018193333333331,
79,0.8,0,STAND,HEAD,8,7,SMALL,0.5332950000000096,1.0,1.0159483333333432,1.0159483333333432,0.8355760000000032,2.0039498818727495,0.3052261373875768,0.9752862557702412,1.0159483333333432,
80,0.8,0,STAND,HEAD,8,8,SMALL,0.6490180000000123,1.0,1.0192793333333177,1.0192793333333177,0.6490180000000123,1.4065038958909095,0.6817100191030995,0.6046034037380278,1.0192793333333177,
81,0.8,0,WALK,HEAD,8,0,SMALL,,,,,,8.01179796914501,,6.089094474832215,0.10059533333324755,no success dwell
82,0.8,0,WALK,HEAD,8,1,SMALL,,,,,,5.214557958438612,,3.8481559777095784,0.10250033333332642,no success dwell
83,0.8,0,WALK,HEAD,8,2,SMALL,,,,,,3.216500960209396,,3.1472301507859077,0.1832333333333357,no success dwell
84,0.8,0,WALK,HEAD,8,3,SMALL,,,,,,3.32115893392403,,2.551257821765079,0.20078933333334892,no success dwell
85,0.8,0,WALK,HEAD,8,4,SMALL,,,,,,3.511322172570144,,3.483777234745073,0.25026633333337334,no success dwell
86,0.8,0,WALK,HEAD,8,5,SMALL,,,,,,4.646927651733885,,3.5225241575900768,0.33333333333328785,no success dwell
87,0.8,0,WALK,HEAD,8,6,SMALL,,,,,,5.269419534017725,,2.595482188013351,0.4837333333333921,no success dwell
88,0.8,0,WALK,HEAD,8,7,SMALL,,,,,,5.8468189367912,,2.272886327773186,0.23478733333334578,no success dwell
89,0.8,0,WALK,HEAD,8,8,SMALL,,,,,,4.871012309612749,,4.344778630833959,0.5338983333332711,no success dwell
90,0.8,0,STAND,HEAD,9,0,LARGE,0.779153000000008,1.0,1.0190813333333344,1.0190813333333344,1.0463340000000017,1.8536673630660199,0.15738163444609787,0.6108284925669676,1.0190813333333344,
91,0.8,0,STAND,HEAD,9,1,LARGE,1.0829289999999787,1.0,1.031440333333338,1.031440333333338,1.0829289999999787,1.4216431803534855,0.3290475285572645,0.8478605862304354,1.031440333333338,
92,0.8,0,STAND,HEAD,9,2,LARGE,0.6324159999999779,1.0,1.0312283333333616,1.0312283333333616,1.0645139999999742,4.607985445630816,0.5159523553848085,0.423022986522761,1.0312283333333616,
93,0.8,0,STAND,HEAD,9,3,LARGE,0.9818789999999638,1.0,1.0193333333333803,1.0193333333333803,0.9818789999999638,1.3298832073002802,0.5698931549136947,0.3610576893899567,1.0193333333333803,
94,0.8,0,STAND,HEAD,9,4,LARGE,0.6488189999999747,1.0,1.0167163333333369,1.0167163333333369,0.6488189999999747,1.3831140168134297,1.695561553831599,1.2098416499719615,1.0167163333333369,
95,0.8,0,STAND,HEAD,9,5,LARGE,0.8990479999999934,1.0,1.0179513333332884,1.0179513333332884,1.2805480000000102,2.4167087438388397,0.3545769126762724,0.4609625686468125,1.0179513333332884,
96,0.8,0,STAND,HEAD,9,6,LARGE,0.8989280000000122,1.0,1.0166393333333608,1.0166393333333608,1.3670660000000225,1.8133728946512941,0.47904621132681163,0.7856064185754732,1.0166393333333608,
97,0.8,0,STAND,HEAD,9,7,LARGE,0.8817439999999692,1.0,1.0344013333333655,1.0344013333333655,0.8817439999999692,1.399944402922766,0.36392027327310084,0.5171079595285655,1.0344013333333655,
98,0.8,0,STAND,HEAD,9,8,LARGE,0.8707280000000139,1.0,1.0298693333333253,1.0298693333333253,0.8707280000000139,1.4035477833978414,1.922590804720348,0.5980331135201552,1.0298693333333253,
99,0.8,0,WALK,HEAD,9,0,LARGE,,,,,,2.84406174275206,,2.3594301978046044,0.2510893333333418,no success dwell
100,0.8,0,WALK,HEAD,9,1,LARGE,,,,,,4.265489508728417,,3.6565859899184057,0.13427533333336517,no success dwell
101,0.8,0,WALK,HEAD,9,2,LARGE,,,,,,5.875288299149859,,2.3395852112135738,0.33333333333340154,no success dwell
102,0.8,0,WALK,HEAD,9,3,LARGE,,,,,,6.548633964515683,,3.6071599554096925,0.03333333333333333,no success dwell
103,0.8,0,WALK,HEAD,9,4,LARGE,,,,,,5.355534505549515,,5.338913040260723,0.2355333333332813,no success dwell
104,0.8,0,WALK,HEAD,9,5,LARGE,,,,,,4.651084567115783,,3.492872122757547,0.3509333333333037,no success dwell
105,0.8,0,WALK,HEAD,9,6,LARGE,,,,,,3.7866337648270343,,3.159845850859923,0.2550703333334089,no success dwell
106,0.8,0,WALK,HEAD,9,7,LARGE,,,,,,5.400386253406253,,4.698669608205391,0.21823333333341755,no success dwell
107,0.8,0,WALK,HEAD,9,8,LARGE,,,,,,7.383800461999903,,2.6067576805127377,0.23279633333337035,no success dwell
108,0.8,0,STAND,EYE,4,0,SMALL,0.3486249999999984,1.0,1.0181893333333412,1.0181893333333412,0.3486249999999984,1.4272735034902424,0.9713270771451045,0.9524665518858209,1.0181893333333412,
109,0.8,0,STAND,EYE,4,1,SMALL,0.2654720000000026,1.0,1.0178763333333356,1.0178763333333356,0.2654720000000026,1.064801341423114,0.38096576192665493,0.9123645204815466,1.0178763333333356,
110,0.8,0,STAND,EYE,4,2,SMALL,0.2868350000000106,1.0,1.0143283333333264,1.0143283333333264,0.2868350000000106,0.8906452484477877,0.48698903612222555,0.8237241932531738,1.0143283333333264,
111,0.8,0,STAND,EYE,4,3,SMALL,0.28490499999999486,1.0,1.0325313333333404,1.0325313333333404,0.28490499999999486,1.1950372481341511,1.3156264615475883,1.0328762227002173,1.0325313333333404,
112,0.8,0,STAND,EYE,4,4,SMALL,0.5332030000000003,1.0,1.01805133333332,1.01805133333332,0.5332030000000003,1.3643894794866935,0.19980592981773757,0.8962062821021592,1.01805133333332,
113,0.8,0,STAND,EYE,4,5,SMALL,0.6486129999999974,1.0,1.0198903333333382,1.0198903333333382,0.6486129999999974,1.4732992162063854,0.47063701517316686,0.5191053052289787,1.0198903333333382,
114,0.8,0,STAND,EYE,4,6,SMALL,0.2984160000000031,1.0,1.0163883333333266,1.0163883333333266,0.2984160000000031,1.2942447377357287,1.5138952079358035,1.1293386092214714,1.0163883333333266,
115,0.8,0,STAND,EYE,4,7,SMALL,0.3164830000000052,1.0,1.0338293333333317,1.0338293333333317,0.3164830000000052,1.0045307499483964,1.1412289128825392,0.9718658767090074,1.0338293333333317,
116,0.8,0,STAND,EYE,4,8,SMALL,0.4994130000000041,1.0,1.0319293333333255,1.0319293333333255,0.4994130000000041,1.3408940304257444,0.03549475127935752,0.5830179977716415,1.0319293333333255,
117,0.8,0,WALK,EYE,4,0,SMALL,,,,,,5.919774953196475,,4.529820131003965,0.14777833333326573,no success dwell
118,0.8,0,WALK,EYE,4,1,SMALL,,,,,,2.533684709274924,,2.533684709274924,0.4022603333333753,no success dwell
119,0.8,0,WALK,EYE,4,2,SMALL,,,,,,4.919855103202317,,2.032352311985061,0.28260033333330814,no success dwell
120,0.8,0,WALK,EYE,4,3,SMALL,,,,,,3.9704166344651597,,1.9726001669844688,0.5848793333333636,no success dwell
121,0.8,0,WALK,EYE,4,4,SMALL,,,,,,4.235673511135464,,2.3683908264467437,0.2679773333333363,no success dwell
122,0.8,0,WALK,EYE,4,5,SMALL,,,,,,4.266603366367538,,2.7271406514232575,0.18263333333337262,no success dwell
123,0.8,0,WALK,EYE,4,6,SMALL,,,,,,5.325029661705027,,2.6704057111505506,0.3173913333332924,no success dwell
124,0.8,0,WALK,EYE,4,7,SMALL,,,,,,5.720916574502965,,3.7674146124723227,0.3482743333333095,no success dwell
125,0.8,0,WALK,EYE,4,8,SMALL,,,,,,5.500566329466823,,2.2730180587417346,0.18148233333332275,no success dwell
