posture,cursor_type,wide,target_size,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell
STAND,EYE,LARGE,3.5,1.2822607109778772,0.9551168258063569,6.7826833203929935,6.7826833203929935,0.681477839258115,1.5038639876352395,1.755556174652245,1.393436412213882,0.1270956761185157,0.06286206309231483,0.9012217253923434,0.8266061554406441,1.6396948176197843
STAND,EYE,SMALL,3.5,1.078946561965577,0.6785450473837231,3.6014567512022047,3.6014567512022047,0.43282549691357597,1.2268518518518519,1.6145173549382694,1.4155348777520553,0.17998915140026295,0.06081925236595976,0.6226951117945149,0.6349475971971783,1.5191644475308625
STAND,HAND,LARGE,3.5,1.2542063987002665,0.9173349874392229,10.035180614355326,10.035180614355326,1.1032289857819901,1.1121642969984202,1.3957210758293828,1.3157489351538414,0.0704269085848695,0.06776702954771587,0.8459083108068074,0.76207034306419,1.3576702432859398
STAND,HAND,SMALL,3.5,1.1601869299951564,0.823729484447443,5.526101172949736,5.526101172949736,0.7762168979591861,1.0706436420722134,1.2904348587127152,1.244679445360195,0.017553670226425306,0.07968636549970286,0.7788110791892306,0.658140379946098,1.269867302982731
STAND,HEAD,LARGE,3.5,1.2859798777537337,0.8571984068426045,7.354333722068841,7.354333722068841,0.9157247853810248,1.1010886469673407,1.540990203732505,1.4522784795230703,-0.07927773818374319,0.19974731338516022,0.7874005745153331,0.8909147168470852,1.499714426127528
STAND,HEAD,SMALL,3.5,1.1308608194079741,0.7166991306057907,4.198557972579004,4.198557972579004,0.6703422708978358,1.1145510835913313,1.465052602167181,1.3554493993808039,-0.014818510110278337,0.09074390371740905,0.6710574893944834,0.732010160221142,1.4068664891640856
WALK,EYE,LARGE,3.5,3.794089302395649,2.7393178950909367,7.400366202052994,7.400366202052994,1.1750372302737542,6.85829307568438,2.507807866344606,0.48847646290601904,0.23118529155553666,-0.1236732296990701,3.5051923461503796,1.8180225740376534,1.1760685877616734
WALK,EYE,SMALL,3.5,3.6253041330461064,2.631192652532973,5.12625475969148,5.12625475969148,0.8355475694006329,7.406940063091483,2.7106057287066245,0.5036534234187239,0.16913157873852538,-0.05879220542956182,3.3929124118939247,1.6846500048708672,1.238720611987382
WALK,HAND,LARGE,3.5,5.376181095722307,3.7275757683242965,10.471354325693685,10.471354325693685,1.708486707070707,4.923232323232323,1.450792523232326,0.3461165063345421,-0.2766985792995707,-0.35420111781939934,5.436766839553819,1.3381785320389608,0.7246784343434366
WALK,HAND,SMALL,3.5,5.13944852920361,3.73182939297942,7.352133205492522,7.352133205492522,1.314551522803346,5.621338912133891,1.6630369462343135,0.33229404731952894,-0.07955761683218097,-0.29732706088220123,5.388563960085263,1.2577828315344055,0.7583782259414242
WALK,HEAD,LARGE,3.5,4.498882515826326,2.6475638451229777,8.055329287615384,8.055329287615384,1.3655925057851253,4.5917355371900825,1.902531519008267,0.458740932816478,-0.08252665378414108,0.22172703908068359,3.94020501768521,1.7181465448104285,0.9339570545454567
WALK,HEAD,SMALL,3.5,4.3533361478799355,2.5148678785836394,5.914782868216901,5.914782868216901,1.0397152183908058,4.914614121510673,2.098210875205262,0.482124530671127,-0.11962644654965905,0.5183341516534371,3.7470199803915225,1.5631658586007386,1.0157416223316913
