,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
0,1.0,0,STAND,HEAD,4,0,SMALL,1.0635092568644067,0.22965273381620172,4.355077657388889,4.355077657388889,0.5186620000000062,2.0,0.28230299999998465,0.14115149999999232,0.5876581641926807,-0.6860453260057648,0.15320811243881233,0.5957534829364481,0.16415399999999636,
1,1.0,0,STAND,HEAD,4,1,SMALL,0.52206193325,0.15471069140269048,3.818519896818182,3.818519896818182,0.6508029999999962,1.0,0.9803770000000043,0.9803770000000043,0.2825530896874323,-0.08271244739876686,0.3221673411161239,0.3328632240749958,0.9803770000000043,
2,1.0,0,STAND,HEAD,4,2,SMALL,0.5586076049298245,0.1584926954794408,3.920117223774194,3.920117223774194,0.5988159999999993,1.0,0.9347689999999886,0.9347689999999886,0.24901429902145958,0.4541059761893205,0.19861576134289316,0.17424702179886886,0.9347689999999886,
3,1.0,0,STAND,HEAD,4,3,SMALL,1.105573251729412,0.5026318537958866,3.254506740635037,3.254506740635037,0.8667140000000018,2.0,0.8813020000000051,0.44065100000000257,1.0176015402136205,0.3996165128620197,0.48755141061070606,0.21382571269146805,0.8640900000000045,
4,1.0,0,STAND,HEAD,4,4,SMALL,0.9264869248688525,0.160639169062425,3.837990724678161,3.837990724678161,0.43246500000000765,1.0,0.6150209999999845,0.6150209999999845,0.772891190684867,0.2031176997693704,0.11319396035089155,0.49352781576767707,0.6150209999999845,
5,1.0,0,STAND,HEAD,4,5,SMALL,0.9863347642931035,0.32901800008681364,3.8870425966875004,3.8870425966875004,0.8990860000000112,2.0,0.40418900000000235,0.20209450000000118,-0.07613997319174304,0.8094332372980838,0.1816303586705515,0.6268461313349382,0.35456800000000044,
6,1.0,0,STAND,HEAD,4,6,SMALL,0.44562643598965523,0.2337123712328197,4.366451528442857,4.366451528442857,0.665695999999997,1.0,0.951613999999978,0.951613999999978,0.04116184835686388,0.276581977374646,0.3272413900051797,0.2654038445601498,0.951613999999978,
7,1.0,0,STAND,HEAD,4,7,SMALL,0.9599772623275862,0.26444961541017337,3.91568694581081,3.91568694581081,0.8799439999999947,3.0,0.4042350000000283,0.13474500000000944,-0.8591092822661949,-0.055544427840595746,0.461620946750133,0.2022528721779605,0.21830700000001002,
8,1.0,0,STAND,HEAD,4,8,SMALL,0.6323104992666668,0.13543367800555411,3.1635015928275863,3.1635015928275863,0.4506529999999884,1.0,0.9807440000000156,0.9807440000000156,-0.02852074739250747,-0.5053359332561832,0.37975447564882486,0.1463364320277482,0.9807440000000156,
9,1.0,0,WALK,HEAD,4,0,SMALL,2.476299707,1.1163146269588975,4.285601071355482,4.285601071355482,1.1164400000000114,4.0,0.28383400000006986,0.07095850000001747,0.3496651392605901,-0.6450014725409935,2.1953942625894842,1.4520855904437564,0.15020000000004075,
10,1.0,0,WALK,HEAD,4,1,SMALL,2.3224398541550393,1.3921883409186135,3.1429071668066664,3.1429071668066664,0.7010519999998905,7.0,0.6148640000000114,0.08783771428571592,0.9214840981825975,-0.6208542492995665,2.3214585429606904,0.8757283834929603,0.2651329999999916,
11,1.0,0,WALK,HEAD,4,2,SMALL,4.482541402772532,3.2541679704225794,6.484493495053333,6.484493495053333,1.1164999999999736,5.0,0.3513350000000628,0.07026700000001256,2.7803709022260934,-0.29454025458139577,4.639978299056682,1.070952312526492,0.20045700000002853,
