posture,cursor_type,wide,dwell_time,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size
STAND,EYE,LARGE,0.4000000000000037,0.8807618401832477,1.2792511700468019,1.2163270231165644,0.983763865940266,1.0931325069907634,1.7627010645333083,1.6175872325697256,0.7619938530225092
STAND,EYE,SMALL,0.4000000000000037,0.5606028889379555,1.2801857585139318,1.166528177849016,0.9429528026255881,0.703376295969936,1.462259198700649,1.5347653429911712,0.7639580264049063
STAND,HAND,LARGE,0.4000000000000037,1.3596032657797488,1.0514950166112957,0.9565638914268931,0.9199297637495663,1.497629174306882,1.6208018226770786,1.1013607412024147,0.743029477734302
STAND,HAND,SMALL,0.4000000000000037,0.9647527373200612,1.0273752012882447,0.9285823138876682,0.9086477302127549,1.124960761796712,1.632522455696687,0.984497425932928,0.7416936058283172
STAND,HEAD,LARGE,0.4000000000000037,1.0989551071999986,1.1376,1.1058928719999992,0.9917110295999999,1.2876447279999985,1.7841683908950623,1.4409839773513529,0.6511234987696003
STAND,HEAD,SMALL,0.4000000000000037,0.8371568377952785,1.132283464566929,1.0796964346456677,0.9716054632545919,0.9678227307086649,1.6617829798611132,1.3940659191784954,0.6835953448440946
WALK,EYE,LARGE,0.4000000000000037,1.1750171124024649,1.3850267379679144,0.6929534711041557,0.49187027783531806,2.583450440724705,4.0451766741082285,4.249232809748102,1.2295000628482202
WALK,EYE,SMALL,0.4000000000000037,0.9245143554786373,1.5297029702970297,0.790955026616628,0.514998807019154,2.391904761967637,3.8962336153936095,3.741804664958368,1.2019283239227885
WALK,HAND,LARGE,0.4000000000000037,1.9806528333333386,1.1153846153846154,0.6097698974358945,0.5475608397435864,3.285328128205127,6.314246005532084,3.3717807544284,1.1483122334736846
WALK,HAND,SMALL,0.4000000000000037,1.5529905202531604,1.0886075949367089,0.5461809974683594,0.5046375544303835,3.234566381012652,6.43464043425954,3.8666654416432484,1.242767909441559
WALK,HEAD,LARGE,0.4000000000000037,1.4761437522123932,1.2123893805309736,0.6080068053097335,0.5034940575221226,2.9075590707964656,4.82377099433754,3.9726767334054864,1.2643527535221237
WALK,HEAD,SMALL,0.4000000000000037,1.2336839558823545,1.286764705882353,0.6574925955882349,0.5078421170343141,2.837928705882355,4.755779153059938,4.16889084043928,1.1997288056176478
