posture,cursor_type,wide,target_size,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell
STAND,EYE,LARGE,3.0,1.2375334329882524,0.8919138147683727,6.7826833203929935,6.7826833203929935,0.7143704806800629,1.6182380216383307,1.702541510046368,1.2894474872020045,0.12938934713643652,0.06429314642628504,0.8524624447933921,0.7814363489855459,1.5616463647604328
STAND,EYE,SMALL,3.0,1.059266461965628,0.6471591415859052,3.6014567512022047,3.6014567512022047,0.4454294228395025,1.271604938271605,1.592334266975308,1.3463142966306567,0.18024454205029383,0.05888330661409277,0.5973558200763558,0.6140711524292677,1.477250632716047
STAND,HAND,LARGE,3.0,1.1793888581528995,0.7607140299164763,10.035180614355326,10.035180614355326,1.1478968041074245,1.1248025276461295,1.3426044518167466,1.2544025478823448,0.07436358245514098,0.06859355468910038,0.759250675841502,0.6829804514160891,1.3045886145339654
STAND,HAND,SMALL,3.0,1.103536398611627,0.72006589867448,5.526101172949736,5.526101172949736,0.8055999952904247,1.0926216640502355,1.2511262197802204,1.1902911919937211,0.016367816264952435,0.07867153329173898,0.7065469757802085,0.5907095284421147,1.2243347927786503
STAND,HEAD,LARGE,3.0,1.2327543039283284,0.7812673199864508,7.332968200674851,7.332968200674851,0.9453095591900276,1.1542056074766356,1.4908259190031183,1.3653167011941874,-0.07258679911161628,0.18906758439548244,0.7375300738809061,0.8311785253512106,1.4309432320872304
STAND,HEAD,SMALL,3.0,1.08762917386313,0.6446375861068617,4.198557972579004,4.198557972579004,0.702538512383902,1.1501547987616099,1.416024256965946,1.2887392198142416,-0.021676352923303346,0.07905387901788385,0.6265297222917148,0.6737462577879567,1.3519736687306507
WALK,EYE,LARGE,3.0,3.7052566654753263,2.701231756604041,7.332901268580794,7.332901268580794,1.2014954185667763,7.819218241042345,2.2074523941368036,0.34960963021914604,0.2350392280377613,-0.09995820567784885,3.467015951025555,1.7785459473992637,0.9059822915309438
WALK,EYE,SMALL,3.0,3.5557824792375334,2.6013198843352856,5.006459609855737,5.006459609855737,0.8911749223454869,8.264659270998415,2.3728946006339138,0.3651533299747267,0.1965992703619268,-0.05988295482304992,3.3676763395195604,1.6569648432406394,0.9457089778129947
WALK,HAND,LARGE,3.0,5.2627988220110495,3.67581689224866,10.429191838222039,10.429191838222039,1.7669726869918687,5.105691056910569,1.2191406504065123,0.2704647221013135,-0.3696037887697528,-0.318726453866214,5.396105327620518,1.2923765127108409,0.5805414918699189
WALK,HAND,SMALL,3.0,5.143500874403209,3.7357748513956173,7.352133205492522,7.352133205492522,1.3758449893305433,5.7489539748953975,1.3935970746861972,0.2642277975585966,-0.11684632657427083,-0.29889660897793874,5.381487435641422,1.2426397999097691,0.6097758393305425
WALK,HEAD,LARGE,3.0,4.454880721882731,2.6484004908061682,7.987059137672222,7.987059137672222,1.4174314340567626,4.988313856427379,1.6038245726210416,0.34164218270623053,-0.07072836292742424,0.2435966710433354,3.925968185169111,1.7092076756741517,0.7282469782971623
WALK,HEAD,SMALL,3.0,4.244097576637658,2.4765717974830737,5.850305943155459,5.850305943155459,1.0917937996688762,5.327814569536423,1.7751662599337734,0.3548918631886509,-0.036657034450082435,0.5026939899712966,3.7049684902998954,1.5480153988294982,0.7902749569536419
