,subject_num,posture,cursor_type,repetition,target_num,parameter,target_in_count,time_sum,target_in_total_time,target_in_mean_time,longest_dwell_time,initial_contact_time,error,error_frame_count
0,0,WALK,HEAD,4,0,0.01,2.0,2.9164659999999003,2.9164659999999003,1.4582329999999502,2.8659659999999576,1.5988399999999956,,
1,0,WALK,HEAD,4,1,0.01,1.0,3.3011000000000195,3.3011000000000195,3.3011000000000195,3.3011000000000195,1.6828999999999041,,
2,0,WALK,HEAD,4,2,0.01,2.0,1.6893890000000056,1.6893890000000056,0.8446945000000028,1.3896419999999807,1.4664999999999964,,
3,0,WALK,HEAD,4,3,0.01,2.0,2.5200689999999213,2.5200689999999213,1.2600344999999606,1.5018999999999778,2.1000000000000227,,
4,0,WALK,HEAD,4,4,0.01,3.0,1.3017529999999624,1.3017529999999624,0.43391766666665416,0.7002439999999979,2.0655490000000327,,
5,0,WALK,HEAD,4,5,0.01,4.0,1.770791000000031,1.770791000000031,0.4426977500000078,0.8368460000000368,1.098799999999983,,
6,0,WALK,HEAD,4,6,0.01,1.0,1.6485999999999876,1.6485999999999876,1.6485999999999876,1.6485999999999876,1.2514999999999645,,
7,0,WALK,HEAD,4,7,0.01,1.0,3.9995999999999867,3.9995999999999867,3.9995999999999867,3.9995999999999867,0.9982360000000199,,
8,0,WALK,HEAD,4,8,0.01,1.0,3.5324000000000524,3.5324000000000524,3.5324000000000524,3.5324000000000524,1.4669400000000223,,
9,0,WALK,HEAD,5,0,0.01,1.0,0.5336920000000873,0.5336920000000873,0.5336920000000873,0.5336920000000873,1.5797450000000026,,
10,0,WALK,HEAD,5,1,0.01,2.0,3.5140140000000883,3.5140140000000883,1.7570070000000442,2.7166140000000496,1.0330319999999347,,
11,0,WALK,HEAD,5,2,0.01,2.0,1.8488590000000613,1.8488590000000613,0.9244295000000307,1.6338000000000648,0.9676410000000715,,
12,0,WALK,HEAD,5,3,0.01,1.0,3.5678100000000086,3.5678100000000086,3.5678100000000086,3.5678100000000086,1.5167430000000195,,
13,0,WALK,HEAD,5,4,0.01,1.0,0.9998520000000326,0.9998520000000326,0.9998520000000326,0.9998520000000326,2.8330479999999625,,
14,0,WALK,HEAD,5,5,0.01,1.0,1.8637079999999742,1.8637079999999742,1.8637079999999742,1.8637079999999742,3.1216380000000754,,
15,0,WALK,HEAD,5,6,0.01,2.0,1.2345049999998992,1.2345049999998992,0.6172524999999496,0.6669999999999163,1.631040999999982,,
16,0,WALK,HEAD,5,7,0.01,2.0,2.5120679999999993,2.5120679999999993,1.2560339999999997,1.5641679999999951,2.319500000000062,,
17,0,WALK,HEAD,5,8,0.01,1.0,2.9647999999999683,2.9647999999999683,2.9647999999999683,2.9647999999999683,2.0342500000000427,,
18,0,WALK,HEAD,6,0,0.01,2.0,1.9523390000001655,1.9523390000001655,0.9761695000000827,1.1344680000000835,2.4490640000000212,,
19,0,WALK,HEAD,6,1,0.01,3.0,1.9831140000001142,1.9831140000001142,0.6610380000000381,0.9008780000000343,1.782100000000014,,
20,0,WALK,HEAD,6,2,0.01,3.0,3.48255000000006,3.48255000000006,1.1608500000000201,1.715400000000045,1.0996999999999844,,
21,0,WALK,HEAD,6,3,0.01,1.0,0.6833000000000311,0.6833000000000311,0.6833000000000311,0.6833000000000311,1.766634999999951,,
22,0,WALK,HEAD,6,4,0.01,1.0,3.6667419999999993,3.6667419999999993,3.6667419999999993,3.6667419999999993,1.3169000000000324,,
23,0,WALK,HEAD,6,5,0.01,2.0,3.61304900000016,3.61304900000016,1.80652450000008,2.8144000000000915,1.0998999999999342,,
24,0,WALK,HEAD,6,6,0.01,1.0,3.3317519999999377,3.3317519999999377,3.3317519999999377,3.3317519999999377,1.6663560000000643,,
25,0,WALK,HEAD,6,7,0.01,2.0,4.148436000000061,4.148436000000061,2.0742180000000303,2.5650000000000546,0.8158999999999423,,
26,0,WALK,HEAD,6,8,0.01,2.0,3.986599999999953,3.986599999999953,1.9932999999999765,3.31779999999992,0.8826999999999998,,
27,0,WALK,HEAD,7,0,0.01,2.0,3.1704349999999977,3.1704349999999977,1.5852174999999988,2.953800000000001,0.9502349999999069,,
28,0,WALK,HEAD,7,1,0.01,2.0,2.266191000000049,2.266191000000049,1.1330955000000245,1.9326589999999442,1.3450920000000224,,
29,0,WALK,HEAD,7,2,0.01,2.0,0.9846969999999828,0.9846969999999828,0.4923484999999914,0.6504650000000538,2.849399999999946,,
30,0,WALK,HEAD,7,3,0.01,1.0,2.883632999999918,2.883632999999918,2.883632999999918,2.883632999999918,2.098367000000053,,
31,0,WALK,HEAD,7,4,0.01,1.0,0.23346600000002127,0.23346600000002127,0.23346600000002127,0.23346600000002127,3.684133999999972,,
32,0,WALK,HEAD,7,5,0.01,3.0,2.74599499999988,2.74599499999988,0.9153316666666266,1.4147950000000264,0.8515529999999671,,
33,0,WALK,HEAD,7,6,0.01,1.0,0.5500000000000682,0.5500000000000682,0.5500000000000682,0.5500000000000682,1.5981469999999263,,
34,0,WALK,HEAD,7,7,0.01,1.0,2.6480609999999842,2.6480609999999842,2.6480609999999842,2.6480609999999842,1.7338359999999966,,
35,0,WALK,HEAD,7,8,0.01,2.0,2.41374200000007,2.41374200000007,1.206871000000035,1.39679000000001,1.4700930000000199,,
36,0,WALK,HEAD,8,0,0.01,1.0,0.2824560000000247,0.2824560000000247,0.2824560000000247,0.2824560000000247,2.4999540000000025,,
37,0,WALK,HEAD,8,1,0.01,3.0,2.2970070000001215,2.2970070000001215,0.7656690000000405,1.649599999999964,0.8667359999999462,,
38,0,WALK,HEAD,8,2,0.01,3.0,1.2146210000000792,1.2146210000000792,0.40487366666669306,0.7135010000000648,1.5046429999999873,,
39,0,WALK,HEAD,8,3,0.01,3.0,2.999885000000063,2.999885000000063,0.9999616666666876,1.1002999999999474,1.1975999999999658,,
40,0,WALK,HEAD,8,4,0.01,2.0,2.829300000000103,2.829300000000103,1.4146500000000515,2.0301000000000613,1.0703499999999622,,
41,0,WALK,HEAD,8,5,0.01,1.0,2.0327760000000126,2.0327760000000126,2.0327760000000126,2.0327760000000126,2.965563999999972,,
42,0,WALK,HEAD,8,6,0.01,1.0,3.831362000000013,3.831362000000013,3.831362000000013,3.831362000000013,1.1635380000000168,,
43,0,WALK,HEAD,8,7,0.01,1.0,3.2328360000000202,3.2328360000000202,3.2328360000000202,3.2328360000000202,1.7666020000000344,,
44,0,WALK,HEAD,8,8,0.01,2.0,2.835899999999924,2.835899999999924,1.417949999999962,1.9189000000000078,1.3649000000000342,,
45,0,WALK,HEAD,9,0,0.01,2.0,2.5426410000000033,2.5426410000000033,1.2713205000000016,2.011600000000044,1.6328509999999596,,
46,0,WALK,HEAD,9,1,0.01,1.0,3.1655999999999267,3.1655999999999267,3.1655999999999267,3.1655999999999267,1.817700000000059,,
47,0,WALK,HEAD,9,2,0.01,2.0,3.271045999999842,3.271045999999842,1.635522999999921,3.220092999999906,0.9319570000000112,,
48,0,WALK,HEAD,9,3,0.01,,,,,,,"('division by zero',)",
49,0,WALK,HEAD,9,4,0.01,1.0,1.4347999999999956,1.4347999999999956,1.4347999999999956,1.4347999999999956,2.983600000000024,,
50,0,WALK,HEAD,9,5,0.01,1.0,3.2835079999999834,3.2835079999999834,3.2835079999999834,3.2835079999999834,1.7153330000001006,,
51,0,WALK,HEAD,9,6,0.01,2.0,2.665982000000099,2.665982000000099,1.3329910000000496,2.0164470000000847,1.2002529999999751,,
52,0,WALK,HEAD,9,7,0.01,2.0,1.266399999999976,1.266399999999976,0.633199999999988,1.1317999999999984,1.54849999999999,,
53,0,WALK,HEAD,9,8,0.01,2.0,2.3962999999999965,2.3962999999999965,1.1981499999999983,1.5837000000000216,2.151438999999982,,
54,0,WALK,EYE,4,0,0.01,1.0,3.8988039999999273,3.8988039999999273,3.8988039999999273,3.8988039999999273,1.1007549999999924,,
55,0,WALK,EYE,4,1,0.01,1.0,4.051442000000009,4.051442000000009,4.051442000000009,4.051442000000009,1.0336580000000026,,
56,0,WALK,EYE,4,2,0.01,1.0,4.134028000000001,4.134028000000001,4.134028000000001,4.134028000000001,0.8661720000000059,,
57,0,WALK,EYE,4,3,0.01,1.0,3.6331800000000385,3.6331800000000385,3.6331800000000385,3.6331800000000385,1.3528199999999515,,
58,0,WALK,EYE,4,4,0.01,1.0,4.0132449999999835,4.0132449999999835,4.0132449999999835,4.0132449999999835,0.986678999999981,,
59,0,WALK,EYE,4,5,0.01,1.0,4.263427999999976,4.263427999999976,4.263427999999976,4.263427999999976,0.7358090000000175,,
60,0,WALK,EYE,4,6,0.01,1.0,3.8180449999999837,3.8180449999999837,3.8180449999999837,3.8180449999999837,1.2151789999999778,,
61,0,WALK,EYE,4,7,0.01,1.0,3.998899999999992,3.998899999999992,3.998899999999992,3.998899999999992,1.0004170000000272,,
62,0,WALK,EYE,4,8,0.01,1.0,4.183617000000027,4.183617000000027,4.183617000000027,4.183617000000027,0.8161000000000058,,
63,0,WALK,EYE,5,0,0.01,1.0,4.1148600000000215,4.1148600000000215,4.1148600000000215,4.1148600000000215,0.8848399999999401,,
64,0,WALK,EYE,5,1,0.01,1.0,2.9149000000001024,2.9149000000001024,2.9149000000001024,2.9149000000001024,2.082499999999982,,
65,0,WALK,EYE,5,2,0.01,1.0,3.6200000000000045,3.6200000000000045,3.6200000000000045,3.6200000000000045,1.3649369999999408,,
66,0,WALK,EYE,5,3,0.01,2.0,4.001651999999922,4.001651999999922,2.000825999999961,3.947651999999948,0.46566199999995206,,
67,0,WALK,EYE,5,4,0.01,1.0,4.299682000000075,4.299682000000075,4.299682000000075,4.299682000000075,0.716466999999966,,
68,0,WALK,EYE,5,5,0.01,2.0,3.5669149999999945,3.5669149999999945,1.7834574999999973,3.4840490000000273,1.068441000000007,,
69,0,WALK,EYE,5,6,0.01,2.0,3.48256200000003,3.48256200000003,1.741281000000015,3.1848999999999705,1.2336489999999003,,
70,0,WALK,EYE,5,7,0.01,1.0,3.9505000000000337,3.9505000000000337,3.9505000000000337,3.9505000000000337,1.0333000000000538,,
71,0,WALK,EYE,5,8,0.01,1.0,4.200927999999976,4.200927999999976,4.200927999999976,4.200927999999976,0.7824709999999868,,
72,0,WALK,EYE,6,0,0.01,1.0,3.9500000000000455,3.9500000000000455,3.9500000000000455,3.9500000000000455,1.049667999999997,,
73,0,WALK,EYE,6,1,0.01,2.0,3.7333639999999377,3.7333639999999377,1.8666819999999689,3.7158469999999397,0.898682000000008,,
