cursor_type,target_type,subject_num,repetition,target_num,longest_dwell_time,initial_contact_time,mean_offset,std_offset,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,success_trial,trial_time,drop_count,abs_mean_offset_horizontal,abs_mean_offset_vertical
HEAD,GRID,0.0,2.0,3.5,0.5898294800000004,0.49282670749999963,1.5106605445127934,0.8428022533669763,0.13996874803998735,-0.20148293944500426,1.3429529930972928,0.7487776533697165,1.0,1.9341461674999998,3.85,1.2064530303712693,0.666630534761753
HEAD,MENU,0.0,2.0,3.5,0.5913541499999987,0.4585522750000017,2.406248844331423,1.336611452685916,1.6873345917452187,-0.07899843537383698,1.637717897824034,0.755481030870395,1.0,1.776937400000002,3.65,2.1881465610730153,0.6591998065301892
NEWSPEED,GRID,0.0,2.0,3.5,0.5695797749999997,0.4891628250000018,1.4694558714829866,0.7646778266012463,0.1250343414328982,0.18677666434693124,1.2593964870593248,0.6356605560769075,1.0,1.640717150000001,2.925,1.1919886531548833,0.6395061387995472
NEWSPEED,MENU,0.0,2.0,3.5,0.5735041749999988,0.5167954399999996,4.05110245134122,1.6101786734465702,3.175129111121569,0.009253015599940722,1.7479144298758051,0.8975036376795347,1.0,1.671205277499999,3.1,3.843153868774961,0.7559876296244068
NEWSPEEDSTICKY,GRID,0.0,2.0,3.5,0.5726101250000013,1.3252265749999936,1.6877643092272696,0.7001695600893094,0.4469711542984074,0.1169012410199864,0.9839629849976236,0.5148745595503188,1.0,1.9281406749999945,1.075,1.385482495087526,0.6791748680067098
NEWSPEEDSTICKY,MENU,0.0,2.0,3.5,0.5726278950000008,1.4154818199999994,1.9914529111667,0.8110226302201717,0.5052033883832057,0.18366735811402032,1.2095482051455988,0.5665325544074291,1.0,2.0769022900000005,1.125,1.7929346902126284,0.596094887800957
NEWSTICKY,GRID,0.0,2.0,3.5,0.5737128750000025,1.1671745749999949,1.549791455219712,0.6893940616016885,0.17044291902988454,0.2446452219285578,0.8898748746723332,0.6784356246090033,1.0,1.7567081249999972,1.025,1.191454206006362,0.7535093809671636
NEWSTICKY,MENU,0.0,2.0,3.5,0.5714153000000038,1.3081391749999967,1.9592930492234562,0.861878398768881,0.7730819838262479,-0.15480337029274366,1.1966438874189007,0.7241026045386579,1.0,1.9857091499999995,1.225,1.688408530665905,0.6884067236510467
