posture,cursor_type,subject_num,repetition,target_num,parameter,target_in_count,time_sum,target_in_total_time,target_in_mean_time,longest_dwell_time,initial_contact_time,error_frame_count
WALK,EYE,11.5,6.5,4.0,0.049999999999999996,2.8891797556719023,2.723408384633244,2.723408384633244,1.2755595966076088,1.8862363863939042,1.308674286334912,68.22330097087378
WALK,HAND,11.5,6.5,4.0,0.049999999999999996,3.4632183908045975,1.352303489485809,1.352303489485809,0.4424055967446389,0.7743258175493649,1.8529042886327682,118.17032967032966
WALK,HEAD,11.5,6.5,4.0,0.049999999999999996,2.9965694682675816,1.7149629236706665,1.7149629236706665,0.678336662435677,1.0684636123499145,1.600557813036021,0.0
