,dwell_time,subject_num,posture,cursor_type,repetition,target_num,wide,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,error
0,0.5,0,STAND,HEAD,4,0,SMALL,0.5024109999999951,1.0,0.9836730000000102,0.9836730000000102,0.5024109999999951,1.30850732,2.468767202120422,
1,0.5,0,STAND,HEAD,4,1,SMALL,0.6323549999999898,1.0,0.9988250000000107,0.9988250000000107,0.6323549999999898,1.3098526,0.5082792917816148,
2,0.5,0,STAND,HEAD,4,2,SMALL,0.5502929999999822,1.0,0.9832920000000058,0.9832920000000058,0.5502929999999822,1.463532,1.4452395974248524,
3,0.5,0,STAND,HEAD,4,3,SMALL,0.8015440000000069,1.0,0.9831700000000012,0.9831700000000012,1.2820890000000134,2.197667,0.7659509275289459,
4,0.5,0,STAND,HEAD,4,4,SMALL,0.4161410000000103,1.0,0.9999389999999835,0.9999389999999835,0.43246500000000765,1.48292542,0.5083465084698996,
5,0.5,0,STAND,HEAD,4,5,SMALL,0.5153880000000015,1.0,0.9981989999999996,0.9981989999999996,0.8494489999999928,3.04497552,2.4067744927881285,
6,0.5,0,STAND,HEAD,4,6,SMALL,0.6324619999999754,1.0,0.9848479999999995,0.9848479999999995,0.6324619999999754,1.45803952,0.6332771921069275,
7,0.5,0,STAND,HEAD,4,7,SMALL,0.8452650000000119,1.0,0.9873299999999858,0.9873299999999858,0.8452650000000119,1.379559,1.4683584134537657,
8,0.5,0,STAND,HEAD,4,8,SMALL,0.43331899999998313,1.0,0.9980780000000209,0.9980780000000209,0.43331899999998313,1.23638082,0.3953781949436855,
9,0.5,0,WALK,HEAD,4,0,SMALL,,,,,,2.33849859,,"('no success dwell', 0)"
10,0.5,0,WALK,HEAD,4,1,SMALL,0.5823389999999335,1.0,0.551392000000078,0.551392000000078,3.617738999999915,5.05815,2.6082889646044802,
11,0.5,0,WALK,HEAD,4,2,SMALL,,,,,,4.818288,,"('no success dwell', 0)"
12,0.5,0,WALK,HEAD,4,3,SMALL,,,,,,10.7758312,,"('no success dwell', 0)"
13,0.5,0,WALK,HEAD,4,4,SMALL,,,,,,4.379001,,"('no success dwell', 0)"
14,0.5,0,WALK,HEAD,4,5,SMALL,,,,,,5.08684826,,"('no success dwell', 0)"
15,0.5,0,WALK,HEAD,4,6,SMALL,,,,,,3.49995041,,"('no success dwell', 0)"
16,0.5,0,WALK,HEAD,4,7,SMALL,0.5991360000000441,2.0,1.1039479999999458,0.5519739999999729,0.5991360000000441,1.4918720699999999,2.767988017325359,
17,0.5,0,WALK,HEAD,4,8,SMALL,,,,,,3.593794,,"('no success dwell', 0)"
18,0.5,0,STAND,HEAD,5,0,LARGE,0.9309199999999862,1.0,1.0005000000000166,1.0005000000000166,0.9309199999999862,1.44753277,0.6114834666501113,
19,0.5,0,STAND,HEAD,5,1,LARGE,0.8618319999999926,1.0,0.9830449999999757,0.9830449999999757,1.597122000000013,1.47511911,0.6622323152923795,
20,0.5,0,STAND,HEAD,5,2,LARGE,0.6473689999999976,1.0,0.9871780000000001,0.9871780000000001,0.6473689999999976,1.37330353,1.2659648360655436,
21,0.5,0,STAND,HEAD,5,3,LARGE,0.6819480000000055,1.0,0.9990990000000011,0.9990990000000011,1.1678929999999923,2.55389643,2.714829936938463,
22,0.5,0,STAND,HEAD,5,4,LARGE,0.6175839999999937,1.0,0.9820709999999906,0.9820709999999906,0.6175839999999937,1.2609849,1.5207749897239033,
23,0.5,0,STAND,HEAD,5,5,LARGE,0.7326360000000136,1.0,0.9828090000000032,0.9828090000000032,0.7506109999999921,1.46647072,2.9972442399779315,
24,0.5,0,STAND,HEAD,5,6,LARGE,1.0643619999999885,1.0,0.9846799999999973,0.9846799999999973,1.0815279999999916,1.44726241,0.4903979943011542,
25,0.5,0,STAND,HEAD,5,7,LARGE,0.9673159999999825,1.0,0.9986570000000086,0.9986570000000086,0.9673159999999825,1.40889382,0.44786077483275016,
26,0.5,0,STAND,HEAD,5,8,LARGE,0.750456999999983,1.0,0.9832920000000058,0.9832920000000058,0.750456999999983,1.291043,0.5380155915395236,
27,0.5,0,WALK,HEAD,5,0,LARGE,,,,,,3.5198648,,"('no success dwell', 0)"
28,0.5,0,WALK,HEAD,5,1,LARGE,,,,,,1.9561474300000001,,"('no success dwell', 0)"
29,0.5,0,WALK,HEAD,5,2,LARGE,,,,,,4.90975571,,"('no success dwell', 0)"
30,0.5,0,WALK,HEAD,5,3,LARGE,,,,,,2.27193356,,"('no success dwell', 0)"
31,0.5,0,WALK,HEAD,5,4,LARGE,,,,,,4.60393953,,"('no success dwell', 0)"
32,0.5,0,WALK,HEAD,5,5,LARGE,,,,,,7.445818,,"('no success dwell', 0)"
33,0.5,0,WALK,HEAD,5,6,LARGE,,,,,,4.881463,,"('no success dwell', 0)"
34,0.5,0,WALK,HEAD,5,7,LARGE,,,,,,4.002816,,"('no success dwell', 0)"
35,0.5,0,WALK,HEAD,5,8,LARGE,,,,,,2.88296533,,"('no success dwell', 0)"
36,0.5,0,STAND,HEAD,6,0,SMALL,0.4367860000000121,1.0,0.9977230000000077,0.9977230000000077,0.4367860000000121,1.34595716,2.345990950185637,
37,0.5,0,STAND,HEAD,6,1,SMALL,0.5326840000000175,1.0,0.9839900000000057,0.9839900000000057,0.7662380000000155,1.866974,0.17361989446514184,
38,0.5,0,STAND,HEAD,6,2,SMALL,0.5182650000000137,1.0,0.9850009999999827,0.9850009999999827,0.7494200000000149,1.69546735,0.2775320769950575,
39,0.5,0,STAND,HEAD,6,3,SMALL,0.3661340000000166,1.0,0.9827879999999993,0.9827879999999993,0.4518120000000181,1.5485129400000002,2.24165156364655,
40,0.5,0,STAND,HEAD,6,4,SMALL,0.4315830000000176,1.0,0.9829220000000021,0.9829220000000021,0.4315830000000176,1.45790529,0.10050341835043412,
41,0.5,0,STAND,HEAD,6,5,SMALL,0.5142969999999991,1.0,0.9847109999999759,0.9847109999999759,0.6646420000000148,1.5486393,2.642026697088315,
42,0.5,0,STAND,HEAD,6,6,SMALL,0.582886000000002,1.0,0.9837380000000167,0.9837380000000167,0.9158290000000022,2.36504745,0.13756406055397902,
43,0.5,0,STAND,HEAD,6,7,SMALL,0.4313199999999995,1.0,0.9842219999999884,0.9842219999999884,0.7792670000000044,2.89245558,0.6609609338618964,
44,0.5,0,STAND,HEAD,6,8,SMALL,0.7841339999999946,1.0,0.9979550000000188,0.9979550000000188,0.7841339999999946,1.39057934,1.5721803728754693,
45,0.5,0,WALK,HEAD,6,0,SMALL,,,,,,3.83098578,,"('no success dwell', 0)"
46,0.5,0,WALK,HEAD,6,1,SMALL,,,,,,5.73975658,,"('no success dwell', 0)"
47,0.5,0,WALK,HEAD,6,2,SMALL,,,,,,1.6514976,,"('no success dwell', 0)"
48,0.5,0,WALK,HEAD,6,3,SMALL,,,,,,10.1174049,,"('no success dwell', 0)"
49,0.5,0,WALK,HEAD,6,4,SMALL,,,,,,1.5041517,,"('no success dwell', 0)"
50,0.5,0,WALK,HEAD,6,5,SMALL,,,,,,2.45869684,,"('no success dwell', 0)"
51,0.5,0,WALK,HEAD,6,6,SMALL,,,,,,4.158406,,"('no success dwell', 0)"
52,0.5,0,WALK,HEAD,6,7,SMALL,,,,,,3.219175,,"('no success dwell', 0)"
53,0.5,0,WALK,HEAD,6,8,SMALL,,,,,,4.36901569,,"('no success dwell', 0)"
54,0.5,0,STAND,HEAD,7,0,LARGE,0.6689299999999889,1.0,0.9860989999999958,0.9860989999999958,0.6689299999999889,1.226369,0.2747829443208482,
55,0.5,0,STAND,HEAD,7,1,LARGE,0.7494719999999973,2.0,1.7654120000000262,0.8827060000000131,1.1499479999999949,2.14676023,2.6761290510493327,
56,0.5,0,STAND,HEAD,7,2,LARGE,0.5831760000000088,1.0,1.000553999999994,1.000553999999994,1.0153760000000034,3.96871853,1.7719714910887616,
57,0.5,0,STAND,HEAD,7,3,LARGE,0.7647919999999999,1.0,0.997696000000019,0.997696000000019,0.7827669999999785,1.4985469999999999,0.47205382328588863,
58,0.5,0,STAND,HEAD,7,4,LARGE,0.6479999999999961,1.0,0.9869689999999878,0.9869689999999878,0.6636230000000012,1.4938383100000001,0.16558979837788193,
59,0.5,0,STAND,HEAD,7,5,LARGE,1.2835999999999785,2.0,1.946831000000003,0.9734155000000015,1.2835999999999785,1.414577,1.5613350416960208,
60,0.5,0,STAND,HEAD,7,6,LARGE,0.7168729999999925,1.0,0.9827549999999974,0.9827549999999974,0.7168729999999925,1.12570107,0.5411956862150037,
61,0.5,0,STAND,HEAD,7,7,LARGE,0.7520760000000166,1.0,0.9823089999999866,0.9823089999999866,0.7520760000000166,1.4076431999999999,0.5602898646870472,
62,0.5,0,STAND,HEAD,7,8,LARGE,0.8308719999999994,1.0,0.9829110000000014,0.9829110000000014,0.8488459999999804,1.48832619,0.8257947831426843,
63,0.5,0,WALK,HEAD,7,0,LARGE,,,,,,6.16303444,,"('no success dwell', 0)"
64,0.5,0,WALK,HEAD,7,1,LARGE,,,,,,3.108413,,"('no success dwell', 0)"
65,0.5,0,WALK,HEAD,7,2,LARGE,,,,,,4.13000441,,"('no success dwell', 0)"
66,0.5,0,WALK,HEAD,7,3,LARGE,,,,,,4.03390837,,"('no success dwell', 0)"
67,0.5,0,WALK,HEAD,7,4,LARGE,,,,,,3.45541763,,"('no success dwell', 0)"
68,0.5,0,WALK,HEAD,7,5,LARGE,,,,,,4.666442,,"('no success dwell', 0)"
69,0.5,0,WALK,HEAD,7,6,LARGE,,,,,,6.3395452500000005,,"('no success dwell', 0)"
70,0.5,0,WALK,HEAD,7,7,LARGE,,,,,,7.571471,,"('no success dwell', 0)"
71,0.5,0,WALK,HEAD,7,8,LARGE,,,,,,3.56469178,,"('no success dwell', 0)"
72,0.5,0,STAND,HEAD,8,0,SMALL,0.41911300000001006,1.0,0.9988250000000107,0.9988250000000107,0.41911300000001006,1.43803835,0.2975721188824607,
73,0.5,0,STAND,HEAD,8,1,SMALL,0.7649380000000008,1.0,1.0036320000000103,1.0036320000000103,0.7649380000000008,1.35060167,0.40108539377632485,
74,0.5,0,STAND,HEAD,8,2,SMALL,0.4479840000000195,1.0,0.98284799999999,0.98284799999999,0.7624360000000081,3.19873738,0.8309467768493661,
75,0.5,0,STAND,HEAD,8,3,SMALL,0.5113780000000077,1.0,0.9983819999999923,0.9983819999999923,0.8823250000000087,2.295843,0.162591524097817,
76,0.5,0,STAND,HEAD,8,4,SMALL,0.46641700000000696,1.0,0.9986920000000055,0.9986920000000055,0.9184999999999945,1.55658,0.43205945022429315,
77,0.5,0,STAND,HEAD,8,5,SMALL,0.4839629999999886,1.0,1.0000750000000096,1.0000750000000096,0.4839629999999886,1.426013,4.2516338652235035,
78,0.5,0,STAND,HEAD,8,6,SMALL,0.5838400000000092,1.0,0.9848599999999976,0.9848599999999976,0.9996800000000121,2.82466125,0.7534559870965775,
79,0.5,0,STAND,HEAD,8,7,SMALL,0.5332950000000096,1.0,0.9826150000000098,0.9826150000000098,0.8355760000000032,2.00339985,0.5983765053254305,
80,0.5,0,STAND,HEAD,8,8,SMALL,0.6490180000000123,1.0,0.9859459999999842,0.9859459999999842,0.6490180000000123,1.400116,0.31411043249922205,
81,0.5,0,WALK,HEAD,8,0,SMALL,,,,,,6.875377,,"('no success dwell', 0)"
82,0.5,0,WALK,HEAD,8,1,SMALL,,,,,,5.134502,,"('no success dwell', 0)"
83,0.5,0,WALK,HEAD,8,2,SMALL,,,,,,3.21637654,,"('no success dwell', 0)"
84,0.5,0,WALK,HEAD,8,3,SMALL,,,,,,1.81261742,,"('no success dwell', 0)"
85,0.5,0,WALK,HEAD,8,4,SMALL,,,,,,3.495024,,"('no success dwell', 0)"
86,0.5,0,WALK,HEAD,8,5,SMALL,,,,,,4.57902527,,"('no success dwell', 0)"
87,0.5,0,WALK,HEAD,8,6,SMALL,,,,,,5.263805,,"('no success dwell', 0)"
88,0.5,0,WALK,HEAD,8,7,SMALL,,,,,,5.8418402700000005,,"('no success dwell', 0)"
89,0.5,0,WALK,HEAD,8,8,SMALL,1.1476999999999862,1.0,0.5005649999999378,0.5005649999999378,4.265435000000025,4.84254026,6.14817213389851,
90,0.5,0,STAND,HEAD,9,0,LARGE,0.779153000000008,1.0,0.985748000000001,0.985748000000001,1.0463340000000017,1.83845341,0.4831378457960604,
91,0.5,0,STAND,HEAD,9,1,LARGE,1.0654719999999998,1.0,0.9981070000000045,0.9981070000000045,1.0829289999999787,1.48239744,0.4337133316073356,
92,0.5,0,STAND,HEAD,9,2,LARGE,0.6324159999999779,1.0,0.9978950000000282,0.9978950000000282,1.0645139999999742,4.604237,0.19054949210610897,
93,0.5,0,STAND,HEAD,9,3,LARGE,0.964778999999993,1.0,0.9860000000000468,0.9860000000000468,0.9818789999999638,1.4389907100000001,0.421446380144683,
94,0.5,0,STAND,HEAD,9,4,LARGE,0.6488189999999747,1.0,0.9833830000000034,0.9833830000000034,0.6488189999999747,1.35869133,4.881718065425353,
95,0.5,0,STAND,HEAD,9,5,LARGE,0.8990479999999934,1.0,0.9846179999999549,0.9846179999999549,1.2805480000000102,2.41654158,1.0431292370576748,
96,0.5,0,STAND,HEAD,9,6,LARGE,0.8821280000000229,1.0,0.9833060000000273,0.9833060000000273,1.3670660000000225,1.8097,1.6777500803661802,
97,0.5,0,STAND,HEAD,9,7,LARGE,0.8817439999999692,1.0,1.001068000000032,1.001068000000032,0.8817439999999692,1.39927709,0.5698903179020881,
98,0.5,0,STAND,HEAD,9,8,LARGE,0.8707280000000139,1.0,0.9965359999999919,0.9965359999999919,0.8707280000000139,1.38012636,0.5941718792209274,
99,0.5,0,WALK,HEAD,9,0,LARGE,,,,,,2.3421783400000002,,"('no success dwell', 0)"
100,0.5,0,WALK,HEAD,9,1,LARGE,,,,,,4.19558668,,"('no success dwell', 0)"
101,0.5,0,WALK,HEAD,9,2,LARGE,,,,,,4.921592,,"('no success dwell', 0)"
102,0.5,0,WALK,HEAD,9,3,LARGE,,,,,,4.477941,,"('no success dwell', 0)"
103,0.5,0,WALK,HEAD,9,4,LARGE,,,,,,5.236074,,"('no success dwell', 0)"
104,0.5,0,WALK,HEAD,9,5,LARGE,,,,,,3.24654722,,"('no success dwell', 0)"
105,0.5,0,WALK,HEAD,9,6,LARGE,,,,,,3.14273667,,"('no success dwell', 0)"
106,0.5,0,WALK,HEAD,9,7,LARGE,,,,,,4.69085169,,"('no success dwell', 0)"
107,0.5,0,WALK,HEAD,9,8,LARGE,,,,,,7.275321,,"('no success dwell', 0)"
108,0.5,0,STAND,EYE,4,0,SMALL,0.3486249999999984,1.0,0.9848560000000077,0.9848560000000077,0.3486249999999984,1.42738461,0.3740086483595058,
109,0.5,0,STAND,EYE,4,1,SMALL,0.2654720000000026,1.0,0.9845430000000022,0.9845430000000022,0.2654720000000026,1.061647,0.4231370642699444,
110,0.5,0,STAND,EYE,4,2,SMALL,0.2868350000000106,1.0,0.980994999999993,0.980994999999993,0.2868350000000106,0.8904341,0.671131590521076,
111,0.5,0,STAND,EYE,4,3,SMALL,0.28490499999999486,1.0,0.9991980000000069,0.9991980000000069,0.28490499999999486,1.19501257,2.61254117022322,
112,0.5,0,STAND,EYE,4,4,SMALL,0.5332030000000003,1.0,0.9847179999999867,0.9847179999999867,0.5332030000000003,1.36013079,1.0766287478514929,
113,0.5,0,STAND,EYE,4,5,SMALL,0.6486129999999974,1.0,0.9865570000000048,0.9865570000000048,0.6486129999999974,1.47206473,1.6898253929758482,
