cursor_type,target_type,subject_num,posture,repetition,target_num,longest_dwell_time,mean_dwell_time,initial_contact_time,mean_offset,total_dwell_time,success_time,std_offset,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,success_trial,trial_time,drop_count,abs_mean_offset_horizontal,abs_mean_offset_vertical,drop_out_count,walking_speed,straight_length,walk_length,straightness_simple,straightness
HEAD,GRID,7.0,,2.0,3.5,0.8032765500000153,0.32135538781218975,0.6537748499999964,2.090520469222167,1.909720149999987,3.4313665749999984,1.1809641069618337,-0.14488971534186929,-0.28241521968259253,1.9794528132531948,0.9653030223758658,0.55,4.181835900000005,8.275,1.7396924818438506,0.842989335203543,7.75,0.8442994171218651,3.130798704927341,3.5294972776961435,1.114722363202859,0.4309468082419138
HEAD,MENU,7.0,,2.0,3.5,0.8861841999999911,0.3578621162017813,0.47088094999999724,2.8187009014625275,2.54687174999998,3.5373733750000014,1.6907689365950507,-0.7141430077131293,-0.24136386974889304,2.676254760461077,0.9348294941773686,0.525,4.3126642749999915,8.55,2.570331948069623,0.7710043500984513,8.1,0.9037973547330196,3.4810390973959513,3.909747676973346,1.1210263972769061,0.4896033259869574
HEAD,PIE,7.0,,2.0,3.5,0.8863634750000046,0.38528460426482886,0.6060331000000019,1.9410948419517424,1.9846024999999656,2.7484857999999948,1.127968083217486,-0.4480403029672605,-0.1343365623606227,1.6640216491985065,0.9504276328238335,0.675,3.600981300000001,6.675,1.5604046905214934,0.8335823785127303,6.0,0.9639623224728627,2.9890760037028357,3.4430864334509748,1.127965578918501,0.45717966703522317
NEWSPEED,GRID,7.0,,2.0,3.5,0.7005099249999972,0.31675668080537644,0.8057697000000061,2.7885602300317567,1.531264800000001,3.5225774000000074,2.00631398635555,-0.17282609683212088,-0.0689183890204421,3.02838587557141,1.0135095615589749,0.35,4.195883900000004,6.675,2.46868717247603,0.8724629201871412,6.075,0.7705137809143453,2.8633257770014087,3.2134369027440775,1.1089758883774032,0.5120999336739788
NEWSPEED,MENU,7.0,,2.0,3.5,0.9075943250000009,0.4258390548892758,0.531389424999999,3.0414701336317616,2.0281113250000002,2.7664295999999964,1.877701314862477,-0.8298169694179844,-0.26145261178556245,2.8197807580262513,0.9814895610114865,0.7,3.5912583750000016,5.825,2.7826384182266777,0.8053436606884304,4.975,0.8759805364359703,2.7704056000575616,3.127281529290214,1.1095910650781569,0.48942430181242147
NEWSPEED,PIE,7.0,,2.0,3.5,0.8193961249999937,0.3129629454907925,0.6128888749999966,2.2100765818873667,2.1448406499999964,3.508618874999999,1.3583643484845842,-0.21284462249620212,-0.13143498059492817,2.238745361685503,0.9727957444075154,0.55,4.336941649999995,8.625,1.8882711226555404,0.8385535228552587,7.925,0.933266226134229,3.413978455580048,4.030837112503625,1.1716615417239327,0.5134281052903006
NEWSPEEDSTICKY,GRID,7.0,,2.0,3.5,0.943908424999995,0.6661018104166662,1.5420878750000007,3.2149413889026364,1.425891424999999,2.845968900000005,2.0590897278746167,-0.2918060360583034,-0.11603660084505144,3.084373833796999,1.087739084907326,0.875,3.8579815249999996,2.35,2.870905277059337,0.9722431540000823,1.45,0.7964942999172682,2.7496702277350757,3.0466867690844257,1.0954934385969906,0.5582564122348327
NEWSPEEDSTICKY,MENU,7.0,,2.0,3.5,0.9635424574999998,0.7588007177083329,0.8336661950000014,2.6962560814299783,1.3234180524999999,1.5175061624999997,1.3894692046483688,-0.16860879230586098,-0.0827264015999003,2.486213359465418,0.7677740758198499,0.95,2.4560601149999997,1.95,2.469743745489806,0.75942443303136,0.975,0.8570537531904572,2.0214190427761065,2.110033823317642,1.0390945531256226,0.4673067940606515
NEWSPEEDSTICKY,PIE,7.0,,2.0,3.5,0.9708351049999978,0.8678133441666649,0.6498833250000018,2.38472259222606,1.1689731724999977,1.0593310575000021,1.160794465028862,-0.5449872647242608,-0.1081209162886081,1.919395356746397,0.8533467538900961,1.0,2.0301661625,1.475,2.014718923053733,0.9437871269231971,0.475,0.9197431666913605,1.7933074199415888,1.8658129786861632,1.034258703429259,0.46270592629184926
NEWSTICKY,GRID,7.0,,2.0,3.5,0.9589162750000156,0.8427272075000101,0.7482788500000026,2.050446342153239,1.2636123500000251,1.3485327249999954,1.114722188844552,-0.2752119018237437,-0.1582062610847188,1.817861251353929,0.9135634191081579,0.95,2.3144324500000066,1.675,1.7009931795278017,0.8273573047282131,0.7,0.819836243654547,1.7960165138022315,1.8951584562390713,1.0395451203932125,0.4905089269049487
NEWSTICKY,MENU,7.0,,2.0,3.5,0.9704261749999944,0.8295516624999955,0.7042396250000053,2.203913395499534,1.1887277999999923,1.078714475000001,1.0997580672688239,-0.27331722724382895,-0.10581077758698906,1.6868711656997657,0.7934625456435397,1.0,2.0491406499999956,1.55,1.944987442876802,0.7189698153067703,0.55,0.9265474738222537,1.8206499603405952,1.8907093568628917,1.0321642697329791,0.4901296281882028
NEWSTICKY,PIE,7.0,,2.0,3.5,0.9724640000000051,0.858784008333336,0.5778149000000028,2.1570393015389837,1.1781259250000033,0.9414330249999991,1.154696288616859,-0.5092663565637956,-0.07862892557270657,1.785920235400641,0.9265983383460107,1.0,1.9138970250000042,1.475,1.765985367413252,0.9111615958266329,0.475,0.9770289660302586,1.7962832840838572,1.8636250483678665,1.0348978988178985,0.40272749373971334
