posture,cursor_type,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,walking_speed
STAND,EYE,LARGE,0.9042541110242789,0.3339922328744748,9.349741361173928,9.889959578444186,1.515056481481483,1.2962962962962963,1.1432202469135773,0.9518385740740712,0.6985018939411001,0.13675169422978217,0.38524889427482084,0.32850285400419377,0.7487320760838634,0.377650883305402,0.32027359217173884,0.25301571835460657,0.8683200493827141,29.752142543396356,0.021554134787695835
STAND,EYE,SMALL,1.1147554555982706,0.4997283687870329,4.615791406156296,4.818183118828962,1.0216177407407403,1.5925925925925926,1.266666938271605,0.8747781450617284,0.9168003653219008,-0.015394584739506547,0.5159566494789711,0.4384004651896106,0.9574662031306034,0.42479253921018084,0.4722887954466121,0.3253121249122335,0.8844424567901217,13.632458372778574,0.013537297274055652
STAND,HAND,LARGE,0.8318671073936285,0.2962360896402111,12.804004552048571,12.471323527636105,1.4987723703703688,1.0740740740740742,0.852702283950619,0.8072989444444457,0.1278971998774833,-0.016387130491023853,0.394051346320753,0.29631286685021446,0.5089156343559493,0.5301184397213146,0.29760146244144403,0.23373741410540896,0.7901982469135821,30.52996336692971,0.019408954172389473
STAND,HAND,SMALL,0.8093071463308878,0.27931958904510545,7.06565847017752,6.365123399735114,1.079554555555558,1.037037037037037,0.757273123456791,0.7362645740740752,0.20059269228843424,0.0016531981698801384,0.38361641061738083,0.35919143586792934,0.5164107358725488,0.5167807661479704,0.2569509216232807,0.22543729525578796,0.7450174691358039,14.891089943570169,0.011294975576032129
STAND,HEAD,LARGE,0.7038624432410733,0.2995851329027541,11.055876205198363,10.823686084427584,1.6105284444444397,1.1111111111111112,0.9648270000000093,0.8812412777777865,-0.22256846421717047,0.21505540364238243,0.3580916378596,0.3956935959925937,0.4023495548930849,0.4831944931501593,0.2540335443362275,0.2735480704438999,0.8246224320987692,27.68821970537374,0.025146160084999036
STAND,HEAD,SMALL,0.7631745229629374,0.2834757910579483,5.6546668211882025,5.379794043278066,1.109526592592593,1.1111111111111112,0.9687521481481526,0.9036040370370408,-0.21555415659483407,0.2878679853691909,0.3034680581798402,0.39929848755520575,0.4340206009600968,0.5412861055335926,0.20449927193067144,0.2811500360839296,0.8171950617283982,12.64151401877898,0.016506284314856547
WALK,EYE,LARGE,5.339441016389427,3.7493273627602735,10.71510662533478,7.401630737664341,3.2597987500000043,2.1,0.38461814999996696,0.19476084999998108,-0.225632114557725,0.15597064299435864,4.912731418570291,0.9837665799667402,5.146800147970355,0.9076381201038795,3.787581782269932,0.7093817498076306,0.26457258333330924,75.27297725501634,0.8503167443721882
WALK,EYE,SMALL,5.983747537554293,3.671584045585907,8.42265393209222,4.657443264886165,2.8665963846153817,2.1153846153846154,0.3756540897435808,0.1629990429487193,0.83992802898337,0.3523163967227666,4.584856035374506,1.43192691536176,5.420830333303276,1.4834726987261049,3.754813686934546,1.1996658381689178,0.2465882179487219,59.25901312773568,0.8875651499929218
WALK,HAND,LARGE,5.820642260541822,3.789630462919515,12.143256185500677,9.886241920250342,2.5772092999999927,2.65,0.44208848333331685,0.19254626749999573,-1.074669473200562,-0.5473360441197145,4.8134072357900965,0.7920193289559921,5.570471493170821,0.9622792125393985,3.917649698282793,0.5861234992809197,0.2585052333333142,74.64502558499237,0.8335427760667624
WALK,HAND,SMALL,5.325774475380677,3.3969674066636433,8.335035020673367,5.548432691615305,2.2858845000000034,3.1363636363636362,0.5703633181818261,0.19195127976190737,-0.8162538870091782,-0.46552507632798207,4.858240271673826,0.6045067333840641,5.1427366805128365,0.7959909411906488,3.50668045232115,0.4632436969103699,0.28367842424242623,45.6483652804776,0.8451056473175869
WALK,HEAD,LARGE,6.141750783101331,3.6008044892458564,9.933282748710704,7.2433208500744115,2.399069047619053,2.380952380952381,0.34478193650792055,0.16186252698411888,1.6455488074671611,0.12169346630990804,4.9094755964047625,1.406014636926646,5.692921080438246,1.439140062233632,3.6326970581892177,1.2013012856064353,0.20235476190475,52.690427699717766,0.8484147480552477
WALK,HEAD,SMALL,5.305074822289241,3.3105872773140743,7.582754958769146,4.420738157390503,2.508008279999999,2.28,0.3880165599999835,0.17679909866665755,1.7176493069780892,0.2430779307956083,4.5594531917593475,0.9985368684623706,4.948267404963341,1.129056168751106,3.446033356755367,0.843742747125814,0.24117093333333128,45.525262141236205,0.8525737311491076
