,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
0,1.5,0,STAND,HEAD,4,0,SMALL,1.0675925579166665,0.2298844803023124,4.355077657388889,4.355077657388889,0.5024109999999951,1.0,0.9836730000000102,0.9836730000000102,0.5810277791854405,-0.69619103571961,0.16035149899191573,0.5958881667289576,0.9836730000000102,
1,1.5,0,STAND,HEAD,4,1,SMALL,0.5349765343442623,0.18360413105533888,3.818519896818182,3.818519896818182,0.6323549999999898,1.0,0.9988250000000107,0.9988250000000107,0.2973580666518212,-0.09064396330156078,0.3397533816437305,0.3358403481686899,0.9988250000000107,
2,1.5,0,STAND,HEAD,4,2,SMALL,0.5931432266833333,0.21993351506753836,3.920117223774194,3.920117223774194,0.5502929999999822,1.0,0.9832920000000058,0.9832920000000058,0.2989327275777679,0.43078999251929034,0.29507282937728885,0.19897142373452448,0.9832920000000058,
3,1.5,0,STAND,HEAD,4,3,SMALL,1.1113590203033707,0.49283468105924544,3.254506740635037,3.254506740635037,0.8015440000000069,2.0,1.114518000000004,0.557259000000002,0.9574680649668253,0.43405099338662984,0.5551027634468283,0.2635060268809992,0.9831700000000012,
4,1.5,0,STAND,HEAD,4,4,SMALL,0.9354617393064517,0.17428666911240243,3.837990724678161,3.837990724678161,0.4161410000000103,1.0,1.0162629999999808,1.0162629999999808,0.7730997653881659,0.2201642230967988,0.11227431931817146,0.5075361704569525,1.0162629999999808,
5,1.5,0,STAND,HEAD,4,5,SMALL,1.290401396037037,0.6618279428109308,3.8870425966875004,3.8870425966875004,0.5153880000000015,2.0,1.033600000000007,0.5168000000000035,0.03569523841344849,0.043375048153522174,0.4101629101139719,1.3979590373107609,0.9981989999999996,
6,1.5,0,STAND,HEAD,4,6,SMALL,0.4750469886233334,0.28083435349596364,4.366451528442857,4.366451528442857,0.6324619999999754,1.0,0.9848479999999995,0.9848479999999995,0.02008200814940242,0.30680556933872727,0.3427804043601476,0.3084230373804301,0.9848479999999995,
7,1.5,0,STAND,HEAD,4,7,SMALL,0.9700255777500001,0.2664840458695791,3.91568694581081,3.91568694581081,0.8452650000000119,1.0,0.9873299999999858,0.9873299999999858,-0.7935149148385366,-0.073712531617812,0.5772945253644118,0.22196887872212429,0.9873299999999858,
8,1.5,0,STAND,HEAD,4,8,SMALL,0.6422132914098361,0.15497922208656484,3.1635015928275863,3.1635015928275863,0.43331899999998313,1.0,0.9980780000000209,0.9980780000000209,-0.03160441672564635,-0.5170044292747418,0.37734593424202056,0.17135584974669052,0.9980780000000209,
9,1.5,0,WALK,HEAD,4,0,SMALL,2.4710268221617024,1.1168557034171687,4.285601071355482,4.285601071355482,1.0993399999999838,4.0,0.5513499999999567,0.13783749999998918,0.35342128444529275,-0.6430651185739941,2.191454824482093,1.4492835396363897,0.2692260000000033,
