posture,cursor_type,Unnamed: 0,subject_num,repetition,target_num,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,estimated_width,estimated_height
STAND,EYE,157.0,11.5,6.5,4.0,0.9978636238692511,0.5741391356893394,5.190841762990951,7.311335633753512,0.7398054610038592,2.227027027027027,1.2742848841698826,0.7618511646681588,0.13651980344335005,0.07872845040168562,0.5624921083132783,0.5529128160093449,0.629694296489297,0.6359182152589621,0.4436930333594361,0.43611938283536916,0.9976362795366754,26.299990771117244,1.2615040200699068,1.1845540824203755
STAND,HAND,265.0,11.5,6.5,4.0,0.9295703262509258,0.37721381367367773,7.7208966753869,9.136664410018312,1.1705957910742697,1.2965299684542586,0.9728701975048939,0.8283730956484239,0.04179448284561716,0.060656840243612065,0.4335423350070503,0.39527924291645566,0.610441629448206,0.5780196467105254,0.3203771433983222,0.30416561101708395,0.9127872474187312,23.711851163892266,0.9088791528597178,0.8512153260765234
STAND,HEAD,49.0,11.5,6.5,4.0,0.9624782752373039,0.48104908894770704,5.719579322347198,7.310462430328288,0.9908803302034425,1.5273865414710486,1.1312618904538339,0.8324143544926951,-0.03303187615313838,0.09395302423633065,0.499590022159022,0.5370779310753122,0.5856197712914976,0.6379213619360794,0.3664199648002429,0.39671532846253366,0.9924348685446006,21.222683118514862,1.0322119204711824,1.168108886386955
WALK,EYE,166.0,11.5,6.5,4.0,3.4126826061435636,2.517104803544685,6.000229127169698,6.17420257880858,1.3189999403107102,8.953393295175797,0.9191253744889598,0.10281677035120096,0.26159813459186754,-0.08041407902496733,3.2438254894081027,1.6446013552107739,2.7892660330148544,1.3923878868762047,2.3228759244309174,1.258065017630897,0.2937186214227329,64.48383944155213,6.749249113408073,3.369616789446515
WALK,HAND,274.0,11.5,6.5,4.0,4.874182618579706,3.056604522740743,8.553400449454656,7.445944765898411,1.9276398505749275,4.933191940615059,0.4767273346616884,0.10187503869871212,-0.14589986180428532,-0.2429835319131354,4.966814516514844,1.1510974596349464,4.592818625629584,1.1165472474499334,3.1676584764582025,0.8133201647291314,0.22159011792412914,61.292847346687985,10.079528894833972,2.545178451183028
WALK,HEAD,58.0,11.5,6.5,4.0,4.188606231861276,2.4744370786582204,6.720779619591788,5.943080857662365,1.6024267775862064,4.968965517241379,0.5977176568965503,0.11552674745160188,-0.023209168470492304,0.3260893767342606,3.6695140127251675,1.5095335978788493,3.5931121199685454,1.5013025743857278,2.5156234692507073,1.0964877104153083,0.2520985560344815,46.32345726394936,7.362237193920827,3.3451565724919594
