posture,cursor_type,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,walking_speed
STAND,EYE,LARGE,0.9936528506449355,0.4147294577436303,10.115424538830593,10.103045181615398,1.806475000000003,1.1481481481481481,0.9364970123456773,0.7965113024691332,0.2273139309678187,0.2714024403987698,0.3463043950836564,0.40838936267983833,0.6243290221157557,0.6420055621085825,0.27604635524105803,0.38315054671310345,0.7403563703703667,29.211402161157338,0.014311701741105232
STAND,EYE,SMALL,1.1305255903067488,0.575265496636599,5.917245502594552,4.8152130841903915,1.1791492962963004,1.4074074074074074,0.7339229876543174,0.49208175925925596,0.4855552916457051,0.32323724083342414,0.4227543924629018,0.46733056640483966,0.6890054140195838,0.7404074329859489,0.37536676282960046,0.4174165523201007,0.5465462345678993,12.96663021242789,0.010503090926944151
STAND,HAND,LARGE,1.0744741140507106,0.34736672349553416,14.566454492996455,13.024837371926658,2.041420407407403,1.1481481481481481,0.9305518271605018,0.8316339814814884,0.10996818801314286,0.15687389495168155,0.46671104535523017,0.44495135020364107,0.7489275389623531,0.6024029193128492,0.3439668087696784,0.33409563862349,0.7590995679012361,32.24751102473132,0.014906405261312268
STAND,HAND,SMALL,0.9091107274598864,0.3310826988359701,8.324800868141345,6.486217405695038,1.494777037037034,1.0,0.6584390740740778,0.6584390740740778,0.2739913330249795,0.19433629991150542,0.37340285579527294,0.31256187586307405,0.6355040444472773,0.5144525753380201,0.26312695607701797,0.25087209546785433,0.6275089012345723,15.465911804485314,0.010958474869343567
STAND,HEAD,LARGE,0.7246633453622737,0.29132410917123475,11.568891124032119,10.699169319389625,1.5639547037037058,1.0740740740740742,0.7695033209876535,0.7256938703703698,0.018204966736742517,0.11299026744455182,0.33345098278496105,0.28500708093575566,0.4607609258139444,0.4825865066719703,0.2494519289219096,0.23005357269330298,0.6767037654320988,26.261949577666723,0.022421965954948966
STAND,HEAD,SMALL,0.8187234566513264,0.26767555646014546,6.544320207428042,5.284286926968211,1.2789648148148147,1.037037037037037,0.7025644197530838,0.6786047962962934,-0.04694321927150454,0.20092088460325533,0.26987072872521983,0.23852822208103733,0.5256016598013793,0.5272696774001632,0.21499194410141667,0.21149050511124104,0.6470205308641958,12.686885190140275,0.015556688810995468
WALK,EYE,LARGE,5.050894850840876,3.040934324613624,12.200656018282926,9.787242960775984,3.027097692307699,1.8461538461538463,0.4370360769230798,0.21761817948718143,0.41421689911166654,-0.2686201172487379,3.2957672673887117,0.8665202824302121,4.510705427547105,1.2356859461633707,3.0139815845889797,0.8179205111390873,0.2939701794871628,77.59754948764672,0.6655175934369145
WALK,EYE,SMALL,7.085371658488853,5.181542329406301,13.273256830042422,10.970510643434665,2.670517611111115,2.388888888888889,0.7384096851851764,0.3643555231481399,-2.858086307777876,0.24291387331493944,5.920956787143163,0.5106419220319396,6.946758073686654,0.6193170824518637,5.251068419892904,0.39950947447940854,0.424767462962963,89.25241702742744,0.6706801041631701
WALK,HAND,LARGE,7.561440353546989,5.811618277534236,13.241658240470455,10.347563299216318,2.516105357142846,2.357142857142857,0.5614640714285785,0.2622715119047615,1.971148744821049,0.16628889226983193,6.896136156466959,0.9006515341947303,7.332197666772127,0.9043910186214809,5.824627701278083,0.7804749920884914,0.3879552619047601,58.8410758323689,0.5078506435627665
WALK,HAND,SMALL,5.298103033074001,3.975860269599162,8.903362885394388,6.593023308586753,2.279294611111096,3.2222222222222223,0.7446907962962758,0.26956291944443955,-0.5500505483717844,-0.044915624757869824,5.209256829027223,0.593025382213485,5.169042006560373,0.579283795488107,4.040883347079805,0.38997828757066627,0.38445303703702893,49.07214736003487,0.5051707754243288
WALK,HEAD,LARGE,7.994168477053984,5.6738535864971436,12.753496850137354,9.373379871311805,2.749710296296295,2.2962962962962963,0.3507612839506317,0.15287321419753933,1.947910083602449,0.5168493627432427,6.867399678934951,0.8636349146162737,7.724371122468995,1.0265214218744656,5.78468447006486,0.6909283594874494,0.20666111111111898,65.51383510151676,0.4295605928694775
WALK,HEAD,SMALL,6.899820180917452,4.959817595609509,8.884049617663184,5.968676940008994,2.2159853809523775,2.5714285714285716,0.4810809047618973,0.19378170873015377,-3.3043728116430566,0.44936399980141867,5.920441593114914,1.0629555437680593,6.611933929994926,1.2281801433096267,5.055990197335669,0.8186648301545558,0.2910081428571304,53.3902505472791,0.4463755881150972
