posture,cursor_type,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,walking_speed
STAND,EYE,LARGE,1.2494763720632962,0.5587260712435926,6.670191632109963,8.477413264976603,1.5974843076922893,3.5384615384615383,1.540332756410235,0.601533503604739,0.502130878400959,0.7361501910749035,0.5735018841633276,0.5463985041230938,0.701313754545904,0.8917644639019886,0.41283762203175584,0.47307302407570356,0.9433800000000063,46.47428762271376,0.017556767610205512
STAND,EYE,SMALL,1.2071192593167357,0.42190193553228006,3.7320063852245116,4.113378942590635,1.234275814814804,3.962962962962963,1.5995956913580183,0.6114018858318496,0.5568944765414455,0.6347710314293387,0.5060716920570153,0.4990806232337781,0.7228056611584607,0.8295957896403616,0.379750641848885,0.3894981370646792,0.9297366296296409,25.46274931502134,0.01355614996478579
STAND,HAND,LARGE,0.9941427875470301,0.3966740932449413,9.015618783955393,11.462619235332662,1.2901935925925896,1.3703703703703705,1.2076459012345726,0.9923212808642,0.041532031752880436,0.30609360365873534,0.4844326861411993,0.4055030789331328,0.6460544197271255,0.610275149085681,0.3436484347681025,0.3192184073384072,0.9802859382716055,31.407206125987,0.01775930684302467
STAND,HAND,SMALL,0.9012234684785679,0.356762135220439,4.879324030115497,5.797436251345875,0.9580013333333368,1.2222222222222223,1.063519333333329,0.926134925925924,-0.17009594199412195,0.3825355952998612,0.43833642425528485,0.28463345869373363,0.6062549740459587,0.5502070545588358,0.33309966325429935,0.2325037699980776,0.998740172839505,15.516634274810063,0.011738176283259587
STAND,HEAD,LARGE,4.242205466478658,2.524212644528579,9.418323094771226,8.252324098238333,2.722007058823518,1.7058823529411764,0.6318568627451048,0.39658411764707496,-0.15206461300125107,1.7300409143732498,1.5585414987996342,2.893484786917446,1.7080275933991766,3.3957290477397013,1.178376858195254,2.32580214146226,0.5229556862745119,43.62416064081839,0.025246067633531148
STAND,HEAD,SMALL,2.140488954633256,0.9416570756865797,6.742592113207222,4.9430427217062025,2.6423413636363606,1.6818181818181819,0.7684160606060412,0.5150295454545426,0.23447189529752296,-0.73070643793951,0.6048089707103252,1.561240740234506,1.057509050000827,1.6714490986729056,0.5008760024809855,0.9714007619557488,0.6364127272727335,33.44202299042262,0.018014804191260968
WALK,EYE,LARGE,4.29106845395349,2.2979512252190295,11.32366819375586,8.185982224891742,2.8902400000000026,2.888888888888889,0.3434595185185373,0.11165234722222864,-0.10247541429437737,0.6027991200623447,3.0455307479799845,1.9711470339878825,3.3283821179479625,2.186930556390584,2.1171090031705186,1.602514644217644,0.1810322222222269,127.116231876048,0.6662541980718519
WALK,EYE,SMALL,5.078916970930703,3.111962908691888,7.80533548396328,5.321084965225151,2.155321750000008,4.125,0.48342283333333974,0.1177759060134318,0.23801032495280786,0.8928868507606755,3.9655950655715047,2.075030697641746,4.139240256275007,2.183728169136124,3.0760365279053885,1.605001661121154,0.21908099999999034,99.71882728820584,0.6346882223767891
WALK,HAND,LARGE,4.7863190742403425,2.816045650211448,11.313020174455643,8.78046811528408,2.6603363333333285,3.111111111111111,0.40454664814815483,0.12798575185185485,0.3139679643162775,0.016386278674104224,4.073262969801947,1.5032976865940617,4.1488138214570744,1.5115228720226972,2.933082184392771,1.0514230945996614,0.20632155555555387,78.14120715496557,0.7110399049891526
WALK,HAND,SMALL,4.495094502786082,2.646551521656432,8.438920150741483,5.942909157084242,2.2645758285714312,3.8095238095238093,0.5117134603174698,0.12397267020975294,-0.8810469576498624,0.1672761591301364,4.0415863728431685,1.2177665128555302,4.140744257895024,1.109502099854626,2.646602231742243,0.9287519312206598,0.23840999523809506,62.95186185580218,0.6816830483773038
WALK,HEAD,LARGE,8.204456230952143,4.08249023581335,12.04079943131789,7.142145335463005,2.577406571428566,1.5714285714285714,0.16817873809523465,0.10226738095238155,0.5791109844875306,-0.06354472680817078,5.2329222995146765,3.1183196656553496,6.31125433681034,3.913575168635744,4.1291543143715215,2.5816781845005203,0.12169497619048267,86.88672050449263,0.675548851405332
WALK,HEAD,SMALL,6.356821343088543,3.3408145616397045,10.09376849020371,6.423634074666492,2.6602211500000066,2.8,0.30716368333330835,0.12185199999999208,0.062222268417599924,0.4637164692992698,4.445900826625201,2.3692695029652215,5.374336305990684,2.4103740923915753,3.4088864898269984,1.7039340988732288,0.17684593333333007,85.75185985994511,0.6539718548187113
