,subject_num,posture,cursor_type,target_type,repetition,target_num,longest_dwell_time,mean_dwell_time,initial_contact_time,mean_offset,total_dwell_time,success_time,std_offset,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,success_trial,trial_time,drop_count,abs_mean_offset_horizontal,abs_mean_offset_vertical,drop_out_count,mean_out_time,drop_positions,drop_vectors,walking_speed,straight_length,walk_length,straightness_simple,out_mean_distance,straightness,curve,error
0,13,,HEAD,GRID,0,0,0.8843669999999975,0.22077123076923044,0.36724899999998684,2.001646837051955,2.8700259999999957,4.465514999999982,1.182120619380431,-0.6575419582397021,0.8250268673227894,1.8475293152360484,0.9419390040813842,False,5.368652999999995,13,1.5435405102435378,1.017566967918117,13,0.13209869230769739,"[(2.119389601740817, 3.03268608643954), (1.0695967372526063, 2.2494613646805277), (-1.227645652101053, 2.283518344560747), (-1.9764456080386807, 1.6299103230800114), (-0.7485154431075003, 2.0273308329031607), (-1.2592519160681803, 1.9756529010353177), (-2.2812225343514996, 1.4078829770984953), (-2.297079265395226, -0.15999529739531226), (1.9560217577829278, 0.9441046026770579), (-2.4149475856791724, 1.3418833137844643), (2.4113232804503326, -0.20813993501504058), (1.9531527408066651, 0.12223660526656488), (-2.461471247117288, 0.032544022187551036)]","[array([0.57282898, 0.81967491]), array([0.42941795, 0.90310587]), array([-0.47351928,  0.88078345]), array([-0.77149921,  0.63623028]), array([-0.34635882,  0.93810211]), array([-0.5374885 ,  0.84327108]), array([-0.85098264,  0.52519382]), array([-0.99758312, -0.06948328]), array([0.9005844, 0.4346812]), array([-0.87411951,  0.48571091]), array([ 0.99629531, -0.08599794]), array([0.99804734, 0.06246205]), array([-0.99991261,  0.01322021])]",1.0261816094417422,5.326888542824638,5.509212976074233,1.0342271913113683,"[3.7467417294736847, 2.48978615, 3.045629372857143, 3.024349605, 2.160483, 2.688589618, 2.809903495, 2.9821546679999997, 2.3003133066666663, 3.9391518824, 2.5131409600000003, 2.115963815, 2.45877624]",0.9845201238390093,between,
1,13,,HEAD,GRID,0,1,0.9183049999999753,0.3987254999999976,0.4800999999999931,1.719260668035395,3.189803999999981,4.647800000000018,1.3025753544947831,-0.015144341657037515,0.12145510052934357,1.9412602701120714,0.9380939699913524,False,4.9658000000000015,8,1.4557330633564851,0.6468298138747067,8,0.13060824999998744,"[(-3.159011816910123, 1.7572730066128202), (1.7273358334416855, 0.44166556201987817), (2.223959221208972, -1.005382900869776), (-0.2098505232141008, -2.264075404710937), (-2.253705062133804, 0.6084710661930757), (-2.6397551039654132, 0.12170521068716766), (-2.2907447299473773, -0.4265211911902327), (3.6038110730712205, -0.3397484349484188)]","[array([-0.87389098,  0.48612196]), array([0.96883112, 0.24772215]), array([ 0.91121466, -0.41193185]), array([-0.09229149, -0.99573203]), array([-0.96543224,  0.26065415]), array([-0.99893887,  0.04605581]), array([-0.9831041 , -0.18304734]), array([ 0.99558554, -0.09385859])]",0.9826641578782952,3.6257214966252045,4.87971367519204,1.3458600390940236,"[4.212452796666667, 3.0991634528571423, 4.469225925499999, 2.27382779, 2.2582264420000002, 2.567223092, 2.537530527777778, 3.288979898333333]",0.0,curve,
2,13,,HEAD,GRID,0,2,0.9010010000000079,0.23225508333333048,0.8499800000000164,1.7381141877601838,2.787060999999966,4.2642060000000015,1.1419812317776121,-0.35148495426827625,0.32559697836709667,1.4128492279402498,1.4526529321310304,False,5.1857800000000225,12,1.0904071666047772,1.040599512358437,12,0.0971739999999907,"[(2.1799976742189244, -1.368757426347429), (-1.9870449542081872, 0.925300203653947), (-2.14706787143038, 0.6374763689931768), (-1.753170629586748, -0.602134920599994), (-1.4122222806498996, -0.7425279551842152), (-0.6360616820469431, 2.0825804229537113), (-2.2358055522884683, -0.909572126656613), (2.071678148672362, 0.06466442677242412), (-0.46333452404360287, 2.2783328675442647), (0.742760906333217, 2.041580772853493), (1.2652654175853684, 2.0161872474967026), (0.5384900098839864, -3.449666102847587)]","[array([ 0.84690369, -0.53174631]), array([-0.9065303 ,  0.42214076]), array([-0.95863888,  0.2846252 ]), array([-0.94577239, -0.32483009]), array([-0.88511109, -0.4653798 ]), array([-0.29209995,  0.9563878 ]), array([-0.92628211, -0.3768308 ]), array([0.99951321, 0.03119835]), array([-0.19928635,  0.9799413 ]), array([0.34189262, 0.93973902]), array([0.53155339, 0.84702479]), array([ 0.1542314 , -0.98803475])]",1.018430295036843,5.093518281722201,5.281355455396183,1.0368776871476098,"[2.7939738975, 3.2235612138461534, 2.18236376, 1.8524516800000002, 1.5947094, 2.198853015, 3.1106870292857143, 2.9499843539999997, 3.4140932070370376, 2.37413293, 2.4527356200000003, 3.491437]",0.9871794871794872,between,
3,13,,HEAD,GRID,0,3,0.5646059999999977,0.10347416666666555,0.017563000000023976,2.8193944072373216,1.8625349999999798,4.8513030000000015,1.6108404976975919,-0.25842602825520233,0.2032744723806265,2.6731491389758437,1.820463368407781,False,5.431732000000011,18,2.063033277293383,1.4228953268026938,18,0.1646762777777787,"[(-2.454064751421356, -0.1328491242546761), (-1.3833806261393136, 0.8083384244075518), (-0.05151913846114553, 2.2503756343935635), (1.4497719989962263, 2.4517833767943387), (-0.5855940797654853, 2.0266981040248737), (-1.07376288307168, 1.9901837866899115), (1.9678961928186425, -0.22383682577540753), (-2.0230483150740355, -2.8757781995670797), (-0.8888075044668398, -2.0594871354160773), (-0.6667559822028295, -2.06207980269663), (-2.77885396419434, -1.7868658837646478), (0.5143962932138777, 2.1064195127722343), (1.9675277178869948, -0.8208510298857448), (1.9831487893349617, -0.4432851508145461), (1.9444392046499388, 0.6532316314609403), (2.054696332722301, 1.6276383204245235), (1.7490282776090282, 1.4252756700529403), (1.5794509578866496, 0.025260857918610213)]","[array([-0.99853795, -0.05405517]), array([-0.8634075 ,  0.50450718]), array([-0.02288758,  0.99973805]), array([0.50898714, 0.86077412]), array([-0.27758494,  0.9607011 ]), array([-0.4748283 ,  0.88007846]), array([ 0.99359323, -0.11301549]), array([-0.57537024, -0.81789307]), array([-0.39624194, -0.91814614]), array([-0.30765843, -0.95149687]), array([-0.84111517, -0.54085606]), array([0.23723277, 0.97145284]), array([ 0.92290233, -0.38503413]), array([ 0.97591688, -0.21814272]), array([0.94793694, 0.31845809]), array([0.78385944, 0.62093831]), array([0.77520427, 0.63171065]), array([0.99987213, 0.0159914 ])]",1.0312510202612581,5.402790694919234,5.601479166785735,1.0367751562268268,"[3.8627413593333335, 1.6000998, 2.25090241, 2.84661341, 3.66604760375, 2.999555645, 3.6203078660000005, 5.170194680625, 2.383281225, 2.167086, 4.430374271111112, 2.47763576, 2.13056254, 2.0221033100000003, 2.5962275921428573, 2.500357374, 2.254291, 1.5783039300000001]",0.9694189602446484,between,
4,13,,HEAD,GRID,0,4,0.7275390000000073,0.28871058333333127,0.24890200000001528,1.7069249428694513,3.4645269999999755,4.869522000000018,1.5231444259676807,-0.5483805558707113,0.6710518567632437,1.8334382651457644,1.0623914346355399,False,4.968796000000026,12,1.2806093021983709,0.9021729384550365,12,0.07302050000000311,"[(-2.0994801938557544, 0.6355114259468593), (2.033143772876201, 1.015903392667198), (2.0377353187306113, 1.3980733778090837), (-2.0874974234140495, -0.2066493433904668), (2.2756629766964522, 2.0588194172504615), (1.6047873814880376, 0.2516414594182521), (-2.7598279007832787, 0.1455394465242108), (1.5326458002242447, 1.9877918571507536), (-0.5046856506653228, 2.405596631670889), (1.2700194059228096, 2.3173096054000126), (1.0471911844121777, 2.239186407111305), (1.7875615856004075, 0.6152014074465484)]","[array([-0.95711226,  0.28971732]), array([0.89454481, 0.44697828]), array([0.82458366, 0.56574004]), array([-0.99513583, -0.0985123 ]), array([0.74155422, 0.67089294]), array([0.987928  , 0.15491376]), array([-0.9986124,  0.0526618]), array([0.61060521, 0.79193514]), array([-0.20532644,  0.97869354]), array([0.48061053, 0.87693416]), array([0.42362862, 0.90583597]), array([0.9455683 , 0.32542372])]",1.0462259381824064,4.104908451107532,5.198483256737015,1.2664066248138688,"[5.962684640454544, 2.2816095925, 3.15702068, 2.3953228600000003, 3.06854343, 1.6238941, 2.5803551474999997, 2.63405275, 2.5587301874999997, 2.517452405, 2.4719553, 1.89020538]",0.0,curve,
5,13,,HEAD,GRID,0,5,0.4010009999999511,0.10629283333333382,0.24740599999995538,2.4618195763455457,1.9132710000000088,4.8299559999999815,1.39166393597101,0.0070822758846174555,1.4078685031394012,2.179333793277219,1.1311572051097392,False,5.146131999999966,18,1.6702986235146637,1.5136624626274895,18,0.13297955555555696,"[(-0.6767619383551442, 2.383891798431975), (1.4594460469110473, 2.492265714821812), (-1.6014160439223133, 2.0792471476056846), (-1.9974739206446017, 1.5596104387852137), (-2.010866227452887, 1.7461301826011777), (-0.3212493652370867, 2.1871754941618633), (1.5654601020005146, 1.9790662442956517), (-0.5799681668362524, 2.0535350528928262), (-2.1539132962487244, 2.1147674866058566), (-1.1994155077784896, 2.0918640686345356), (-2.3730201832241136, 0.747181934530559), (0.1765063476180302, 2.42729850925366), (-0.19869748881576754, 2.026405493747802), (-0.18622968781734528, 3.4604854726187), (-1.4918778397779988, 2.0817693917046967), (-1.2267706752331122, 2.1598822667396576), (2.0460709272671593, 1.7271731965121546), (-2.076010360259346, 0.7312738373846912)]","[array([-0.27309783,  0.96198626]), array([0.5053233, 0.8629301]), array([-0.61018826,  0.79225645]), array([-0.78819971,  0.61541955]), array([-0.7550607 ,  0.65565489]), array([-0.14531949,  0.98938478]), array([0.62038603, 0.78429661]), array([-0.27179266,  0.96235583]), array([-0.71356128,  0.70059282]), array([-0.49740912,  0.86751609]), array([-0.95383543,  0.30032977]), array([0.0725257 , 0.99736654]), array([-0.09758616,  0.99522708]), array([-0.0537383 ,  0.99855505]), array([-0.58250427,  0.81282764]), array([-0.49387697,  0.86953179]), array([0.76414405, 0.64504564]), array([-0.94319487,  0.33224002])]",1.0391643147320917,5.219182647596636,5.347676733300853,1.024619580187213,"[3.4568427579999996, 4.221659595882353, 3.4288259290909093, 2.5340457, 2.66300464, 2.8006327525, 4.08716713625, 2.13395858, 2.8655222937500002, 2.632395232, 4.3280856949999995, 2.318180176, 2.03615117, 3.46548867, 3.0887852345454547, 2.62041161, 2.89713298375, 2.20033717]",0.8193548387096774,between,
6,13,,HEAD,GRID,0,6,0.3815309999999954,0.10936780000000113,0.6184690000000046,3.495094705732812,1.0936780000000113,3.4852439999999945,2.0506357386397775,-1.5330758908601267,2.019913645010307,2.1870828666027236,2.286738069968629,False,4.983978000000008,10,2.180178757937588,2.308150725505642,10,0.2945734999999985,"[(1.7110929599837341, 2.4265541828415422), (2.0012708440138383, 1.1300618842963246), (-1.2571818047840324, -0.981437246492419), (-2.1307307356539127, 0.5347367474370941), (-0.55683489176932, 2.4999050780284193), (-0.9039693572931, 2.347162652312562), (-2.2255793879558894, 0.9612579125530942), (-1.6867444694534868, 1.3416302721619786), (-0.6036090947391557, 2.0144968057360444), (-4.268273316371193, 0.8433930713309366)]","[array([0.57628552, 0.81724843]), array([0.87076615, 0.49169738]), array([-0.78824821, -0.61535742]), array([-0.9699221 ,  0.24341555]), array([-0.21741429,  0.97607942]), array([-0.35939968,  0.93318373]), array([-0.91803048,  0.39650981]), array([-0.78262327,  0.62249564]), array([-0.28702507,  0.95792307]), array([-0.98103162,  0.19384777])]",0.9716287941403934,3.488370149474747,4.842576534162257,1.3882060465663073,"[3.215420178571428, 2.29822874, 1.59434116, 2.547484264, 2.6102886199999995, 4.017088616153846, 4.665593131272728, 2.15495, 2.38548159375, 4.936235035595239]",0.0,curve,
7,13,,HEAD,GRID,0,7,0.3147739999999999,0.18037799999999038,0.3644249999999829,4.184515594306271,0.7215119999999615,2.8679959999999767,2.3644328889656454,-3.0120760288942665,1.278275620313569,2.8658357303462814,2.050773100103194,False,4.98281799999998,4,3.4334558372115667,1.8243055755656523,4,0.942545250000002,"[(-2.008292374619243, 1.4469566856790834), (-1.6899332006213612, 0.1321745893507824), (-2.081988098378403, 0.303533205698983), (1.5926743300812802, 2.9525254440312665)]","[array([-0.81134538,  0.58456709]), array([-0.99695533,  0.07797478]), array([-0.98953909,  0.14426498]), array([0.47475897, 0.88011586])]",0.9694660138981566,3.2626730421077523,4.830672704439966,1.4805874330942013,"[3.358340727659575, 4.747992126382979, 5.625663665714285, 5.149214692434781]",0.0,curve,
8,13,,HEAD,GRID,1,0,0.9832000000000107,0.43044349999999554,0.4990849999999796,1.4300774688700437,2.5826609999999732,2.7302309999999466,0.8065362838227184,0.4177086569816627,0.11944742354159799,1.1533138250074633,1.0892014831234802,True,3.7134309999999573,6,0.9772212918324706,0.8839585661222864,5,0.09284079999999903,"[(0.27569328998404785, 2.3026583130859564), (2.027392718293214, 0.4995132734672012), (1.4906899484866756, -0.44786799610953665), (1.3652456372634276, -0.7116466631509724), (2.153444599560771, 0.7017942600909635)]","[array([0.11887924, 0.99290872]), array([0.97096342, 0.23922801]), array([ 0.95770932, -0.28773747]), array([ 0.88675937, -0.46223136]), array([0.95078395, 0.3098546 ])]",1.0445848004682334,3.3101952660022222,3.878993580187508,1.1718322541353379,"[2.4093859925, 3.149960825, 1.55557394, 1.5387512399999999, 2.8151827970588235]",0.5669642857142857,between,
9,13,,HEAD,GRID,1,1,0.39864799999998013,0.16018705263158345,0.45043999999995776,1.7672777848545336,3.0435540000000856,4.982696999999973,1.0334510069078375,0.7883228683908845,0.12514003865943363,1.6099552179830356,0.9852305788668798,False,5.349456999999973,19,1.43292886406131,0.7650164896248868,19,0.06522726315790506,"[(-1.465771739840818, -4.399193408119061), (-2.0187615804230745, -0.566985379544434), (2.0652072015255385, -1.3752479885353353), (2.0142677356788283, 1.0682997967904413), (2.353275997782788, 0.07309309661036423), (1.4751523716668373, 0.2941129492997163), (1.2668610185783393, -0.4936835682664764), (1.7694329757358673, 0.6332402440424829), (2.3900170972040087, -0.3439124659122115), (-2.5253003001346883, 0.728262075475584), (1.0538281185624498, -1.3299868159586055), (2.1487938782415483, -1.5413594944622417), (1.237008032136373, 0.5691313447717192), (1.5251841769450323, 0.8045516824498833), (-2.061845347182299, 0.19359253569443524), (2.0315308240149363, 1.9217411471310868), (2.1000107674292536, -0.45678137332812696), (-1.027585495999645, -2.396217897972349), (2.0555324595577957, -0.006739521547217464)]","[array([-0.31610625, -0.9487238 ]), array([-0.96274923, -0.27039584]), array([ 0.83233977, -0.55426574]), array([0.88343895, 0.46854628]), array([0.99951798, 0.03104517]), array([0.9806978 , 0.19552958]), array([ 0.93175217, -0.36309487]), array([0.94152263, 0.33694976]), array([ 0.98980511, -0.1424284 ]), array([-0.96084283,  0.27709393]), array([ 0.62103686, -0.78378136]), array([ 0.81256808, -0.58286629]), array([0.90846043, 0.41797086]), array([0.88448208, 0.46657417]), array([-0.995621  ,  0.09348169]), array([0.72646435, 0.68720416]), array([ 0.97715151, -0.21254396]), array([-0.39412504, -0.91905683]), array([ 0.99999463, -0.00327871])]",1.058132966950948,3.8047356950601943,5.660436806986489,1.4877345657243968,"[4.63679552, 2.09555125, 3.2908141066666663, 2.6018988800000002, 3.5931947952631575, 1.50271988, 1.35840321, 1.87617576, 3.254661709166667, 2.473954085, 1.6962751200000001, 2.47979128, 1.36027467, 1.72249234, 2.0738272666666666, 2.861517954285714, 2.395747395, 2.60691881, 2.052331]",0.37267080745341613,between,
