posture,cursor_type,wide,Unnamed: 0,Unnamed: 0.1,subject_num,repetition,target_num,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,walking_speed
STAND,EYE,LARGE,165.94899536321483,165.94899536321483,11.497681607418857,6.996908809891808,4.004636785162288,1.04027527785389,0.6243689128298847,6.498396829928351,9.51167326543329,0.8871638995363226,2.42967542503864,1.3459881591962934,0.7261867971198586,0.11656856861022102,0.08732826798237751,0.6210679277958909,0.5965994416188091,0.6625399434899952,0.6497210296252076,0.4923488160889734,0.46423476606635716,0.9811812740855246,36.94547351714024,0.016269346074876012
STAND,EYE,SMALL,148.0,148.0,11.5,6.0,4.0,0.9678906526698702,0.5211629784810167,3.511947270697624,4.820813644986391,0.5484419259259227,2.134259259259259,1.3143100524691378,0.8081390753993349,0.1631307387224871,0.04672616245049463,0.49693906903197355,0.5173054993611169,0.5978172436660654,0.6307737538124956,0.3918711375496869,0.4147826585583634,0.9895179485596718,17.08033247302938,0.01137096507485101
STAND,HAND,LARGE,273.9381761978362,273.9381761978362,11.489953632148378,6.996908809891808,3.993817619783617,1.020320989480325,0.4504500050185614,10.019824100134564,12.126571945769136,1.3438036646058718,1.2874806800618237,1.1077898866563656,0.9324434248840865,0.07725963377459769,0.05597283566118339,0.5049978557878071,0.47132297453694266,0.66980268928518,0.6235669842335193,0.3681281878241875,0.35996016389769997,0.9892373297269458,32.6156519569671,0.01805361290415478
STAND,HAND,SMALL,256.0,256.0,11.489953632148378,6.0,4.0,0.9553952947398128,0.40185223279444277,5.516745347043682,6.251306477717467,0.9421310092735684,1.250386398763524,1.0927498387429233,0.9409989198866648,0.011107587377206136,0.07259408129387558,0.4575157670761041,0.4194835448518484,0.6092136691130992,0.598876200205907,0.3356417431016638,0.318180230620168,0.9963031205564139,15.970326396115087,0.012224002459851495
STAND,HEAD,LARGE,57.9259842519685,57.9259842519685,11.458267716535433,6.996850393700788,3.982677165354331,1.002996044366413,0.5225345174536103,7.29276005444321,9.706901637656944,1.139555814173227,1.5748031496062993,1.1763779028871442,0.8408097031046194,-0.033059935672836833,0.13205851612552508,0.5267890199598433,0.5772902677591436,0.601413947869436,0.6649121957029839,0.3883274890837574,0.42914307544304825,0.9837295422572188,28.98560305621867,0.024817458251659767
STAND,HEAD,SMALL,39.897356143079314,39.897356143079314,11.488335925349922,5.993779160186625,4.009331259720062,0.9155754108639178,0.4301878736162134,4.183949120011698,4.958859915974373,0.8614158724727868,1.499222395023328,1.1554748900985032,0.8583408644634616,-0.032143700246208017,0.06728660479716343,0.46397046403500286,0.48476068367701525,0.5653268803992532,0.6019260217710918,0.3387171114008263,0.35608000073100665,0.9872211596682227,14.582484205811532,0.017813702674747734
WALK,EYE,LARGE,175.0016835016835,175.0016835016835,11.501683501683502,7.0,4.001683501683502,3.32935543673255,2.3902403606214127,6.898794002255851,7.901356367119407,1.416666456228957,8.831649831649832,1.1795541273849603,0.1335669510264274,0.3152450318495362,-0.12435592179702579,3.0675588516157144,1.6829982728353068,2.70355656091122,1.4170668540127178,2.2033313840022997,1.3055801901494748,0.31941367115600783,74.9181127637656,0.8026868741944784
WALK,EYE,SMALL,157.12540716612378,157.12540716612378,11.447882736156352,6.006514657980456,4.00814332247557,3.2859046744375107,2.3616212419581126,4.731873350990927,4.2401145443572625,1.1340190667752448,9.276872964169382,1.315140207926167,0.14153540945464757,0.3366265084730827,-0.05626327865497735,3.0970998454333123,1.571446472668412,2.7008736628092262,1.32917187258592,2.2496224195410375,1.1940110226272342,0.3484483393051018,52.74522039643048,0.8007023874953241
WALK,HAND,LARGE,284.187969924812,284.187969924812,11.462406015037594,7.06390977443609,4.037593984962406,5.173695480387086,3.183514835772661,10.412093238809184,9.472710696344631,2.1432140375939865,4.434210526315789,0.6171787167919803,0.14184115927310278,-0.3904293092069727,-0.28864608543811593,5.064773454531292,1.2103888860911085,4.79470095053135,1.1888405335894874,3.27903764972202,0.855190978505681,0.26284325814536347,73.27408107410103,0.730831520799399
WALK,HAND,SMALL,266.36491228070173,266.36491228070173,11.37017543859649,6.077192982456141,3.975438596491228,5.286797753698523,3.198756001674081,7.433067535748697,5.369258658181861,1.7658116024561412,5.015789473684211,0.7098019982456149,0.14062425212761825,-0.07015035630264564,-0.27532251646594397,5.12711363172013,1.2703847785396944,4.871440514780415,1.2687584597921129,3.2570922938801155,0.9086674848840262,0.2730524512865478,54.00351801971804,0.7319803206759142
WALK,HEAD,LARGE,67.14558058925476,67.14558058925476,11.25476603119584,7.006932409012132,4.020797227036395,4.326902249293048,2.5726569215989334,7.844688113140037,7.699870585222337,1.792993908145584,4.639514731369151,0.6847024875794299,0.14225477432660752,-0.05382910465368725,0.2373539021658642,3.784230548651772,1.5847779087914216,3.675284074786423,1.5945084701599315,2.5977244836298854,1.172211068256187,0.263361100519928,56.17977443011468,0.7775095485826675
WALK,HEAD,SMALL,49.10189982728843,49.10189982728843,11.20034542314335,6.003454231433506,4.039723661485319,4.056058955526744,2.3864381384928506,5.611537188210022,4.181539741733192,1.4468814594127826,5.2020725388601035,0.7892363678756498,0.148158621386706,-0.013137846803287254,0.42353237673483235,3.5751882675533593,1.4316958091942882,3.508088950063526,1.3987971177899756,2.461794961518694,1.0220240993786198,0.2890435365572781,39.11787856676778,0.7754955795424833
