,dwell_time,subject_num,posture,cursor_type,repetition,target_num,wide,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,error
90,0.1,0,STAND,HEAD,9,0,LARGE,0.779153000000008,2.0,1.0859949999999685,0.5429974999999843,0.779153000000008,1.38465631,1.137380896413921,0.367441326,
91,0.1,0,STAND,HEAD,9,1,LARGE,1.0654719999999998,1.0,1.0155639999999835,1.0155639999999835,1.0654719999999998,1.48239744,4.008242926845739,0.38103549999999997,
92,0.1,0,STAND,HEAD,9,2,LARGE,0.6324159999999779,1.0,0.9978950000000282,0.9978950000000282,1.0645139999999742,4.02613354,7.286938534922874,0.09065409,
93,0.1,0,STAND,HEAD,9,3,LARGE,0.964778999999993,1.0,1.0031000000000176,1.0031000000000176,0.964778999999993,1.4389907100000001,6.072530611805647,0.225553527,
94,0.1,0,STAND,HEAD,9,4,LARGE,0.6488189999999747,1.0,0.9833830000000034,0.9833830000000034,0.6488189999999747,1.35869133,8.236812714160411,0.200768948,
95,0.1,0,STAND,HEAD,9,5,LARGE,0.8990479999999934,2.0,1.1009199999999737,0.5504599999999868,0.8990479999999934,1.36930788,3.248093320773849,0.139882311,
96,0.1,0,STAND,HEAD,9,6,LARGE,0.8821280000000229,2.0,1.1835450000000378,0.5917725000000189,0.8821280000000229,1.4892462499999999,3.3369305118507775,0.21850323700000002,
97,0.1,0,STAND,HEAD,9,7,LARGE,0.8817439999999692,1.0,1.001068000000032,1.001068000000032,0.8817439999999692,1.39927709,6.634451909684549,0.15576636800000002,
98,0.1,0,STAND,HEAD,9,8,LARGE,0.8707280000000139,1.0,0.9965359999999919,0.9965359999999919,0.8707280000000139,1.38012636,8.547881797539974,0.10653118,
99,0.1,0,WALK,HEAD,9,0,LARGE,1.0499509999999646,5.0,0.6012190000001283,0.12024380000002566,1.1500509999999622,1.648295,2.5609824578652387,0.306467056,
100,0.1,0,WALK,HEAD,9,1,LARGE,1.4337580000000116,2.0,0.2183420000001206,0.1091710000000603,1.4337580000000116,1.15538287,6.334317949042642,1.15538287,
101,0.1,0,WALK,HEAD,9,2,LARGE,1.5171569999999974,5.0,0.7337140000000772,0.14674280000001544,2.567199999999957,2.61209464,3.4354233437717667,0.6602717,
102,0.1,0,WALK,HEAD,9,3,LARGE,,,,,,3.06164551,,,"('no success dwell', 0)"
103,0.1,0,WALK,HEAD,9,4,LARGE,2.450535000000059,2.0,0.3022649999999203,0.15113249999996015,2.450535000000059,1.4167887,4.700537498885655,1.3479912299999999,
104,0.1,0,WALK,HEAD,9,5,LARGE,1.1987000000000307,4.0,0.8368270000000848,0.2092067500000212,1.1987000000000307,1.415407,6.3953680731574,0.51396203,
105,0.1,0,WALK,HEAD,9,6,LARGE,1.000362999999993,3.0,0.5201310000001058,0.17337700000003528,1.000362999999993,0.9009206,8.339334686308218,0.8374339340000001,
106,0.1,0,WALK,HEAD,9,7,LARGE,1.116235999999958,1.0,0.18490000000008422,0.18490000000008422,2.0989999999999327,3.82300329,7.604847176152948,0.6391903,
107,0.1,0,WALK,HEAD,9,8,LARGE,1.163938999999914,2.0,0.38289800000006835,0.19144900000003418,1.849303999999961,2.22413588,7.601274689571679,0.6516207460000001,
108,0.1,0,STAND,EYE,4,0,SMALL,0.3486249999999984,1.0,0.9848560000000077,0.9848560000000077,0.3486249999999984,1.42738461,5.210318851113484,0.723346353,
109,0.1,0,STAND,EYE,4,1,SMALL,0.3158260000000013,1.0,0.9341890000000035,0.9341890000000035,0.3158260000000013,1.061647,20.37223891307932,0.733820558,
110,0.1,0,STAND,EYE,4,2,SMALL,0.3308410000000066,1.0,0.936988999999997,0.936988999999997,0.3308410000000066,0.8320423360000001,18.87349746485018,0.53008,
111,0.1,0,STAND,EYE,4,3,SMALL,0.3349759999999975,1.0,0.9491270000000043,0.9491270000000043,0.3349759999999975,1.17702854,16.407394410207864,0.34886592600000005,
112,0.1,0,STAND,EYE,4,4,SMALL,0.5332030000000003,1.0,0.9847179999999867,0.9847179999999867,0.5332030000000003,1.36013079,2.7222935411362723,0.5841681,
113,0.1,0,STAND,EYE,4,5,SMALL,0.6486129999999974,1.0,0.9865570000000048,0.9865570000000048,0.6486129999999974,1.47206473,6.312779543649526,0.172458515,
114,0.1,0,STAND,EYE,4,6,SMALL,0.34745800000000315,1.0,0.9340129999999931,0.9340129999999931,0.34745800000000315,1.23859465,18.612599601125122,0.8266156,
115,0.1,0,STAND,EYE,4,7,SMALL,0.3663260000000008,1.0,0.9506530000000026,0.9506530000000026,0.3663260000000008,1.00405192,17.368454227983225,0.5421248,
116,0.1,0,STAND,EYE,4,8,SMALL,0.4994130000000041,1.0,0.998595999999992,0.998595999999992,0.4994130000000041,1.33735168,8.520272754205658,0.328053445,
117,0.1,0,WALK,EYE,4,0,SMALL,0.9180470000000014,3.0,0.5185709999999517,0.1728569999999839,0.9180470000000014,1.25085711,3.2036658102643543,1.1400378899999999,
118,0.1,0,WALK,EYE,4,1,SMALL,0.683651999999995,6.0,1.1337412499999573,0.1889568749999929,1.0336580000000026,2.420022,3.482452341774994,0.7149112,
119,0.1,0,WALK,EYE,4,2,SMALL,0.7668999999999642,9.0,1.3791469999999322,0.15323855555554802,1.1817229999999768,2.7265625,12.762395406481064,0.32983799999999996,
120,0.1,0,WALK,EYE,4,3,SMALL,1.0369629999999574,6.0,1.7168650000000412,0.2861441666666735,1.0369629999999574,1.3250035,18.076097739845107,0.8813780550000001,
121,0.1,0,WALK,EYE,4,4,SMALL,0.8681789999999978,7.0,0.9509400000000028,0.13584857142857182,0.8681789999999978,1.38818491,4.926983623358514,0.9371173380000001,
122,0.1,0,WALK,EYE,4,5,SMALL,0.8188779999999838,7.0,0.7159320000000662,0.10227600000000946,0.8188779999999838,1.4205131500000001,3.6286703099562136,1.003857,
123,0.1,0,WALK,EYE,4,6,SMALL,0.7848510000000033,6.0,0.9527630000000045,0.15879383333333408,1.8842769999999973,2.353599,4.642456193471632,0.8235323999999999,
124,0.1,0,WALK,EYE,4,7,SMALL,0.6864620000000059,2.0,0.36712199999999484,0.18356099999999742,1.2845760000000155,2.6758368,10.468802848564444,1.0609095100000001,
