posture,cursor_type,wide,dwell_time,subject_num,repetition,target_num,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,best_record
STAND,EYE,LARGE,0.7,11.5,7.0,4.0,0.8581056015873028,1.1492063492063491,1.1424556656084655,1.0055756970899468,1.2019301396825424,2.012371220419514,1.3284248430651993,1.0024939205977872,1.0042499709694153
STAND,EYE,SMALL,0.7,11.5,6.0,4.0,0.5434800298273132,1.1554160125588697,1.148481113553109,1.006404357142853,0.7975141915227616,1.6203132009477377,1.282002703961377,0.9525627100876299,1.0118236341085227
STAND,HAND,LARGE,0.7,11.5,7.0,4.0,1.313022368167202,1.0369774919614148,1.050623149517686,1.0168134555198296,1.4625325803858515,1.8079771566169194,0.7628620092108308,0.9494730539048775,1.019439115034779
STAND,HAND,SMALL,0.7,11.5,6.0,4.0,0.9295115892575037,1.018957345971564,1.037220725118485,1.0192958530805705,1.0638747772511847,1.844132217855668,0.7140097923481242,0.941829566369791,1.0196359689800227
STAND,HEAD,LARGE,0.7,11.5,7.0,4.0,1.1088216597110747,1.0561797752808988,1.0680488721241304,1.0160049071696093,1.386704749598715,1.811703382586579,0.9934440391923084,0.8778432806327758,1.0062033506561676
STAND,HEAD,SMALL,0.7,11.5,6.0,4.0,0.8311626613924074,1.0743670886075949,1.083265907172997,1.0150920988924057,1.0204746170886092,1.680986188820333,0.9203029482659244,0.8903929407638861,1.0096236583722142
WALK,EYE,LARGE,0.7,11.5,7.0,4.0,1.115732200000006,1.0,0.7558678666666689,0.7558678666666689,3.044122399999996,5.255720057734593,5.51076972670597,2.878523050780173,0.2976531542553232
WALK,EYE,SMALL,0.7,11.5,6.0,4.0,0.8950198947368365,1.0526315789473684,0.8297030877193002,0.7878431096491233,2.81006234210526,5.371961446856822,3.8257671209776385,2.728383826876796,0.3317985880665527
WALK,HAND,LARGE,0.7,11.5,7.0,4.0,1.8649426428571527,1.0357142857142858,0.8455059166666581,0.8193493690476104,3.157426035714297,8.00036450155137,4.080895157596687,3.9209143122715107,0.2789530489089531
WALK,HAND,SMALL,0.7,11.5,6.0,4.0,1.5149860833333395,1.0,0.8699966666666591,0.8699966666666591,3.4362006666666773,7.838749085224224,3.1047090473908137,3.7842536894885166,0.29284694041096065
WALK,HEAD,LARGE,0.7,11.5,7.0,4.0,1.252360687499987,1.0,0.7527290208333374,0.7527290208333374,3.4063409375000013,6.0281000279094785,5.322184116470331,3.3412902857175655,0.2497752260668974
WALK,HEAD,SMALL,0.7,11.5,6.0,4.0,0.9633728421052775,1.1578947368421053,0.9786005964912484,0.8390800964912478,2.441879473684229,5.841619613525047,3.140810979339915,3.1489174812084286,0.2743838021914637
