posture,cursor_type,wide,subject_num,repetition,target_num,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,walking_speed,total_time,success_trial
STAND,EYE,LARGE,2.0,5.0,4.0,1.046209712284831,0.6131023002924946,6.358980853238429,9.301851497620412,0.7516934266666684,1.7777777777777777,1.8213604911111099,1.2314487592592587,0.21544069064408958,0.001875514888106256,0.7331531958596799,0.5558873836624131,0.7280946176690221,0.5997341901643775,0.5619167563430963,0.4024619083507698,0.9976091111111107,31.836932253411113,0.01907714706100621,2.6785721933333337,1.0
STAND,EYE,SMALL,2.0,4.0,4.0,0.9326847984280715,0.4220808944272609,3.643328280782429,4.9156583208765685,0.4858263288888884,1.2,1.3745161866666673,1.1975312085185186,0.34504984307548253,-0.22082336772723085,0.45550149298656084,0.40046505195170157,0.5452936739346409,0.6455972546114289,0.35144110330582096,0.33102072842178065,0.9970115711111109,15.494408634676645,0.012353356537469044,1.8840919999999994,1.0
STAND,HAND,LARGE,2.0,5.0,4.0,1.0475777283961594,0.5142208916920611,10.92454488569768,12.702008935771216,1.3226684666666637,1.0222222222222221,1.1420652666666664,1.1292784333333334,0.23432754622656904,-0.019731215537182187,0.6012900192672163,0.5047719674810486,0.708474094693909,0.6495650374334587,0.4418074077989305,0.37614878364848403,1.0,32.62371275071397,0.024441986393360853,2.4776591111111075,1.0
STAND,HAND,SMALL,2.0,4.0,4.0,0.9513904336531714,0.46131372408266497,5.890140713484104,6.411986687213259,0.9576110222222203,1.0666666666666667,1.1659013555555566,1.1257980333333344,-0.0911718989204572,-0.05641162103845196,0.4925709699330425,0.4385858546157075,0.5711906692434362,0.6258732584100172,0.36622072843751574,0.3528664288962917,0.9999552444444444,14.584370543605589,0.015373861750513898,2.1662136666666654,1.0
STAND,HEAD,LARGE,2.0,5.0,4.0,0.8828172147207013,0.5183257770319281,9.002312449551164,10.096019161633109,1.6129243999999971,1.1777777777777778,1.35363373333334,1.211202611111119,-0.14476475089845625,0.2659667716017694,0.5418899504948134,0.4906218989900667,0.5672547292930477,0.541121101165432,0.39256651483075555,0.3654848037690243,1.0,27.338173850217977,0.024077433723350403,3.0143349777777813,1.0
STAND,HEAD,SMALL,2.0,4.0,4.0,0.9419500422877793,0.43412602192536504,5.272326056372963,5.146683478619862,1.2871358222222233,1.2,1.3226536888888878,1.1606410296296292,-0.19897657472630437,0.27640589734614607,0.5121940420432429,0.3970858011420714,0.6428501319482509,0.5409187282571969,0.33910834095998377,0.32896424936641594,0.9818494888888887,13.274561266419902,0.01821886979180267,2.649946955555557,0.9777777777777777
WALK,EYE,LARGE,2.0,5.0,4.0,1.8357441832387213,1.2442021851306488,5.331182617923288,7.865024341446055,1.1597890666666673,9.266666666666667,2.664505622222196,0.3201718483956749,0.08164886039645315,0.07061361202328165,1.6090327531157729,1.093237364186936,1.3885321809553852,0.891738132017911,1.11346417133976,0.8105808082274707,0.780500733333329,55.70189651552472,0.9589620874768613,5.0427027555555535,0.37777777777777777
WALK,EYE,SMALL,2.0,4.0,4.0,1.7107038658938374,1.0381118995899137,3.035980237432864,3.7138911945606523,0.686346977777776,9.4,3.1616012888889045,0.4061412496313887,0.1892558028098183,0.060462296089913124,1.4992580598523197,0.9174464406353653,1.3341100592605408,0.8035706781798203,1.0266885310401075,0.6392371936647674,0.894740511111114,27.87637990093737,0.9316255457400009,5.0317339333333315,0.6222222222222222
WALK,HAND,LARGE,2.0,5.0,4.0,3.4477772600337397,2.0302160910225435,8.2534959346726,9.056543170679511,1.7960604390243866,5.926829268292683,1.181962268292678,0.22937457468060313,-0.43182432190753484,-0.2952039071594946,3.4155928949660432,0.9512305032547453,3.1679251111087225,0.8973447130915476,2.147574325180056,0.6326741601644318,0.5209259024390268,54.75068691088438,0.8376048567676594,4.999250658536594,0.04878048780487805
WALK,HAND,SMALL,2.0,4.0,4.0,3.323420950610165,2.0058387971462,5.1935475267792635,4.4489186285289914,1.189482069767436,6.930232558139535,1.4478860465116263,0.22504682519295846,-0.11546150953553769,-0.12353671975536658,3.5195152778015912,0.9497583697567412,3.047551202013,0.8840479194343759,2.1182109860032226,0.6115653839470827,0.5714308139534806,32.424563404477595,0.8380122405575501,4.994511348837213,0.11627906976744186
WALK,HEAD,LARGE,2.0,5.0,4.0,2.999801724809898,1.7125979731835363,7.975035564788339,8.66447363037193,1.951679311111103,5.288888888888889,1.1940201333333487,0.2405661311808584,-0.3779973334427381,0.49847588566982537,2.890783670414204,0.9630772498819427,2.6360553990666693,1.0158055901923606,1.7994608271717238,0.6931298284659729,0.547986644444432,48.26480182868753,0.8767884990052709,5.027727399999991,0.08888888888888889
WALK,HEAD,SMALL,2.0,4.0,4.0,3.496230250083173,2.124089054699525,5.146094009752076,4.41357680581154,1.1769705777777946,6.088888888888889,1.7429518444444183,0.2957290682627827,0.6185343167927442,0.38430417334361744,3.1288715343196998,0.9186675461788177,3.173851262744745,0.9448180653773609,2.233161183581397,0.650304180056881,0.6933237999999973,28.99879289043126,0.837063585120129,5.043347666666682,0.24444444444444444
