cursor_type,target_type,subject_num,posture,repetition,target_num,longest_dwell_time,mean_dwell_time,initial_contact_time,mean_offset,total_dwell_time,success_time,std_offset,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,success_trial,trial_time,drop_count,abs_mean_offset_horizontal,abs_mean_offset_vertical,drop_out_count,walking_speed,straight_length,walk_length,straightness_simple,straightness
HEAD,GRID,6.0,,2.0,3.5,0.9479972999999973,0.43177943926136403,0.651373275000006,1.73491896501663,1.9409502000000045,2.8401804250000042,0.8947162877476394,0.04799112629997554,-0.23351492332616952,1.4983017185492455,0.7177736919719162,0.8,3.7632717250000027,6.525,1.438229952573361,0.7153383755340392,5.725,0.7367452617481342,2.518709218003976,2.766681641437959,1.0818364791536568,0.42105885926037967
HEAD,MENU,6.0,,2.0,3.5,0.8391518499999975,0.327664037374917,0.5647371499999906,3.2820155379815845,2.4867039749999975,3.731871699999998,1.8314769905845523,0.7783447251538955,-0.12044610293150788,2.562435142217197,0.8914138588971658,0.475,4.426656074999992,8.95,3.0794857562951234,0.7485136122567528,8.5,0.717494268329446,2.8581308861232126,3.1715935901566783,1.1075644996561962,0.36925960565696686
HEAD,PIE,6.0,,2.0,3.5,0.8567740000000015,0.35524371599927596,1.0102357500000096,2.1616029801604393,1.861697249999935,3.4261857499999904,1.1743180217368037,0.011100798918211316,-0.2059168235885632,2.0938063268905815,0.8711746020303531,0.65,4.291963749999991,7.0,1.8503767456792037,0.82173035354504,6.35,0.6690595249986495,2.5816695508491185,2.857983252357413,1.0997666610727896,0.4227694431432608
NEWSPEED,GRID,6.0,,2.0,3.5,0.9003310149999976,0.4030105192505407,0.6707152549999971,1.8416738572302662,2.0725172100000036,3.086991107500002,1.1845777636676085,0.05354653088389723,0.009408087893367606,1.9333315820729517,0.6382203518146655,0.65,3.9011035399999985,6.6,1.610516560731749,0.6073550397690782,5.8,0.766860981888853,2.6350474370747987,2.94209072046097,1.1008902968789962,0.5132616231313535
NEWSPEED,MENU,6.0,,2.0,3.5,0.9291716775000014,0.4858411590862205,0.599457894999996,3.1331907241024104,2.0187633600000074,2.5982859174999975,1.9641522543327743,0.47022488578347466,-0.1296997698525429,2.919336411391983,0.7527147427157045,0.775,3.4414143575,5.2,2.9350821273508574,0.6568845138919901,4.275,0.7376625571065503,2.270984966970293,2.5149814354207054,1.0900815039952945,0.4128694412167698
NEWSPEED,PIE,6.0,,2.0,3.5,0.7756638000000009,0.3331310123292336,1.3366764857142828,2.583283285962857,1.5801545714285712,3.658506257142858,1.6131476472227757,0.20850239699768508,-0.08289671303609508,2.705659322388781,0.9100336056384253,0.4857142857142857,4.3621327999999995,5.942857142857143,2.2786930068740463,0.8169288460381564,5.2,0.7558558329672955,2.8655608804744532,3.2205404089475986,1.1203630976127579,0.4209834902862345
NEWSPEEDSTICKY,GRID,6.0,,2.0,3.5,0.9707569999999975,0.8382501041666635,0.7092930750000022,1.963610132537017,1.0903204999999971,1.0369503000000009,0.9524936699142573,0.16640844563503926,-0.33985138974224294,1.6411727848764328,0.6112770402436472,1.0,2.0077072999999985,1.45,1.594245111838392,0.8604119196106212,0.45,0.7541618471361786,1.4646947287533387,1.5050127607007884,1.0256927420569162,0.35758655305514997
NEWSPEEDSTICKY,MENU,6.0,,2.0,3.5,0.9718734999999981,0.8143982979166653,0.8970465000000033,2.4825684094822797,1.2266839499999989,1.4701917250000036,1.2952861154939268,0.6412847019874314,-0.18277466568783546,2.2691872829226947,0.7660514926487592,1.0,2.4420652250000017,1.7,2.2191685942932557,0.7782274098239794,0.7,0.7425107532537162,1.7097482648741298,1.8094283925833357,1.0491166838924555,0.4811333684594462
NEWSPEEDSTICKY,PIE,6.0,,2.0,3.5,0.9597896750000047,0.6757589334523882,1.3348894249999943,2.861239109338244,1.4590975500000183,2.394846425,1.6324798041563224,0.22641636509173715,0.2035949326182586,2.865769328661479,0.7217328133673752,0.975,3.3491967250000045,2.525,2.618274383202632,0.7953310046268225,1.55,0.6617304750856254,2.0364227401075206,2.193869183805254,1.0687864718945081,0.42323471731693985
NEWSTICKY,GRID,6.0,,2.0,3.5,0.9720937500000076,0.8896442083333407,0.8620957500000003,1.7760772451199138,1.0113472250000115,1.000345925000002,0.9122598361330736,0.3864668690350951,-0.0725592984398235,1.3146075276863658,0.7366688422958296,1.0,1.9724396750000097,1.225,1.4120675065457529,0.8244470793783076,0.225,0.7556452493209311,1.4452001277845807,1.4843326156266339,1.0240740897969522,0.2995322297432391
NEWSTICKY,MENU,6.0,,2.0,3.5,0.9692860249999995,0.8223926762499996,0.8083168750000084,2.051059400988567,1.0614068500000002,1.0347230750000052,0.8917188407844968,0.6778578478831281,-0.12167622054357419,1.2227801956775666,0.702077886336169,1.0,2.0040091000000047,1.525,1.8172665205492522,0.670390440915017,0.525,0.7609658654407551,1.4742613646446174,1.5173137046082537,1.0266315005789768,0.3116839774274246
NEWSTICKY,PIE,6.0,,2.0,3.5,0.9447827027027021,0.8323709684684745,0.9119627027026656,2.337065337823363,1.1639545945945982,1.4273654054053733,1.3090784582238724,0.5145212950334679,0.06174925284754229,2.22387179016422,0.749754498657571,0.918918918918919,2.3750475675675333,1.5945945945945945,2.0358752172616206,0.8054807379264638,0.6756756756756757,0.6692864860360478,1.4565971502122224,1.5531990908620783,1.0492329138274954,0.35161722413466523
