posture,cursor_type,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical
STAND,EYE,LARGE,1.0335105291983584,0.6231438979734757,6.782481642650499,6.782481642650499,0.9138580213675223,2.4439696106362776,1.2638567035849941,0.6894270067729337,-0.0005558989322860834,-0.08986884677978602,0.008920414646763868,0.5924235390313631
STAND,EYE,SMALL,0.9570645541879936,0.517779470715988,3.6014567512022038,3.6014567512022038,0.5761491203703673,2.112654320987654,1.2411606959876524,0.7836889888948982,-0.0009162194851387138,-0.06888345925018725,0.006830183261375296,0.5099704287654993
STAND,HAND,LARGE,1.0017545437419448,0.522200424550039,9.93215953344117,9.93215953344117,1.3336681640681378,1.3080264719848052,1.064168494071107,0.8909244245768546,0.00045023908484602524,-0.34264059345061754,0.008908934849020339,1.0414320976541196
STAND,HAND,SMALL,0.9487121918808402,0.4532456125277828,5.496638735350704,5.496638735350704,0.93748395201459,1.2574943883277216,1.0398276989758717,0.900330057365288,-0.0007443580558454916,-0.3203511661164697,0.008929962245765638,0.9411167889832223
STAND,HEAD,LARGE,1.0488640395453543,0.5509211424316363,7.311517926352585,7.311517926352585,1.1655667678691126,1.5819402547343724,1.1111016640131826,0.7959223780961951,0.0004832290048821434,-0.15712925872899483,0.007215716157135051,0.6124754508004467
STAND,HEAD,SMALL,0.9235868438736397,0.4336376215634152,4.201025728926504,4.201025728926504,0.8753142728675672,1.5006313131313134,1.1016947810044893,0.8211943048611117,0.0005265707256021334,-0.06117184771742352,0.006168164946749137,0.4928487119945115
WALK,EYE,LARGE,3.6803480716388077,2.7122700806029196,7.564194538731409,7.564194538731409,1.5095180372165056,10.088364249143234,0.773595785145027,0.07831791524349718,-0.0037057883742813006,0.18267529121068213,0.041216853943757965,1.7558053007832042
WALK,EYE,SMALL,3.4081033700972685,2.5102017933857486,4.9994614614311965,4.9994614614311965,1.200343917030072,10.83146789248763,0.9052945096965742,0.0844773388296418,-0.0009011892470890668,0.0535951320895477,0.041065831785584,1.600888839503492
WALK,HAND,LARGE,5.189742066396434,4.032273429551272,10.317478186165678,10.317478186165678,2.168241849476811,4.982384992458521,0.45476750337825317,0.10295530960049742,0.012586497325778045,-1.870800744330067,0.0921736265171773,5.683992607515045
WALK,HAND,SMALL,5.142184714924856,4.129157408248646,7.2366403183365895,7.2366403183365895,1.757440396439615,5.739614898989899,0.546193090141502,0.09966849794159743,0.005394892469231888,-2.201376509374484,0.0932076420087929,6.067205439762834
WALK,HEAD,LARGE,4.723484209957755,2.7259475933837227,8.09273834976077,8.09273834976077,1.7633719349851242,5.354125735375735,0.47346803163113466,0.08443467331211606,0.0001778242614545749,-0.4646532126102693,0.04845749328825729,1.7303363451973375
WALK,HEAD,SMALL,4.1920013569341465,2.4500889674112387,5.937422235118208,5.937422235118208,1.5006603477322757,6.215095126255499,0.5583098470958225,0.08988363631443252,-0.0006526143458991709,-0.4922620237538908,0.04410116059053611,1.5301153800869425
