cursor_type,target_type,subject_num,posture,repetition,target_num,longest_dwell_time,mean_dwell_time,initial_contact_time,mean_offset,total_dwell_time,success_time,std_offset,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,success_trial,trial_time,drop_count,abs_mean_offset_horizontal,abs_mean_offset_vertical,drop_out_count,walking_speed,straight_length,walk_length,straightness_simple,straightness
HEAD,GRID,5.0,,2.0,3.5,0.5195472631578977,0.20289920915634102,1.4881771315789634,3.2908584637914267,1.3439138157894819,4.222645921052639,2.0389346839685,-0.18102210172634453,0.12371288747587125,2.850755237958596,1.134387567154708,0.18421052631578946,4.904087210526331,6.894736842105263,2.918266080807448,1.0510322175680968,6.7631578947368425,0.815222491583838,3.5595112485826332,3.99838610320701,1.1293400226792805,0.5227711355114998
HEAD,MENU,5.0,,2.0,3.5,0.5002927750000069,0.19848908418296943,1.0511043000000058,5.2097208114357025,1.682844900000005,4.319269874999999,3.2443933412511647,1.8179526677816473,-0.6915478088725987,3.8992849879365856,1.527292717280354,0.05,4.973870499999992,8.975,4.797670533597018,1.435535534071817,8.95,0.9118324324789271,3.960943323908075,4.537480229644855,1.1559131565159135,0.4861756096365273
HEAD,PIE,5.0,,2.0,3.5,0.7554144857142823,0.33665495278499136,0.98518131428572,3.221352797367087,1.736545828571421,3.4924768000000013,2.4173539012810212,0.8709696229252016,0.00768867276865169,3.025116394834492,1.2307945616307088,0.45714285714285713,4.498723257142855,6.885714285714286,2.838103149825512,1.048341945903111,6.485714285714286,0.9127271411566775,3.510684703208099,4.095968486276164,1.1611693317997425,0.5309034754671254
NEWSPEED,GRID,5.0,,2.0,3.5,0.5988260000000025,0.2951114109168582,1.2735065000000076,3.086936609019659,1.27924225000001,3.905763250000007,1.9304198352384394,0.6150280554521508,0.032798111129468205,2.8211560440894488,1.1295893610048136,0.25,4.499808000000007,6.125,2.7029470013264447,1.0190033396894833,5.575,0.8564275301340227,3.3025074770993648,3.840995158978269,1.1557470739685858,0.44634185503670903
NEWSPEED,MENU,5.0,,2.0,3.5,0.645770150000007,0.28107438569916765,0.8313632999999896,3.6756026302583655,2.0916000000000508,4.310954225000003,2.2806129790812735,1.2353105292818063,-0.17150423614346239,3.1534715592776523,1.2130236245343704,0.125,4.806726724999993,8.575,3.362834091630924,1.0067867642996615,8.025,0.882467074423754,3.6602836289185197,4.23412813053898,1.158605463008278,0.4463631446753367
NEWSPEED,PIE,5.0,,2.0,3.5,0.6327249230769124,0.293739070411078,1.0605693589743566,3.4383715377474413,1.4570502564102457,3.715970769230764,1.967336813291872,1.5814789095127306,0.08009583284779079,2.8095963206892103,1.2667267161888747,0.23076923076923078,4.544019692307677,7.0256410256410255,2.9842475105498627,1.197124087944456,6.641025641025641,0.919583458793337,3.541457538464954,4.169015978438583,1.1725819982523944,0.5428638128496764
NEWSPEEDSTICKY,GRID,5.0,,2.0,3.5,0.8994668717948454,0.716731649572626,1.544380051282054,2.8094186656599893,1.372660641025592,2.5951611282051363,1.604652273312342,0.35817723163311005,0.3880475859273221,2.480506709534728,0.8692611144363707,0.7948717948717948,3.6134036666666427,2.2051282051282053,2.4824793289597755,0.9317480582482879,1.4102564102564104,0.8404129668600396,2.728910183947771,3.0204105298790274,1.093226001645513,0.504097011516887
NEWSPEEDSTICKY,MENU,5.0,,2.0,3.5,0.9455322499999909,0.7478471362499921,1.3277857250000096,2.8992151708802543,1.4405383999999941,2.2909252000000038,1.4304848850188419,0.968267597604197,-0.06894148659172569,2.255522442266783,0.8762016750316247,0.875,3.2293631499999917,2.275,2.6431538717072987,0.8411587150962058,1.35,0.8805847030763493,2.5828920393189665,2.8373886552642293,1.080495576559937,0.44550483339150926
NEWSPEEDSTICKY,PIE,5.0,,2.0,3.5,0.9624421499999855,0.8275311791666505,0.984199900000003,2.446926181517804,1.141500774999976,1.311255675000001,1.2537745831271594,0.4062258863945717,0.08803642770087879,2.044321709952817,0.9014265120227061,0.95,2.332827949999988,1.525,2.0748015188463578,0.918119145811003,0.575,0.9128580474490956,2.0165701363073163,2.1283803146463702,1.04533110010428,0.5473603266570792
NEWSTICKY,GRID,5.0,,2.0,3.5,0.8140881935483866,0.6228989247311787,2.1024359032258046,4.376536139622257,1.1406044838709608,3.1131167741935455,2.57878214267923,-0.5264532058071884,0.31522023251133613,4.149163331257859,0.9725815997939927,0.5483870967741935,4.184634677419352,2.0,4.089779818989242,0.9883921149319244,1.3870967741935485,0.730336693199038,2.787102792385155,3.0121632789979005,1.080133239261029,0.6069402073202597
NEWSTICKY,MENU,5.0,,2.0,3.5,0.8799783888888915,0.6868181914351874,1.3434701833333305,3.6772182657971495,1.3069581666666692,2.4843247666666652,2.0957260109354965,0.38742300734458374,-0.21954560043979668,2.6264906766807057,1.1873336375941586,0.75,3.4883658250000007,2.4166666666666665,3.324271728965508,1.1306104891054258,1.5833333333333333,0.8436681320536138,2.6520570830323282,2.931389778738728,1.0897523920163954,0.47267700622689457
NEWSTICKY,PIE,5.0,,2.0,3.5,0.9640046102564097,0.865165137179487,1.007074146153846,2.134786168815563,1.1180154948717944,1.3242861615384618,1.1563633550890946,0.31329340228076186,0.5500894849620882,1.5977599108186546,1.061142203528656,0.9743589743589743,2.2903921615384615,1.3846153846153846,1.6326890276219581,1.0413644652882497,0.41025641025641024,0.8909432416088153,1.9660352799184113,2.040979836538775,1.0329672417312328,0.5523866925477369
