posture,cursor_type,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length
STAND,EYE,LARGE,0.8415972664160267,0.4251966527671233,6.53997607053738,9.417859599521,0.7869960814814824,1.8148148148148149,1.373715202049732,0.8423657752571492,-0.18668000406304297,-0.15071314694692647,0.4811346137325568,0.5116222253946127,0.5466094131738933,0.5248977471012147,0.3549245325752259,0.3858409516697507,1.0656385851851953,31.471998111956577
STAND,EYE,SMALL,0.9099393362875181,0.43911348903522196,3.5283994975621993,4.718375738802223,0.6235763220228281,1.8888888888888888,1.2337492870935336,0.7513115891424929,-0.15705128078362154,-0.4571949270274246,0.4421115117107692,0.46900355017395895,0.485874684821604,0.6623722638564529,0.3130864618909436,0.4033794749393272,0.9948071697530807,14.891399377893602
STAND,HAND,LARGE,0.8448174741288201,0.37031810849239905,10.814405179663785,13.391678113724321,1.1544350740740752,1.2222222222222223,0.9297077037036885,0.8144176666666567,0.3502103755703164,0.04482914171653506,0.3877682726550279,0.32487507640422764,0.6001755630279182,0.4895851524145031,0.3057187508993927,0.2568147155823442,0.8923415185185091,34.3074874925925
STAND,HAND,SMALL,0.8496691422008879,0.34633110130684086,5.955908292166911,6.983675661737259,0.7971161481481457,1.3703703703703705,0.9517675925926049,0.7899635617284052,0.15496145080631982,0.12757924226438921,0.3439009200853387,0.36646615755560435,0.5131676209218347,0.5641372629592188,0.27095392705433247,0.2828256914871195,0.9050929629629789,16.57350289310613
STAND,HEAD,LARGE,0.8842662405959486,0.40829929288048455,7.103386177296168,9.809403310317295,1.1140719259259244,1.7037037037037037,1.3231865555555604,0.8670120493827163,0.12460661709342426,-0.05031615518473704,0.47429404888974,0.5574084720121348,0.5143173151737164,0.6043172915374181,0.3155648771706994,0.36754222081454724,1.046333,27.767328802351646
STAND,HEAD,SMALL,0.9610300570680953,0.375688627426079,4.182473395783301,5.038592102382239,0.7786184814814853,1.8148148148148149,1.2264841851851955,0.7803345432098817,-0.03466638012830764,-0.18563056273311063,0.42660788241972025,0.5016081262380334,0.5689576727359029,0.666063601444114,0.29087892901794055,0.3389453229352814,1.0226730370370491,13.399573275751697
WALK,EYE,LARGE,2.472492120897243,1.4423493564408645,5.662190776725639,7.458413339804998,1.251896476034857,10.74074074074074,1.051036485859894,0.09758867836829911,-0.4319683328592966,-0.34452362719833435,2.163410117015989,1.2025890067476848,2.027624593214923,1.0805355996981842,1.5023956784947712,0.7935337252056658,0.29401361611056337,52.524174579739004
WALK,EYE,SMALL,2.4073409342287677,1.4036107658043604,3.588299400109835,3.4242732322444085,0.8872261104015855,12.074074074074074,1.1567533508885035,0.09598521240071588,-0.13050875275974058,-0.1799545091078277,2.0759517155485594,1.257755473200575,1.8812346114554555,1.1470339807415433,1.450096125368779,0.8292309204346514,0.3089232170047155,34.118565272000374
WALK,HAND,LARGE,3.6053427561775866,2.270799712083686,9.240043827877829,9.637848119823703,2.128051423076921,5.230769230769231,0.6889772692307781,0.1286014108363886,-0.18870177984498115,-0.5045898257466281,3.795273951126914,0.9410267425476407,3.384464793250812,0.9516341834131639,2.437716821213181,0.6414300479918575,0.32928726923076224,71.1793626945332
WALK,HAND,SMALL,3.3482024996412116,2.252159368124098,5.9213906423515885,5.185117145546128,1.753276999999999,6.111111111111111,0.741438777777786,0.13911849383918776,-0.2643829871118375,-0.32265700079570253,3.7699405256869833,0.9180430353915918,3.140209261480022,0.8642723453945474,2.3736528066613687,0.6045454889521698,0.3170875555555544,54.62289368215428
WALK,HEAD,LARGE,4.154725401971273,2.551613706615379,7.435142533167807,7.693904253750257,1.822849370370378,4.888888888888889,0.49701555555556615,0.09492444693228758,-1.2456508904261119,0.07948649513863622,3.9803263254527956,1.1619048012578204,3.751352204687715,1.257251571515211,2.745425946386487,0.8986549861346134,0.22083259259259153,55.87039581450145
WALK,HEAD,SMALL,3.5915492259928055,2.197305059675045,5.298354320545072,4.253952090816078,1.4221715925925869,6.592592592592593,0.7266196296296011,0.10166326178718059,-0.04967921105712151,0.5077195952238301,3.4434624696705174,1.2250517486700057,3.1709999340477744,1.1937586202818613,2.2853398551664075,0.8874371690131361,0.27649281481481264,41.04722455288471
