eye_packets,817
norm_X,norm_Y,phi,theta,confidence,timestamp
1580955230.630615,"{'circle_3d': {'center': [-6.517378995611548, 9.531226637570303, 69.6399018907416], 'normal': [0.0026680951329142544, 0.5510449789168563, -0.8344712772042445], 'radius': 3.0160920880003457}, 'confidence': 0.994197190668377, 'timestamp': 726.22946, 'diameter_3d': 6.032184176000691, 'ellipse': {'center': [101.94049451555517, 204.36924717230013], 'axes': [40.672555844737964, 53.88908269393361], 'angle': -85.0279449002584}, 'location': [101.94049451555517, 204.36924717230013], 'diameter': 53.88908269393361, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.627442870715611, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.154412305945707, 'phi': -1.567598989614042, 'norm_pos': [0.31856404536110994, 0.1484614701154161], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.635139,"{'circle_3d': {'center': [-6.359656579903203, 9.477692798028617, 69.6064959350916], 'normal': [0.015811629775276295, 0.5465838256217157, -0.8372551068417435], 'radius': 2.972475505046137}, 'confidence': 0.9951128675253905, 'timestamp': 726.23786, 'diameter_3d': 5.944951010092274, 'ellipse': {'center': [103.30729280082333, 203.94819866468364], 'axes': [40.36230995068296, 53.138599247831074], 'angle': -86.26505651462655}, 'location': [103.30729280082333, 203.94819866468364], 'diameter': 53.138599247831074, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6270850218985546, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.1490756276285015, 'phi': -1.5519134912902526, 'norm_pos': [0.32283529000257294, 0.1502158388971515], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.642947,"{'circle_3d': {'center': [-6.199070239725621, 9.463021608323452, 69.60124629544248], 'normal': [0.029193824790074797, 0.5453612264796187, -0.8376925768125038], 'radius': 2.9780822551162154}, 'confidence': 0.9939263831504933, 'timestamp': 726.24626, 'diameter_3d': 5.956164510232431, 'ellipse': {'center': [104.72144079523434, 203.82273431766822], 'axes': [40.53727306021254, 53.246990934946666], 'angle': -87.57775016698106}, 'location': [104.72144079523434, 203.82273431766822], 'diameter': 53.246990934946666, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265369398839704, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.1476163355609192, 'phi': -1.5359601408744832, 'norm_pos': [0.32725450248510735, 0.15073860700971575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.652287,"{'circle_3d': {'center': [-6.078373154603173, 9.53877866157043, 69.65593138435773], 'normal': [0.03925191521694548, 0.5516743142502002, -0.8331354860695666], 'radius': 2.93357299677735}, 'confidence': 0.9229730789041249, 'timestamp': 726.25466, 'diameter_3d': 5.8671459935547, 'ellipse': {'center': [105.83169931855063, 204.4440262749534], 'axes': [39.63031363115199, 52.41305212134599], 'angle': -88.62230720153741}, 'location': [105.83169931855063, 204.4440262749534], 'diameter': 52.41305212134599, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265242169054441, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.155166662602149, 'phi': -1.5237176556121068, 'norm_pos': [0.33072406037047075, 0.14814989052102756], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.65786,"{'circle_3d': {'center': [-6.0880254380581045, 10.021098806933264, 69.99214520609185], 'normal': [0.03844755826236785, 0.5918676596971029, -0.8051176675917231], 'radius': 3.041751686716767}, 'confidence': 0.564492843074473, 'timestamp': 726.26306, 'diameter_3d': 6.083503373433534, 'ellipse': {'center': [105.99931302986764, 208.26892240848088], 'axes': [38.89459902600337, 54.088805746912776], 'angle': -88.82950769720782}, 'location': [105.99931302986764, 208.26892240848088], 'diameter': 54.088805746912776, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265242169054441, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.204170296382642, 'phi': -1.5230786155358338, 'norm_pos': [0.3312478532183364, 0.13221282329799633], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.667373,"{'circle_3d': {'center': [-5.9739194031283525, 9.984112064450553, 69.97117147602306], 'normal': [0.04795639450651386, 0.5887854311568771, -0.8068654784307889], 'radius': 3.0016258997666547}, 'confidence': 0.5571490123289954, 'timestamp': 726.27146, 'diameter_3d': 6.0032517995333095, 'ellipse': {'center': [106.98815067361625, 207.98160959939167], 'axes': [38.561429345023456, 53.393221144173], 'angle': -89.69012019466246}, 'location': [106.98815067361625, 207.98160959939167], 'diameter': 53.393221144173, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265242169054441, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.200351702621427, 'phi': -1.5114307381038459, 'norm_pos': [0.3343379708550508, 0.1334099600025347], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.6757069,"{'circle_3d': {'center': [-6.061569914413274, 9.987202587256817, 69.96861470719179], 'normal': [0.04065218523277038, 0.589042974724066, -0.8070785425000617], 'radius': 3.0116629011362823}, 'confidence': 0.49368799052103035, 'timestamp': 726.27986, 'diameter_3d': 6.023325802272565, 'ellipse': {'center': [106.21529989050434, 208.00851803766284], 'axes': [38.670733685945805, 53.57182052518069], 'angle': -89.01414144722263}, 'location': [106.21529989050434, 208.00851803766284], 'diameter': 53.57182052518069, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265242169054441, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.2006703675375463, 'phi': -1.5204693066959343, 'norm_pos': [0.33192281215782604, 0.13329784150973822], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.685319,"{'circle_3d': {'center': [-6.037560881376836, 9.99030882741652, 69.97212200059509], 'normal': [0.042652937985806855, 0.5893018280707075, -0.806786268049786], 'radius': 3.014591526243825}, 'confidence': 0.4658763800027869, 'timestamp': 726.28826, 'diameter_3d': 6.02918305248765, 'ellipse': {'center': [106.42884203721982, 208.03075196245885], 'axes': [38.69581064193435, 53.62184175861382], 'angle': -89.20128984289317}, 'location': [106.42884203721982, 208.03075196245885], 'diameter': 53.62184175861382, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265242169054441, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.2009907276787817, 'phi': -1.5179777948692104, 'norm_pos': [0.33259013136631194, 0.13320520015642145], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.695039,"{'circle_3d': {'center': [-6.212730585152705, 9.89615187831514, 69.89642451076573], 'normal': [0.028055462671151173, 0.5814554156455924, -0.8130943922022331], 'radius': 3.0191559994086554}, 'confidence': 0.354059218114467, 'timestamp': 726.29666, 'diameter_3d': 6.038311998817311, 'ellipse': {'center': [104.83014562235468, 207.28980478301185], 'axes': [39.16934701019068, 53.75644165686619], 'angle': -87.78247163420026}, 'location': [104.83014562235468, 207.28980478301185], 'diameter': 53.75644165686619, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6265242169054441, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.1913127830451264, 'phi': -1.5363054522537183, 'norm_pos': [0.32759420506985837, 0.13629248007078398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.699626,"{'circle_3d': {'center': [-6.189173105540811, 9.526037849912427, 69.64290525702988], 'normal': [0.03001858597214233, 0.5506125799453667, -0.8342209966802203], 'radius': 2.9904462925256454}, 'confidence': 0.8314429664206409, 'timestamp': 726.30506, 'diameter_3d': 5.980892585051291, 'ellipse': {'center': [104.84097494375311, 204.3282893348092], 'axes': [40.43876780198873, 53.43686980308101], 'angle': -87.70512393868934}, 'location': [104.84097494375311, 204.3282893348092], 'diameter': 53.43686980308101, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.626393106238754, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.153894226006104, 'phi': -1.534827872796506, 'norm_pos': [0.32762804669922846, 0.14863212777162838], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.71002,"{'circle_3d': {'center': [-6.309090612816594, 9.474574114603048, 69.60554268890476], 'normal': [0.020025460365827016, 0.5463239353362517, -0.8373345440239808], 'radius': 2.9475001671372603}, 'confidence': 0.9505375524271118, 'timestamp': 726.31346, 'diameter_3d': 5.8950003342745205, 'ellipse': {'center': [103.75402045705292, 203.92961903265137], 'axes': [40.04900882318166, 52.69388950958597], 'angle': -86.67879170982049}, 'location': [103.75402045705292, 203.92961903265137], 'diameter': 52.69388950958597, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6268687884413482, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.1487653068643566, 'phi': -1.5468851626301914, 'norm_pos': [0.32423131392829035, 0.15029325403061933], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.719627,"{'circle_3d': {'center': [-6.397802532531877, 9.363509843100154, 69.53222941450099], 'normal': [0.012632800389553498, 0.5370685793776773, -0.8434439835576286], 'radius': 2.9701491548336914}, 'confidence': 0.9869456987078553, 'timestamp': 726.32186, 'diameter_3d': 5.940298309667383, 'ellipse': {'center': [102.9104152926214, 203.0231315315133], 'axes': [40.79702687136353, 53.15184388463253], 'angle': -85.84054587935245}, 'location': [102.9104152926214, 203.0231315315133], 'diameter': 53.15184388463253, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6269483485377592, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.1377544290689694, 'phi': -1.5558198065689162, 'norm_pos': [0.32159504778944187, 0.15407028528536126], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.732336,"{'circle_3d': {'center': [-6.482601054312125, 9.306318889244151, 69.49512742384405], 'normal': [0.005566256907866144, 0.5323026665563436, -0.8465358161123733], 'radius': 2.9819392377667358}, 'confidence': 0.9961534128221841, 'timestamp': 726.33026, 'diameter_3d': 5.9638784755334715, 'ellipse': {'center': [102.1299754706948, 202.5549112122564], 'axes': [41.16779198444374, 53.388670463578705], 'angle': -85.0710631995384}, 'location': [102.1299754706948, 202.5549112122564], 'diameter': 53.388670463578705, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6269147701745359, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.1321146198541343, 'phi': -1.5642210861672712, 'norm_pos': [0.3191561733459213, 0.156021203282265], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.735268,"{'circle_3d': {'center': [-6.540945318007422, 9.300092675306795, 69.49099903560472], 'normal': [0.0007042349332580452, 0.5317838153948973, -0.8468798484656513], 'radius': 2.995571851596457}, 'confidence': 0.9969625289282922, 'timestamp': 726.33866, 'diameter_3d': 5.991143703192914, 'ellipse': {'center': [101.61019187564949, 202.500094641308], 'axes': [41.36009752960489, 53.63438602025453], 'angle': -84.57408716769986}, 'location': [101.61019187564949, 202.500094641308], 'diameter': 53.63438602025453, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6271056906113182, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.131501840063, 'phi': -1.5699647628225006, 'norm_pos': [0.3175318496114047, 0.1562496056612166], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955230.747803,"{'circle_3d': {'center': [-6.587517066243161, 9.324541029865735, 69.50646011798175], 'normal': [-0.0031767440863868885, 0.5338211782748089, -0.8455914249342316], 'radius': 2.9892966546802318}, 'confidence': 0.9977339616275772, 'timestamp': 726.34706, 'diameter_3d': 5.9785933093604635, 'ellipse': {'center': [101.21121542675743, 202.70116721143694], 'axes': [41.153546692992876, 53.50896648362401], 'angle': -84.21309873816146}, 'location': [101.21121542675743, 202.70116721143694], 'diameter': 53.50896648362401, 'sphere': {'center': [-6.549396137206519, 2.9186868905680274, 79.65355721719253], 'radius': 12.0}, 'projected_sphere': {'center': [109.02141540275629, 142.7182053805576], 'axes': [186.8089827981754, 186.8089827981754], 'angle': 90.0}, 'model_confidence': 0.6276679402838825, 'model_id': 27, 'model_birth_timestamp': 702.978265, 'theta': 2.133909389771129, 'phi': -1.5745531401299802, 'norm_pos': [0.31628504820861697, 0.15541180328567938], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
