eye_packets,612
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956162.384573,"{'circle_3d': {'center': [17.546929038947493, 6.153087649788814, 78.60797710519299], 'normal': [-0.7051957249769285, -0.5182044136395281, -0.4839040970675667], 'radius': 0.9154682782344787}, 'confidence': 0.7525977972107781, 'timestamp': 1657.989115, 'diameter_3d': 1.8309365564689575, 'ellipse': {'center': [298.43992000953017, 168.55701065229036], 'axes': [9.814795802046728, 14.49078198158341], 'angle': 40.66278838009837}, 'location': [298.43992000953017, 168.55701065229036], 'diameter': 14.49078198158341, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0260461851344735, 'phi': -2.540189767892384, 'norm_pos': [0.9326247500297817, 0.29767912228212345], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.394243,"{'circle_3d': {'center': [17.539306902288118, 6.163143356391974, 78.60833012092895], 'normal': [-0.7058309030318761, -0.5173664380892645, -0.4838746790895692], 'radius': 0.9100479122230453}, 'confidence': 0.46990923686935676, 'timestamp': 1657.997515, 'diameter_3d': 1.8200958244460905, 'ellipse': {'center': [298.3786902423369, 168.63576869337413], 'axes': [9.757656289219563, 14.404313910071672], 'angle': 40.56828751623067}, 'location': [298.3786902423369, 168.63576869337413], 'diameter': 14.404313910071672, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0270256887166123, 'phi': -2.5406380690620978, 'norm_pos': [0.9324334070073028, 0.29735096377760784], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.400982,"{'circle_3d': {'center': [17.588644953138548, 5.659201238995324, 79.11978674104925], 'normal': [-0.7017193987943404, -0.5593616145389855, -0.4412532940795444], 'radius': 0.9506715266590549}, 'confidence': 0.43756514482467085, 'timestamp': 1658.005915, 'diameter_3d': 1.9013430533181097, 'ellipse': {'center': [297.8722248893936, 164.37399451422323], 'axes': [9.452425621565128, 14.968619557753843], 'angle': 43.04056191962962}, 'location': [297.8722248893936, 164.37399451422323], 'diameter': 14.968619557753843, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9771808648281054, 'phi': -2.580253025501031, 'norm_pos': [0.9308507027793549, 0.3151083561907365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.4112132,"{'circle_3d': {'center': [17.44089439916639, 6.409276062896241, 78.49585605751248], 'normal': [-0.7140319449586869, -0.496855379213909, -0.4932475177076085], 'radius': 0.9438214202606474}, 'confidence': 0.4500422625910974, 'timestamp': 1658.014315, 'diameter_3d': 1.8876428405212948, 'ellipse': {'center': [297.8036558415322, 170.65121455358678], 'axes': [10.29880208694947, 14.949018934911663], 'angle': 38.75835646977245}, 'location': [297.8036558415322, 170.65121455358678], 'diameter': 14.949018934911663, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0508248562722322, 'phi': -2.5370733606023177, 'norm_pos': [0.9306364245047881, 0.28895327269338844], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.4215932,"{'circle_3d': {'center': [17.271515066262594, 6.146993937447691, 79.0383476679095], 'normal': [-0.7281468893673364, -0.5187122230012882, -0.4480398835078567], 'radius': 0.9413670585398433}, 'confidence': 0.43933218806978075, 'timestamp': 1658.022715, 'diameter_3d': 1.8827341170796865, 'ellipse': {'center': [295.526892467318, 168.24473456849432], 'axes': [9.537496435594376, 14.81025562777441], 'angle': 39.0502654785699}, 'location': [295.526892467318, 168.24473456849432], 'diameter': 14.81025562777441, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0254523275103713, 'phi': -2.5899879866039566, 'norm_pos': [0.9235215389603688, 0.2989802726312737], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.425591,"{'circle_3d': {'center': [17.13652765231827, 5.560943695080441, 80.06855481961666], 'normal': [-0.7393958405293632, -0.5675497431985589, -0.36218928753226], 'radius': 0.9377410122130302}, 'confidence': 0.4401488693724947, 'timestamp': 1658.031115, 'diameter_3d': 1.8754820244260604, 'ellipse': {'center': [292.7329711130661, 163.08302917796175], 'axes': [8.10261260871796, 14.575154108188107], 'angle': 40.748661338325974}, 'location': [292.7329711130661, 163.08302917796175], 'diameter': 14.575154108188107, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9672695343387698, 'phi': -2.686102072092883, 'norm_pos': [0.9147905347283316, 0.3204873784251594], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.432971,"{'circle_3d': {'center': [17.684494584263287, 6.0056520842299195, 78.56902019509226], 'normal': [-0.6937319295339455, -0.5304907107694359, -0.48715050624262685], 'radius': 0.9444987491090391}, 'confidence': 0.30132582461885277, 'timestamp': 1658.039515, 'diameter_3d': 1.8889974982180782, 'ellipse': {'center': [299.5966817641745, 167.41988806713584], 'axes': [10.15315523528308, 14.968321939731565], 'angle': 42.205631491048074}, 'location': [299.5966817641745, 167.41988806713584], 'diameter': 14.968321939731565, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0116169867685973, 'phi': -2.5293801723234783, 'norm_pos': [0.9362396305130453, 0.30241713305360063], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.440877,"{'circle_3d': {'center': [17.51893750691667, 5.869868887804004, 78.97034396947011], 'normal': [-0.7075283526461634, -0.5418059771382622, -0.45370685837780655], 'radius': 0.9223869379849565}, 'confidence': 0.5258961921425812, 'timestamp': 1658.047915, 'diameter_3d': 1.844773875969913, 'ellipse': {'center': [297.5840866365454, 166.11041363705192], 'axes': [9.391870655509328, 14.541199909255006], 'angle': 41.75279679980774}, 'location': [297.5840866365454, 166.11041363705192], 'diameter': 14.541199909255006, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.998212017122088, 'phi': -2.571388880478423, 'norm_pos': [0.9299502707392044, 0.3078732765122837], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.453582,"{'circle_3d': {'center': [17.475016716551902, 5.8759516128889775, 79.03210276401123], 'normal': [-0.7111884185098941, -0.5412990833811809, -0.4485602921660465], 'radius': 0.9532883803171026}, 'confidence': 0.6892709915569647, 'timestamp': 1658.056315, 'diameter_3d': 1.9065767606342052, 'ellipse': {'center': [297.13470653306996, 166.12359420353238], 'axes': [9.62754923379455, 15.014695151611368], 'angle': 41.45896770030076}, 'location': [297.13470653306996, 166.12359420353238], 'diameter': 15.014695151611368, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9988149833707539, 'phi': -2.578891119960055, 'norm_pos': [0.9285459579158436, 0.30781835748528175], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.4625769,"{'circle_3d': {'center': [17.589417076893046, 5.773141009767409, 78.97726531805132], 'normal': [-0.7016550551481323, -0.5498666336413117, -0.45313007932937194], 'radius': 0.9236727428331821}, 'confidence': 0.6043391017446768, 'timestamp': 1658.064715, 'diameter_3d': 1.8473454856663643, 'ellipse': {'center': [298.12524117129107, 165.34729721773363], 'axes': [9.380878198466885, 14.566143264219567], 'angle': 42.59108493204001}, 'location': [298.12524117129107, 165.34729721773363], 'diameter': 14.566143264219567, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9885917692318911, 'phi': -2.5681743981302065, 'norm_pos': [0.9316413786602846, 0.3110529282594432], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.4704762,"{'circle_3d': {'center': [17.538535589331623, 6.18411325035078, 78.58711058839921], 'normal': [-0.7058951791115841, -0.5156189469260307, -0.4856429734670477], 'radius': 0.9493662448121304}, 'confidence': 0.4998861015639367, 'timestamp': 1658.073115, 'diameter_3d': 1.8987324896242608, 'ellipse': {'center': [298.41382688659195, 168.81663872842734], 'axes': [10.209879046646543, 15.030054715481414], 'angle': 40.46450904122865}, 'location': [298.41382688659195, 168.81663872842734], 'diameter': 15.030054715481414, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0290664559087457, 'phi': -2.5389782771779155, 'norm_pos': [0.9325432090205998, 0.2965973386315528], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
