eye_packets,700
norm_X,norm_Y,phi,theta,confidence,timestamp
1580955275.601262,"{'circle_3d': {'center': [-8.77645260841095, 3.595361494335576, 67.16584264999491], 'normal': [-0.16732249503600174, -0.015038679192554862, -0.9857875129981463], 'radius': 3.1557247362750167}, 'confidence': 0.3058459334526516, 'timestamp': 771.199312, 'diameter_3d': 6.311449472550033, 'ellipse': {'center': [79.20631526054001, 153.2107187068047], 'axes': [56.1615492379509, 58.31112223456236], 'angle': -3.3146560455559317}, 'location': [79.20631526054001, 153.2107187068047], 'diameter': 58.31112223456236, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5557570806820034, 'phi': -1.7389287696512121, 'norm_pos': [0.24751973518918752, 0.3616220053883138], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.6137002,"{'circle_3d': {'center': [-8.780030082110946, 3.599410305731876, 67.16638935178989], 'normal': [-0.16762061784433466, -0.0147012782428632, -0.9857419545152318], 'radius': 3.157527586175229}, 'confidence': 0.32236482333638133, 'timestamp': 771.207712, 'diameter_3d': 6.315055172350458, 'ellipse': {'center': [79.17457456604497, 153.24739979367766], 'axes': [56.187043165215805, 58.34367257272017], 'angle': -3.400307315312251}, 'location': [79.17457456604497, 153.24739979367766], 'diameter': 58.34367257272017, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5560945189419035, 'phi': -1.7392303450484208, 'norm_pos': [0.24742054551889053, 0.36146916752634306], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.613788,"{'circle_3d': {'center': [-8.783625749112451, 3.603504749538681, 67.16694098121343], 'normal': [-0.16792025676112676, -0.014360074592296122, -0.9856959853966033], 'radius': 3.156064809486708}, 'confidence': 0.30585214265262634, 'timestamp': 771.216112, 'diameter_3d': 6.312129618973416, 'ellipse': {'center': [79.14221644633206, 153.2844486078957], 'axes': [56.154362930535164, 58.31587179217447], 'angle': -3.4866658838237305}, 'location': [79.14221644633206, 153.2844486078957], 'diameter': 58.31587179217447, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5564357586207969, 'phi': -1.7395334810897554, 'norm_pos': [0.24731942639478768, 0.36131479746710116], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.62357,"{'circle_3d': {'center': [-8.78723959800624, 3.6076448259578036, 67.16749760098716], 'normal': [-0.16822141083560904, -0.014015068224035896, -0.9856496004154583], 'radius': 3.160681621543906}, 'confidence': 0.3165315161302132, 'timestamp': 771.224512, 'diameter_3d': 6.321363243087812, 'ellipse': {'center': [79.1105534668016, 153.32199239460596], 'axes': [56.229804531040976, 58.400406352671304], 'angle': -3.5737683486291165}, 'location': [79.1105534668016, 153.32199239460596], 'diameter': 58.400406352671304, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5567807997186924, 'phi': -1.7398381777752239, 'norm_pos': [0.247220479583755, 0.3611583650224752], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.6343,"{'circle_3d': {'center': [-8.79087161720733, 3.6118305351661353, 67.16805927441952], 'normal': [-0.16852407910236672, -0.0136662591233416, -0.9856027942960962], 'radius': 3.1581105675998233}, 'confidence': 0.27234539436812755, 'timestamp': 771.232912, 'diameter_3d': 6.316221135199647, 'ellipse': {'center': [79.07772001035099, 153.35985291216352], 'axes': [56.17729416351996, 58.352114422365055], 'angle': -3.66154954825819}, 'location': [79.07772001035099, 153.35985291216352], 'diameter': 58.352114422365055, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5571296422355856, 'phi': -1.7401444351048225, 'norm_pos': [0.24711787503234683, 0.3610006128659854], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.64097,"{'circle_3d': {'center': [-8.676155802536883, 3.6160618773149116, 67.14895834019968], 'normal': [-0.15896442787982934, -0.013313647277610231, -0.9871945388144151], 'radius': 3.1810322557829256}, 'confidence': 0.2864107275626394, 'timestamp': 771.241312, 'diameter_3d': 6.362064511565851, 'ellipse': {'center': [80.10507429549266, 153.4080304616187], 'axes': [56.78314703700775, 58.7911901186945], 'angle': -3.814518547752505}, 'location': [80.10507429549266, 153.4080304616187], 'diameter': 58.7911901186945, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5574822861714717, 'phi': -1.730452253078547, 'norm_pos': [0.25032835717341456, 0.3607998730765888], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.647277,"{'circle_3d': {'center': [-8.688195812032918, 3.620338852528976, 67.15084646033657], 'normal': [-0.1599677620044989, -0.01295723267643818, -0.9870371954696746], 'radius': 3.1607197898886916}, 'confidence': 0.304941047434418, 'timestamp': 771.249712, 'diameter_3d': 6.321439579777383, 'ellipse': {'center': [79.99469328280627, 153.4458615863906], 'axes': [56.39977923691976, 58.413868208042246], 'angle': -3.9036133061368523}, 'location': [79.99469328280627, 153.4458615863906], 'diameter': 58.413868208042246, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5578387315263602, 'phi': -1.7314679264927386, 'norm_pos': [0.2499834165087696, 0.36064224339003914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.658892,"{'circle_3d': {'center': [-8.571902166934828, 3.624661460905464, 67.1325280281378], 'normal': [-0.15027662491299143, -0.012597015311730847, -0.9885637314862387], 'radius': 3.159829850315829}, 'confidence': 0.2712664182284484, 'timestamp': 771.258112, 'diameter_3d': 6.319659700631658, 'ellipse': {'center': [81.03458936657604, 153.49422059568866], 'axes': [56.575891160896376, 58.41209928011084], 'angle': -4.067806913311842}, 'location': [81.03458936657604, 153.49422059568866], 'diameter': 58.41209928011084, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5581989783002417, 'phi': -1.7216564576878735, 'norm_pos': [0.25323309177055014, 0.36044074751796396], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.665536,"{'circle_3d': {'center': [-8.463829927087845, 3.629029702513332, 67.11654759943436], 'normal': [-0.14127060492574295, -0.012232995177741868, -0.989895433878193], 'radius': 3.171198537583713}, 'confidence': 0.28088092822090915, 'timestamp': 771.266512, 'diameter_3d': 6.342397075167426, 'ellipse': {'center': [82.00405859037144, 153.54201750106336], 'axes': [56.95095884075227, 58.63497896670918], 'angle': -4.23214988740336}, 'location': [82.00405859037144, 153.54201750106336], 'diameter': 58.63497896670918, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5585630264931256, 'phi': -1.7125517798263963, 'norm_pos': [0.25626268309491074, 0.3602415937455693], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.6753778,"{'circle_3d': {'center': [-8.473021850149816, 3.6334435773919607, 67.11780930056611], 'normal': [-0.1420365985142406, -0.011865172271189483, -0.9897902921172138], 'radius': 3.1708580849961026}, 'confidence': 0.2589148916144104, 'timestamp': 771.274912, 'diameter_3d': 6.341716169992205, 'ellipse': {'center': [81.92155874120076, 153.5816676297885], 'axes': [56.93005311622984, 58.6272852222749], 'angle': -4.335650349582107}, 'location': [81.92155874120076, 153.5816676297885], 'diameter': 58.6272852222749, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5589308761050023, 'phi': -1.7133249991817128, 'norm_pos': [0.25600487106625236, 0.36007638487588123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.68607,"{'circle_3d': {'center': [-8.472375274094171, 3.6379030855506733, 67.11766391283749], 'normal': [-0.14198271717626998, -0.01149354659129675, -0.9898024077612647], 'radius': 3.1645401902872483}, 'confidence': 0.18767364113973362, 'timestamp': 771.283312, 'diameter_3d': 6.329080380574497, 'ellipse': {'center': [81.92653564701804, 153.62235765841456], 'axes': [56.81715068768146, 58.51021205868054], 'angle': -4.445647908621844}, 'location': [81.92653564701804, 153.62235765841456], 'diameter': 58.51021205868054, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5593025271358814, 'phi': -1.7132699395791249, 'norm_pos': [0.25602042389693136, 0.35990684308993937], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.692894,"{'circle_3d': {'center': [-8.58964693533189, 3.4024657422170486, 67.14015352727044], 'normal': [-0.15175535561274664, -0.031113325202432148, -0.9879282732251853], 'radius': 3.1633940230806123}, 'confidence': 0.19909035946510734, 'timestamp': 771.291712, 'diameter_3d': 6.326788046161225, 'ellipse': {'center': [80.8817751312905, 151.46376114495686], 'axes': [56.61652780028079, 58.49096706356768], 'angle': 1.0894566485151527}, 'location': [80.8817751312905, 151.46376114495686], 'diameter': 58.49096706356768, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5396779795857531, 'phi': -1.7232146503332435, 'norm_pos': [0.2527555472852828, 0.3689009952293464], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
