eye_packets,769
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956348.616947,"{'circle_3d': {'center': [-2.2760449030287937, 1.6665415900503637, 15.364303702188444], 'normal': [-0.12900567105748986, 0.5957399545376177, -0.7927492941671559], 'radius': 0.6406357447144743}, 'confidence': 0.9930637917063454, 'timestamp': 1844.214413, 'diameter_3d': 1.2812714894289485, 'ellipse': {'center': [68.20507170208398, 186.78448089834666], 'axes': [36.48270483701764, 52.003444434986676], 'angle': -71.85981053397556}, 'location': [68.20507170208398, 186.78448089834666], 'diameter': 52.003444434986676, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9274166042490872, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2089829451466465, 'phi': -1.7321142456845253, 'norm_pos': [0.21314084906901246, 0.22173132959022224], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.620915,"{'circle_3d': {'center': [-2.275284685887466, 1.6648889641416016, 15.362938337300669], 'normal': [-0.1289423196290459, 0.5956022357118875, -0.7928630745744704], 'radius': 0.6382451491822445}, 'confidence': 0.9621058281421089, 'timestamp': 1844.222813, 'diameter_3d': 1.276490298364489, 'ellipse': {'center': [68.22722322521535, 186.7271383290344], 'axes': [36.35993545135383, 51.813847801841], 'angle': -71.85975473027372}, 'location': [68.22722322521535, 186.7271383290344], 'diameter': 51.813847801841, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9278133977181691, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.208811488538257, 'phi': -1.7320136527850967, 'norm_pos': [0.21321007257879798, 0.22197025696235662], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.6314912,"{'circle_3d': {'center': [-2.271468784349336, 1.6669507724647366, 15.363867635558782], 'normal': [-0.12862432783420175, 0.5957740530721488, -0.792785633052961], 'radius': 0.6383955710416674}, 'confidence': 0.9998245224548252, 'timestamp': 1844.231213, 'diameter_3d': 1.2767911420833349, 'ellipse': {'center': [68.3865856779663, 186.80608364770177], 'axes': [36.362235399618356, 51.822041478809865], 'angle': -71.90295191625412}, 'location': [68.3865856779663, 186.80608364770177], 'diameter': 51.822041478809865, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.92833984305285, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.209025400365394, 'phi': -1.7316383348598787, 'norm_pos': [0.21370808024364468, 0.221641318134576], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.6393862,"{'circle_3d': {'center': [-2.2759502289255487, 1.6643858126172848, 15.362668644485648], 'normal': [-0.1289977815488861, 0.5955603064181945, -0.7928855489757222], 'radius': 0.6422788344017129}, 'confidence': 0.9998593240372854, 'timestamp': 1844.239613, 'diameter_3d': 1.2845576688034257, 'ellipse': {'center': [68.19943312788567, 186.70213139266093], 'axes': [36.59215815953525, 52.14260897318423], 'angle': -71.85151919740373}, 'location': [68.19943312788567, 186.70213139266093], 'diameter': 52.14260897318423, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9291136022929858, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2087592919097463, 'phi': -1.732077308282226, 'norm_pos': [0.21312322852464272, 0.22207445253057945], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.6463099,"{'circle_3d': {'center': [-2.277994803819262, 1.664900661284216, 15.363388263926812], 'normal': [-0.1291681627900289, 0.5956032104737721, -0.7928255806889586], 'radius': 0.6448553874445501}, 'confidence': 0.9912752783998704, 'timestamp': 1844.248013, 'diameter_3d': 1.2897107748891001, 'ellipse': {'center': [68.12170533491553, 186.7160626876757], 'axes': [36.730799845605645, 52.34982666791203], 'angle': -71.83515918666973}, 'location': [68.12170533491553, 186.7160626876757], 'diameter': 52.34982666791203, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9295580933476377, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2088127020166373, 'phi': -1.732298651074335, 'norm_pos': [0.21288032917161104, 0.22201640546801793], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.657685,"{'circle_3d': {'center': [-2.2742725487562225, 1.6660619221275743, 15.363655019057513], 'normal': [-0.128857974868109, 0.5956999822107186, -0.7928033510947334], 'radius': 0.6399926512766179}, 'confidence': 0.9818600782616039, 'timestamp': 1844.256412, 'diameter_3d': 1.2799853025532357, 'ellipse': {'center': [68.27255786439099, 186.7688384873204], 'axes': [36.453446968569544, 51.95309708560474], 'angle': -71.87381733774637}, 'location': [68.27255786439099, 186.7688384873204], 'diameter': 51.95309708560474, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9298269099944245, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.208933178320441, 'phi': -1.7319219401605588, 'norm_pos': [0.21335174332622184, 0.22179650630283165], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.6618361,"{'circle_3d': {'center': [-2.2779386723937916, 1.6681071631931141, 15.36578881851166], 'normal': [-0.1291634851712397, 0.5958704189661802, -0.7926255344735544], 'radius': 0.6453782380047394}, 'confidence': 0.9993535908758934, 'timestamp': 1844.264812, 'diameter_3d': 1.2907564760094787, 'ellipse': {'center': [68.13832709586995, 186.83434179401118], 'axes': [36.7375042720098, 52.383853230101], 'angle': -71.84920644411497}, 'location': [68.13832709586995, 186.83434179401118], 'diameter': 52.383853230101, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9301290137069929, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2091453903205545, 'phi': -1.7323329576132867, 'norm_pos': [0.2129322721745936, 0.22152357585828675], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.67027,"{'circle_3d': {'center': [-2.2718697961689616, 1.6655608107840596, 15.362888308948747], 'normal': [-0.12865774548583722, 0.5956582229320924, -0.7928672436037972], 'radius': 0.6425704289822135}, 'confidence': 0.9161258943510007, 'timestamp': 1844.273212, 'diameter_3d': 1.285140857964427, 'ellipse': {'center': [68.36527364290146, 186.7481392219392], 'axes': [36.60946956185782, 52.16467223315941], 'angle': -71.89336661707983}, 'location': [68.36527364290146, 186.7481392219392], 'diameter': 52.16467223315941, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9303139668134452, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2088811886439585, 'phi': -1.731663130053691, 'norm_pos': [0.21364148013406706, 0.22188275324191997], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.679743,"{'circle_3d': {'center': [-2.2688215630560773, 1.6654027318353561, 15.362275424532031], 'normal': [-0.12840372605976352, 0.5956450496863671, -0.7929183173051902], 'radius': 0.63931796636603}, 'confidence': 0.9150225787887176, 'timestamp': 1844.281612, 'diameter_3d': 1.27863593273206, 'ellipse': {'center': [68.48400615176507, 186.74910848996794], 'axes': [36.43185690967397, 51.9019569131101], 'angle': -71.9203489215015}, 'location': [68.48400615176507, 186.74910848996794], 'diameter': 51.9019569131101, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.930774860454886, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2088647885662063, 'phi': -1.731340788153337, 'norm_pos': [0.21401251922426584, 0.22187871462513364], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.685278,"{'circle_3d': {'center': [-2.2774070442611167, 1.6593968233183451, 15.359160345338182], 'normal': [-0.12911918282685014, 0.5951445573099495, -0.793177907238011], 'radius': 0.6453673730315931}, 'confidence': 0.7923979812711611, 'timestamp': 1844.290012, 'diameter_3d': 1.2907347460631862, 'ellipse': {'center': [68.12033346244793, 186.5113435833863], 'axes': [36.80120478444174, 52.40615778415547], 'angle': -71.81716172741855}, 'location': [68.12033346244793, 186.5113435833863], 'diameter': 52.40615778415547, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9309962785039372, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2082418464835376, 'phi': -1.7321679957004545, 'norm_pos': [0.2128760420701498, 0.22286940173589043], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956348.699487,"{'circle_3d': {'center': [-2.2774853137069906, 1.6643459776683134, 15.362888598911532], 'normal': [-0.12912570528067296, 0.5955569868391135, -0.7928672194402318], 'radius': 0.6444024227830563}, 'confidence': 0.9335281470539449, 'timestamp': 1844.298412, 'diameter_3d': 1.2888048455661125, 'ellipse': {'center': [68.1391988288437, 186.69648733277495], 'axes': [36.71012849622731, 52.314676277549026], 'angle': -71.8374275720257}, 'location': [68.1391988288437, 186.69648733277495], 'diameter': 52.314676277549026, 'sphere': {'center': [-0.727976850338915, -5.482337864401049, 24.877295232194314], 'radius': 12.0}, 'projected_sphere': {'center': [141.85712542310347, -16.63259788507304], 'axes': [598.1357644034963, 598.1357644034963], 'angle': 90.0}, 'model_confidence': 0.9312657748773434, 'model_id': 1, 'model_birth_timestamp': 1711.194715, 'theta': 2.2087551595430224, 'phi': -1.7322381509229814, 'norm_pos': [0.21293499634013657, 0.22209796944677107], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
