eye_packets,701
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956129.380895,"{'circle_3d': {'center': [19.053865163727792, 6.668234232614532, 85.44817217449], 'normal': [0.4713567923019029, 0.43800336237552484, -0.765490580542044], 'radius': 0.9184121758775485}, 'confidence': 0.7529106120104144, 'timestamp': 1624.985515, 'diameter_3d': 1.836824351755097, 'ellipse': {'center': [298.23295188576463, 168.3620743717192], 'axes': [8.321031513625263, 13.36848359938564], 'angle': 39.34561635604927}, 'location': [298.23295188576463, 168.3620743717192], 'diameter': 13.36848359938564, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0241727754753005, 'phi': -1.0188707136919126, 'norm_pos': [0.9319779746430145, 0.29849135678450334], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.39796,"{'circle_3d': {'center': [18.855045161903856, 6.768730837718592, 85.386160689058], 'normal': [0.45478845881657487, 0.4463780794675298, -0.7706582043280434], 'radius': 0.8875156961186211}, 'confidence': 0.5365200091821547, 'timestamp': 1624.993915, 'diameter_3d': 1.7750313922372423, 'ellipse': {'center': [296.8914601594903, 169.12774618491244], 'axes': [8.156179420225318, 12.930960416134205], 'angle': 40.70231973264263}, 'location': [296.8914601594903, 169.12774618491244], 'diameter': 12.930960416134205, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.033510018387957, 'phi': -1.0376658548630242, 'norm_pos': [0.9277858129984071, 0.29530105756286484], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.402029,"{'circle_3d': {'center': [19.00235202210174, 6.646291362133144, 85.40417316368934], 'normal': [0.467064030499732, 0.43617478983540925, -0.7691571647754326], 'radius': 0.8655906263687085}, 'confidence': 0.8269396373220423, 'timestamp': 1625.002315, 'diameter_3d': 1.731181252737417, 'ellipse': {'center': [297.9323514014511, 168.23006301946154], 'axes': [7.910112647400622, 12.606229997640291], 'angle': 39.43219607178215}, 'location': [297.9323514014511, 168.23006301946154], 'diameter': 12.606229997640291, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0221397134005574, 'phi': -1.0250693148242294, 'norm_pos': [0.9310385981295347, 0.2990414040855769], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.407517,"{'circle_3d': {'center': [18.976627830338312, 6.755619587037365, 85.45135431838212], 'normal': [0.46492034785277964, 0.44528547524409423, -0.7652254018843674], 'radius': 0.9090536137116612}, 'confidence': 0.5264507014353801, 'timestamp': 1625.010715, 'diameter_3d': 1.8181072274233223, 'ellipse': {'center': [297.66812662200715, 168.99439554168615], 'axes': [8.242392073399483, 13.233453954542822], 'angle': 40.131844888902535}, 'location': [297.66812662200715, 168.99439554168615], 'diameter': 13.233453954542822, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0322893906640593, 'phi': -1.0248365357994453, 'norm_pos': [0.9302128956937723, 0.29585668524297437], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.4149702,"{'circle_3d': {'center': [19.017564412762407, 6.632945828165962, 85.40586509050894], 'normal': [0.4683317297214539, 0.4350626620048104, -0.7690161708737984], 'radius': 0.8950727825027571}, 'confidence': 0.7702437793952926, 'timestamp': 1625.019115, 'diameter_3d': 1.7901455650055142, 'ellipse': {'center': [298.03881488485075, 168.1309457226339], 'axes': [8.175047095973177, 13.035078226971267], 'angle': 39.29775809908483}, 'location': [298.03881488485075, 168.1309457226339], 'diameter': 13.035078226971267, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0209041959013536, 'phi': -1.0237846106510622, 'norm_pos': [0.9313712965151586, 0.29945439282235875], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.421335,"{'circle_3d': {'center': [18.9343279577933, 6.63439954334157, 85.35650393553263], 'normal': [0.4613953584740284, 0.43518380493611114, -0.7731296004551577], 'radius': 0.9132060989789033}, 'confidence': 0.7521189130445448, 'timestamp': 1625.027515, 'diameter_3d': 1.8264121979578065, 'ellipse': {'center': [297.51339892731073, 168.16831497283658], 'axes': [8.4245576624536, 13.307587429524558], 'angle': 39.64262233452563}, 'location': [297.51339892731073, 168.16831497283658], 'diameter': 13.307587429524558, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.021038743708708, 'phi': -1.0327410890295652, 'norm_pos': [0.9297293716478461, 0.2992986876131809], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.436144,"{'circle_3d': {'center': [19.044721732967837, 6.6268267515824775, 85.41899345493982], 'normal': [0.47059483973857325, 0.4345527389561869, -0.7679221405045583], 'radius': 0.8903795830986798}, 'confidence': 0.9837843394022096, 'timestamp': 1625.035915, 'diameter_3d': 1.7807591661973596, 'ellipse': {'center': [298.21486120758243, 168.0794177128583], 'axes': [8.109779525423335, 12.964440479947267], 'angle': 39.15538720792803}, 'location': [298.21486120758243, 168.0794177128583], 'diameter': 12.964440479947267, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0203379439847664, 'phi': -1.0210066810769471, 'norm_pos': [0.9319214412736951, 0.2996690928630905], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.441393,"{'circle_3d': {'center': [18.95603046928463, 6.619166892617162, 85.36092045370465], 'normal': [0.4632039010983063, 0.43391441737574415, -0.7727615572741564], 'radius': 0.9209322922510248}, 'confidence': 0.8035245029840578, 'timestamp': 1625.044315, 'diameter_3d': 1.8418645845020496, 'ellipse': {'center': [297.6635214059793, 168.0548971487063], 'axes': [8.486250230992901, 13.419114112939512], 'angle': 39.470445483920166}, 'location': [297.6635214059793, 168.0548971487063], 'diameter': 13.419114112939512, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0196293278846267, 'phi': -1.0308080059104279, 'norm_pos': [0.9301985043936852, 0.2997712618803905], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.464216,"{'circle_3d': {'center': [19.14015807048035, 6.711513665718658, 85.52691639765325], 'normal': [0.478547867864616, 0.4416099818008686, -0.7589285619451059], 'radius': 0.9075615486805638}, 'confidence': 0.6483586833068201, 'timestamp': 1625.061115, 'diameter_3d': 1.8151230973611276, 'ellipse': {'center': [298.7317173233909, 168.63189374442626], 'axes': [8.096903721870987, 13.19816628045169], 'angle': 39.23900071334415}, 'location': [298.7317173233909, 168.63189374442626], 'diameter': 13.19816628045169, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0281886465558507, 'phi': -1.0082108009767103, 'norm_pos': [0.9335366166355966, 0.29736710939822386], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.468287,"{'circle_3d': {'center': [18.93058250364288, 6.805082580724723, 85.45241030981774], 'normal': [0.46108323729482703, 0.4494073913847074, -0.7651374025980657], 'radius': 0.919891154535666}, 'confidence': 0.6646031076871215, 'timestamp': 1625.069515, 'diameter_3d': 1.839782309071332, 'ellipse': {'center': [297.3320997172091, 169.35194494243757], 'axes': [8.345638064887142, 13.392063107037483], 'angle': 40.586775713622934}, 'location': [297.3320997172091, 169.35194494243757], 'diameter': 13.392063107037483, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.0368981824539287, 'phi': -1.0284562874760323, 'norm_pos': [0.9291628116162783, 0.2943668960731768], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956129.472758,"{'circle_3d': {'center': [18.986534543086492, 6.684779029419528, 85.41649580417112], 'normal': [0.46574590724846127, 0.4393820954426078, -0.768130278068617], 'radius': 0.8965767427772424}, 'confidence': 0.8876808191281294, 'timestamp': 1625.077915, 'diameter_3d': 1.7931534855544848, 'ellipse': {'center': [297.79651747183766, 168.500946248974], 'axes': [8.177803835011371, 13.056225015474583], 'angle': 39.706624108946386}, 'location': [297.79651747183766, 168.500946248974], 'diameter': 13.056225015474583, 'sphere': {'center': [13.397583656104958, 1.4121938841082349, 94.63405914099452], 'radius': 12.0}, 'projected_sphere': {'center': [247.77497174045217, 129.252062271181], 'axes': [157.23725828805894, 157.23725828805894], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 1608.655915, 'theta': 2.025707024678353, 'phi': -1.0257301976346143, 'norm_pos': [0.9306141170994927, 0.2979127239626084], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
