quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
-0.00726,0.03906,0.36780,0.92908,0.01782,1580890388.57819
-0.00732,0.03961,0.36798,0.92896,0.01782,1580890388.610228
-0.00732,0.04022,0.36816,0.92883,0.01782,1580890388.697408
-0.00732,0.04077,0.36835,0.92877,0.01782,1580890388.8053539
-0.00726,0.04132,0.36847,0.92871,0.01782,1580890388.9180968
-0.00720,0.04199,0.36859,0.92865,0.01776,1580890388.961844
-0.00720,0.04254,0.36865,0.92859,0.01782,1580890389.065758
-0.00714,0.04315,0.36871,0.92853,0.01776,1580890389.145119
-0.00702,0.04437,0.36877,0.92841,0.01776,1580890389.20661
-0.00696,0.04504,0.36877,0.92841,0.01776,1580890389.249773
-0.00696,0.04565,0.36877,0.92841,0.01776,1580890389.255074
-0.00690,0.04626,0.36871,0.92834,0.01776,1580890389.266622
-0.00696,0.04706,0.36859,0.92834,0.01776,1580890389.3892639
-0.00702,0.04779,0.36847,0.92841,0.01776,1580890389.422463
-0.00708,0.04846,0.36835,0.92841,0.01776,1580890389.46507
-0.00720,0.04926,0.36816,0.92841,0.01776,1580890389.468565
-0.00732,0.04999,0.36792,0.92847,0.01776,1580890389.471255
-0.00751,0.05066,0.36768,0.92853,0.01776,1580890389.473973
-0.00775,0.05127,0.36743,0.92859,0.01776,1580890389.574487
-0.00806,0.05194,0.36713,0.92871,0.01776,1580890389.713043
-0.00836,0.05261,0.36682,0.92877,0.01776,1580890389.736601
-0.00873,0.05316,0.36652,0.92889,0.01776,1580890389.797494
-0.00916,0.05365,0.36615,0.92896,0.01776,1580890389.8638248
-0.00958,0.05414,0.36584,0.92908,0.01776,1580890389.921428
-0.01007,0.05450,0.36548,0.92914,0.01776,1580890389.9706829
-0.01050,0.05487,0.36517,0.92926,0.01776,1580890390.063317
-0.01099,0.05518,0.36481,0.92938,0.01776,1580890390.136159
-0.01141,0.05536,0.36456,0.92944,0.01776,1580890390.2368839
-0.01190,0.05560,0.36426,0.92957,0.01776,1580890390.270472
-0.01227,0.05579,0.36401,0.92963,0.01776,1580890390.3039958
-0.01263,0.05591,0.36377,0.92975,0.01776,1580890390.309193
-0.01300,0.05603,0.36359,0.92981,0.01770,1580890390.410496
-0.01331,0.05609,0.36340,0.92981,0.01770,1580890390.496916
-0.01361,0.05621,0.36328,0.92987,0.01770,1580890390.552044
-0.01398,0.05627,0.36316,0.92993,0.01770,1580890390.6273851
-0.01428,0.05634,0.36316,0.92993,0.01770,1580890390.675781
-0.01453,0.05640,0.36310,0.92993,0.01770,1580890390.751331
-0.01483,0.05646,0.36316,0.92993,0.01770,1580890390.7883751
-0.01514,0.05652,0.36322,0.92987,0.01770,1580890390.819666
-0.01544,0.05658,0.36328,0.92981,0.01770,1580890390.82239
-0.01575,0.05664,0.36346,0.92975,0.01770,1580890390.824121
-0.01611,0.05670,0.36365,0.92969,0.01770,1580890390.825863
-0.01648,0.05682,0.36389,0.92957,0.01770,1580890390.960305
-0.01685,0.05688,0.36414,0.92944,0.01770,1580890390.9742699
-0.01733,0.05701,0.36444,0.92932,0.01770,1580890391.022319
-0.01788,0.05707,0.36481,0.92914,0.01770,1580890391.0951302
