imu_packets,1265
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596007763.490318,B989936,0.01324,0.04346,-0.98969,0.13574,0.0156
1596007763.494994,B989941,0.01312,0.04376,-0.98969,0.13586,0.0156
1596007763.49985,B989946,0.01306,0.04413,-0.98962,0.13599,0.0156
1596007763.505225,B989951,0.01300,0.04449,-0.98962,0.13611,0.0156
1596007763.511072,B989956,0.01288,0.04498,-0.98956,0.13623,0.0156
1596007763.5148532,B989961,0.01282,0.04535,-0.98950,0.13641,0.0156
1596007763.521049,B989966,0.01276,0.04572,-0.98950,0.13654,0.0156
1596007763.525387,B989971,0.01257,0.04663,-0.98938,0.13690,0.0156
1596007763.5302882,B989976,0.01245,0.04700,-0.98938,0.13715,0.0156
1596007763.535388,B989981,0.01239,0.04742,-0.98932,0.13733,0.0156
1596007763.540843,B989986,0.01233,0.04785,-0.98926,0.13751,0.0156
1596007763.5454578,B989991,0.01227,0.04834,-0.98920,0.13776,0.0156
1596007763.550267,B989996,0.01221,0.04877,-0.98914,0.13800,0.0156
1596007763.555451,B990001,0.01215,0.04919,-0.98914,0.13818,0.0156
1596007763.5602539,B990006,0.01208,0.04968,-0.98901,0.13849,0.0156
1596007763.565383,B990011,0.01208,0.05011,-0.98901,0.13873,0.0156
1596007763.5713642,B990016,0.01202,0.05060,-0.98895,0.13904,0.0156
1596007763.5757382,B990021,0.01202,0.05103,-0.98889,0.13922,0.0156
1596007763.581751,B990026,0.01196,0.05151,-0.98883,0.13953,0.0156
1596007763.585384,B990031,0.01196,0.05200,-0.98877,0.13983,0.0156
1596007763.590636,B990036,0.01196,0.05243,-0.98871,0.14008,0.0156
1596007763.5970922,B990041,0.01202,0.05286,-0.98865,0.14032,0.0156
1596007763.600542,B990046,0.01202,0.05334,-0.98859,0.14063,0.0156
1596007763.605532,B990051,0.01202,0.05377,-0.98846,0.14087,0.0156
1596007763.610966,B990056,0.01202,0.05414,-0.98846,0.14111,0.0156
1596007763.615374,B990061,0.01202,0.05450,-0.98834,0.14142,0.0156
1596007763.620768,B990067,0.01208,0.05493,-0.98828,0.14172,0.0156
1596007763.6258292,B990072,0.01208,0.05530,-0.98822,0.14203,0.0156
1596007763.630914,B990077,0.01208,0.05573,-0.98816,0.14233,0.0156
1596007763.6357062,B990082,0.01208,0.05603,-0.98810,0.14258,0.0156
1596007763.641002,B990087,0.01215,0.05640,-0.98804,0.14288,0.0156
1596007763.647635,B990092,0.01215,0.05676,-0.98798,0.14319,0.0156
1596007763.651372,B990097,0.01215,0.05713,-0.98792,0.14349,0.0156
1596007763.656162,B990102,0.01208,0.05743,-0.98785,0.14380,0.0156
1596007763.6622322,B990108,0.01208,0.05786,-0.98779,0.14417,0.0156
1596007763.667381,B990113,0.01208,0.05823,-0.98773,0.14447,0.0156
1596007763.6737401,B990119,0.01202,0.05859,-0.98767,0.14484,0.0156
1596007763.678323,B990124,0.01196,0.05890,-0.98761,0.14514,0.0156
1596007763.683676,B990129,0.01190,0.05927,-0.98749,0.14551,0.0156
1596007763.6886048,B990135,0.01184,0.05957,-0.98743,0.14587,0.0156
1596007763.6935968,B990140,0.01178,0.05988,-0.98737,0.14624,0.0156
1596007763.698685,B990145,0.01172,0.06018,-0.98730,0.14661,0.0156
1596007763.704097,B990150,0.01166,0.06042,-0.98724,0.14703,0.0156
1596007763.709252,B990155,0.01154,0.06067,-0.98712,0.14746,0.0156
1596007763.714698,B990160,0.01147,0.06085,-0.98706,0.14789,0.0156
1596007763.7199821,B990165,0.01135,0.06104,-0.98700,0.14832,0.0156
1596007763.7253041,B990171,0.01129,0.06122,-0.98694,0.14874,0.0156
1596007763.729392,B990176,0.01117,0.06134,-0.98682,0.14923,0.0156
1596007763.734709,B990181,0.01111,0.06146,-0.98676,0.14966,0.0156
1596007763.740587,B990186,0.01099,0.06165,-0.98669,0.15009,0.0156
1596007763.7450602,B990191,0.01093,0.06177,-0.98657,0.15063,0.0156
1596007763.7506628,B990196,0.01080,0.06195,-0.98651,0.15106,0.0156
1596007763.754685,B990201,0.01074,0.06213,-0.98645,0.15155,0.0156
1596007763.759747,B990206,0.01068,0.06226,-0.98639,0.15198,0.0156
1596007763.76492,B990211,0.01056,0.06250,-0.98627,0.15253,0.0156
1596007763.770126,B990216,0.01050,0.06268,-0.98621,0.15302,0.0156
1596007763.775323,B990221,0.01038,0.06293,-0.98608,0.15350,0.0156
1596007763.781575,B990226,0.01031,0.06311,-0.98602,0.15399,0.0156
1596007763.785362,B990232,0.01019,0.06335,-0.98590,0.15454,0.0156
1596007763.790824,B990237,0.00995,0.06378,-0.98572,0.15552,0.0156
1596007763.7971761,B990242,0.00989,0.06396,-0.98566,0.15601,0.0156
1596007763.801402,B990247,0.00977,0.06421,-0.98553,0.15656,0.0156
1596007763.8065732,B990253,0.00970,0.06445,-0.98541,0.15710,0.0156
1596007763.811269,B990258,0.00958,0.06464,-0.98535,0.15759,0.0156
1596007763.81823,B990263,0.00952,0.06488,-0.98523,0.15808,0.0156
1596007763.823162,B990269,0.00946,0.06512,-0.98517,0.15863,0.0156
1596007763.828346,B990274,0.00946,0.06543,-0.98505,0.15912,0.0157
1596007763.833694,B990280,0.00940,0.06567,-0.98499,0.15955,0.0157
1596007763.838954,B990285,0.00940,0.06592,-0.98486,0.16003,0.0157
1596007763.844967,B990290,0.00940,0.06622,-0.98474,0.16058,0.0157
1596007763.849217,B990295,0.00940,0.06653,-0.98468,0.16101,0.0157
1596007763.8539991,B990300,0.00940,0.06683,-0.98456,0.16150,0.0157
1596007763.860928,B990305,0.00946,0.06708,-0.98450,0.16193,0.0157
1596007763.864512,B990310,0.00952,0.06738,-0.98437,0.16241,0.0157
1596007763.86955,B990316,0.00958,0.06763,-0.98431,0.16284,0.0157
1596007763.874464,B990321,0.00964,0.06793,-0.98419,0.16321,0.0157
1596007763.8808599,B990326,0.00970,0.06818,-0.98413,0.16364,0.0157
1596007763.885364,B990331,0.00977,0.06842,-0.98407,0.16400,0.0157
1596007763.8905149,B990336,0.00983,0.06866,-0.98395,0.16437,0.0157
1596007763.894878,B990341,0.00989,0.06885,-0.98389,0.16473,0.0157
1596007763.900873,B990346,0.00995,0.06903,-0.98383,0.16510,0.0157
1596007763.9052448,B990352,0.01007,0.06934,-0.98364,0.16577,0.0157
1596007763.910445,B990357,0.01013,0.06952,-0.98358,0.16608,0.0157
1596007763.915309,B990362,0.01019,0.06964,-0.98358,0.16638,0.0157
1596007763.921419,B990367,0.01025,0.06976,-0.98346,0.16669,0.0157
1596007763.925566,B990372,0.01038,0.06989,-0.98346,0.16693,0.0157
1596007763.9303439,B990377,0.01044,0.06995,-0.98340,0.16718,0.0157
1596007763.937676,B990382,0.01050,0.07001,-0.98334,0.16742,0.0157
1596007763.940479,B990387,0.01062,0.07007,-0.98328,0.16766,0.0157
1596007763.9455118,B990392,0.01074,0.07019,-0.98322,0.16791,0.0157
1596007763.950628,B990397,0.01086,0.07025,-0.98322,0.16815,0.0157
1596007763.9552379,B990402,0.01099,0.07031,-0.98315,0.16833,0.0157
1596007763.9612749,B990407,0.01111,0.07043,-0.98309,0.16852,0.0157
1596007763.9659379,B990412,0.01123,0.07062,-0.98309,0.16876,0.0157
1596007763.971126,B990417,0.01141,0.07074,-0.98303,0.16895,0.0157
1596007763.97573,B990422,0.01154,0.07092,-0.98297,0.16913,0.0157
1596007763.982008,B990427,0.01172,0.07104,-0.98291,0.16925,0.0157
1596007763.986563,B990433,0.01184,0.07117,-0.98291,0.16943,0.0157
