eye_packets,760
norm_X,norm_Y,phi,theta,confidence,timestamp
1594971466.506057,"{'circle_3d': {'center': [2.996735205155137, 6.773785108390056, 62.966963328838894], 'normal': [0.25671130514830903, 0.781859518702585, -0.5681505071926047], 'radius': 1.020398745432236}, 'confidence': 0.22930028525318794, 'timestamp': 199188.130856, 'diameter_3d': 2.040797490864472, 'ellipse': {'center': [189.48865011285528, 186.63714704314637], 'axes': [9.482210248950281, 20.097553284984436], 'angle': 71.48955688316975}, 'location': [189.48865011285528, 186.63714704314637], 'diameter': 20.097553284984436, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.4684391957173104, 'phi': -1.146415969498309, 'norm_pos': [0.5921520316026727, 0.22234522065355677], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.514325,"{'circle_3d': {'center': [2.9622724485585747, 6.7145184944133085, 62.8708542356363], 'normal': [0.2538394087652622, 0.7769206342045226, -0.5761595982928208], 'radius': 0.9811334206241324}, 'confidence': 0.21541857668366, 'timestamp': 199188.139256, 'diameter_3d': 1.962266841248265, 'ellipse': {'center': [189.19507307638372, 186.15830034422612], 'axes': [9.313098087191365, 19.353575485299867], 'angle': 71.56573110115751}, 'location': [189.19507307638372, 186.15830034422612], 'diameter': 19.353575485299867, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.460556275877199, 'phi': -1.1558108798477322, 'norm_pos': [0.5912346033636992, 0.22434041523239112], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.521771,"{'circle_3d': {'center': [3.8388759368074004, 6.590144396010606, 63.15174480106252], 'normal': [0.3268896994526644, 0.7665561260042976, -0.5527520511739693], 'radius': 0.9858094085579188}, 'confidence': 0.13111072580586508, 'timestamp': 199188.147656, 'diameter_3d': 1.9716188171158375, 'ellipse': {'center': [197.6677111922661, 184.6464757808256], 'axes': [8.766995470584352, 19.360145894240024], 'angle': 66.49714408449198}, 'location': [197.6677111922661, 184.6464757808256], 'diameter': 19.360145894240024, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.4442573680838566, 'phi': -1.0367348942556402, 'norm_pos': [0.6177115974758316, 0.23063968424656], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.5314848,"{'circle_3d': {'center': [2.955265721083793, 6.848761191319914, 63.05247880869182], 'normal': [0.2532555148090304, 0.7881075256134066, -0.5610242172048606], 'radius': 1.0314514869856646}, 'confidence': 0.08295338372377616, 'timestamp': 199188.156056, 'diameter_3d': 2.062902973971329, 'ellipse': {'center': [189.04111293228553, 187.283388688142], 'axes': [9.404156833960693, 20.287696899753126], 'angle': 71.86635317798545}, 'location': [189.04111293228553, 187.283388688142], 'diameter': 20.287696899753126, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.4785247374416546, 'phi': -1.146765171898745, 'norm_pos': [0.5907534779133923, 0.21965254713274163], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.53877,"{'circle_3d': {'center': [4.112433668039343, 6.068683421712334, 62.6365107638657], 'normal': [0.34968617705532634, 0.723101044812775, -0.595688220940371], 'radius': 1.0406402706812996}, 'confidence': 0.04001880015915729, 'timestamp': 199188.164456, 'diameter_3d': 2.081280541362599, 'ellipse': {'center': [200.67802798407538, 180.00710698020023], 'axes': [10.356223596443275, 20.605688865183648], 'angle': 63.66805421373906}, 'location': [200.67802798407538, 180.00710698020023], 'diameter': 20.605688865183648, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.37907759865467, 'phi': -1.0399690291630608, 'norm_pos': [0.6271188374502356, 0.249970387582499], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.5470998,"{'circle_3d': {'center': [2.9504821366205984, 6.702923628694524, 62.85007569971561], 'normal': [0.25285688277043084, 0.775954395394624, -0.5778911429528784], 'radius': 1.006609183779638}, 'confidence': 0.1467721634738069, 'timestamp': 199188.172856, 'diameter_3d': 2.013218367559276, 'ellipse': {'center': [189.08748559148114, 186.06260673404776], 'axes': [9.598682751502704, 19.862743219407896], 'angle': 71.60921748150433}, 'location': [189.08748559148114, 186.06260673404776], 'diameter': 19.862743219407896, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.459023035381577, 'phi': -1.15834302820177, 'norm_pos': [0.5908983924733786, 0.22473913860813433], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.555182,"{'circle_3d': {'center': [2.629913819189686, 6.754562684831379, 62.787036442416834], 'normal': [0.2261428563178548, 0.7802576500726952, -0.583144414394443], 'radius': 0.9745851828503975}, 'confidence': 0.19406299305862013, 'timestamp': 199188.181256, 'diameter_3d': 1.949170365700795, 'ellipse': {'center': [185.95390557549055, 186.64156946956365], 'axes': [9.427137918408672, 19.249788955573162], 'angle': 73.52838517580686}, 'location': [185.95390557549055, 186.64156946956365], 'diameter': 19.249788955573162, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.4658739763447386, 'phi': -1.2008520465038475, 'norm_pos': [0.581105954923408, 0.22232679387681809], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.5662432,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 199188.189656, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.574176,"{'circle_3d': {'center': [3.7970026549459206, 6.715035334915845, 63.30321766128139], 'normal': [0.32340025929754107, 0.7769637042464007, -0.5401293128223971], 'radius': 1.0172622683791703}, 'confidence': 0.1924705187065417, 'timestamp': 199188.198056, 'diameter_3d': 2.0345245367583407, 'ellipse': {'center': [197.1671719090721, 185.7127637621801], 'axes': [8.734783128880798, 19.93008765222705], 'angle': 67.01888742862003}, 'location': [197.1671719090721, 185.7127637621801], 'diameter': 19.93008765222705, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.4606246875028153, 'phi': -1.0312994039848042, 'norm_pos': [0.6161474122158503, 0.22619681765758293], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.583105,"{'circle_3d': {'center': [4.863141833979682, 5.3305153542166845, 62.268165469703604], 'normal': [0.41224519088368783, 0.6615870391881373, -0.6263836621205455], 'radius': 1.0869598551026136}, 'confidence': 0.037398716423299255, 'timestamp': 199188.206456, 'diameter_3d': 2.1739197102052272, 'ellipse': {'center': [208.38215497744568, 173.00711171508348], 'axes': [11.635573924895661, 21.65166279814571], 'angle': 57.363060768337085}, 'location': [208.38215497744568, 173.00711171508348], 'diameter': 21.65166279814571, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.2937295406287146, 'phi': -0.9887233424210818, 'norm_pos': [0.6511942343045177, 0.27913703452048544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594971466.590034,"{'circle_3d': {'center': [4.118143743614808, 5.188850939887713, 61.688811831177745], 'normal': [0.350162016686615, 0.6497816713273897, -0.6746631319977006], 'radius': 1.024686057013208}, 'confidence': 0.13335140727713246, 'timestamp': 199188.214856, 'diameter_3d': 2.049372114026416, 'ellipse': {'center': [201.35498058853125, 172.08309746463024], 'axes': [12.288891041502412, 20.601750141187797], 'angle': 60.941276873141994}, 'location': [201.35498058853125, 172.08309746463024], 'diameter': 20.601750141187797, 'sphere': {'center': [-0.08380045662457211, -2.608529116040964, 69.78476941515015], 'radius': 12.0}, 'projected_sphere': {'center': [159.25547818610468, 96.82462712853376], 'axes': [213.22704258688256, 213.22704258688256], 'angle': 90.0}, 'model_confidence': 0.8275056005505821, 'model_id': 19, 'model_birth_timestamp': 199151.784056, 'theta': 2.2780934993674062, 'phi': -1.0920506722068677, 'norm_pos': [0.6292343143391601, 0.282987093897374], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
