eye_packets,767
norm_X,norm_Y,phi,theta,confidence,timestamp
1595834966.65211,"{'circle_3d': {'center': [1.0326385058008678, 6.703698984604869, 63.846996296075], 'normal': [0.28516766296669044, 0.37358127997798296, -0.882675722589065], 'radius': 2.015857657736042}, 'confidence': 0.2205861984237042, 'timestamp': 308122.02094, 'diameter_3d': 4.031715315472084, 'ellipse': {'center': [169.87426053468107, 184.90819828168156], 'axes': [32.81698822326841, 39.19272288646912], 'angle': 56.49234284734334}, 'location': [169.87426053468107, 184.90819828168156], 'diameter': 39.19272288646912, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.953663172769748, 'phi': -1.2583093767553666, 'norm_pos': [0.5308570641708783, 0.22954917382632678], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.65953,"{'circle_3d': {'center': [0.890448730633544, 6.659796127472553, 63.783711882824], 'normal': [0.27331851503608, 0.3699227085502898, -0.8879494236933145], 'radius': 2.0140698666444834}, 'confidence': 0.14067566090211336, 'timestamp': 308122.02934, 'diameter_3d': 4.028139733288967, 'ellipse': {'center': [168.50723755910337, 184.54610532580145], 'axes': [33.08128981813895, 39.19640653359356], 'angle': 57.482739743218346}, 'location': [168.50723755910337, 184.54610532580145], 'diameter': 39.19640653359356, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.9497221531661926, 'phi': -1.2721911167058062, 'norm_pos': [0.526585117372198, 0.23105789447582725], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.673217,"{'circle_3d': {'center': [0.0644758398876335, 7.322458254539356, 63.85841843781472], 'normal': [0.20448744080725423, 0.42514455247252353, -0.8817238774440882], 'radius': 2.033993806816451}, 'confidence': 0.23689640620389188, 'timestamp': 308122.03774, 'diameter_3d': 4.067987613632902, 'ellipse': {'center': [160.51269963976932, 190.8738022668282], 'axes': [32.87009907377538, 39.53448459604038], 'angle': 67.87464006705802}, 'location': [160.51269963976932, 190.8738022668282], 'diameter': 39.53448459604038, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 2.009917910763824, 'phi': -1.3429072806872917, 'norm_pos': [0.5016021863742791, 0.20469249055488248], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.686157,"{'circle_3d': {'center': [0.7092313718372596, 6.617536724215075, 63.71219102469279], 'normal': [0.2582170684697231, 0.3664010916121668, -0.8939094952042489], 'radius': 2.0258083146235126}, 'confidence': 0.2174485584397674, 'timestamp': 308122.04614, 'diameter_3d': 4.051616629247025, 'ellipse': {'center': [166.7584044815096, 184.20472131954222], 'axes': [33.60575791640515, 39.46859651433298], 'angle': 58.87397423214406}, 'location': [166.7584044815096, 184.20472131954222], 'diameter': 39.46859651433298, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.9459344944139738, 'phi': -1.2895883398822512, 'norm_pos': [0.5211200140047174, 0.23248032783524075], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.6876092,"{'circle_3d': {'center': [0.2563044372578389, 6.112664418577756, 63.40039193635063], 'normal': [0.22047315725477135, 0.32432839947572356, -0.9198927525660957], 'radius': 2.009669929160404}, 'confidence': 0.1971260869845932, 'timestamp': 308122.054539, 'diameter_3d': 4.019339858320808, 'ellipse': {'center': [162.3804568259839, 179.59982770535598], 'axes': [34.865719483715644, 39.345290808112416], 'angle': 60.530487509326335}, 'location': [162.3804568259839, 179.59982770535598], 'diameter': 39.345290808112416, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.9010979896445253, 'phi': -1.335560866425912, 'norm_pos': [0.5074389275811997, 0.2516673845610168], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.6966379,"{'circle_3d': {'center': [0.7857944308585458, 5.119571320850549, 63.235757656400395], 'normal': [0.2645973233881635, 0.24157064133178954, -0.9336122758952817], 'radius': 2.036617763030882}, 'confidence': 0.2417645419352226, 'timestamp': 308122.062939, 'diameter_3d': 4.073235526061764, 'ellipse': {'center': [167.5465203298015, 170.05686543224556], 'axes': [36.34172507724248, 39.97839221835275], 'angle': 47.95507297399021}, 'location': [167.5465203298015, 170.05686543224556], 'diameter': 39.97839221835275, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.8147804309660212, 'phi': -1.2946260904939162, 'norm_pos': [0.5235828760306297, 0.29142972736564354], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.712915,"{'circle_3d': {'center': [0.8431253629663726, 5.0707647575682, 63.239631007738765], 'normal': [0.2693749010638157, 0.23750342772492702, -0.9332894966170839], 'radius': 2.0127186450185466}, 'confidence': 0.25310142886274667, 'timestamp': 308122.071339, 'diameter_3d': 4.025437290037093, 'ellipse': {'center': [168.10915325377135, 169.58093893741892], 'axes': [35.90853652659022, 39.506795810485414], 'angle': 46.958437934563314}, 'location': [168.10915325377135, 169.58093893741892], 'diameter': 39.506795810485414, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.810591255325901, 'phi': -1.2898035299673405, 'norm_pos': [0.5253411039180355, 0.2934127544274212], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.715702,"{'circle_3d': {'center': [0.11739228932046641, 5.408175092145091, 63.145023389922244], 'normal': [0.20889714492665684, 0.2656209556063346, -0.9411734647684606], 'radius': 1.9963070908090859}, 'confidence': 0.2200014332421657, 'timestamp': 308122.079739, 'diameter_3d': 3.9926141816181717, 'ellipse': {'center': [161.0309190321886, 172.95220021222852], 'axes': [35.95880080757924, 39.241756780857536], 'angle': 57.55278385524103}, 'location': [161.0309190321886, 172.95220021222852], 'diameter': 39.241756780857536, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.8396442850292756, 'phi': -1.3523830665935683, 'norm_pos': [0.5032216219755894, 0.2793658324490479], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.7232718,"{'circle_3d': {'center': [0.14730416443671812, 5.363351233377115, 63.139142206334505], 'normal': [0.21138980118634457, 0.2618856340423367, -0.9416635634007727], 'radius': 2.0247134317744497}, 'confidence': 0.27516428695463613, 'timestamp': 308122.088139, 'diameter_3d': 4.0494268635488995, 'ellipse': {'center': [161.3197074926458, 172.51475773142067], 'axes': [36.5091289915306, 39.80406236609974], 'angle': 56.87334285299635}, 'location': [161.3197074926458, 172.51475773142067], 'diameter': 39.80406236609974, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.835771837920893, 'phi': -1.3499716617159003, 'norm_pos': [0.5041240859145181, 0.2811885094524139], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.7282062,"{'circle_3d': {'center': [1.120079364742515, 6.488165722922118, 63.78674941157447], 'normal': [0.2924544012118277, 0.3556201748377537, -0.8876962962974425], 'radius': 2.043772837501011}, 'confidence': 0.2338434526679483, 'timestamp': 308122.096539, 'diameter_3d': 4.087545675002022, 'ellipse': {'center': [170.72413759240425, 182.87699139309913], 'axes': [33.60216928396885, 39.77332210037846], 'angle': 54.55467459002705}, 'location': [170.72413759240425, 182.87699139309913], 'diameter': 39.77332210037846, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.934373861148006, 'phi': -1.2525419318338507, 'norm_pos': [0.5335129299762633, 0.23801253586208693], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834966.7388768,"{'circle_3d': {'center': [1.002873175658951, 6.618338800645347, 63.801734822326566], 'normal': [0.2826872187881973, 0.3664679313146894, -0.8864475120681009], 'radius': 2.00930443831467}, 'confidence': 0.20291701525371714, 'timestamp': 308122.104939, 'diameter_3d': 4.01860887662934, 'ellipse': {'center': [169.5934716258575, 184.12826128412073], 'axes': [32.934200263830334, 39.092920072458725], 'angle': 56.28528052772085}, 'location': [169.5934716258575, 184.12826128412073], 'diameter': 39.092920072458725, 'sphere': {'center': [-2.389373449799417, 2.2207236248690743, 74.43910496714378], 'radius': 12.0}, 'projected_sphere': {'center': [140.0990146304216, 138.49630846618246], 'axes': [199.89493434355225, 199.89493434355225], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 308010.009254, 'theta': 1.946006330777768, 'phi': -1.262092437768676, 'norm_pos': [0.5299795988308047, 0.2327989113161636], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
