eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1595835370.475061,"{'circle_3d': {'center': [-0.8564518739731615, 1.661738158424643, 15.090213681121298], 'normal': [-0.17523083456891872, 0.5604019618364412, -0.8094713063389882], 'radius': 0.4783843042310568}, 'confidence': 0.9983377349763646, 'timestamp': 308525.837036, 'diameter_3d': 0.9567686084621136, 'ellipse': {'center': [124.88783777363861, 188.0154686367968], 'axes': [29.00856524746532, 39.32358095001924], 'angle': -71.47569536806105}, 'location': [124.88783777363861, 188.0154686367968], 'diameter': 39.32358095001924, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8716296199338003, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.165667378903543, 'phi': -1.7839825188577438, 'norm_pos': [0.39027449304262063, 0.21660221401334667], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.483555,"{'circle_3d': {'center': [-0.840995231657163, 1.6644381220770024, 15.08874967880486], 'normal': [-0.1739427810425855, 0.5606269588074712, -0.8095933065320249], 'radius': 0.4717688431112125}, 'confidence': 0.9979326115749834, 'timestamp': 308525.845436, 'diameter_3d': 0.943537686222425, 'ellipse': {'center': [125.51706099856835, 188.13997940869908], 'axes': [28.61961043457689, 38.78289497411652], 'angle': -71.64266647568915}, 'location': [125.51706099856835, 188.13997940869908], 'diameter': 38.78289497411652, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8710963857771259, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1659390669186847, 'phi': -1.7824310687120262, 'norm_pos': [0.3922408156205261, 0.2160834191304205], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.491185,"{'circle_3d': {'center': [-0.8480239635024682, 1.6626534322339612, 15.089026665156798], 'normal': [-0.17452850869636094, 0.5604782346538844, -0.8095702243360299], 'radius': 0.4755776085629205}, 'confidence': 0.998018262127072, 'timestamp': 308525.853836, 'diameter_3d': 0.951155217125841, 'ellipse': {'center': [125.23027133793424, 188.0613714098136], 'axes': [28.8480635632376, 39.095610089291675], 'angle': -71.56468595421016}, 'location': [125.23027133793424, 188.0613714098136], 'diameter': 39.095610089291675, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8706438757254742, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1657594741479484, 'phi': -1.7831283997323937, 'norm_pos': [0.3913445979310445, 0.21641095245911002], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.4988842,"{'circle_3d': {'center': [-0.845831691903774, 1.664382371407915, 15.089751451663677], 'normal': [-0.17434581939646976, 0.5606223129183805, -0.8095098254604567], 'radius': 0.4801402411696947}, 'confidence': 0.9974865989283936, 'timestamp': 308525.862236, 'diameter_3d': 0.9602804823393895, 'ellipse': {'center': [125.32339048806475, 188.12419074461116], 'axes': [29.11967829298896, 39.46884403712357], 'angle': -71.59323938008008}, 'location': [125.32339048806475, 188.12419074461116], 'diameter': 39.46884403712357, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8699523468776338, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1659334564162194, 'phi': -1.7829281054461548, 'norm_pos': [0.3916355952752023, 0.21614920523078685], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.511939,"{'circle_3d': {'center': [-0.8410790716025585, 1.6625600375435363, 15.087467423020831], 'normal': [-0.1739497677047018, 0.5604704517630156, -0.8097001611806939], 'radius': 0.4770394787332185}, 'confidence': 0.9980197230733188, 'timestamp': 308525.870636, 'diameter_3d': 0.954078957466437, 'ellipse': {'center': [125.51236779637125, 188.06290831714216], 'axes': [28.949322208068196, 39.21968024856132], 'angle': -71.63499608762129}, 'location': [125.51236779637125, 188.06290831714216], 'diameter': 39.21968024856132, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.869403849721595, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1657500764710647, 'phi': -1.7824122140603713, 'norm_pos': [0.3922261493636602, 0.21640454867857428], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.520077,"{'circle_3d': {'center': [-0.8438515603956362, 1.6596759767673506, 15.086067635021731], 'normal': [-0.17418080843745828, 0.5602301133650002, -0.8098168101806188], 'radius': 0.4737612931259378}, 'confidence': 0.9984457598624559, 'timestamp': 308525.879036, 'diameter_3d': 0.9475225862518756, 'ellipse': {'center': [125.3942922482617, 187.95423378238237], 'axes': [28.76057379760719, 38.9537910892525], 'angle': -71.5963246017445}, 'location': [125.3942922482617, 187.95423378238237], 'diameter': 38.9537910892525, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.869048568422337, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.165459902325371, 'phi': -1.7826553347925658, 'norm_pos': [0.3918571632758178, 0.21685735924007343], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.529821,"{'circle_3d': {'center': [-0.8417329736655088, 1.6681636426340214, 15.091489160254545], 'normal': [-0.174004259543281, 0.5609374188538894, -0.8093650164112177], 'radius': 0.47148107644159043}, 'confidence': 0.9975047602233732, 'timestamp': 308525.887436, 'diameter_3d': 0.9429621528831809, 'ellipse': {'center': [125.49289426214759, 188.28101557802682], 'axes': [28.581470994111225, 38.75218392286272], 'angle': -71.6486351759574}, 'location': [125.49289426214759, 188.28101557802682], 'diameter': 38.75218392286272, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8687764399252451, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1663140352605286, 'phi': -1.7825615996548145, 'norm_pos': [0.39216529456921123, 0.21549576842488827], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.536761,"{'circle_3d': {'center': [-0.8430104398196414, 1.6626986555256424, 15.087978500409559], 'normal': [-0.17411071505612538, 0.5604820032615244, -0.8096575713982999], 'radius': 0.4775822540497364}, 'confidence': 0.9987917631957332, 'timestamp': 308525.895836, 'diameter_3d': 0.9551645080994728, 'ellipse': {'center': [125.43438782905906, 188.06573531849358], 'axes': [28.97820746898835, 39.26304404230184], 'angle': -71.61583983526205}, 'location': [125.43438782905906, 188.06573531849358], 'diameter': 39.26304404230184, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8686829489580994, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1657640246838175, 'phi': -1.7826130222358474, 'norm_pos': [0.39198246196580955, 0.21639276950627673], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.543436,"{'circle_3d': {'center': [-0.8381541928311369, 1.6671015803687395, 15.08998452567315], 'normal': [-0.17370602780708333, 0.5608489136651159, -0.8094904026263339], 'radius': 0.4724491032118044}, 'confidence': 0.9965358970420337, 'timestamp': 308525.904236, 'diameter_3d': 0.9448982064236088, 'ellipse': {'center': [125.63672634945829, 188.24310140356647], 'axes': [28.651860124883054, 38.835555530406], 'angle': -71.68119581385722}, 'location': [125.63672634945829, 188.24310140356647], 'diameter': 38.835555530406, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8677746467548486, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1662071304998562, 'phi': -1.7821775953992336, 'norm_pos': [0.3926147698420571, 0.21565374415180638], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.568656,"{'circle_3d': {'center': [-0.8414705213344604, 1.6635079783520537, 15.088207761352761], 'normal': [-0.17398238851569364, 0.5605494468303921, -0.8096384663196997], 'radius': 0.47079772125703623}, 'confidence': 0.99803193201293, 'timestamp': 308525.921036, 'diameter_3d': 0.9415954425140725, 'ellipse': {'center': [125.49601089047886, 188.10523969587103], 'axes': [28.564685169469307, 38.704446109300115], 'angle': -71.63446662704409}, 'location': [125.49601089047886, 188.10523969587103], 'diameter': 38.704446109300115, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8672105333824898, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1658454641276204, 'phi': -1.78246637465241, 'norm_pos': [0.39217503403274645, 0.21622816793387067], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
