eye_packets,750
norm_X,norm_Y,phi,theta,confidence,timestamp
1581992060.174221,"{'circle_3d': {'center': [8.531867046125578, 6.349687007975067, 100.98712547127933], 'normal': [0.48800302671246826, 0.8640666823333405, -0.12345774338179062], 'radius': 4.348450705093748}, 'confidence': 0.15903039975648245, 'timestamp': 15405.800684, 'diameter_3d': 8.696901410187497, 'ellipse': {'center': [212.4069439070453, 158.93170027137788], 'axes': [1.4910570843896895, 53.49049024842129], 'angle': 60.475636851661186}, 'location': [212.4069439070453, 158.93170027137788], 'diameter': 53.49049024842129, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.6140896261369835, 'phi': -0.24778666898464574, 'norm_pos': [0.6637716997095165, 0.3377845822025922], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.181123,"{'circle_3d': {'center': [8.560622965660048, 6.3487626334791525, 101.09881132267141], 'normal': [0.49039935334034085, 0.8639896511253476, -0.11415058909911717], 'radius': 4.381034312461254}, 'confidence': 0.16754136767909839, 'timestamp': 15405.809084, 'diameter_3d': 8.762068624922508, 'ellipse': {'center': [212.5311828360018, 158.89176698717876], 'axes': [0.9879999323141458, 53.832596175735276], 'angle': 60.37621091067275}, 'location': [212.5311828360018, 158.89176698717876], 'diameter': 53.832596175735276, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.613936617480836, 'phi': -0.2286982616186978, 'norm_pos': [0.6641599463625056, 0.3379509708867552], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.18888,"{'circle_3d': {'center': [8.546068258194582, 6.347806489137323, 101.03081176933799], 'normal': [0.4891864610515521, 0.8639099724301953, -0.11981721854356903], 'radius': 4.279626314487674}, 'confidence': 0.03805927095520921, 'timestamp': 15405.817484, 'diameter_3d': 8.559252628975347, 'ellipse': {'center': [212.4726094155909, 158.90850659609384], 'axes': [1.270015412954825, 52.61964801701145], 'angle': 60.420781322660496}, 'location': [212.4726094155909, 158.90850659609384], 'diameter': 52.61964801701145, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.613778392323192, 'phi': -0.24020273715085966, 'norm_pos': [0.6639769044237216, 0.3378812225162756], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.2035599,"{'circle_3d': {'center': [8.230346529376858, 6.523490510884862, 101.05410024007224], 'normal': [0.4628763169834084, 0.8785503075758236, -0.11787651264904754], 'radius': 4.306084204228328}, 'confidence': 0.0945963684119239, 'timestamp': 15405.825884, 'diameter_3d': 8.612168408456656, 'ellipse': {'center': [210.52491307447121, 159.97874863913833], 'axes': [1.2409066921285516, 52.93185057305957], 'angle': 62.160822720803175}, 'location': [210.52491307447121, 159.97874863913833], 'diameter': 52.93185057305957, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.643614950663985, 'phi': -0.24936058564890626, 'norm_pos': [0.6578903533577225, 0.3334218806702569], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.209135,"{'circle_3d': {'center': [8.542990411742561, 6.333019034432004, 100.91626668189863], 'normal': [0.488929973847217, 0.8626776845380854, -0.12936264249684845], 'radius': 4.3519660664292585}, 'confidence': 0.12131373726692954, 'timestamp': 15405.834284, 'diameter_3d': 8.703932132858517, 'ellipse': {'center': [212.50872151938762, 158.8505812141155], 'axes': [1.8110012317472646, 53.57148089972097], 'angle': 60.375041908002416}, 'location': [212.50872151938762, 158.8505812141155], 'diameter': 53.57148089972097, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.6113367699105803, 'phi': -0.25865621166501335, 'norm_pos': [0.6640897547480863, 0.33812257827451875], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.217289,"{'circle_3d': {'center': [8.564371972856364, 6.347016654773178, 101.10171158187556], 'normal': [0.4907117706067004, 0.8638441528998497, -0.11390890083210435], 'radius': 4.405373567380442}, 'confidence': 0.1851382151314106, 'timestamp': 15405.842684, 'diameter_3d': 8.810747134760884, 'ellipse': {'center': [212.5531684501229, 158.87971601055563], 'axes': [0.9794438260094243, 54.13069275082416], 'angle': 60.357021648062435}, 'location': [212.5531684501229, 158.87971601055563], 'diameter': 54.13069275082416, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.6136477209382085, 'phi': -0.22809038508150561, 'norm_pos': [0.6642286514066341, 0.3380011832893516], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.225111,"{'circle_3d': {'center': [8.576408455944827, 6.34594189227429, 101.1461903990849], 'normal': [0.49171481086407237, 0.8637545893582756, -0.11020233273132617], 'radius': 4.369620858702716}, 'confidence': 0.10275523584725973, 'timestamp': 15405.851084, 'diameter_3d': 8.739241717405433, 'ellipse': {'center': [212.60545114600566, 158.86048489451414], 'axes': [0.7676522532901369, 53.66699255263158], 'angle': 60.31339682755106}, 'location': [212.60545114600566, 158.86048489451414], 'diameter': 53.66699255263158, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.613469957628702, 'phi': -0.2204751568943979, 'norm_pos': [0.6643920348312677, 0.33808131293952437], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.233152,"{'circle_3d': {'center': [9.012799941435386, 6.029566554936022, 100.77543891483151], 'normal': [0.5280807679882857, 0.8373899779134202, -0.141098289752442], 'radius': 4.393011862753835}, 'confidence': 0.055291525563191585, 'timestamp': 15405.859484, 'diameter_3d': 8.78602372550767, 'ellipse': {'center': [215.4648966974853, 157.02541045805663], 'axes': [2.3679872769939374, 54.15547450143949], 'angle': 57.65458264487795}, 'location': [215.4648966974853, 157.02541045805663], 'diameter': 54.15547450143949, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.5632869756950707, 'phi': -0.26109160544034593, 'norm_pos': [0.6733278021796416, 0.3457274564247641], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.240695,"{'circle_3d': {'center': [9.407486454278425, 5.71257431229421, 100.47385782927073], 'normal': [0.5609713107252056, 0.8109739576932692, -0.1662300468825073], 'radius': 4.36041112402622}, 'confidence': 0.046054565413188094, 'timestamp': 15405.867884, 'diameter_3d': 8.72082224805244, 'ellipse': {'center': [218.04875407354172, 155.1578901582589], 'axes': [3.640774862252368, 53.91598005690124], 'angle': 55.15608437153437}, 'location': [218.04875407354172, 155.1578901582589], 'diameter': 53.91598005690124, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.516611177564676, 'phi': -0.28808219979805016, 'norm_pos': [0.6814023564798178, 0.3535087910072545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.2498372,"{'circle_3d': {'center': [8.420902720082958, 6.440361240178952, 101.20626240758769], 'normal': [0.47875599954224995, 0.8716228683503309, -0.10519633202276067], 'radius': 4.386127797582808}, 'confidence': 0.15838330782075463, 'timestamp': 15405.876284, 'diameter_3d': 8.772255595165616, 'ellipse': {'center': [211.62455985033904, 159.42076404745876], 'axes': [0.5322557007618575, 53.83736599529529], 'angle': 61.19749513075459}, 'location': [211.62455985033904, 159.42076404745876], 'diameter': 53.83736599529529, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.6292997444328012, 'phi': -0.21629131298019097, 'norm_pos': [0.6613267495323095, 0.3357468164689218], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992060.2574248,"{'circle_3d': {'center': [8.53233373159511, 6.385891661177858, 101.26976610945346], 'normal': [0.48804191716826256, 0.8670837367669064, -0.09990435686727986], 'radius': 4.41970367860018}, 'confidence': 0.14811422975061841, 'timestamp': 15405.884684, 'diameter_3d': 8.83940735720036, 'ellipse': {'center': [212.27818113136445, 159.0674711916729], 'axes': [0.22255303033783702, 54.21674624393089], 'angle': 60.616869277572164}, 'location': [212.27818113136445, 159.0674711916729], 'diameter': 54.21674624393089, 'sphere': {'center': [2.675830725575958, -4.01911318002502, 102.46861839186082], 'radius': 12.0}, 'projected_sphere': {'center': [176.19046958857865, 95.68182131541803], 'axes': [145.21519108509744, 145.21519108509744], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 15357.743392, 'theta': 2.6201144398722995, 'phi': -0.20191495908483936, 'norm_pos': [0.6633693160355139, 0.3372188700346963], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
