eye_packets,751
norm_X,norm_Y,phi,theta,confidence,timestamp
1581991649.182409,"{'circle_3d': {'center': [-1.2230793860453497, 11.714327726616117, 73.90844486929076], 'normal': [0.11448200238604832, 0.7715731014930665, -0.6257546006079788], 'radius': 4.731720358055667}, 'confidence': 0.12423464079301909, 'timestamp': 14994.810997, 'diameter_3d': 9.463440716111334, 'ellipse': {'center': [149.53173145238426, 217.28432016296563], 'axes': [40.19292221053529, 79.53681795766236], 'angle': 82.76419650184954}, 'location': [149.53173145238426, 217.28432016296563], 'diameter': 79.53681795766236, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.45210666660383, 'phi': -1.3898471391536416, 'norm_pos': [0.46728666078870085, 0.09464866598764321], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.186167,"{'circle_3d': {'center': [-1.9861147943895243, 11.791261782735294, 73.90287340732351], 'normal': [0.05089571835736708, 0.777984272836331, -0.6262188891052496], 'radius': 4.74476653795578}, 'confidence': 0.11367574919277458, 'timestamp': 14994.819397, 'diameter_3d': 9.48953307591156, 'ellipse': {'center': [143.21419861362267, 217.92176182409878], 'axes': [40.15899754825881, 79.7564224002484], 'angle': 87.3806405161191}, 'location': [143.21419861362267, 217.92176182409878], 'diameter': 79.7564224002484, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.462247433121197, 'phi': -1.4896999302082374, 'norm_pos': [0.44754437066757086, 0.09199265906625509], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.193486,"{'circle_3d': {'center': [-2.001204070828633, 11.787073277793734, 73.89646248584121], 'normal': [0.049638278654108, 0.7776352307578676, -0.6267531325621077], 'radius': 4.73810000701119}, 'confidence': 0.15516956104017238, 'timestamp': 14994.827797, 'diameter_3d': 9.47620001402238, 'ellipse': {'center': [143.08814876505306, 217.89700300714375], 'axes': [40.15351114080106, 79.65077463651974], 'angle': 87.47147050190593}, 'location': [143.08814876505306, 217.89700300714375], 'diameter': 79.65077463651974, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.461692075573981, 'phi': -1.4917622069285748, 'norm_pos': [0.4471504648907908, 0.09209582080356771], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.2033658,"{'circle_3d': {'center': [-1.8484785780419104, 11.789128355421223, 73.91267642843154], 'normal': [0.06236540305300158, 0.7778064872268252, -0.6254019706795808], 'radius': 4.731489991242336}, 'confidence': 0.13477805372492313, 'timestamp': 14994.836197, 'diameter_3d': 9.462979982484672, 'ellipse': {'center': [144.35632233279622, 217.89884706978802], 'axes': [39.995972288572084, 79.52340704985062], 'angle': 86.55154224596282}, 'location': [144.35632233279622, 217.89884706978802], 'diameter': 79.52340704985062, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.4619645124262317, 'phi': -1.4714044053887694, 'norm_pos': [0.4511135072899882, 0.0920881372092166], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.2089589,"{'circle_3d': {'center': [-1.4886180142707017, 11.791186844097249, 73.95989863856322], 'normal': [0.09235378336726897, 0.7779780279498274, -0.6214667865019409], 'radius': 4.7845876371422245}, 'confidence': 0.11819308847160392, 'timestamp': 14994.844597, 'diameter_3d': 9.569175274284449, 'ellipse': {'center': [147.33958947006738, 217.84140440112742], 'axes': [40.13068269616846, 80.3703834833566], 'angle': 84.38980420901613}, 'location': [147.33958947006738, 217.84140440112742], 'diameter': 80.3703834833566, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.4622374935866036, 'phi': -1.423269840543917, 'norm_pos': [0.46043621709396054, 0.09232748166196914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.216331,"{'circle_3d': {'center': [-1.2498002986693557, 11.16107114854722, 73.26902842623737], 'normal': [0.1122552596673811, 0.7254683866539915, -0.6790393041957613], 'radius': 4.779735045806595}, 'confidence': 0.09329544408397332, 'timestamp': 14994.852997, 'diameter_3d': 9.55947009161319, 'ellipse': {'center': [149.19833808661218, 213.35892354939955], 'axes': [46.22049967379657, 81.03710114218507], 'angle': 82.63397900507591}, 'location': [149.19833808661218, 213.35892354939955], 'diameter': 81.03710114218507, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.3825110190552157, 'phi': -1.4069632482677994, 'norm_pos': [0.4662448065206631, 0.11100448521083517], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.23488,"{'circle_3d': {'center': [-1.3602527888909357, 11.29080757203798, 73.39208670882144], 'normal': [0.10305088548224951, 0.7362797552782219, -0.668784447313756], 'radius': 4.736853317491945}, 'confidence': 0.17490164995374552, 'timestamp': 14994.861397, 'diameter_3d': 9.47370663498389, 'ellipse': {'center': [148.30396146234145, 214.32766200052924], 'axes': [44.68625470167459, 80.17476201351185], 'angle': 83.40123775186233}, 'location': [148.30396146234145, 214.32766200052924], 'diameter': 80.17476201351185, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.398352301324829, 'phi': -1.4179118808529758, 'norm_pos': [0.46344987956981704, 0.10696807499779482], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.240566,"{'circle_3d': {'center': [-1.0384134210626175, 11.674266514029696, 73.89522215847786], 'normal': [0.129870832801276, 0.7682346671108646, -0.6268564931757203], 'radius': 4.772683589136467}, 'confidence': 0.1332681223113438, 'timestamp': 14994.869797, 'diameter_3d': 9.545367178272935, 'ellipse': {'center': [151.0542354473798, 216.950112230098], 'axes': [40.70591204352743, 80.24277030634514], 'angle': 81.63222900793646}, 'location': [151.0542354473798, 216.950112230098], 'diameter': 80.24277030634514, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.4468752896200616, 'phi': -1.3665085310308382, 'norm_pos': [0.47204448577306185, 0.0960411990412583], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.245718,"{'circle_3d': {'center': [-1.0526422848637567, 11.64243924277808, 73.85346549825826], 'normal': [0.12868509415118107, 0.7655823945065633, -0.6303362148606874], 'radius': 4.744494056572442}, 'confidence': 0.13369698609729044, 'timestamp': 14994.878197, 'diameter_3d': 9.488988113144885, 'ellipse': {'center': [150.93296005362942, 216.7441381825854], 'axes': [40.819326495565285, 79.81203255758584], 'angle': 81.69846090553766}, 'location': [150.93296005362942, 216.7441381825854], 'diameter': 79.81203255758584, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.442742440322179, 'phi': -1.3694106067748848, 'norm_pos': [0.4716655001675919, 0.09689942423922748], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.2529159,"{'circle_3d': {'center': [-1.0618473936244965, 11.719198978815069, 73.94577403118458], 'normal': [0.12791800175445273, 0.7719790391763123, -0.6226438371168269], 'radius': 4.777153581367235}, 'confidence': 0.14386904632894884, 'timestamp': 14994.886597, 'diameter_3d': 9.55430716273447, 'ellipse': {'center': [150.86747955074978, 217.26465801081514], 'axes': [40.30164793173002, 80.2637337714047], 'angle': 81.79967905830668}, 'location': [150.86747955074978, 217.26465801081514], 'diameter': 80.2637337714047, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.452745039446753, 'phi': -1.3681723497999827, 'norm_pos': [0.47146087359609307, 0.09473059162160358], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991649.260573,"{'circle_3d': {'center': [-1.051264500836237, 11.71390384962058, 73.94139375501005], 'normal': [0.12879990948680767, 0.7715377784101047, -0.6230088601313709], 'radius': 4.76311808546838}, 'confidence': 0.11849108537686348, 'timestamp': 14994.894997, 'diameter_3d': 9.52623617093676, 'ellipse': {'center': [150.95571664654267, 217.23151602030214], 'axes': [40.22310713857075, 80.03207621176367], 'angle': 81.73316461546524}, 'location': [150.95571664654267, 217.23151602030214], 'diameter': 80.03207621176367, 'sphere': {'center': [-2.5968634146779292, 2.4554505086993212, 81.4175000765865], 'radius': 12.0}, 'projected_sphere': {'center': [140.22470211458477, 138.69842864201837], 'axes': [182.76169111066935, 182.76169111066935], 'angle': 90.0}, 'model_confidence': 0.9702349361980112, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.452051141316149, 'phi': -1.3669299277278086, 'norm_pos': [0.47173661452044585, 0.09486868324874109], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
