eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581993505.455133,"{'circle_3d': {'center': [8.280929353095168, 7.8350266873639, 80.87551538274114], 'normal': [0.4617354447176479, 0.8338727840381523, -0.30241785518030656], 'radius': 3.3247483311298645}, 'confidence': 0.25423160125702077, 'timestamp': 368.642767, 'diameter_3d': 6.649496662259729, 'ellipse': {'center': [223.43354114304805, 179.89184799457541], 'axes': [8.894038525901522, 51.05842076132716], 'angle': 60.60691069546124}, 'location': [223.43354114304805, 179.89184799457541], 'diameter': 51.05842076132716, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.556883732278773, 'phi': -0.5798535471215649, 'norm_pos': [0.6982298160720252, 0.25045063335593576], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.463101,"{'circle_3d': {'center': [8.436545995711757, 7.730222802244526, 80.82927599000217], 'normal': [0.47470349826903036, 0.8251391269448711, -0.3062711379085539], 'radius': 3.321015793554662}, 'confidence': 0.19759205213193481, 'timestamp': 368.651167, 'diameter_3d': 6.642031587109324, 'ellipse': {'center': [224.65917121980425, 179.12052085842873], 'axes': [9.065139080250427, 51.030347596732675], 'angle': 59.659778322906746}, 'location': [224.65917121980425, 179.12052085842873], 'diameter': 51.030347596732675, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.5412447555276074, 'phi': -0.5729822316591461, 'norm_pos': [0.7020599100618883, 0.25366449642321365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.4713159,"{'circle_3d': {'center': [8.65079438357754, 7.632985334604609, 80.90774615829746], 'normal': [0.49255753059117896, 0.8170360046415447, -0.29973195721728035], 'radius': 3.3211440081489174}, 'confidence': 0.18889979633680903, 'timestamp': 368.659567, 'diameter_3d': 6.642288016297835, 'ellipse': {'center': [226.23881002327244, 178.3255510555974], 'axes': [8.658154835903549, 50.98315249117661], 'angle': 58.50593443777973}, 'location': [226.23881002327244, 178.3255510555974], 'diameter': 50.98315249117661, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.527047872409254, 'phi': -0.5466619228018096, 'norm_pos': [0.7069962813227264, 0.2569768706016775], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.4794161,"{'circle_3d': {'center': [8.022944585353041, 8.002328401503954, 80.95686910890177], 'normal': [0.4402367140724708, 0.8478145935498236, -0.2956383780002542], 'radius': 3.3027939374504336}, 'confidence': 0.18068208167690175, 'timestamp': 368.667967, 'diameter_3d': 6.605587874900867, 'ellipse': {'center': [221.40186915060949, 181.11921062347065], 'axes': [8.515017503635711, 50.66947435160159], 'angle': 62.15728129403706}, 'location': [221.40186915060949, 181.11921062347065], 'diameter': 50.66947435160159, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.582646810110948, 'phi': -0.591371706907452, 'norm_pos': [0.6918808410956546, 0.24533662240220566], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.4873118,"{'circle_3d': {'center': [8.221844373556632, 7.8784832545845696, 80.90599798024029], 'normal': [0.45681169642277003, 0.837494164639875, -0.2998776387220446], 'radius': 3.3273504755283665}, 'confidence': 0.23551610729872052, 'timestamp': 368.676367, 'diameter_3d': 6.654700951056733, 'ellipse': {'center': [222.95901462394932, 180.20381274860475], 'axes': [8.772416456713813, 51.0791370358485], 'angle': 60.97748611949632}, 'location': [222.95901462394932, 180.20381274860475], 'diameter': 51.0791370358485, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.5634776101914842, 'phi': -0.5809016442875801, 'norm_pos': [0.6967469206998416, 0.24915078021414694], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.499208,"{'circle_3d': {'center': [8.479763057400614, 7.72092850426176, 80.87173093113245], 'normal': [0.4783049200764351, 0.824364602112974, -0.30273322614769776], 'radius': 3.324283185305068}, 'confidence': 0.19778814152439753, 'timestamp': 368.684767, 'diameter_3d': 6.648566370610136, 'ellipse': {'center': [224.95778341725963, 179.02134608346017], 'axes': [8.868727481201152, 51.053910485143504], 'angle': 59.45845943237333}, 'location': [224.95778341725963, 179.02134608346017], 'diameter': 51.053910485143504, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.53987511377833, 'phi': -0.5642810162685711, 'norm_pos': [0.7029930731789363, 0.2540777246522493], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.5069928,"{'circle_3d': {'center': [8.372296546177608, 7.767250532359775, 80.83019920077646], 'normal': [0.46934937747451805, 0.828224771121142, -0.3061942036773632], 'radius': 3.315272214039905}, 'confidence': 0.1979240826903403, 'timestamp': 368.693167, 'diameter_3d': 6.63054442807981, 'ellipse': {'center': [224.16680081757363, 179.4039842624378], 'axes': [9.058584135334577, 50.94129453119167], 'angle': 60.031663606556414}, 'location': [224.16680081757363, 179.4039842624378], 'diameter': 50.94129453119167, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.5467287441505477, 'phi': -0.5780465970780343, 'norm_pos': [0.7005212525549176, 0.25248339890650917], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.514878,"{'circle_3d': {'center': [8.365922434710843, 7.797549775766079, 80.9032415460816], 'normal': [0.4688182015189541, 0.830749708071667, -0.3001073415686014], 'radius': 3.3405892925060052}, 'confidence': 0.2158336163441438, 'timestamp': 368.701567, 'diameter_3d': 6.6811785850120105, 'ellipse': {'center': [224.06270171344755, 179.58522771329], 'axes': [8.790175857696811, 51.28462897005501], 'angle': 60.150270675692326}, 'location': [224.06270171344755, 179.58522771329], 'diameter': 51.28462897005501, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.5512494913292216, 'phi': -0.5694095655276051, 'norm_pos': [0.7001959428545236, 0.2517282178612916], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.523659,"{'circle_3d': {'center': [8.483931006952897, 7.693906295479746, 80.8054403837576], 'normal': [0.47865224920579214, 0.8221127513811397, -0.3082574384289352], 'radius': 3.3228450805970806}, 'confidence': 0.15031164904206976, 'timestamp': 368.709967, 'diameter_3d': 6.645690161194161, 'ellipse': {'center': [225.03992752767354, 178.85780485320436], 'axes': [9.170486142299692, 51.07359489088063], 'angle': 59.35765247829349}, 'location': [225.03992752767354, 178.85780485320436], 'diameter': 51.07359489088063, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.535908441733241, 'phi': -0.5721536832554298, 'norm_pos': [0.7032497735239798, 0.2547591464449819], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.5312388,"{'circle_3d': {'center': [8.50935742983738, 7.66726584323847, 80.77418782022559], 'normal': [0.48077111777949894, 0.8198927136943666, -0.31086181872326907], 'radius': 3.331674568229918}, 'confidence': 0.17777499701623836, 'timestamp': 368.718367, 'diameter_3d': 6.663349136459836, 'ellipse': {'center': [225.2580904728768, 178.67311399855646], 'axes': [9.334741085717363, 51.22932914673059], 'angle': 59.17309692177661}, 'location': [225.2580904728768, 178.67311399855646], 'diameter': 51.22932914673059, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.532019926373963, 'phi': -0.5739743278911568, 'norm_pos': [0.70393153272774, 0.25552869167268144], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993505.5398011,"{'circle_3d': {'center': [8.616144480180353, 7.634577539696982, 80.85568918994161], 'normal': [0.4896700386414134, 0.8171686883992426, -0.30407003791360054], 'radius': 3.3455907182953175}, 'confidence': 0.25254674660456056, 'timestamp': 368.726767, 'diameter_3d': 6.691181436590635, 'ellipse': {'center': [226.0129644390918, 178.3687430449001], 'axes': [8.971292846808122, 51.39199550714955], 'angle': 58.6471008499437}, 'location': [226.0129644390918, 178.3687430449001], 'diameter': 51.39199550714955, 'sphere': {'center': [2.740104016483392, -2.1714467210939294, 84.50452964490482], 'radius': 12.0}, 'projected_sphere': {'center': [180.103827538695, 104.06834553442886], 'axes': [176.0852354604779, 176.0852354604779], 'angle': 90.0}, 'model_confidence': 0.985883282658917, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.5272780293137465, 'phi': -0.5556955481197258, 'norm_pos': [0.7062905138721619, 0.2567969039795829], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
