eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1582180009.494835,"{'circle_3d': {'center': [-10.84498601759233, 21.003274002099904, 369.7182500658057], 'normal': [0.35844248070078516, -0.4730794992016186, -0.8048072908865904], 'radius': 9.755509602013731}, 'confidence': 0.7763880496372504, 'timestamp': 36345.140605, 'diameter_3d': 19.511019204027463, 'ellipse': {'center': [141.68445326081283, 155.39452975033825], 'axes': [27.560643740819152, 32.72543735287966], 'angle': -51.7727177285963}, 'location': [141.68445326081283, 155.39452975033825], 'diameter': 32.72543735287966, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0780134353359574, 'phi': -1.151793717425818, 'norm_pos': [0.4427639164400401, 0.352522792706924], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.503057,"{'circle_3d': {'center': [-10.81909922720132, 21.068457388685587, 369.6917545433325], 'normal': [0.36059971323336926, -0.46764755031947836, -0.8070152510926933], 'radius': 9.740276366322377}, 'confidence': 0.7260141355113566, 'timestamp': 36345.149005, 'diameter_3d': 19.480552732644753, 'ellipse': {'center': [141.7259134598469, 155.50435814391622], 'axes': [27.585313095153676, 32.67694154033411], 'angle': -51.208538381899515}, 'location': [141.7259134598469, 155.50435814391622], 'diameter': 32.67694154033411, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0841688262713565, 'phi': -1.150580575712428, 'norm_pos': [0.4428934795620216, 0.3520651744003491], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.5108669,"{'circle_3d': {'center': [-10.054301660071129, 20.834825127963477, 370.2160870569808], 'normal': [0.42433284382755176, -0.4871169053796542, -0.7633208749553309], 'radius': 16.52114038952474}, 'confidence': 0.08268496097984496, 'timestamp': 36345.157405, 'diameter_3d': 33.04228077904948, 'ellipse': {'center': [142.74782472611102, 155.38053120664296], 'axes': [44.42348790371081, 55.36766477576187], 'angle': -47.565004937584206}, 'location': [142.74782472611102, 155.38053120664296], 'diameter': 55.36766477576187, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0620108651834244, 'phi': -1.063431881707337, 'norm_pos': [0.44608695226909695, 0.352581119972321], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.51932,"{'circle_3d': {'center': [-10.75563102966223, 21.026565426660554, 369.74483364314153], 'normal': [0.3658887296949602, -0.4711385471548977, -0.8025919927752709], 'radius': 9.770499832382683}, 'confidence': 0.03659951866303801, 'timestamp': 36345.165805, 'diameter_3d': 19.540999664765366, 'ellipse': {'center': [141.8329637308018, 155.43052926442562], 'axes': [27.529659828322043, 32.77385587184737], 'angle': -51.00546314728701}, 'location': [141.8329637308018, 155.43052926442562], 'diameter': 32.77385587184737, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0802152099612499, 'phi': -1.143060172832408, 'norm_pos': [0.4432280116587556, 0.3523727947315599], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.526911,"{'circle_3d': {'center': [-10.762577021355035, 21.056089816434728, 369.72440505798676], 'normal': [0.3653098970538929, -0.46867818134038336, -0.8042943748715048], 'radius': 9.765327375354653}, 'confidence': 0.09391643293116331, 'timestamp': 36345.174205, 'diameter_3d': 19.530654750709306, 'ellipse': {'center': [141.82040765224414, 155.48125990469597], 'axes': [27.568633287044403, 32.75835365976813], 'angle': -50.88136033233712}, 'location': [141.82040765224414, 155.48125990469597], 'diameter': 32.75835365976813, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0830024818699147, 'phi': -1.1444557989696424, 'norm_pos': [0.44318877391326295, 0.3521614170637668], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.534932,"{'circle_3d': {'center': [-8.951777181036917, 21.67668313853971, 370.3986062075996], 'normal': [0.5162098837470688, -0.4169620711649677, -0.7481109457371], 'radius': 16.224258283957827}, 'confidence': 0.052305041332954286, 'timestamp': 36345.182605, 'diameter_3d': 32.448516567915654, 'ellipse': {'center': [144.54342604765878, 156.68605583926575], 'axes': [42.64991339743042, 54.3663342273314], 'angle': -36.57238230993049}, 'location': [144.54342604765878, 156.68605583926575], 'diameter': 54.3663342273314, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.140695915049463, 'phi': -0.9668012764241878, 'norm_pos': [0.4516982063989337, 0.3471414340030594], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.547213,"{'circle_3d': {'center': [-10.794375089002632, 21.01355105316932, 369.7349024091139], 'normal': [0.3626600580832599, -0.47222307827916743, -0.8034195956109074], 'radius': 9.6796525427842}, 'confidence': 0.03727244350090697, 'timestamp': 36345.191005, 'diameter_3d': 19.3593050855684, 'ellipse': {'center': [141.7709152086503, 155.40696673857485], 'axes': [27.30098798452273, 32.469702546340656], 'angle': -51.35382921298174}, 'location': [141.7709152086503, 155.40696673857485], 'diameter': 32.469702546340656, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0789852610700177, 'phi': -1.14678243762155, 'norm_pos': [0.4430341100270322, 0.3524709719226048], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.554867,"{'circle_3d': {'center': [-10.814242745157532, 20.980698228420515, 369.7453261054795], 'normal': [0.36100442007035155, -0.4749608136749011, -0.8025509542471089], 'radius': 9.64037802835619}, 'confidence': 0.5259938815230857, 'timestamp': 36345.199405, 'diameter_3d': 19.28075605671238, 'ellipse': {'center': [141.7398245610867, 155.350272986631], 'axes': [27.16418329335451, 32.336848217181725], 'angle': -51.68403714085643}, 'location': [141.7398245610867, 155.350272986631], 'diameter': 32.336848217181725, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0758768251765258, 'phi': -1.148091114550125, 'norm_pos': [0.4429369517533959, 0.35270719588903743], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.563047,"{'circle_3d': {'center': [-8.905200548272703, 21.606549987125206, 370.47051663819644], 'normal': [0.5200912698107547, -0.4228065004495107, -0.7421184098540304], 'radius': 15.964743691199663}, 'confidence': 0.06665613862299222, 'timestamp': 36345.207805, 'diameter_3d': 31.929487382399326, 'ellipse': {'center': [144.63952232588315, 156.55134428179366], 'axes': [41.654363653672775, 53.4855121774741], 'angle': -36.81857005354201}, 'location': [144.63952232588315, 156.55134428179366], 'diameter': 53.4855121774741, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.134256305301111, 'phi': -0.9595203781469499, 'norm_pos': [0.45199850726838486, 0.3477027321591931], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.57076,"{'circle_3d': {'center': [-10.872202711328178, 20.94096508914085, 369.7430257580875], 'normal': [0.35617442288946444, -0.4782719086148731, -0.8027426498631074], 'radius': 9.74337825902152}, 'confidence': 0.03682786948401384, 'timestamp': 36345.216205, 'diameter_3d': 19.48675651804304, 'ellipse': {'center': [141.64142142653216, 155.2886637901899], 'axes': [27.46294565325833, 32.68228956283858], 'angle': -52.323431129120344}, 'location': [141.64142142653216, 155.2886637901899], 'diameter': 32.68228956283858, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.072110409858906, 'phi': -1.1531964109636517, 'norm_pos': [0.442629441957913, 0.3529639008742087], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
