circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [Decimal('-3.6340286362699965'), 9.793671434190793, 65.15177123706204], 'normal': [-0.2614464969637782, 0.6198965623246626, -0.7398472688625909], 'radius': Decimal('2.6181231854101563')}",0.9997246977277355,9767.83893,5.236246370820313,"{'center': [Decimal('125.58621365282966'), Decimal('212.80760107925354')], 'axes': [Decimal('31.518656429664226'), Decimal('49.848533915310675')], 'angle': -67.41727319634992}","[Decimal('125.58621365282966'), Decimal('212.80760107925354')]",49.848533915310675,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9174342755288833,48,9754.00413,2.2394072022510305,-1.9104782246360625,"[Decimal('0.39245691766509266'), Decimal('0.11330166216977688')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6041223019371857'), 9.836995837150308, 65.17769715989769], 'normal': [Decimal('-0.25895430243604395'), 0.6235069292379555, -0.7376867752929539], 'radius': Decimal('2.6061241150345054')}",0.9994526280921867,9767.84733,5.212248230069011,"{'center': [Decimal('125.88043490679426'), Decimal('213.18597482115155')], 'axes': [Decimal('31.221928631301093'), Decimal('49.600231765864905')], 'angle': -67.72113691893942}","[Decimal('125.88043490679426'), Decimal('213.18597482115155')]",49.600231765864905,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9173084748512528,48,9754.00413,2.24401665949577,-1.9083934107007643,"[0.3933763590837321, 0.1117251049118686]",pupil.1,1,3d c++
"{'center': [Decimal('-3.5661621528870984'), 9.847757090016374, 65.17355631296896], 'normal': [-0.25579095668187, 0.6244037003101277, -0.7380318458703484], 'radius': 2.591322387041141}",0.9992523972646736,9767.85573,5.182644774082282,"{'center': [Decimal('126.23561373919136'), 213.2977847477024], 'axes': [31.06722403193769, 49.32139055502868], 'angle': -67.99160047654641}","[Decimal('126.23561373919136'), 213.2977847477024]",49.32139055502868,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9171147117789658,48,9754.00413,2.2451642181562814,-1.9044258254801831,"[0.394486292934973, Decimal('0.11125923021790673')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6202808849830435'), 9.878683190326448, 65.2188127325877], 'normal': [-0.2603008510231988, 0.6269808753359671, -0.7342604775687868], 'radius': Decimal('2.6130634298797664')}",0.9993916054271105,9767.86413,5.226126859759533,"{'center': [Decimal('125.74883361648055'), 213.5222958966226], 'axes': [Decimal('31.065842274183677'), 49.70122392159474], 'angle': -67.7253543372979}","[Decimal('125.74883361648055'), 213.5222958966226]",49.70122392159474,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.91694490668498,48,9754.00413,2.2484679967314958,-1.911481084845387,"[Decimal('0.39296510505150173'), Decimal('0.11032376709740577')]",pupil.1,1,3d c++
"{'center': [-3.641572359881946, 9.867439207720576, 65.21679267755071], 'normal': [-0.2620751405981073, 0.6260438767854779, -0.7344288154885343], 'radius': 2.604727835696638}",0.9991520438551859,9767.87253,5.209455671393276,"{'center': [Decimal('125.54551085374942'), 213.4212299652451], 'axes': [Decimal('30.978965022338116'), Decimal('49.544115060154034')], 'angle': -67.56110853471405}","[Decimal('125.54551085374942'), 213.4212299652451]",49.544115060154034,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9167121830627512,48,9754.00413,2.247265809247755,-1.9135535308568359,"[Decimal('0.39232972141796696'), Decimal('0.11074487514481213')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6338930837063312'), 9.868363091310833, 65.21484353736305], 'normal': [-0.2614352009168061, 0.6261208670846659, -0.7345912438375067], 'radius': Decimal('2.6252852260025703')}",0.9996078125268641,9767.88093,5.250570452005141,"{'center': [Decimal('125.61974792990185'), 213.4264841329952], 'axes': [31.23500171785648, 49.9369001149877], 'angle': -67.61229170935738}","[Decimal('125.61974792990185'), 213.4264841329952]",49.9369001149877,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9166434253443989,48,9754.00413,2.247364545529176,-1.9127105357084635,"[0.3925617122809433, Decimal('0.11072298277918668')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6832770718891212'), 9.85356230047909, 65.21995585160447], 'normal': [-0.2655505332653719, 0.6248874678486874, -0.7341652176507222], 'radius': Decimal('2.6100741001867687')}",0.9988961106286164,9767.88933,5.220148200373537,"{'center': [Decimal('125.15354905288558'), Decimal('213.28417705359715')], 'axes': [Decimal('31.025518366534058'), Decimal('49.643537779415524')], 'angle': -67.26046095299533}","[Decimal('125.15354905288558'), Decimal('213.28417705359715')]",49.643537779415524,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9163604125140834,48,9754.00413,2.2457837115245014,-1.9178596310826908,"[0.3911048407902674, Decimal('0.11131592894334519')]",pupil.1,1,3d c++
"{'center': [-3.66307209297758, 9.852877711490148, 65.2120916442264], 'normal': [Decimal('-0.26386678502274347'), 0.6248304187662755, -0.734820568265561], 'radius': 2.598944538251966}",0.99897241498309,9767.89773,5.197889076503932,"{'center': [Decimal('125.33917770014105'), Decimal('213.29166346681035')], 'axes': [30.9379801329517, Decimal('49.437604412500214')], 'angle': -67.38681906176909}","[Decimal('125.33917770014105'), Decimal('213.29166346681035')]",49.437604412500214,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9160868217394924,48,9754.00413,2.245710640779956,-1.9155461599109747,"[Decimal('0.39168493031294077'), Decimal('0.11128473555495688')]",pupil.1,1,3d c++
"{'center': [-3.679116123441283, 9.843979970850908, 65.21030626243798], 'normal': [-0.2652037875613854, 0.6240889403796722, -0.7349693500812625], 'radius': Decimal('2.6168391700475255')}",0.9992768759976544,9767.90613,5.233678340095051,"{'center': [Decimal('125.18890125417876'), Decimal('213.20465806829273')], 'axes': [31.16223319960965, 49.77962765137413], 'angle': -67.26177787291236}","[Decimal('125.18890125417876'), Decimal('213.20465806829273')]",49.77962765137413,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9158848556308552,48,9754.00413,2.244761313874896,-1.9170922611779329,"[0.3912153164193086, Decimal('0.11164725804878028')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6597020916542835'), 9.78584232234611, 65.15432485156677], 'normal': [Decimal('-0.26358595157913545'), 0.6192441363376057, -0.7396344676538638], 'radius': 2.59692719398572}",0.9993368519929986,9767.91453,5.19385438797144,"{'center': [Decimal('125.34184420454211'), Decimal('212.73638897646748')], 'axes': [31.2490609613528, 49.44277972730489], 'angle': -67.23253857924139}","[Decimal('125.34184420454211'), Decimal('212.73638897646748')]",49.44277972730489,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9157787035381837,48,9754.00413,2.238576023945378,-1.9131375684181633,"[0.3916932631391941, Decimal('0.11359837926471883')]",pupil.1,1,3d c++
"{'center': [-3.653747799454524, 9.797915704436885, 65.16232491253704], 'normal': [Decimal('-0.26308976056248884'), 0.620250251511837, -0.7389677959063408], 'radius': Decimal('2.6311531312130656')}",0.9997734486265236,9767.92293,5.262306262426131,"{'center': [Decimal('125.40660816315412'), Decimal('212.82961257794335')], 'axes': [Decimal('31.614206829301057'), Decimal('50.088757695891005')], 'angle': -67.30238427376815}","[Decimal('125.40660816315412'), Decimal('212.82961257794335')]",50.088757695891005,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9157221478563571,48,9754.00413,2.239858023730923,-1.9128270136448395,"[Decimal('0.39189565050985664'), Decimal('0.11320994759190273')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6471220584242854'), 9.785983354732767, 65.1499697254671], 'normal': [-0.2625376154766356, 0.6192558890364938, -0.7399973948288358], 'radius': 2.599738635033809}",0.9990564381164131,9767.93133,5.199477270067618,"{'center': [Decimal('125.45906117906944'), Decimal('212.74276659720135')], 'axes': [31.30790231863833, 49.49962120366677], 'angle': -67.31331826764824}","[Decimal('125.45906117906944'), Decimal('212.74276659720135')]",49.49962120366677,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9155072824689525,48,9754.00413,2.2385909918396245,-1.911724743208252,"[0.392059566184592, Decimal('0.11357180584499438')]",pupil.1,1,3d c++
"{'center': [-3.650459660292944, 9.773605243705674, 65.1408093856922], 'normal': [-0.2628157489656905, 0.6182243797842361, -0.7407607564767452], 'radius': Decimal('2.5997876524228314')}",0.9992166559491411,9767.93973,5.199575304845663,"{'center': [Decimal('125.42290448978727'), Decimal('212.63797218473135')], 'axes': [Decimal('31.361948302621627'), 49.50748586484078], 'angle': -67.2593211744564}","[Decimal('125.42290448978727'), Decimal('212.63797218473135')]",49.50748586484078,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9153155559489146,48,9754.00413,2.2372779634855027,-1.9117335041617947,"[Decimal('0.39194657653058523'), Decimal('0.11400844923028608')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6638075650339506'), 9.792822793664591, 65.16163890036647], 'normal': [Decimal('-0.26392807436077437'), 0.6198258422808124, -0.7390249635872221], 'radius': 2.622555447985571}",0.9990614216946568,9767.94813,5.245110895971142,"{'center': [Decimal('125.30998486561585'), Decimal('212.78493632388734')], 'axes': [Decimal('31.515092083577017'), 49.92550072313184], 'angle': -67.22475439353936}","[Decimal('125.30998486561585'), Decimal('212.78493632388734')]",49.92550072313184,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9150840705590357,48,9754.00413,2.2393170798981714,-1.913808971398715,"[0.3915937027050495, 0.1133960986504694]",pupil.1,1,3d c++
"{'center': [Decimal('-3.6888348729224436'), 9.797277918661987, 65.17435900936832], 'normal': [-0.2660136833514821, 0.6201971026972621, -0.7379649545037346], 'radius': Decimal('2.6285839389499603')}",0.9996568877473567,9767.95653,5.257167877899921,"{'center': [Decimal('125.08043430345958'), Decimal('212.80812230605915')], 'axes': [31.51364365289479, Decimal('50.030665853741574')], 'angle': -67.07702861324474}","[Decimal('125.08043430345958'), Decimal('212.80812230605915')]",50.030665853741574,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9150069885696555,48,9754.00413,2.239790268605597,-1.9167672693761217,"[0.3908763571983112, Decimal('0.11329949039142018')]",pupil.1,1,3d c++
"{'center': [-3.661401178768804, 9.805102686319294, 65.17109261378224], 'normal': [Decimal('-0.26372754217201216'), 0.6208491666687044, -0.7382371541359084], 'radius': 2.619129326141963}",0.999463848451144,9767.96493,5.238258652283926,"{'center': [125.3370387106308, Decimal('212.88936397426153')], 'axes': [Decimal('31.418391440164154'), Decimal('49.853030410215304')], 'angle': -67.27244889669123}","[125.3370387106308, Decimal('212.88936397426153')]",49.853030410215304,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9149080358192285,48,9754.00413,2.2406217833812465,-1.9139060595050037,"[0.3916782459707212, Decimal('0.11296098344057692')]",pupil.1,1,3d c++
